Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710504960000,0.0296960,0.0297180,0.0295530,0.0295600,6092629,1710505019999,180431.3244160,1109,2941358,1710510300000,0.031133
1710505020000,0.0295610,0.0296120,0.0295310,0.0296030,4764083,1710505079999,140850.8329100,1011,2116567,1710510300000,0.031133
1710505080000,0.0296050,0.0296200,0.0295600,0.0296120,3949004,1710505139999,116858.9940340,850,2517844,1710510300000,0.031133
1710505140000,0.0296100,0.0296410,0.0295550,0.0295650,6125985,1710505199999,181283.4801420,1063,2553186,1710510300000,0.031133
1710505200000,0.0295660,0.0296940,0.0295330,0.0296500,7021005,1710505259999,207939.3756080,1085,3423152,1710510300000,0.031133
1710505260000,0.0296490,0.0297690,0.0296100,0.0297690,5198330,1710505319999,154319.3367230,1069,2804570,1710510300000,0.031133
1710505320000,0.0297710,0.0298520,0.0296840,0.0298450,10557678,1710505379999,314334.3693300,1752,5592479,1710510300000,0.031133
1710505380000,0.0298450,0.0299410,0.0298120,0.0298310,8747740,1710505439999,261364.0002830,1659,4226282,1710510300000,0.031133
1710505440000,0.0298320,0.0299040,0.0298240,0.0299030,5930701,1710505499999,177174.3492760,993,2961950,1710510300000,0.031133
1710505500000,0.0298990,0.0299920,0.0298940,0.0299780,8380777,1710505559999,251037.5165780,1499,4739621,1710510300000,0.031133
1710505560000,0.0299780,0.0299940,0.0299130,0.0299710,6108669,1710505619999,182951.5703320,1117,3001178,1710510300000,0.031133
1710505620000,0.0299760,0.0300580,0.0299010,0.0299440,11461955,1710505679999,343537.5694990,1933,6566098,1710510300000,0.031133
1710505680000,0.0299450,0.0299510,0.0298510,0.0299450,9187453,1710505739999,274689.0423780,1251,5164793,1710510300000,0.031133
1710505740000,0.0299450,0.0299650,0.0298850,0.0299520,6742401,1710505799999,201748.0326670,1002,3112991,1710510300000,0.031133
1710505800000,0.0299530,0.0299680,0.0298880,0.0299390,6795846,1710505859999,203427.1131590,1117,3459804,1710510300000,0.031133
1710505860000,0.0299350,0.0300090,0.0298910,0.0299970,7690202,1710505919999,230212.5127840,1255,4190552,1710510300000,0.031133
1710505920000,0.0299920,0.0300960,0.0299920,0.0300430,9496756,1710505979999,285420.4157030,1532,4814174,1710510300000,0.031133
1710505980000,0.0300460,0.0301350,0.0300280,0.0301290,10358775,1710506039999,311726.7270530,1560,5948820,1710510300000,0.031133
1710506040000,0.0301270,0.0302440,0.0301180,0.0301800,18417777,1710506099999,555864.1640020,2038,8622130,1710510300000,0.031133
1710506100000,0.0301770,0.0302120,0.0301530,0.0301540,9558312,1710506159999,288513.5364130,1548,5409752,1710510300000,0.031133
1710506160000,0.0301530,0.0301940,0.0300110,0.0300310,13099350,1710506219999,394325.3324540,1906,6135905,1710510300000,0.031133
1710506220000,0.0300250,0.0300250,0.0298540,0.0298620,15942088,1710506279999,477069.7118490,2491,7132982,1710510300000,0.031133
1710506280000,0.0298660,0.0299400,0.0298110,0.0299040,9913205,1710506339999,296158.5365040,1702,5285262,1710510300000,0.031133
1710506340000,0.0299040,0.0299470,0.0298800,0.0299060,5518249,1710506399999,165076.5638960,875,2619857,1710510300000,0.031133
1710506400000,0.0299000,0.0299170,0.0297460,0.0297900,12485752,1710506459999,372420.8436410,1693,4071710,1710510300000,0.031133
1710506460000,0.0297880,0.0299010,0.0297550,0.0298480,6775002,1710506519999,202023.1928060,1285,3619562,1710510300000,0.031133
1710506520000,0.0298410,0.0298750,0.0297840,0.0297840,5039905,1710506579999,150365.1983140,984,2703696,1710510300000,0.031133
1710506580000,0.0297830,0.0297880,0.0297220,0.0297690,5735198,1710506639999,170652.1990550,1163,3000002,1710510300000,0.031133
1710506640000,0.0297690,0.0298250,0.0297130,0.0297530,5238960,1710506699999,155954.7158740,986,3199044,1710510300000,0.031133
1710506700000,0.0297470,0.0297800,0.0296160,0.0296460,13448513,1710506759999,398981.0597170,2036,5582923,1710510300000,0.031133
1710506760000,0.0296440,0.0296550,0.0295560,0.0295920,11369308,1710506819999,336510.6583710,1541,6155238,1710510300000,0.031133
1710506820000,0.0295800,0.0297150,0.0295770,0.0296330,8723229,1710506879999,258776.4480850,1369,4975644,1710510300000,0.031133
1710506880000,0.0296300,0.0296750,0.0295580,0.0295850,5424180,1710506939999,160589.7809760,1089,3045636,1710510300000,0.031133
1710506940000,0.0295830,0.0297230,0.0295590,0.0296930,6935578,1710506999999,205605.7400450,1059,3793235,1710510300000,0.031133
1710507000000,0.0296920,0.0297310,0.0296600,0.0296600,9057803,1710507059999,269022.2309970,1539,4002207,1710510300000,0.031133
1710507060000,0.0296640,0.0296990,0.0295570,0.0296880,6466355,1710507119999,191636.4095020,1304,3641363,1710510300000,0.031133
1710507120000,0.0296880,0.0298650,0.0296870,0.0298240,8865261,1710507179999,264108.1859380,1477,5422679,1710510300000,0.031133
1710507180000,0.0298260,0.0298370,0.0297830,0.0297830,8395859,1710507239999,250252.8066200,1240,3375996,1710510300000,0.031133
1710507240000,0.0297830,0.0298130,0.0297310,0.0297370,4033581,1710507299999,120111.6063200,769,1609974,1710510300000,0.031133
1710507300000,0.0297380,0.0298680,0.0297370,0.0298680,7665727,1710507359999,228377.4864670,1369,4356223,1710510300000,0.031133
1710507360000,0.0298660,0.0299390,0.0298380,0.0298720,6616739,1710507419999,197757.2917730,1215,4201132,1710510300000,0.031133
1710507420000,0.0298690,0.0298690,0.0297970,0.0298330,4911539,1710507479999,146501.6182430,944,2127783,1710510300000,0.031133
1710507480000,0.0298320,0.0298830,0.0298200,0.0298740,4194708,1710507539999,125208.1377320,718,2749884,1710510300000,0.031133
1710507540000,0.0298730,0.0298790,0.0298350,0.0298400,3370569,1710507599999,100655.3726900,654,1395907,1710510300000,0.031133
1710507600000,0.0298400,0.0298710,0.0297520,0.0298640,7567608,1710507659999,225592.4113980,1439,3784649,1710510300000,0.031133
1710507660000,0.0298620,0.0299070,0.0297690,0.0298740,5965952,1710507719999,178009.6848360,1320,3441072,1710510300000,0.031133
1710507720000,0.0298720,0.0300380,0.0298480,0.0300020,11321546,1710507779999,339366.8650380,1665,5447427,1710510300000,0.031133
1710507780000,0.0300020,0.0301660,0.0299930,0.0301360,10456487,1710507839999,314769.7907820,1857,6963962,1710510300000,0.031133
1710507840000,0.0301310,0.0301890,0.0300550,0.0301820,14788688,1710507899999,445631.5653720,2132,9335937,1710510300000,0.031133
1710507900000,0.0301800,0.0302010,0.0301580,0.0301880,7577762,1710507959999,228699.9826230,1564,3870697,1710510300000,0.031133
1710507960000,0.0301880,0.0302660,0.0301850,0.0302610,16882720,1710508019999,510290.3750860,2188,10998872,1710510300000,0.031133
1710508020000,0.0302580,0.0302960,0.0301920,0.0302730,19191294,1710508079999,580266.1821380,2342,9351803,1710510300000,0.031133
1710508080000,0.0302690,0.0302960,0.0300960,0.0301080,23881020,1710508139999,721276.7509840,3038,11362392,1710510300000,0.031133
1710508140000,0.0301000,0.0301160,0.0299540,0.0300780,22171303,1710508199999,666189.4083320,3315,9338070,1710510300000,0.031133
1710508200000,0.0300790,0.0301070,0.0299920,0.0300570,7291841,1710508259999,219080.2939160,1437,4345461,1710510300000,0.031133
1710508260000,0.0300570,0.0300980,0.0299000,0.0299470,12386759,1710508319999,371379.6343160,1794,6290572,1710510300000,0.031133
1710508320000,0.0299440,0.0299620,0.0298320,0.0298510,11214565,1710508379999,335182.1182900,1689,5147998,1710510300000,0.031133
1710508380000,0.0298520,0.0298680,0.0297750,0.0298190,8445154,1710508439999,251859.9777570,1373,4494137,1710510300000,0.031133
1710508440000,0.0298170,0.0300140,0.0297970,0.0299280,46063462,1710508499999,1377008.8080050,3372,24082487,1710510300000,0.031133
1710508500000,0.0299270,0.0299410,0.0298070,0.0298080,7547309,1710508559999,225557.3310880,1249,3913764,1710510300000,0.031133
1710508560000,0.0298080,0.0298200,0.0296940,0.0297030,11864719,1710508619999,353019.8367140,1849,5685343,1710510300000,0.031133
1710508620000,0.0297080,0.0298250,0.0296860,0.0297700,6889117,1710508679999,205016.5972220,1402,3975186,1710510300000,0.031133
1710508680000,0.0297650,0.0298560,0.0297610,0.0297900,5960797,1710508739999,177649.3188910,1159,3468275,1710510300000,0.031133
1710508740000,0.0297890,0.0297980,0.0297310,0.0297560,5635421,1710508799999,167709.3853950,950,3112306,1710510300000,0.031133
1710508800000,0.0297560,0.0297740,0.0296990,0.0297440,8946215,1710508859999,265934.6113290,1266,3392997,1710510300000,0.031133
1710508860000,0.0297410,0.0297750,0.0296680,0.0297530,6213101,1710508919999,184688.6785760,1128,3817788,1710510300000,0.031133
1710508920000,0.0297510,0.0298010,0.0296290,0.0296290,5595404,1710508979999,166361.9421280,1148,2892963,1710510300000,0.031133
1710508980000,0.0296300,0.0297520,0.0295870,0.0297150,10565104,1710509039999,313269.7895450,1758,5779885,1710510300000,0.031133
1710509040000,0.0297130,0.0297340,0.0296630,0.0297150,4339820,1710509099999,128906.2964930,930,2639231,1710510300000,0.031133
1710509100000,0.0297180,0.0297510,0.0296780,0.0297400,5413812,1710509159999,160904.6004900,936,3376797,1710510300000,0.031133
1710509160000,0.0297400,0.0297450,0.0296110,0.0296110,6126895,1710509219999,181710.0552580,939,3158564,1710510300000,0.031133
1710509220000,0.0296130,0.0297040,0.0295880,0.0296900,6674144,1710509279999,197874.5299890,1009,3924217,1710510300000,0.031133
