Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711472460000,0.2368300,0.2379400,0.2368300,0.2376100,1356995,1711472519999,322206.7195400,2044,995568,1711477860000,0.24148
1711472520000,0.2376100,0.2377500,0.2369800,0.2373800,890728,1711472579999,211395.8075200,1312,402517,1711477860000,0.24148
1711472580000,0.2373900,0.2378700,0.2372900,0.2377800,514589,1711472639999,122266.0496000,1006,249476,1711477860000,0.24148
1711472640000,0.2377800,0.2378900,0.2374200,0.2376600,624506,1711472699999,148398.8288000,941,309034,1711477860000,0.24148
1711472700000,0.2376600,0.2376600,0.2370500,0.2370600,618936,1711472759999,146952.0015400,866,304779,1711477860000,0.24148
1711472760000,0.2370700,0.2375100,0.2368500,0.2375100,863693,1711472819999,204812.1849300,1250,536203,1711477860000,0.24148
1711472820000,0.2375100,0.2377900,0.2370800,0.2376000,546218,1711472879999,129734.3106100,899,301367,1711477860000,0.24148
1711472880000,0.2376100,0.2376400,0.2365300,0.2366200,724566,1711472939999,171709.0293700,1160,360332,1711477860000,0.24148
1711472940000,0.2366200,0.2368200,0.2361700,0.2366500,1053571,1711472999999,249207.6407000,1369,441968,1711477860000,0.24148
1711473000000,0.2366900,0.2370500,0.2358400,0.2361300,1397965,1711473059999,330248.1736400,2073,520933,1711477860000,0.24148
1711473060000,0.2361000,0.2363900,0.2355700,0.2363400,1199486,1711473119999,283017.8490400,1302,493777,1711477860000,0.24148
1711473120000,0.2363100,0.2363400,0.2356400,0.2356900,401994,1711473179999,94841.3780300,774,141014,1711477860000,0.24148
1711473180000,0.2357100,0.2360000,0.2354500,0.2357000,633455,1711473239999,149297.6010600,1000,383127,1711477860000,0.24148
1711473240000,0.2357100,0.2364400,0.2354100,0.2363000,694202,1711473299999,163707.9339600,776,339075,1711477860000,0.24148
1711473300000,0.2363700,0.2369800,0.2362400,0.2366600,768708,1711473359999,181901.8085400,1241,404750,1711477860000,0.24148
1711473360000,0.2367000,0.2371900,0.2364600,0.2371200,749022,1711473419999,177292.2458000,1157,405836,1711477860000,0.24148
1711473420000,0.2371200,0.2377200,0.2369600,0.2372400,753035,1711473479999,178792.7345500,1595,414533,1711477860000,0.24148
1711473480000,0.2372300,0.2379800,0.2372300,0.2378100,397925,1711473539999,94608.4673600,816,211967,1711477860000,0.24148
1711473540000,0.2378000,0.2383500,0.2378000,0.2382300,633057,1711473599999,150735.2736400,970,312722,1711477860000,0.24148
1711473600000,0.2382200,0.2385800,0.2377500,0.2381400,1874526,1711473659999,446368.2448900,1834,534004,1711477860000,0.24148
1711473660000,0.2381400,0.2381800,0.2374300,0.2379500,684491,1711473719999,162732.2617500,1073,305139,1711477860000,0.24148
1711473720000,0.2379500,0.2383800,0.2378800,0.2382400,420721,1711473779999,100203.6145800,753,235925,1711477860000,0.24148
1711473780000,0.2382200,0.2384500,0.2378700,0.2382800,449741,1711473839999,107118.4901900,622,259857,1711477860000,0.24148
1711473840000,0.2383300,0.2384400,0.2380600,0.2383300,440957,1711473899999,105061.4715500,632,258805,1711477860000,0.24148
1711473900000,0.2383700,0.2393300,0.2382300,0.2388500,971618,1711473959999,232088.9988100,1699,639678,1711477860000,0.24148
1711473960000,0.2388400,0.2392900,0.2385800,0.2387100,1361593,1711474019999,325537.9075800,1011,483128,1711477860000,0.24148
1711474020000,0.2387200,0.2396500,0.2387200,0.2396400,618566,1711474079999,147957.2036500,765,501205,1711477860000,0.24148
1711474080000,0.2396100,0.2399600,0.2391300,0.2392600,1196473,1711474139999,286642.6938600,1333,613101,1711477860000,0.24148
1711474140000,0.2392700,0.2397600,0.2390700,0.2392800,1104843,1711474199999,264474.3654500,1303,283193,1711477860000,0.24148
1711474200000,0.2392800,0.2393100,0.2387100,0.2387900,507722,1711474259999,121305.9675200,837,199323,1711477860000,0.24148
1711474260000,0.2387600,0.2395100,0.2387200,0.2394700,492868,1711474319999,117837.4546000,937,283008,1711477860000,0.24148
1711474320000,0.2394600,0.2398200,0.2394200,0.2396400,507685,1711474379999,121664.3707800,796,266010,1711477860000,0.24148
1711474380000,0.2396200,0.2396700,0.2388900,0.2393700,1123881,1711474439999,268860.9409100,1555,466794,1711477860000,0.24148
1711474440000,0.2393600,0.2397600,0.2393500,0.2396700,426278,1711474499999,102123.8330900,847,278987,1711477860000,0.24148
1711474500000,0.2396800,0.2400800,0.2396200,0.2397400,617075,1711474559999,148004.9746600,1101,383046,1711477860000,0.24148
1711474560000,0.2397400,0.2398400,0.2391000,0.2396400,868208,1711474619999,207935.1521500,1194,414452,1711477860000,0.24148
1711474620000,0.2396700,0.2400800,0.2393500,0.2399000,316019,1711474679999,75757.7132700,669,128778,1711477860000,0.24148
1711474680000,0.2399100,0.2404800,0.2399100,0.2401600,650271,1711474739999,156211.1560600,1201,367550,1711477860000,0.24148
1711474740000,0.2401300,0.2401300,0.2395600,0.2396800,401039,1711474799999,96177.3552200,760,116872,1711477860000,0.24148
1711474800000,0.2396800,0.2400000,0.2394100,0.2395300,499611,1711474859999,119742.6461000,905,184905,1711477860000,0.24148
1711474860000,0.2395500,0.2395700,0.2391200,0.2395700,446205,1711474919999,106796.5482100,749,260321,1711477860000,0.24148
1711474920000,0.2395700,0.2396700,0.2392900,0.2394600,240794,1711474979999,57656.2699300,449,79066,1711477860000,0.24148
1711474980000,0.2394600,0.2399600,0.2392900,0.2398700,471819,1711475039999,113010.8559700,707,292183,1711477860000,0.24148
1711475040000,0.2398600,0.2399700,0.2396600,0.2397700,319184,1711475099999,76541.0786300,544,171526,1711477860000,0.24148
1711475100000,0.2397800,0.2403300,0.2397800,0.2399300,574459,1711475159999,137938.7103200,936,320844,1711477860000,0.24148
1711475160000,0.2399400,0.2403100,0.2398900,0.2402400,535734,1711475219999,128607.5447800,703,323854,1711477860000,0.24148
1711475220000,0.2402300,0.2405300,0.2399700,0.2401400,813544,1711475279999,195462.8365800,924,429057,1711477860000,0.24148
1711475280000,0.2401700,0.2403200,0.2396400,0.2398100,504539,1711475339999,121101.4494000,819,209898,1711477860000,0.24148
1711475340000,0.2397900,0.2403200,0.2397200,0.2402800,437107,1711475399999,104948.9183800,601,329338,1711477860000,0.24148
1711475400000,0.2402900,0.2408100,0.2401200,0.2401200,688881,1711475459999,165651.8290200,1320,302433,1711477860000,0.24148
1711475460000,0.2401100,0.2402400,0.2397400,0.2398200,693174,1711475519999,166312.6643500,668,271966,1711477860000,0.24148
1711475520000,0.2398100,0.2400300,0.2394400,0.2398700,578452,1711475579999,138662.8414400,872,221580,1711477860000,0.24148
1711475580000,0.2399000,0.2400800,0.2397100,0.2397900,252093,1711475639999,60467.3549600,516,95909,1711477860000,0.24148
1711475640000,0.2397900,0.2400200,0.2396000,0.2399400,185235,1711475699999,44421.3231100,397,108735,1711477860000,0.24148
1711475700000,0.2399500,0.2402300,0.2398400,0.2398500,274226,1711475759999,65820.8590300,438,143454,1711477860000,0.24148
1711475760000,0.2398400,0.2400000,0.2395600,0.2395600,273729,1711475819999,65654.3824700,394,113171,1711477860000,0.24148
1711475820000,0.2395600,0.2399400,0.2395300,0.2395900,257409,1711475879999,61701.7119900,504,135030,1711477860000,0.24148
1711475880000,0.2395800,0.2396000,0.2390600,0.2391600,505752,1711475939999,121005.4571900,735,147161,1711477860000,0.24148
1711475940000,0.2391600,0.2393600,0.2390300,0.2393100,420686,1711475999999,100624.0223800,594,236659,1711477860000,0.24148
1711476000000,0.2393500,0.2397000,0.2390100,0.2394000,568169,1711476059999,135999.3519900,911,373275,1711477860000,0.24148
1711476060000,0.2393900,0.2393900,0.2386600,0.2388200,794037,1711476119999,189783.8868000,1243,317219,1711477860000,0.24148
1711476120000,0.2388300,0.2393200,0.2386500,0.2392800,589612,1711476179999,140924.1977000,828,329290,1711477860000,0.24148
1711476180000,0.2392700,0.2397500,0.2391500,0.2394400,403239,1711476239999,96540.9137400,705,264623,1711477860000,0.24148
1711476240000,0.2394500,0.2399500,0.2393900,0.2397400,298186,1711476299999,71462.1002800,489,205206,1711477860000,0.24148
1711476300000,0.2397300,0.2402200,0.2397300,0.2401400,468117,1711476359999,112369.3925600,644,255255,1711477860000,0.24148
1711476360000,0.2401400,0.2402800,0.2396900,0.2398300,636161,1711476419999,152731.6601800,647,378042,1711477860000,0.24148
1711476420000,0.2398400,0.2400800,0.2397400,0.2400200,559045,1711476479999,134131.9927900,564,243452,1711477860000,0.24148
1711476480000,0.2400200,0.2403400,0.2400200,0.2402000,671307,1711476539999,161241.3531900,658,374585,1711477860000,0.24148
1711476540000,0.2402100,0.2407700,0.2402100,0.2405500,681503,1711476599999,163965.8911700,964,329383,1711477860000,0.24148
1711476600000,0.2405200,0.2406200,0.2398500,0.2399200,473554,1711476659999,113788.8195800,675,228981,1711477860000,0.24148
1711476660000,0.2399200,0.2403400,0.2397100,0.2402200,645494,1711476719999,154911.9484300,786,295785,1711477860000,0.24148
1711476720000,0.2402400,0.2404500,0.2400300,0.2401500,302825,1711476779999,72760.0505900,481,141981,1711477860000,0.24148
1711476780000,0.2401200,0.2404500,0.2401200,0.2404000,353184,1711476839999,84886.5506600,385,252541,1711477860000,0.24148
1711476840000,0.2403800,0.2405700,0.2403400,0.2404700,357115,1711476899999,85861.4191300,431,198117,1711477860000,0.24148
1711476900000,0.2404700,0.2406400,0.2400000,0.2402400,723500,1711476959999,173881.7332200,821,341244,1711477860000,0.24148
1711476960000,0.2402300,0.2404500,0.2397100,0.2398300,569483,1711477019999,136743.1847500,789,367623,1711477860000,0.24148
1711477020000,0.2398300,0.2402600,0.2398100,0.2399900,331582,1711477079999,79605.5200800,507,180772,1711477860000,0.24148
1711477080000,0.2399900,0.2403500,0.2399100,0.2399700,513245,1711477139999,123248.8719500,605,321218,1711477860000,0.24148
1711477140000,0.2399100,0.2399400,0.2396100,0.2398200,390942,1711477199999,93738.3408800,502,227565,1711477860000,0.24148
1711477200000,0.2398100,0.2400900,0.2395500,0.2399500,352974,1711477259999,84659.7768800,496,255617,1711477860000,0.24148
1711477260000,0.2399300,0.2401400,0.2397200,0.2399700,515919,1711477319999,123772.4498400,654,210104,1711477860000,0.24148
1711477320000,0.2399600,0.2402100,0.2398300,0.2399000,374994,1711477379999,90011.7670900,541,238049,1711477860000,0.24148
1711477380000,0.2399300,0.2402400,0.2397900,0.2400000,293338,1711477439999,70408.4052500,475,171882,1711477860000,0.24148
1711477440000,0.2400200,0.2402000,0.2398200,0.2400100,592861,1711477499999,142292.8081300,577,277434,1711477860000,0.24148
1711477500000,0.2400300,0.2401700,0.2395300,0.2398900,1384427,1711477559999,332114.7227600,1058,800073,1711477860000,0.24148
1711477560000,0.2398600,0.2399400,0.2395600,0.2396500,274689,1711477619999,65867.4769000,459,112132,1711477860000,0.24148
1711477620000,0.2396300,0.2400000,0.2396000,0.2396000,401116,1711477679999,96176.3179200,465,160627,1711477860000,0.24148
1711477680000,0.2396000,0.2398100,0.2395800,0.2397600,270702,1711477739999,64885.6145500,347,197988,1711477860000,0.24148
1711477740000,0.2397500,0.2399000,0.2394800,0.2398000,543141,1711477799999,130184.6586000,573,278171,1711477860000,0.24148
1711477800000,0.2397800,0.2401000,0.2394900,0.2397800,713976,1711477859999,171221.9991900,817,322323,1711477860000,0.24148
1711477860000,0.2398100,0.2416800,0.2396400,0.2410200,8881575,1711477919999,2140296.7814800,4698,6140772,1711477860000,0.24148
1711477920000,0.2410200,0.2410200,0.2404500,0.2409500,1659938,1711477979999,399625.3606300,1500,729066,1711477860000,0.24148
1711477980000,0.2409200,0.2412100,0.2409200,0.2411800,687147,1711478039999,165667.7055700,648,391470,1711477860000,0.24148
1711478040000,0.2411900,0.2412000,0.2409300,0.2410500,447125,1711478099999,107772.8700000,498,192709,1711477860000,0.24148
1711478100000,0.2410500,0.2411100,0.2407300,0.2408100,645829,1711478159999,155637.4156500,660,346420,1711477860000,0.24148
1711478160000,0.2408000,0.2411200,0.2407400,0.2411100,583185,1711478219999,140541.7291300,497,454141,1711477860000,0.24148
1711478220000,0.2410900,0.2414000,0.2410100,0.2412800,525426,1711478279999,126731.3811100,602,294282,1711477860000,0.24148
1711478280000,0.2412700,0.2414700,0.2408600,0.2413200,1601894,1711478339999,386404.1599300,1263,1018336,1711477860000,0.24148
1711478340000,0.2413200,0.2414000,0.2410500,0.2410900,767953,1711478399999,185277.4591000,577,159633,1711477860000,0.24148
1711478400000,0.2410900,0.2413000,0.2407300,0.2408700,450336,1711478459999,108511.0838600,591,161070,1711477860000,0.24148
1711478460000,0.2408500,0.2416300,0.2407900,0.2415600,649830,1711478519999,156791.2969900,793,340619,1711477860000,0.24148
1711478520000,0.2415500,0.2416600,0.2413300,0.2415600,564591,1711478579999,136350.8702800,528,220431,1711477860000,0.24148
1711478580000,0.2415700,0.2415800,0.2413300,0.2414100,448220,1711478639999,108209.1165000,372,183703,1711477860000,0.24148
1711478640000,0.2414000,0.2414300,0.2412700,0.2413600,434914,1711478699999,104951.9841500,419,202028,1711477860000,0.24148
1711478700000,0.2413500,0.2418900,0.2412700,0.2418900,825302,1711478759999,199413.3385700,924,405512,1711477860000,0.24148
1711478760000,0.2418400,0.2424400,0.2417800,0.2423200,823845,1711478819999,199540.3045800,1336,482356,1711477860000,0.24148
1711478820000,0.2423400,0.2423700,0.2418100,0.2419800,730477,1711478879999,176841.3808400,658,209839,1711477860000,0.24148
1711478880000,0.2419800,0.2420100,0.2417200,0.2418000,583452,1711478939999,141114.9101400,570,193931,1711477860000,0.24148
1711478940000,0.2417900,0.2422400,0.2417500,0.2420300,289010,1711478999999,69949.7618400,482,181985,1711477860000,0.24148
1711479000000,0.2420300,0.2420900,0.2416500,0.2416900,444379,1711479059999,107464.7510500,482,140494,1711477860000,0.24148
1711479060000,0.2416900,0.2417400,0.2411700,0.2414600,652990,1711479119999,157626.4602400,749,326349,1711477860000,0.24148
1711479120000,0.2414600,0.2420000,0.2414200,0.2418200,1251710,1711479179999,302589.9312700,1008,901004,1711477860000,0.24148
1711479180000,0.2418000,0.2418000,0.2413900,0.2414900,383109,1711479239999,92545.3558000,623,130172,1711477860000,0.24148
1711479240000,0.2415200,0.2418700,0.2412400,0.2412500,305830,1711479299999,73866.4143200,519,115510,1711477860000,0.24148
1711479300000,0.2412500,0.2412600,0.2408400,0.2410900,411370,1711479359999,99143.5168500,772,119716,1711477860000,0.24148
1711479360000,0.2410600,0.2412900,0.2409400,0.2410900,237612,1711479419999,57285.3419000,454,100590,1711477860000,0.24148
1711479420000,0.2410600,0.2411300,0.2408000,0.2410700,625521,1711479479999,150733.6241600,727,236470,1711477860000,0.24148
1711479480000,0.2410200,0.2410200,0.2400500,0.2403600,1418814,1711479539999,341379.9670700,1266,251149,1711477860000,0.24148
1711479540000,0.2403600,0.2404500,0.2398400,0.2399800,828722,1711479599999,199001.0179600,849,287659,1711477860000,0.24148
1711479600000,0.2399800,0.2403300,0.2395900,0.2400300,1711158,1711479659999,410623.5998000,1828,765343,1711477860000,0.24148
1711479660000,0.2400400,0.2406500,0.2398900,0.2404700,569235,1711479719999,136751.1567900,935,273620,1711477860000,0.24148
1711479720000,0.2404700,0.2406000,0.2400300,0.2403900,651564,1711479779999,156558.0014900,913,421387,1711477860000,0.24148
