Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710383520000,0.1829100,0.1829600,0.1828100,0.1829400,97914,1710383579999,17907.8176800,148,33157,1710388920000,0.18486
1710383580000,0.1828900,0.1828900,0.1827700,0.1828400,27295,1710383639999,4989.9297000,72,13792,1710388920000,0.18486
1710383640000,0.1828400,0.1829400,0.1827900,0.1828600,144595,1710383699999,26439.4676800,169,53563,1710388920000,0.18486
1710383700000,0.1828300,0.1829000,0.1828200,0.1828700,33113,1710383759999,6054.6996200,78,17409,1710388920000,0.18486
1710383760000,0.1828800,0.1828800,0.1826700,0.1828000,312088,1710383819999,57034.9545400,275,34920,1710388920000,0.18486
1710383820000,0.1828300,0.1828800,0.1827800,0.1828400,111391,1710383879999,20364.6051300,117,44792,1710388920000,0.18486
1710383880000,0.1828500,0.1829300,0.1826700,0.1829300,217869,1710383939999,39830.5050900,211,79129,1710388920000,0.18486
1710383940000,0.1829200,0.1830500,0.1829100,0.1830500,119945,1710383999999,21950.8066000,148,76399,1710388920000,0.18486
1710384000000,0.1830600,0.1831300,0.1830600,0.1831000,56361,1710384059999,10319.7029000,116,26016,1710388920000,0.18486
1710384060000,0.1830900,0.1830900,0.1828100,0.1828800,110543,1710384119999,20225.6496300,189,35758,1710388920000,0.18486
1710384120000,0.1828700,0.1829500,0.1827500,0.1829500,76227,1710384179999,13935.5209600,154,21473,1710388920000,0.18486
1710384180000,0.1829500,0.1830800,0.1829000,0.1829900,185374,1710384239999,33925.3941400,180,74489,1710388920000,0.18486
1710384240000,0.1829900,0.1830500,0.1829200,0.1830500,49347,1710384299999,9031.0243100,101,19919,1710388920000,0.18486
1710384300000,0.1830500,0.1831300,0.1830400,0.1830600,43292,1710384359999,7926.3049300,85,19380,1710388920000,0.18486
1710384360000,0.1830600,0.1830600,0.1826400,0.1827300,115430,1710384419999,21108.1558200,213,57826,1710388920000,0.18486
1710384420000,0.1827100,0.1827100,0.1824500,0.1824500,92916,1710384479999,16963.3310700,163,39256,1710388920000,0.18486
1710384480000,0.1825000,0.1825500,0.1823400,0.1823900,126654,1710384539999,23109.1203400,163,38572,1710388920000,0.18486
1710384540000,0.1824000,0.1825000,0.1823700,0.1824500,75558,1710384599999,13782.9339000,110,45120,1710388920000,0.18486
1710384600000,0.1824500,0.1824500,0.1821800,0.1823100,143721,1710384659999,26199.2414900,249,88970,1710388920000,0.18486
1710384660000,0.1823000,0.1823200,0.1820100,0.1821900,127047,1710384719999,23143.8050200,226,49244,1710388920000,0.18486
1710384720000,0.1821200,0.1821900,0.1819600,0.1821800,129958,1710384779999,23656.5985000,131,102526,1710388920000,0.18486
1710384780000,0.1821900,0.1822900,0.1820500,0.1820500,98303,1710384839999,17906.3961500,153,44787,1710388920000,0.18486
1710384840000,0.1821000,0.1821000,0.1818900,0.1820600,214459,1710384899999,39031.4516100,246,57697,1710388920000,0.18486
1710384900000,0.1820400,0.1820600,0.1819200,0.1819200,90926,1710384959999,16545.9267300,129,45565,1710388920000,0.18486
1710384960000,0.1819200,0.1820100,0.1818100,0.1820100,48949,1710385019999,8904.5319600,136,30264,1710388920000,0.18486
1710385020000,0.1820200,0.1820200,0.1818600,0.1819400,72096,1710385079999,13115.7087100,140,59888,1710388920000,0.18486
1710385080000,0.1819300,0.1821400,0.1819000,0.1820400,72335,1710385139999,13168.3647600,164,44545,1710388920000,0.18486
1710385140000,0.1820500,0.1821500,0.1820400,0.1820800,24212,1710385199999,4408.3421900,106,19676,1710388920000,0.18486
1710385200000,0.1820800,0.1821800,0.1820000,0.1820800,184148,1710385259999,33533.8573900,328,122538,1710388920000,0.18486
1710385260000,0.1820800,0.1823600,0.1820400,0.1821900,141950,1710385319999,25860.6566600,254,99594,1710388920000,0.18486
