Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711582260000,0.0076289,0.0076349,0.0076227,0.0076259,30157362,1711582319999,230133.6942458,801,13990356,1711587660000,0.0077499
1711582320000,0.0076259,0.0076260,0.0076158,0.0076173,31942068,1711582379999,243381.1263838,1016,10491968,1711587660000,0.0077499
1711582380000,0.0076174,0.0076204,0.0075959,0.0076076,186299531,1711582439999,1417432.3522962,3791,54864238,1711587660000,0.0077499
1711582440000,0.0076077,0.0076138,0.0076005,0.0076019,38265498,1711582499999,291137.6890602,963,10622148,1711587660000,0.0077499
1711582500000,0.0076020,0.0076080,0.0076013,0.0076074,45695486,1711582559999,347567.0071098,832,24688498,1711587660000,0.0077499
1711582560000,0.0076075,0.0076178,0.0076074,0.0076130,112329302,1711582619999,854819.3309431,1208,84948998,1711587660000,0.0077499
1711582620000,0.0076130,0.0076140,0.0076068,0.0076111,17766924,1711582679999,135194.0393833,581,9537132,1711587660000,0.0077499
1711582680000,0.0076111,0.0076137,0.0075867,0.0075918,54464941,1711582739999,413778.7126531,1549,16562559,1711587660000,0.0077499
1711582740000,0.0075920,0.0076016,0.0075850,0.0075905,39441906,1711582799999,299572.7482864,1393,18435988,1711587660000,0.0077499
1711582800000,0.0075898,0.0076091,0.0075870,0.0076075,47318919,1711582859999,359463.7257865,1240,28173065,1711587660000,0.0077499
1711582860000,0.0076076,0.0076113,0.0075960,0.0075972,40384296,1711582919999,307099.1707475,1031,15580394,1711587660000,0.0077499
1711582920000,0.0075973,0.0076004,0.0075900,0.0075920,34904279,1711582979999,265110.5060063,886,16806026,1711587660000,0.0077499
1711582980000,0.0075921,0.0075983,0.0075832,0.0075964,50034157,1711583039999,379802.9616768,1374,20333765,1711587660000,0.0077499
1711583040000,0.0075965,0.0076010,0.0075959,0.0075997,27819643,1711583099999,211408.4356598,676,14981751,1711587660000,0.0077499
1711583100000,0.0075997,0.0076106,0.0075937,0.0076091,23744671,1711583159999,180566.0628401,766,13544621,1711587660000,0.0077499
1711583160000,0.0076092,0.0076161,0.0076075,0.0076152,24913758,1711583219999,189631.7641619,742,19015536,1711587660000,0.0077499
1711583220000,0.0076156,0.0076187,0.0076135,0.0076135,16071477,1711583279999,122406.1875628,519,5813982,1711587660000,0.0077499
1711583280000,0.0076136,0.0076236,0.0076077,0.0076229,34401136,1711583339999,261965.2623770,1176,26750100,1711587660000,0.0077499
1711583340000,0.0076230,0.0076351,0.0076223,0.0076283,26664281,1711583399999,203475.6900217,1280,18166555,1711587660000,0.0077499
1711583400000,0.0076281,0.0076298,0.0076184,0.0076250,20898582,1711583459999,159329.3330923,831,10217116,1711587660000,0.0077499
1711583460000,0.0076250,0.0076417,0.0076238,0.0076416,37792823,1711583519999,288414.4140021,1116,27254491,1711587660000,0.0077499
1711583520000,0.0076417,0.0076529,0.0076415,0.0076499,25222747,1711583579999,192877.9655488,1339,13355801,1711587660000,0.0077499
1711583580000,0.0076499,0.0076499,0.0076398,0.0076461,25250529,1711583639999,193027.2649463,750,7539642,1711587660000,0.0077499
1711583640000,0.0076461,0.0076514,0.0076414,0.0076446,17812435,1711583699999,136171.9017425,920,9165518,1711587660000,0.0077499
1711583700000,0.0076448,0.0076564,0.0076448,0.0076544,26086486,1711583759999,199632.7843123,1006,14828481,1711587660000,0.0077499
1711583760000,0.0076545,0.0076570,0.0076476,0.0076534,23707197,1711583819999,181421.8069324,716,12079823,1711587660000,0.0077499
1711583820000,0.0076532,0.0076532,0.0076401,0.0076411,24514323,1711583879999,187481.7160752,854,5414057,1711587660000,0.0077499
1711583880000,0.0076408,0.0076432,0.0076292,0.0076351,22155143,1711583939999,169194.0220203,915,9822221,1711587660000,0.0077499
1711583940000,0.0076355,0.0076388,0.0076276,0.0076289,45425270,1711583999999,346667.1510146,1023,30727228,1711587660000,0.0077499
1711584000000,0.0076290,0.0076296,0.0076099,0.0076099,42105242,1711584059999,320891.8545911,1432,14517033,1711587660000,0.0077499
1711584060000,0.0076099,0.0076149,0.0076032,0.0076133,38622634,1711584119999,293865.0680006,1172,17940658,1711587660000,0.0077499
1711584120000,0.0076134,0.0076251,0.0076085,0.0076244,32951910,1711584179999,251004.1550690,1092,17436311,1711587660000,0.0077499
1711584180000,0.0076243,0.0076243,0.0076103,0.0076151,31728804,1711584239999,241620.7780807,897,15742689,1711587660000,0.0077499
1711584240000,0.0076151,0.0076273,0.0076116,0.0076273,17999289,1711584299999,137159.7270600,648,8171969,1711587660000,0.0077499
1711584300000,0.0076273,0.0076500,0.0076241,0.0076470,61995825,1711584359999,473338.3651126,1375,44783431,1711587660000,0.0077499
1711584360000,0.0076475,0.0076562,0.0076473,0.0076486,23543448,1711584419999,180138.7165934,1054,8579926,1711587660000,0.0077499
