Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711035060000,0.2614100,0.2616000,0.2608100,0.2612100,140873,1711035119999,36804.1290300,277,96819,1711040460000,0.26906
1711035120000,0.2612400,0.2613100,0.2606200,0.2608900,63701,1711035179999,16623.9904400,175,35398,1711040460000,0.26906
1711035180000,0.2608500,0.2608500,0.2591200,0.2592800,180395,1711035239999,46849.9634700,445,47923,1711040460000,0.26906
1711035240000,0.2593300,0.2597900,0.2590800,0.2596300,164251,1711035299999,42597.4070500,360,55581,1711040460000,0.26906
1711035300000,0.2596800,0.2597000,0.2585200,0.2589700,193281,1711035359999,50041.0587400,425,25965,1711040460000,0.26906
1711035360000,0.2590300,0.2591700,0.2582200,0.2585400,118801,1711035419999,30720.5562600,336,24462,1711040460000,0.26906
1711035420000,0.2585300,0.2585300,0.2571000,0.2582900,293275,1711035479999,75589.4538100,652,87826,1711040460000,0.26906
1711035480000,0.2582700,0.2586900,0.2579300,0.2584900,149237,1711035539999,38550.8011700,346,43535,1711040460000,0.26906
1711035540000,0.2584800,0.2595400,0.2581100,0.2590500,179580,1711035599999,46516.0405400,358,73015,1711040460000,0.26906
1711035600000,0.2591000,0.2600100,0.2591000,0.2595400,101769,1711035659999,26431.3173100,224,44905,1711040460000,0.26906
1711035660000,0.2596000,0.2602800,0.2594000,0.2600500,123664,1711035719999,32143.6133500,284,54848,1711040460000,0.26906
1711035720000,0.2600300,0.2602700,0.2600000,0.2600800,71356,1711035779999,18565.5247700,133,37650,1711040460000,0.26906
1711035780000,0.2601300,0.2602100,0.2596000,0.2596900,74286,1711035839999,19308.5665900,169,46142,1711040460000,0.26906
1711035840000,0.2596800,0.2605200,0.2596700,0.2604100,65934,1711035899999,17155.7621300,157,50077,1711040460000,0.26906
1711035900000,0.2604200,0.2605200,0.2594300,0.2596100,69995,1711035959999,18195.9364900,174,26348,1711040460000,0.26906
1711035960000,0.2596000,0.2596800,0.2587700,0.2591600,81907,1711036019999,21226.2242300,267,52320,1711040460000,0.26906
1711036020000,0.2592100,0.2597100,0.2590000,0.2591000,68153,1711036079999,17677.3106800,240,24203,1711040460000,0.26906
1711036080000,0.2590300,0.2592100,0.2584000,0.2585600,178602,1711036139999,46238.7010500,361,67768,1711040460000,0.26906
1711036140000,0.2585100,0.2589300,0.2583600,0.2586300,124359,1711036199999,32164.4394600,254,79473,1711040460000,0.26906
1711036200000,0.2586100,0.2592600,0.2584900,0.2591600,70846,1711036259999,18338.1024100,183,45397,1711040460000,0.26906
1711036260000,0.2591500,0.2599100,0.2589900,0.2597700,99380,1711036319999,25789.2317500,192,53032,1711040460000,0.26906
1711036320000,0.2597300,0.2604500,0.2597100,0.2604400,154359,1711036379999,40159.1294100,289,90497,1711040460000,0.26906
1711036380000,0.2603800,0.2610000,0.2603300,0.2607200,150689,1711036439999,39284.1095000,329,87688,1711040460000,0.26906
1711036440000,0.2605600,0.2613600,0.2605100,0.2613600,148682,1711036499999,38820.3581100,347,91346,1711040460000,0.26906
1711036500000,0.2613400,0.2617400,0.2612000,0.2617400,190055,1711036559999,49686.4001100,310,108385,1711040460000,0.26906
1711036560000,0.2617100,0.2628100,0.2612500,0.2628000,162759,1711036619999,42645.9011600,414,120401,1711040460000,0.26906
1711036620000,0.2627900,0.2646400,0.2622800,0.2646100,402786,1711036679999,106157.5360100,751,271104,1711040460000,0.26906
1711036680000,0.2645600,0.2692800,0.2644400,0.2689200,1158827,1711036739999,308865.8922200,2123,815417,1711040460000,0.26906
1711036740000,0.2689200,0.2790800,0.2688400,0.2757700,3386164,1711036799999,929914.6688000,5630,1971638,1711040460000,0.26906
1711036800000,0.2757800,0.2758100,0.2702100,0.2722400,1770779,1711036859999,483114.8045900,3253,737091,1711040460000,0.26906
1711036860000,0.2722500,0.2726200,0.2679000,0.2692400,1402983,1711036919999,378254.7929000,2876,767109,1711040460000,0.26906
1711036920000,0.2692300,0.2703000,0.2678300,0.2692400,1144996,1711036979999,308437.2671300,1828,651552,1711040460000,0.26906
1711036980000,0.2691600,0.2697800,0.2675100,0.2692900,840710,1711037039999,225602.8330500,1373,449319,1711040460000,0.26906
1711037040000,0.2693000,0.2711400,0.2692800,0.2705300,595444,1711037099999,160799.0219800,1209,383388,1711040460000,0.26906
1711037100000,0.2705300,0.2706200,0.2684900,0.2693100,616014,1711037159999,166328.9158300,1150,316255,1711040460000,0.26906
1711037160000,0.2692300,0.2692300,0.2674200,0.2681000,529114,1711037219999,141985.4822000,858,204376,1711040460000,0.26906
1711037220000,0.2680200,0.2682600,0.2660000,0.2664900,507707,1711037279999,135719.8306000,960,191144,1711040460000,0.26906
1711037280000,0.2664500,0.2670300,0.2656000,0.2658600,590708,1711037339999,157322.2327100,1000,332365,1711040460000,0.26906
1711037340000,0.2658000,0.2658700,0.2644300,0.2646700,675201,1711037399999,179011.2815500,1178,310269,1711040460000,0.26906
1711037400000,0.2646900,0.2668800,0.2641100,0.2668800,702586,1711037459999,186302.6863700,1403,420838,1711040460000,0.26906
1711037460000,0.2668800,0.2673000,0.2657100,0.2657500,574554,1711037519999,153120.0560800,963,271877,1711040460000,0.26906
1711037520000,0.2657600,0.2665900,0.2642800,0.2643100,390707,1711037579999,103616.2038600,630,130230,1711040460000,0.26906
1711037580000,0.2642500,0.2656600,0.2638100,0.2649600,387008,1711037639999,102515.6585800,766,202108,1711040460000,0.26906
1711037640000,0.2650900,0.2659200,0.2649700,0.2659200,241652,1711037699999,64143.1558900,433,119431,1711040460000,0.26906
1711037700000,0.2659100,0.2661700,0.2651600,0.2654900,255888,1711037759999,68006.7887800,488,143504,1711040460000,0.26906
1711037760000,0.2655400,0.2658700,0.2643900,0.2649600,224997,1711037819999,59649.5272500,941,113068,1711040460000,0.26906
1711037820000,0.2649100,0.2655900,0.2641400,0.2644600,293854,1711037879999,77817.9362100,674,161060,1711040460000,0.26906
1711037880000,0.2644100,0.2652800,0.2642700,0.2651700,207306,1711037939999,54907.5690000,533,100368,1711040460000,0.26906
1711037940000,0.2652000,0.2655000,0.2645600,0.2648600,182321,1711037999999,48320.4674700,551,80349,1711040460000,0.26906
1711038000000,0.2647700,0.2654400,0.2643500,0.2654300,179168,1711038059999,47491.9489700,642,136984,1711040460000,0.26906
1711038060000,0.2653600,0.2654800,0.2648100,0.2650700,116968,1711038119999,31016.6479400,370,82795,1711040460000,0.26906
1711038120000,0.2650800,0.2661200,0.2647100,0.2660100,171940,1711038179999,45660.2248500,512,113323,1711040460000,0.26906
1711038180000,0.2659800,0.2671900,0.2659200,0.2667900,319138,1711038239999,85098.1915300,830,137709,1711040460000,0.26906
1711038240000,0.2667200,0.2670000,0.2665100,0.2669600,237512,1711038299999,63352.1519500,439,79971,1711040460000,0.26906
1711038300000,0.2669100,0.2687400,0.2667500,0.2685900,272714,1711038359999,72996.1340400,756,191784,1711040460000,0.26906
1711038360000,0.2685900,0.2686800,0.2680300,0.2684300,293829,1711038419999,78862.8169200,651,101214,1711040460000,0.26906
1711038420000,0.2683200,0.2690100,0.2680200,0.2682500,250547,1711038479999,67280.8548900,642,157783,1711040460000,0.26906
1711038480000,0.2681500,0.2685400,0.2675100,0.2678900,225396,1711038539999,60420.7757900,524,68141,1711040460000,0.26906
1711038540000,0.2678900,0.2680400,0.2670000,0.2676500,194039,1711038599999,51898.4597100,376,62842,1711040460000,0.26906
1711038600000,0.2676400,0.2676800,0.2668300,0.2669000,202704,1711038659999,54148.7133300,480,92101,1711040460000,0.26906
1711038660000,0.2668800,0.2668900,0.2656000,0.2662500,323944,1711038719999,86201.0940300,588,92112,1711040460000,0.26906
1711038720000,0.2661600,0.2663600,0.2654800,0.2659800,273148,1711038779999,72609.0403500,445,66994,1711040460000,0.26906
1711038780000,0.2659300,0.2662300,0.2657500,0.2658600,73442,1711038839999,19532.6813000,239,46542,1711040460000,0.26906
1711038840000,0.2658400,0.2658600,0.2650700,0.2657300,188594,1711038899999,50076.3107700,370,80049,1711040460000,0.26906
1711038900000,0.2656600,0.2658400,0.2651800,0.2654500,91086,1711038959999,24191.2407300,272,28812,1711040460000,0.26906
1711038960000,0.2653800,0.2656400,0.2650000,0.2653000,98374,1711039019999,26096.3030500,282,45473,1711040460000,0.26906
1711039020000,0.2652500,0.2652600,0.2644200,0.2645600,96245,1711039079999,25477.0802700,250,51157,1711040460000,0.26906
1711039080000,0.2645500,0.2646600,0.2637000,0.2638000,222988,1711039139999,58868.8148100,637,42016,1711040460000,0.26906
1711039140000,0.2638000,0.2648800,0.2637600,0.2642600,176550,1711039199999,46658.3927800,444,74930,1711040460000,0.26906
1711039200000,0.2643300,0.2651600,0.2642600,0.2644700,125630,1711039259999,33266.9078000,240,85543,1711040460000,0.26906
1711039260000,0.2644300,0.2652700,0.2643100,0.2648800,64985,1711039319999,17216.4781700,212,34418,1711040460000,0.26906
1711039320000,0.2648300,0.2649400,0.2644300,0.2646000,50935,1711039379999,13480.6749800,146,35145,1711040460000,0.26906
1711039380000,0.2645400,0.2648700,0.2644200,0.2644200,42735,1711039439999,11307.6216000,105,15967,1711040460000,0.26906
1711039440000,0.2644900,0.2645400,0.2643000,0.2644400,48974,1711039499999,12950.5437600,181,32703,1711040460000,0.26906
1711039500000,0.2644300,0.2644300,0.2636000,0.2639100,503721,1711039559999,132960.6830800,450,113426,1711040460000,0.26906
1711039560000,0.2639000,0.2645400,0.2638400,0.2642700,106382,1711039619999,28090.8768700,155,94421,1711040460000,0.26906
1711039620000,0.2643000,0.2649400,0.2641600,0.2644200,99323,1711039679999,26284.6662100,176,75095,1711040460000,0.26906
