Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710723660000,0.0004901,0.0004911,0.0004893,0.0004896,323796817,1710723719999,158680.3874747,1007,129454007,1710729060000,0.0005086
1710723720000,0.0004895,0.0004896,0.0004877,0.0004878,517995226,1710723779999,253046.5144441,1028,229823939,1710729060000,0.0005086
1710723780000,0.0004879,0.0004884,0.0004866,0.0004875,569390820,1710723839999,277514.7355141,1182,251811515,1710729060000,0.0005086
1710723840000,0.0004875,0.0004881,0.0004856,0.0004858,581724132,1710723899999,283041.5058146,1919,274160963,1710729060000,0.0005086
1710723900000,0.0004859,0.0004875,0.0004855,0.0004861,400350673,1710723959999,194838.6595316,1125,158840267,1710729060000,0.0005086
1710723960000,0.0004860,0.0004875,0.0004851,0.0004851,330186388,1710724019999,160512.5360870,939,165854864,1710729060000,0.0005086
1710724020000,0.0004851,0.0004869,0.0004840,0.0004861,531259306,1710724079999,257816.6836184,1316,221733322,1710729060000,0.0005086
1710724080000,0.0004861,0.0004873,0.0004852,0.0004870,268996335,1710724139999,130833.7880909,686,118732789,1710729060000,0.0005086
1710724140000,0.0004869,0.0004883,0.0004869,0.0004881,206756406,1710724199999,100826.3943322,489,118058753,1710729060000,0.0005086
1710724200000,0.0004880,0.0004901,0.0004875,0.0004899,464835390,1710724259999,227281.0952074,682,343080842,1710729060000,0.0005086
1710724260000,0.0004898,0.0004922,0.0004897,0.0004922,333739780,1710724319999,164011.0688822,793,202711047,1710729060000,0.0005086
1710724320000,0.0004922,0.0004942,0.0004922,0.0004940,418257214,1710724379999,206316.2426008,829,261210343,1710729060000,0.0005086
1710724380000,0.0004940,0.0004952,0.0004938,0.0004947,244010536,1710724439999,120729.1962451,618,145363087,1710729060000,0.0005086
1710724440000,0.0004947,0.0004948,0.0004942,0.0004946,189957827,1710724499999,93930.6206326,406,93877962,1710729060000,0.0005086
1710724500000,0.0004946,0.0004965,0.0004944,0.0004963,377902644,1710724559999,187315.7915127,863,268700895,1710729060000,0.0005086
1710724560000,0.0004962,0.0004978,0.0004959,0.0004965,523720505,1710724619999,260188.9303795,1259,314459713,1710729060000,0.0005086
1710724620000,0.0004963,0.0004975,0.0004962,0.0004973,214887700,1710724679999,106781.0414318,553,144457666,1710729060000,0.0005086
1710724680000,0.0004972,0.0004975,0.0004957,0.0004960,174743764,1710724739999,86782.4951896,522,55418890,1710729060000,0.0005086
1710724740000,0.0004960,0.0004963,0.0004940,0.0004941,233755665,1710724799999,115737.9776142,648,105855026,1710729060000,0.0005086
1710724800000,0.0004941,0.0004953,0.0004938,0.0004950,212228539,1710724859999,104933.0162311,655,154732074,1710729060000,0.0005086
1710724860000,0.0004951,0.0004968,0.0004950,0.0004968,180084287,1710724919999,89341.6764692,529,93458035,1710729060000,0.0005086
1710724920000,0.0004968,0.0004970,0.0004955,0.0004968,520222149,1710724979999,258194.0582825,983,317988494,1710729060000,0.0005086
1710724980000,0.0004967,0.0004967,0.0004956,0.0004965,107963603,1710725039999,53555.7121554,363,49113830,1710729060000,0.0005086
1710725040000,0.0004965,0.0004967,0.0004960,0.0004961,105614604,1710725099999,52419.3182268,293,57424581,1710729060000,0.0005086
1710725100000,0.0004961,0.0004964,0.0004957,0.0004959,125404612,1710725159999,62209.1162654,351,63307440,1710729060000,0.0005086
1710725160000,0.0004957,0.0004959,0.0004937,0.0004948,223610094,1710725219999,110573.8428419,669,59656709,1710729060000,0.0005086
1710725220000,0.0004948,0.0004961,0.0004946,0.0004948,106184928,1710725279999,52601.7676319,342,46253309,1710729060000,0.0005086
1710725280000,0.0004947,0.0004947,0.0004932,0.0004934,188274566,1710725339999,93018.4502501,486,89570512,1710729060000,0.0005086
1710725340000,0.0004933,0.0004941,0.0004930,0.0004939,147004847,1710725399999,72526.3061783,435,88962993,1710729060000,0.0005086
1710725400000,0.0004938,0.0004954,0.0004927,0.0004950,205915613,1710725459999,101692.9533478,634,87262640,1710729060000,0.0005086
1710725460000,0.0004949,0.0004957,0.0004938,0.0004955,282590988,1710725519999,139843.9752100,702,157488745,1710729060000,0.0005086
1710725520000,0.0004956,0.0004980,0.0004954,0.0004978,277306252,1710725579999,137848.4792354,716,187220587,1710729060000,0.0005086
1710725580000,0.0004979,0.0004979,0.0004965,0.0004970,232179985,1710725639999,115442.4838495,631,114558344,1710729060000,0.0005086
1710725640000,0.0004969,0.0004972,0.0004963,0.0004972,118178948,1710725699999,58710.7045319,358,82445014,1710729060000,0.0005086
1710725700000,0.0004973,0.0004977,0.0004967,0.0004967,98527346,1710725759999,49003.6404230,345,54621595,1710729060000,0.0005086
1710725760000,0.0004966,0.0004972,0.0004955,0.0004957,249118864,1710725819999,123624.2386183,598,102323525,1710729060000,0.0005086
1710725820000,0.0004957,0.0004961,0.0004954,0.0004961,115876034,1710725879999,57449.6801579,336,72541329,1710729060000,0.0005086
1710725880000,0.0004961,0.0004961,0.0004951,0.0004952,119524361,1710725939999,59233.3270863,317,58593527,1710729060000,0.0005086
1710725940000,0.0004952,0.0004952,0.0004940,0.0004942,220429129,1710725999999,109005.9761177,715,118575940,1710729060000,0.0005086
1710726000000,0.0004942,0.0004959,0.0004941,0.0004959,144984189,1710726059999,71746.7166039,516,102124653,1710729060000,0.0005086
1710726060000,0.0004960,0.0004961,0.0004942,0.0004942,142888275,1710726119999,70719.7236105,507,52640044,1710729060000,0.0005086
1710726120000,0.0004942,0.0004942,0.0004924,0.0004931,156083591,1710726179999,76979.5236451,630,78869822,1710729060000,0.0005086
1710726180000,0.0004932,0.0004934,0.0004926,0.0004926,78141374,1710726239999,38516.1579674,204,29763642,1710729060000,0.0005086
1710726240000,0.0004926,0.0004940,0.0004922,0.0004939,146439831,1710726299999,72222.1911176,372,95807650,1710729060000,0.0005086
1710726300000,0.0004939,0.0004957,0.0004937,0.0004942,363852184,1710726359999,180115.4904875,591,127846006,1710729060000,0.0005086
1710726360000,0.0004941,0.0004956,0.0004940,0.0004953,105399787,1710726419999,52168.5361806,280,51908887,1710729060000,0.0005086
1710726420000,0.0004953,0.0004972,0.0004952,0.0004970,138667002,1710726479999,68857.3015758,377,80723949,1710729060000,0.0005086
1710726480000,0.0004970,0.0004983,0.0004969,0.0004980,206081120,1710726539999,102545.5560831,456,118449996,1710729060000,0.0005086
1710726540000,0.0004980,0.0004982,0.0004975,0.0004975,153191730,1710726599999,76272.2542820,385,69453065,1710729060000,0.0005086
1710726600000,0.0004977,0.0004981,0.0004973,0.0004977,136839658,1710726659999,68104.1827155,326,43682335,1710729060000,0.0005086
1710726660000,0.0004978,0.0004985,0.0004976,0.0004985,88589432,1710726719999,44131.9462828,255,53084859,1710729060000,0.0005086
1710726720000,0.0004985,0.0004995,0.0004985,0.0004993,133571540,1710726779999,66643.8954478,427,67090918,1710729060000,0.0005086
1710726780000,0.0004993,0.0004995,0.0004989,0.0004991,171471631,1710726839999,85596.9514814,381,82780481,1710729060000,0.0005086
1710726840000,0.0004990,0.0005002,0.0004988,0.0005001,248492392,1710726899999,124129.1450907,581,185557060,1710729060000,0.0005086
1710726900000,0.0005000,0.0005000,0.0004987,0.0004989,158076934,1710726959999,78940.8538982,430,44966998,1710729060000,0.0005086
1710726960000,0.0004988,0.0004988,0.0004975,0.0004980,156632049,1710727019999,78020.6147485,417,32558811,1710729060000,0.0005086
1710727020000,0.0004980,0.0004986,0.0004978,0.0004980,81793422,1710727079999,40738.3595004,235,30657685,1710729060000,0.0005086
1710727080000,0.0004979,0.0004981,0.0004971,0.0004976,123754912,1710727139999,61576.9418415,303,70339196,1710729060000,0.0005086
1710727140000,0.0004974,0.0004975,0.0004970,0.0004972,79315821,1710727199999,39434.5854877,221,38061025,1710729060000,0.0005086
1710727200000,0.0004973,0.0004978,0.0004968,0.0004970,132541149,1710727259999,65913.1081501,439,48876976,1710729060000,0.0005086
1710727260000,0.0004970,0.0004972,0.0004959,0.0004960,158805414,1710727319999,78846.9253223,413,39012648,1710729060000,0.0005086
1710727320000,0.0004961,0.0004971,0.0004954,0.0004968,168463323,1710727379999,83642.9906418,463,107025090,1710729060000,0.0005086
1710727380000,0.0004968,0.0004971,0.0004959,0.0004964,92250327,1710727439999,45814.4523808,265,58165860,1710729060000,0.0005086
1710727440000,0.0004964,0.0004971,0.0004959,0.0004970,85385154,1710727499999,42407.5176417,216,49790166,1710729060000,0.0005086
1710727500000,0.0004969,0.0004971,0.0004959,0.0004971,125989815,1710727559999,62548.3677211,255,38223394,1710729060000,0.0005086
1710727560000,0.0004972,0.0004973,0.0004968,0.0004971,74649134,1710727619999,37104.1154479,213,52615839,1710729060000,0.0005086
1710727620000,0.0004973,0.0004985,0.0004973,0.0004985,88615119,1710727679999,44131.3474207,260,50389152,1710729060000,0.0005086
1710727680000,0.0004985,0.0004997,0.0004977,0.0004994,200823632,1710727739999,100191.4149648,392,158562297,1710729060000,0.0005086
1710727740000,0.0004994,0.0004999,0.0004984,0.0004998,77811001,1710727799999,38840.7254246,193,31121286,1710729060000,0.0005086
1710727800000,0.0004998,0.0005005,0.0004997,0.0005000,116510566,1710727859999,58268.5150582,337,64306270,1710729060000,0.0005086
1710727860000,0.0004999,0.0005000,0.0004993,0.0004999,113032021,1710727919999,56476.8016763,322,61395717,1710729060000,0.0005086
1710727920000,0.0004999,0.0005013,0.0004999,0.0005012,232312332,1710727979999,116292.2514274,539,173123662,1710729060000,0.0005086
1710727980000,0.0005012,0.0005022,0.0005010,0.0005020,209566952,1710728039999,105104.2212002,456,144771286,1710729060000,0.0005086
1710728040000,0.0005020,0.0005023,0.0005017,0.0005021,101832430,1710728099999,51112.3816883,525,39648514,1710729060000,0.0005086
1710728100000,0.0005021,0.0005022,0.0005002,0.0005005,681167105,1710728159999,341596.9578201,853,290667737,1710729060000,0.0005086
1710728160000,0.0005005,0.0005011,0.0005004,0.0005009,110711466,1710728219999,55439.4847156,308,71984195,1710729060000,0.0005086
1710728220000,0.0005010,0.0005010,0.0005001,0.0005001,144803415,1710728279999,72465.7791030,348,65962381,1710729060000,0.0005086
