Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711488900000,0.030765,0.030805,0.030765,0.030781,10896797,1711488959999,335523.150420,816,7112083,1711494300000,0.031
1711488960000,0.030780,0.030780,0.030709,0.030714,12473612,1711489019999,383327.665942,906,3738753,1711494300000,0.031
1711489020000,0.030714,0.030763,0.030706,0.030752,13500109,1711489079999,414890.110363,876,10059695,1711494300000,0.031
1711489080000,0.030750,0.030751,0.030681,0.030695,6089730,1711489139999,187019.008994,587,2205736,1711494300000,0.031
1711489140000,0.030695,0.030698,0.030680,0.030691,10050540,1711489199999,308466.890638,594,6504810,1711494300000,0.031
1711489200000,0.030690,0.030690,0.030669,0.030669,9616920,1711489259999,295044.596860,567,2857422,1711494300000,0.031
1711489260000,0.030670,0.030670,0.030562,0.030627,25603937,1711489319999,783890.366864,1799,10280529,1711494300000,0.031
1711489320000,0.030626,0.030670,0.030626,0.030670,4968311,1711489379999,152286.253219,436,4124380,1711494300000,0.031
1711489380000,0.030670,0.030693,0.030669,0.030672,9266459,1711489439999,284289.504227,440,5706827,1711494300000,0.031
1711489440000,0.030673,0.030679,0.030611,0.030611,4342596,1711489499999,133099.969678,426,1195889,1711494300000,0.031
1711489500000,0.030612,0.030679,0.030612,0.030670,9710549,1711489559999,297652.173880,581,8015769,1711494300000,0.031
1711489560000,0.030670,0.030670,0.030668,0.030668,8842543,1711489619999,271185.282783,193,769602,1711494300000,0.031
1711489620000,0.030668,0.030669,0.030668,0.030668,4340622,1711489679999,133120.603994,217,2408498,1711494300000,0.031
1711489680000,0.030669,0.030680,0.030668,0.030680,4352599,1711489739999,133503.704926,312,3326924,1711494300000,0.031
1711489740000,0.030680,0.030691,0.030679,0.030690,2767362,1711489799999,84913.160382,220,1952671,1711494300000,0.031
1711489800000,0.030690,0.030697,0.030685,0.030697,3388642,1711489859999,104001.744874,326,1876532,1711494300000,0.031
1711489860000,0.030697,0.030703,0.030690,0.030700,4235566,1711489919999,130027.686271,399,1534929,1711494300000,0.031
1711489920000,0.030700,0.030701,0.030668,0.030669,8036985,1711489979999,246604.125581,504,1675754,1711494300000,0.031
1711489980000,0.030669,0.030672,0.030625,0.030635,4828856,1711490039999,148004.187347,434,2335288,1711494300000,0.031
1711490040000,0.030635,0.030636,0.030515,0.030544,35181983,1711490099999,1074786.154804,2105,11327131,1711494300000,0.031
1711490100000,0.030544,0.030576,0.030543,0.030558,13161420,1711490159999,402246.065133,763,7436169,1711494300000,0.031
1711490160000,0.030558,0.030560,0.030539,0.030550,8323290,1711490219999,254290.656296,505,1492410,1711494300000,0.031
1711490220000,0.030550,0.030553,0.030530,0.030548,10112674,1711490279999,308889.911212,556,3877776,1711494300000,0.031
1711490280000,0.030547,0.030608,0.030547,0.030598,11212259,1711490339999,342859.505627,736,6626716,1711494300000,0.031
1711490340000,0.030597,0.030598,0.030554,0.030569,5398012,1711490399999,165047.465463,485,1501566,1711494300000,0.031
1711490400000,0.030568,0.030588,0.030524,0.030581,11261537,1711490459999,344140.390108,948,3630731,1711494300000,0.031
1711490460000,0.030582,0.030659,0.030582,0.030645,10373536,1711490519999,317751.972422,836,4939941,1711494300000,0.031
1711490520000,0.030644,0.030657,0.030595,0.030641,6064585,1711490579999,185767.499978,597,3707196,1711494300000,0.031
1711490580000,0.030641,0.030641,0.030607,0.030611,3418272,1711490639999,104662.793839,401,1638445,1711494300000,0.031
