Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710797640000,0.05145,0.05146,0.05133,0.05139,572971,1710797699999,29452.18219,194,296398,1710803040000,0.05127
1710797700000,0.05142,0.05156,0.05142,0.05156,307623,1710797759999,15838.61778,130,172599,1710803040000,0.05127
1710797760000,0.05157,0.05159,0.05153,0.05153,73341,1710797819999,3780.62479,46,23428,1710803040000,0.05127
1710797820000,0.05153,0.05153,0.05144,0.05150,188646,1710797879999,9709.79807,84,85347,1710803040000,0.05127
1710797880000,0.05151,0.05156,0.05150,0.05150,132031,1710797939999,6806.31805,52,75281,1710803040000,0.05127
1710797940000,0.05149,0.05149,0.05134,0.05136,204535,1710797999999,10511.69494,98,51189,1710803040000,0.05127
1710798000000,0.05136,0.05143,0.05135,0.05136,134053,1710798059999,6889.34137,95,79047,1710803040000,0.05127
1710798060000,0.05135,0.05137,0.05135,0.05136,49126,1710798119999,2523.23083,32,12990,1710803040000,0.05127
1710798120000,0.05137,0.05137,0.05132,0.05133,75284,1710798179999,3864.97415,41,56527,1710803040000,0.05127
1710798180000,0.05133,0.05133,0.05130,0.05130,26959,1710798239999,1383.39787,19,19850,1710803040000,0.05127
1710798240000,0.05129,0.05129,0.05126,0.05126,19334,1710798299999,991.34190,19,389,1710803040000,0.05127
1710798300000,0.05125,0.05125,0.05118,0.05119,30473,1710798359999,1560.33968,34,4698,1710803040000,0.05127
1710798360000,0.05120,0.05121,0.05118,0.05118,12019,1710798419999,615.24197,25,5532,1710803040000,0.05127
1710798420000,0.05116,0.05117,0.05115,0.05117,39679,1710798479999,2030.00352,11,37069,1710803040000,0.05127
1710798480000,0.05117,0.05119,0.05116,0.05118,55982,1710798539999,2864.77198,43,40854,1710803040000,0.05127
1710798540000,0.05119,0.05119,0.05119,0.05119,6473,1710798599999,331.35287,8,6473,1710803040000,0.05127
1710798600000,0.05119,0.05125,0.05119,0.05125,25397,1710798659999,1300.38591,21,20896,1710803040000,0.05127
1710798660000,0.05124,0.05126,0.05124,0.05126,16669,1710798719999,854.27571,12,15349,1710803040000,0.05127
