Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710949500000,0.5125,0.5131,0.5122,0.5123,23851,1710949559999,12226.2733,181,15190,1710954900000,0.5179
1710949560000,0.5125,0.5128,0.5115,0.5124,43316,1710949619999,22180.5410,270,15417,1710954900000,0.5179
1710949620000,0.5126,0.5140,0.5126,0.5140,21621,1710949679999,11102.8655,157,18398,1710954900000,0.5179
1710949680000,0.5141,0.5145,0.5135,0.5143,21655,1710949739999,11129.6226,158,5606,1710954900000,0.5179
1710949740000,0.5142,0.5144,0.5139,0.5141,24933,1710949799999,12821.3888,119,8345,1710954900000,0.5179
1710949800000,0.5141,0.5152,0.5138,0.5149,22189,1710949859999,11419.7423,142,10631,1710954900000,0.5179
1710949860000,0.5150,0.5157,0.5149,0.5151,17950,1710949919999,9249.8827,105,10197,1710954900000,0.5179
1710949920000,0.5151,0.5155,0.5143,0.5155,11672,1710949979999,6012.0696,119,8397,1710954900000,0.5179
1710949980000,0.5158,0.5158,0.5142,0.5142,35083,1710950039999,18057.8155,151,5233,1710954900000,0.5179
1710950040000,0.5143,0.5151,0.5131,0.5131,46664,1710950099999,24009.8903,206,24087,1710954900000,0.5179
1710950100000,0.5131,0.5142,0.5128,0.5142,36969,1710950159999,18978.1074,177,23832,1710954900000,0.5179
1710950160000,0.5141,0.5143,0.5130,0.5138,17086,1710950219999,8779.7328,137,10874,1710954900000,0.5179
1710950220000,0.5138,0.5151,0.5137,0.5147,33583,1710950279999,17285.9410,148,23259,1710954900000,0.5179
1710950280000,0.5146,0.5154,0.5143,0.5152,12490,1710950339999,6429.4065,77,6499,1710954900000,0.5179
1710950340000,0.5151,0.5153,0.5141,0.5142,4880,1710950399999,2512.1667,69,2064,1710954900000,0.5179
1710950400000,0.5142,0.5142,0.5129,0.5130,47365,1710950459999,24316.5099,166,24041,1710954900000,0.5179
1710950460000,0.5129,0.5129,0.5111,0.5123,92087,1710950519999,47140.1746,480,48997,1710954900000,0.5179
1710950520000,0.5127,0.5145,0.5127,0.5145,49164,1710950579999,25264.8501,278,28172,1710954900000,0.5179
1710950580000,0.5146,0.5155,0.5144,0.5149,18863,1710950639999,9712.7262,147,10329,1710954900000,0.5179
1710950640000,0.5149,0.5162,0.5146,0.5160,64818,1710950699999,33430.3541,219,15164,1710954900000,0.5179
1710950700000,0.5161,0.5173,0.5161,0.5161,66735,1710950759999,34475.5451,223,39999,1710954900000,0.5179
1710950760000,0.5161,0.5163,0.5147,0.5147,28957,1710950819999,14929.6721,143,4203,1710954900000,0.5179
1710950820000,0.5146,0.5157,0.5146,0.5157,25519,1710950879999,13143.2750,120,8237,1710954900000,0.5179
1710950880000,0.5158,0.5165,0.5157,0.5163,20073,1710950939999,10361.5861,81,6133,1710954900000,0.5179
1710950940000,0.5163,0.5163,0.5159,0.5162,19666,1710950999999,10151.1395,80,7075,1710954900000,0.5179
1710951000000,0.5163,0.5163,0.5151,0.5159,35948,1710951059999,18534.9901,163,17149,1710954900000,0.5179
1710951060000,0.5159,0.5164,0.5150,0.5155,79860,1710951119999,41166.4018,226,23093,1710954900000,0.5179
1710951120000,0.5153,0.5154,0.5148,0.5150,23047,1710951179999,11870.4362,115,9729,1710954900000,0.5179
1710951180000,0.5151,0.5152,0.5140,0.5143,33380,1710951239999,17168.4989,128,3340,1710954900000,0.5179
1710951240000,0.5142,0.5152,0.5142,0.5151,12804,1710951299999,6589.8878,92,9511,1710954900000,0.5179
1710951300000,0.5150,0.5159,0.5146,0.5153,36947,1710951359999,19039.2975,163,12614,1710954900000,0.5179
1710951360000,0.5151,0.5151,0.5130,0.5130,45994,1710951419999,23636.5207,195,28381,1710954900000,0.5179
1710951420000,0.5130,0.5134,0.5125,0.5129,51013,1710951479999,26172.0810,179,36503,1710954900000,0.5179
1710951480000,0.5128,0.5128,0.5119,0.5119,19058,1710951539999,9763.1385,117,2579,1710954900000,0.5179
1710951540000,0.5118,0.5125,0.5116,0.5124,30218,1710951599999,15473.7836,140,16485,1710954900000,0.5179
1710951600000,0.5125,0.5128,0.5122,0.5125,35730,1710951659999,18314.4106,162,21898,1710954900000,0.5179
1710951660000,0.5124,0.5125,0.5113,0.5113,45401,1710951719999,23228.2911,150,25899,1710954900000,0.5179
1710951720000,0.5113,0.5129,0.5113,0.5129,63804,1710951779999,32662.0549,192,51926,1710954900000,0.5179
1710951780000,0.5129,0.5129,0.5083,0.5085,234102,1710951839999,119477.3263,1072,86472,1710954900000,0.5179
1710951840000,0.5084,0.5094,0.5070,0.5086,181658,1710951899999,92268.1907,673,81929,1710954900000,0.5179
1710951900000,0.5086,0.5090,0.5062,0.5063,111508,1710951959999,56555.1482,563,64487,1710954900000,0.5179
1710951960000,0.5064,0.5069,0.5047,0.5053,209235,1710952019999,105775.7569,593,83504,1710954900000,0.5179
1710952020000,0.5054,0.5054,0.5021,0.5029,152947,1710952079999,77075.7714,647,54261,1710954900000,0.5179
1710952080000,0.5030,0.5031,0.4992,0.4996,275124,1710952139999,137750.5419,913,87915,1710954900000,0.5179
1710952140000,0.4996,0.5031,0.4988,0.5011,269453,1710952199999,134909.3389,943,125760,1710954900000,0.5179
1710952200000,0.5011,0.5021,0.4973,0.4978,316472,1710952259999,158079.4237,1219,152237,1710954900000,0.5179
1710952260000,0.4978,0.4994,0.4961,0.4968,363316,1710952319999,180788.9352,1224,179495,1710954900000,0.5179
1710952320000,0.4967,0.4982,0.4954,0.4959,251987,1710952379999,125090.9010,893,119608,1710954900000,0.5179
1710952380000,0.4960,0.4976,0.4939,0.4975,172113,1710952439999,85339.8763,844,73125,1710954900000,0.5179
1710952440000,0.4976,0.5021,0.4975,0.5007,288302,1710952499999,144209.3057,825,192769,1710954900000,0.5179
1710952500000,0.5005,0.5018,0.4987,0.4994,126941,1710952559999,63548.9592,601,77923,1710954900000,0.5179
1710952560000,0.4995,0.5014,0.4983,0.5014,139321,1710952619999,69692.2372,651,77006,1710954900000,0.5179
1710952620000,0.5015,0.5021,0.4994,0.5020,147876,1710952679999,74098.2493,594,93892,1710954900000,0.5179
1710952680000,0.5020,0.5032,0.5007,0.5017,96323,1710952739999,48370.9090,542,55543,1710954900000,0.5179
1710952740000,0.5018,0.5034,0.5018,0.5027,58178,1710952799999,29253.2633,334,31829,1710954900000,0.5179
1710952800000,0.5029,0.5053,0.5029,0.5051,45166,1710952859999,22765.7945,294,29491,1710954900000,0.5179
1710952860000,0.5051,0.5057,0.5036,0.5037,97074,1710952919999,48990.7936,433,35052,1710954900000,0.5179
1710952920000,0.5038,0.5064,0.5038,0.5063,31372,1710952979999,15860.5210,213,13804,1710954900000,0.5179
1710952980000,0.5064,0.5068,0.5058,0.5058,56472,1710953039999,28599.8542,277,40562,1710954900000,0.5179
1710953040000,0.5059,0.5068,0.5052,0.5052,31036,1710953099999,15710.9713,164,19825,1710954900000,0.5179
1710953100000,0.5050,0.5058,0.5044,0.5054,51533,1710953159999,26032.0840,285,28874,1710954900000,0.5179
1710953160000,0.5055,0.5080,0.5052,0.5080,49307,1710953219999,25003.1340,247,34721,1710954900000,0.5179
1710953220000,0.5080,0.5093,0.5078,0.5090,51691,1710953279999,26290.0114,359,19366,1710954900000,0.5179
1710953280000,0.5091,0.5098,0.5078,0.5085,132077,1710953339999,67224.0679,502,62518,1710954900000,0.5179
1710953340000,0.5085,0.5085,0.5070,0.5074,75310,1710953399999,38233.0111,300,39894,1710954900000,0.5179
1710953400000,0.5075,0.5075,0.5049,0.5052,47282,1710953459999,23929.9852,269,30957,1710954900000,0.5179
1710953460000,0.5052,0.5068,0.5052,0.5064,112069,1710953519999,56722.1783,418,80888,1710954900000,0.5179
1710953520000,0.5065,0.5068,0.5054,0.5064,39778,1710953579999,20140.1916,230,23860,1710954900000,0.5179
1710953580000,0.5064,0.5077,0.5063,0.5075,22382,1710953639999,11348.2560,159,12114,1710954900000,0.5179
1710953640000,0.5075,0.5080,0.5067,0.5080,23553,1710953699999,11946.1379,159,10871,1710954900000,0.5179
1710953700000,0.5081,0.5103,0.5080,0.5100,83122,1710953759999,42371.5999,305,26823,1710954900000,0.5179
1710953760000,0.5098,0.5108,0.5093,0.5094,43783,1710953819999,22328.8297,261,19830,1710954900000,0.5179
1710953820000,0.5095,0.5096,0.5079,0.5079,22574,1710953879999,11478.6848,118,11524,1710954900000,0.5179
1710953880000,0.5078,0.5078,0.5067,0.5072,70797,1710953939999,35920.3775,174,29162,1710954900000,0.5179
1710953940000,0.5070,0.5080,0.5068,0.5079,12231,1710953999999,6203.9078,87,6260,1710954900000,0.5179
1710954000000,0.5081,0.5086,0.5073,0.5074,42654,1710954059999,21654.3848,215,16234,1710954900000,0.5179
1710954060000,0.5074,0.5076,0.5059,0.5059,56250,1710954119999,28486.2689,217,22687,1710954900000,0.5179
1710954120000,0.5058,0.5068,0.5052,0.5064,44360,1710954179999,22440.9251,201,24299,1710954900000,0.5179
1710954180000,0.5065,0.5082,0.5061,0.5073,44380,1710954239999,22505.5953,205,33310,1710954900000,0.5179
1710954240000,0.5072,0.5087,0.5071,0.5084,41267,1710954299999,20960.8423,177,26944,1710954900000,0.5179
1710954300000,0.5084,0.5094,0.5081,0.5088,49642,1710954359999,25258.6862,261,32109,1710954900000,0.5179
1710954360000,0.5088,0.5108,0.5082,0.5104,41291,1710954419999,21051.8619,185,28181,1710954900000,0.5179
1710954420000,0.5105,0.5124,0.5105,0.5117,43911,1710954479999,22469.6589,249,20093,1710954900000,0.5179
