Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710325620000,149.150,149.480,149.060,149.160,683.6,1710325679999,102064.3300,486,284.6,1710331020000,151.26
1710325680000,149.160,149.360,148.890,149.100,1897.1,1710325739999,282864.1970,758,663.9,1710331020000,151.26
1710325740000,149.080,149.260,148.940,149.050,732.7,1710325799999,109233.6150,374,251.0,1710331020000,151.26
1710325800000,149.050,149.270,149.040,149.250,731.0,1710325859999,109053.2710,404,367.4,1710331020000,151.26
1710325860000,149.250,149.340,148.900,149.130,712.5,1710325919999,106232.9580,411,332.3,1710331020000,151.26
1710325920000,149.130,149.750,149.110,149.750,521.7,1710325979999,77940.8300,340,336.3,1710331020000,151.26
1710325980000,149.730,150.050,149.610,149.830,1240.9,1710326039999,186011.7160,847,739.7,1710331020000,151.26
1710326040000,149.850,150.020,149.770,149.830,475.3,1710326099999,71236.8680,345,248.9,1710331020000,151.26
1710326100000,149.830,150.030,149.800,149.860,544.3,1710326159999,81588.3820,364,219.9,1710331020000,151.26
1710326160000,149.870,149.930,149.770,149.880,351.2,1710326219999,52624.2270,203,55.1,1710331020000,151.26
1710326220000,149.860,150.200,149.840,150.070,693.0,1710326279999,103990.9860,367,386.5,1710331020000,151.26
1710326280000,150.070,150.180,149.960,150.170,457.4,1710326339999,68636.8180,287,182.1,1710331020000,151.26
1710326340000,150.160,150.370,150.040,150.090,469.8,1710326399999,70575.8180,299,251.7,1710331020000,151.26
1710326400000,150.080,150.080,149.740,149.740,510.6,1710326459999,76553.6940,335,233.9,1710331020000,151.26
1710326460000,149.740,149.970,149.730,149.830,329.3,1710326519999,49341.0390,224,234.1,1710331020000,151.26
1710326520000,149.820,149.820,149.470,149.570,938.0,1710326579999,140320.9900,528,297.9,1710331020000,151.26
1710326580000,149.540,149.590,149.070,149.090,692.6,1710326639999,103435.0410,418,259.4,1710331020000,151.26
1710326640000,149.090,149.810,149.090,149.720,747.3,1710326699999,111665.4950,429,483.0,1710331020000,151.26
1710326700000,149.690,149.750,149.490,149.540,419.5,1710326759999,62775.8780,258,193.7,1710331020000,151.26
1710326760000,149.610,149.670,149.430,149.520,354.5,1710326819999,53015.4700,255,202.4,1710331020000,151.26
1710326820000,149.500,149.530,149.400,149.470,540.9,1710326879999,80849.8790,326,254.4,1710331020000,151.26
1710326880000,149.480,149.660,149.260,149.660,552.9,1710326939999,82618.3070,314,323.2,1710331020000,151.26
1710326940000,149.660,149.670,149.450,149.550,397.7,1710326999999,59483.6090,238,183.1,1710331020000,151.26
1710327000000,149.550,149.640,149.250,149.410,1040.4,1710327059999,155498.7130,806,320.1,1710331020000,151.26
1710327060000,149.400,149.400,149.180,149.190,315.8,1710327119999,47151.7340,184,86.7,1710331020000,151.26
1710327120000,149.190,149.190,148.950,148.960,552.9,1710327179999,82399.4590,343,219.0,1710331020000,151.26
1710327180000,148.960,149.010,148.690,148.760,1016.4,1710327239999,151284.4300,579,355.8,1710331020000,151.26
1710327240000,148.750,149.160,148.750,149.140,359.5,1710327299999,53572.8220,257,243.9,1710331020000,151.26
1710327300000,149.130,149.150,148.900,148.980,593.1,1710327359999,88413.8780,328,239.8,1710331020000,151.26
1710327360000,148.940,149.100,148.920,149.000,758.4,1710327419999,113008.1530,371,232.7,1710331020000,151.26
1710327420000,149.000,149.000,148.840,148.890,367.6,1710327479999,54730.0690,194,250.3,1710331020000,151.26
1710327480000,148.890,148.980,148.840,148.910,644.5,1710327539999,95973.5050,684,439.3,1710331020000,151.26
1710327540000,148.890,149.050,148.830,149.000,396.1,1710327599999,58987.9540,212,232.3,1710331020000,151.26
1710327600000,149.000,149.290,149.000,149.210,245.2,1710327659999,36582.1880,221,135.2,1710331020000,151.26
1710327660000,149.190,149.240,148.730,148.750,450.3,1710327719999,67100.0040,319,120.5,1710331020000,151.26
1710327720000,148.750,148.830,148.650,148.650,623.1,1710327779999,92679.2720,375,249.8,1710331020000,151.26
1710327780000,148.680,149.180,148.620,148.840,1195.1,1710327839999,177952.4140,578,791.2,1710331020000,151.26
1710327840000,148.850,148.900,148.750,148.820,484.3,1710327899999,72078.6740,259,260.3,1710331020000,151.26
1710327900000,148.830,148.880,148.410,148.710,1033.5,1710327959999,153639.0130,550,377.5,1710331020000,151.26
1710327960000,148.710,148.750,148.350,148.500,1051.6,1710328019999,156198.1440,504,418.6,1710331020000,151.26
1710328020000,148.500,148.710,148.440,148.630,659.7,1710328079999,98027.4910,367,362.2,1710331020000,151.26
1710328080000,148.640,148.850,148.280,148.290,1185.3,1710328139999,176106.6070,450,480.8,1710331020000,151.26
1710328140000,148.270,148.460,148.130,148.390,1630.5,1710328199999,241782.9690,765,968.4,1710331020000,151.26
1710328200000,148.400,148.430,147.870,147.990,1500.8,1710328259999,222276.9700,769,488.0,1710331020000,151.26
1710328260000,148.000,148.230,147.850,147.900,1268.2,1710328319999,187683.0550,609,484.4,1710331020000,151.26
1710328320000,147.910,148.640,147.910,148.500,2312.9,1710328379999,343077.3880,964,1487.0,1710331020000,151.26
1710328380000,148.490,148.490,148.110,148.230,725.2,1710328439999,107555.8910,330,275.6,1710331020000,151.26
1710328440000,148.250,148.440,148.130,148.140,599.5,1710328499999,88902.1050,281,309.6,1710331020000,151.26
1710328500000,148.130,148.340,148.110,148.250,819.2,1710328559999,121446.1900,468,405.3,1710331020000,151.26
1710328560000,148.240,148.460,148.210,148.450,536.4,1710328619999,79565.2240,345,339.0,1710331020000,151.26
1710328620000,148.440,148.670,148.170,148.670,703.9,1710328679999,104494.5490,393,453.2,1710331020000,151.26
1710328680000,148.660,148.980,148.630,148.930,965.2,1710328739999,143693.4070,539,475.8,1710331020000,151.26
1710328740000,148.930,148.970,148.440,148.520,1361.2,1710328799999,202391.7880,635,443.1,1710331020000,151.26
1710328800000,148.510,148.610,148.420,148.570,703.1,1710328859999,104435.3680,375,437.8,1710331020000,151.26
1710328860000,148.550,148.650,148.340,148.620,682.8,1710328919999,101406.8900,358,392.9,1710331020000,151.26
1710328920000,148.650,148.830,148.640,148.680,600.5,1710328979999,89289.0500,278,336.4,1710331020000,151.26
1710328980000,148.700,148.860,148.700,148.790,822.9,1710329039999,122436.6040,423,519.4,1710331020000,151.26
1710329040000,148.840,148.910,148.790,148.890,320.8,1710329099999,47755.8890,193,218.6,1710331020000,151.26
1710329100000,148.900,149.360,148.890,149.360,493.5,1710329159999,73606.2550,297,381.0,1710331020000,151.26
1710329160000,149.370,149.730,149.320,149.340,857.2,1710329219999,128178.8260,662,487.0,1710331020000,151.26
1710329220000,149.350,149.690,149.350,149.630,978.7,1710329279999,146373.0700,425,424.7,1710331020000,151.26
1710329280000,149.660,149.720,149.530,149.600,656.8,1710329339999,98273.1210,324,352.0,1710331020000,151.26
1710329340000,149.600,149.690,149.180,149.360,1211.3,1710329399999,181002.5640,530,582.0,1710331020000,151.26
1710329400000,149.460,149.570,149.210,149.420,728.0,1710329459999,108768.1190,406,381.7,1710331020000,151.26
1710329460000,149.430,149.430,149.200,149.280,560.8,1710329519999,83721.4110,333,246.9,1710331020000,151.26
1710329520000,149.280,149.640,149.280,149.640,750.4,1710329579999,112162.0140,420,577.9,1710331020000,151.26
1710329580000,149.640,149.730,149.510,149.590,728.4,1710329639999,108981.6830,364,363.2,1710331020000,151.26
1710329640000,149.580,149.760,149.530,149.750,597.0,1710329699999,89341.0380,310,409.7,1710331020000,151.26
1710329700000,149.740,150.050,149.700,149.910,1178.6,1710329759999,176634.4950,578,630.5,1710331020000,151.26
1710329760000,149.910,150.050,149.830,149.950,1020.1,1710329819999,152967.3110,505,622.8,1710331020000,151.26
1710329820000,149.950,150.100,149.860,150.030,991.1,1710329879999,148658.3290,529,494.6,1710331020000,151.26
1710329880000,150.020,150.220,149.870,150.200,1029.1,1710329939999,154390.5710,479,712.1,1710331020000,151.26
1710329940000,150.210,150.220,149.950,150.100,699.4,1710329999999,104973.5320,336,291.1,1710331020000,151.26
1710330000000,150.100,150.190,150.070,150.190,384.3,1710330059999,57690.5280,263,238.3,1710331020000,151.26
1710330060000,150.200,150.250,149.970,150.140,942.5,1710330119999,141480.9810,522,466.0,1710331020000,151.26
1710330120000,150.130,150.180,149.810,150.020,782.2,1710330179999,117342.5960,412,234.2,1710331020000,151.26
1710330180000,150.020,150.060,149.780,149.780,510.0,1710330239999,76482.3680,307,260.8,1710331020000,151.26
1710330240000,149.800,149.950,149.480,149.530,670.1,1710330299999,100342.7580,451,234.1,1710331020000,151.26
1710330300000,149.560,149.980,149.560,149.830,524.5,1710330359999,78579.3650,346,330.8,1710331020000,151.26
1710330360000,149.840,150.130,149.800,150.100,646.6,1710330419999,96983.4670,336,503.4,1710331020000,151.26
1710330420000,150.110,150.410,150.110,150.210,853.7,1710330479999,128280.4510,446,329.2,1710331020000,151.26
1710330480000,150.230,150.230,149.900,149.930,1334.5,1710330539999,200308.9570,449,273.1,1710331020000,151.26
1710330540000,149.930,150.420,149.910,150.410,1081.8,1710330599999,162346.8280,382,771.9,1710331020000,151.26
1710330600000,150.400,150.510,150.200,150.320,1949.2,1710330659999,293067.0920,900,956.8,1710331020000,151.26
1710330660000,150.320,150.520,150.050,150.520,1362.7,1710330719999,204807.2820,571,954.1,1710331020000,151.26
1710330720000,150.530,150.830,150.200,150.320,4243.7,1710330779999,638984.6790,1482,3034.3,1710331020000,151.26
