Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711555320000,10.809000,10.845300,10.792800,10.827000,4938.51,1711555379999,53461.14738600,642,2859.71,1711560720000,11.2928
1711555380000,10.831200,10.881100,10.826100,10.872000,3967.45,1711555439999,43085.75559600,494,1863.24,1711560720000,11.2928
1711555440000,10.871800,10.882000,10.854300,10.874000,3152.49,1711555499999,34264.70306800,325,878.32,1711560720000,11.2928
1711555500000,10.873700,10.908000,10.845700,10.893700,7906.80,1711555559999,86006.81197100,772,4842.89,1711560720000,11.2928
1711555560000,10.893700,10.934100,10.878800,10.928700,3980.33,1711555619999,43430.23879700,507,3071.63,1711560720000,11.2928
1711555620000,10.928700,10.941100,10.919600,10.927000,3324.89,1711555679999,36347.31771800,335,842.04,1711560720000,11.2928
1711555680000,10.924500,10.929400,10.850500,10.864300,9981.94,1711555739999,108630.74805900,662,2019.30,1711560720000,11.2928
1711555740000,10.865500,10.936000,10.862800,10.919000,7593.85,1711555799999,82780.18335500,675,5102.47,1711560720000,11.2928
1711555800000,10.920300,10.940500,10.892500,10.917900,9021.00,1711555859999,98482.96146300,844,5241.15,1711560720000,11.2928
1711555860000,10.917800,10.917800,10.827500,10.835200,7402.65,1711555919999,80413.60814700,749,1553.22,1711560720000,11.2928
1711555920000,10.835800,10.839000,10.811600,10.820000,4971.99,1711555979999,53827.32765500,714,1979.79,1711560720000,11.2928
1711555980000,10.820000,10.820000,10.753100,10.786700,14563.13,1711556039999,157010.89442000,1226,5192.55,1711560720000,11.2928
1711556040000,10.786200,10.836800,10.774500,10.800400,7145.65,1711556099999,77227.98049400,689,4044.68,1711560720000,11.2928
1711556100000,10.797800,10.825400,10.788500,10.808800,4413.71,1711556159999,47699.85916700,576,3029.00,1711560720000,11.2928
1711556160000,10.806200,10.820000,10.776000,10.819000,8164.27,1711556219999,88148.83197400,777,2852.26,1711560720000,11.2928
1711556220000,10.816300,10.837700,10.798300,10.811700,7072.11,1711556279999,76456.33756800,541,2578.49,1711560720000,11.2928
1711556280000,10.810300,10.895700,10.804800,10.895700,5441.69,1711556339999,59054.66119000,528,3876.65,1711560720000,11.2928
1711556340000,10.895800,10.979900,10.888500,10.926900,15476.68,1711556399999,169359.06041000,1214,10155.94,1711560720000,11.2928
1711556400000,10.928800,11.008200,10.927000,10.994000,10989.55,1711556459999,120733.14151200,1020,6472.66,1711560720000,11.2928
1711556460000,10.998400,11.035700,10.998400,11.006600,9789.09,1711556519999,107885.43060500,975,5321.08,1711560720000,11.2928
1711556520000,11.007600,11.061900,10.992800,11.045200,12720.99,1711556579999,140255.98544600,878,5773.59,1711560720000,11.2928
1711556580000,11.044600,11.068200,10.999900,11.004300,7652.45,1711556639999,84448.67266100,656,2795.42,1711560720000,11.2928
