Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710346320000,0.0387010,0.0387440,0.0386370,0.0386670,2267137,1710346379999,87695.7976490,548,1574028,1710351660000,0.039084
1710346380000,0.0386670,0.0386940,0.0385720,0.0386140,577545,1710346439999,22306.9569940,229,165925,1710351660000,0.039084
1710346440000,0.0386290,0.0386300,0.0385300,0.0385330,884142,1710346499999,34109.6239830,417,191852,1710351660000,0.039084
1710346500000,0.0385410,0.0386520,0.0385360,0.0386350,615627,1710346559999,23758.8682660,278,312713,1710351660000,0.039084
1710346560000,0.0386390,0.0386980,0.0385980,0.0386370,400690,1710346619999,15493.4911330,262,202039,1710351660000,0.039084
1710346620000,0.0386370,0.0386750,0.0386190,0.0386270,444632,1710346679999,17183.0885270,206,93925,1710351660000,0.039084
1710346680000,0.0386300,0.0388870,0.0385340,0.0388310,1843687,1710346739999,71392.9931250,491,1373003,1710351660000,0.039084
1710346740000,0.0388290,0.0388300,0.0387080,0.0388130,684033,1710346799999,26531.2400650,344,389513,1710351660000,0.039084
1710346800000,0.0387980,0.0388220,0.0387280,0.0388220,862103,1710346859999,33414.8121140,220,404081,1710351660000,0.039084
1710346860000,0.0388150,0.0388400,0.0387670,0.0388400,412387,1710346919999,16000.1419350,185,251494,1710351660000,0.039084
1710346920000,0.0388360,0.0388370,0.0387600,0.0388140,422873,1710346979999,16403.5153240,163,229002,1710351660000,0.039084
1710346980000,0.0388140,0.0388460,0.0388140,0.0388360,100417,1710347039999,3899.2883150,79,64322,1710351660000,0.039084
1710347040000,0.0388460,0.0390400,0.0388300,0.0389980,1429115,1710347099999,55640.3486440,403,1193547,1710351660000,0.039084
1710347100000,0.0390010,0.0390800,0.0389070,0.0389860,2311154,1710347159999,90074.3585400,678,633503,1710351660000,0.039084
1710347160000,0.0389830,0.0390680,0.0389670,0.0390580,618383,1710347219999,24133.8793560,235,468703,1710351660000,0.039084
1710347220000,0.0390630,0.0392590,0.0390420,0.0392110,2218537,1710347279999,86854.2908660,497,1836702,1710351660000,0.039084
1710347280000,0.0392170,0.0392170,0.0390990,0.0391430,763716,1710347339999,29894.9246950,277,373019,1710351660000,0.039084
1710347340000,0.0391500,0.0392520,0.0390320,0.0391630,2308230,1710347399999,90281.0379920,519,1502215,1710351660000,0.039084
