Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711716300000,0.65940,0.65950,0.65750,0.65790,1896633,1711716359999,1248619.45600,1873,845362,1711721640000,0.6626
1711716360000,0.65790,0.65970,0.65790,0.65940,706299,1711716419999,465230.46330,794,482672,1711721640000,0.6626
1711716420000,0.65940,0.65940,0.65840,0.65850,751263,1711716479999,495002.67760,597,404218,1711721640000,0.6626
1711716480000,0.65850,0.65930,0.65810,0.65930,399957,1711716539999,263432.20050,468,302563,1711721640000,0.6626
1711716540000,0.65930,0.66000,0.65920,0.65960,277179,1711716599999,182842.92900,387,170729,1711721640000,0.6626
1711716600000,0.65960,0.65980,0.65880,0.65920,549099,1711716659999,362011.61810,508,354451,1711721640000,0.6626
1711716660000,0.65930,0.65960,0.65890,0.65940,233444,1711716719999,153888.41200,310,163828,1711721640000,0.6626
1711716720000,0.65930,0.65930,0.65810,0.65820,448794,1711716779999,295495.79870,379,120696,1711721640000,0.6626
1711716780000,0.65810,0.65850,0.65770,0.65780,213830,1711716839999,140725.75080,279,134869,1711721640000,0.6626
1711716840000,0.65770,0.65860,0.65770,0.65830,256059,1711716899999,168523.53090,312,211102,1711721640000,0.6626
1711716900000,0.65840,0.65850,0.65770,0.65810,226919,1711716959999,149354.50810,364,97552,1711721640000,0.6626
1711716960000,0.65800,0.65810,0.65750,0.65750,99513,1711717019999,65469.19640,190,51591,1711721640000,0.6626
1711717020000,0.65750,0.65790,0.65740,0.65770,225464,1711717079999,148280.57380,306,71780,1711721640000,0.6626
1711717080000,0.65780,0.65790,0.65700,0.65720,421659,1711717139999,277103.91420,407,223866,1711721640000,0.6626
1711717140000,0.65720,0.65720,0.65550,0.65590,1810659,1711717199999,1188084.74640,1504,518172,1711721640000,0.6626
1711717200000,0.65580,0.65640,0.65570,0.65580,714669,1711717259999,468920.81500,691,434962,1711721640000,0.6626
1711717260000,0.65580,0.65740,0.65580,0.65730,1188567,1711717319999,780561.67080,891,835098,1711721640000,0.6626
1711717320000,0.65730,0.65890,0.65720,0.65830,809535,1711717379999,532855.32830,917,544760,1711721640000,0.6626
1711717380000,0.65840,0.65850,0.65710,0.65710,372345,1711717439999,244914.97590,393,220193,1711721640000,0.6626
1711717440000,0.65720,0.65720,0.65570,0.65600,814254,1711717499999,534342.15340,633,190839,1711721640000,0.6626
1711717500000,0.65600,0.65650,0.65540,0.65550,802909,1711717559999,526586.86500,720,410785,1711721640000,0.6626
1711717560000,0.65550,0.65590,0.65510,0.65510,287560,1711717619999,188494.03760,456,84563,1711721640000,0.6626
1711717620000,0.65510,0.65570,0.65460,0.65530,636378,1711717679999,416906.50700,1017,344597,1711721640000,0.6626
1711717680000,0.65530,0.65580,0.65470,0.65560,679205,1711717739999,445085.40630,580,470181,1711721640000,0.6626
1711717740000,0.65560,0.65660,0.65540,0.65550,470303,1711717799999,308524.05010,541,272148,1711721640000,0.6626
1711717800000,0.65550,0.65630,0.65550,0.65610,398773,1711717859999,261578.87980,435,222208,1711721640000,0.6626
1711717860000,0.65610,0.65610,0.65430,0.65480,557903,1711717919999,365373.63180,627,167193,1711721640000,0.6626
1711717920000,0.65480,0.65530,0.65450,0.65450,370491,1711717979999,242660.12280,379,213259,1711721640000,0.6626
1711717980000,0.65460,0.65520,0.65420,0.65510,191577,1711718039999,125409.20230,342,104670,1711721640000,0.6626
1711718040000,0.65510,0.65530,0.65440,0.65460,248273,1711718099999,162541.53770,295,124055,1711721640000,0.6626
1711718100000,0.65450,0.65530,0.65450,0.65500,412194,1711718159999,269891.16490,396,185003,1711721640000,0.6626
1711718160000,0.65500,0.65650,0.65490,0.65630,645382,1711718219999,423144.53780,659,418188,1711721640000,0.6626
1711718220000,0.65620,0.65670,0.65590,0.65650,403367,1711718279999,264672.02430,400,192865,1711721640000,0.6626
1711718280000,0.65650,0.65700,0.65610,0.65700,295320,1711718339999,193854.62150,333,195658,1711721640000,0.6626
1711718340000,0.65700,0.65710,0.65660,0.65680,549957,1711718399999,361267.00020,347,178369,1711721640000,0.6626
1711718400000,0.65690,0.65740,0.65660,0.65660,401469,1711718459999,263773.80890,401,230209,1711721640000,0.6626
1711718460000,0.65660,0.65710,0.65660,0.65700,141062,1711718519999,92659.16730,261,83754,1711721640000,0.6626
1711718520000,0.65700,0.65820,0.65700,0.65820,126341,1711718579999,83100.18630,342,102233,1711721640000,0.6626
1711718580000,0.65810,0.65870,0.65770,0.65780,382913,1711718639999,252063.61470,467,193261,1711721640000,0.6626
1711718640000,0.65770,0.65820,0.65760,0.65800,273938,1711718699999,180205.95450,262,171546,1711721640000,0.6626
1711718700000,0.65800,0.65830,0.65740,0.65740,216021,1711718759999,142116.44650,257,75327,1711721640000,0.6626
1711718760000,0.65730,0.65780,0.65710,0.65730,340474,1711718819999,223829.55850,416,164151,1711721640000,0.6626
1711718820000,0.65720,0.65770,0.65720,0.65760,116625,1711718879999,76692.06530,168,56682,1711721640000,0.6626
1711718880000,0.65760,0.65760,0.65660,0.65700,273854,1711718939999,179946.81150,382,158950,1711721640000,0.6626
1711718940000,0.65690,0.65750,0.65670,0.65740,126088,1711718999999,82846.70890,221,67221,1711721640000,0.6626
1711719000000,0.65730,0.65810,0.65690,0.65780,325095,1711719059999,213723.57760,382,227945,1711721640000,0.6626
1711719060000,0.65780,0.66000,0.65780,0.66000,973703,1711719119999,641687.07740,764,818797,1711721640000,0.6626
1711719120000,0.65990,0.66010,0.65940,0.65970,676427,1711719179999,446317.41980,575,203757,1711721640000,0.6626
1711719180000,0.65970,0.66030,0.65970,0.66000,175460,1711719239999,115818.40970,274,99996,1711721640000,0.6626
1711719240000,0.66000,0.66060,0.66000,0.66060,214157,1711719299999,141410.72040,366,140626,1711721640000,0.6626
1711719300000,0.66070,0.66170,0.66070,0.66130,413058,1711719359999,273083.83820,1124,172756,1711721640000,0.6626
1711719360000,0.66140,0.66180,0.66080,0.66180,292045,1711719419999,193107.75660,436,155630,1711721640000,0.6626
1711719420000,0.66180,0.66240,0.66170,0.66170,335253,1711719479999,221958.54390,511,146776,1711721640000,0.6626
1711719480000,0.66170,0.66180,0.66130,0.66180,266650,1711719539999,176417.32210,308,188076,1711721640000,0.6626
1711719540000,0.66180,0.66220,0.66140,0.66150,187088,1711719599999,123795.66500,310,133653,1711721640000,0.6626
1711719600000,0.66150,0.66220,0.66140,0.66200,310582,1711719659999,205502.32080,329,160894,1711721640000,0.6626
1711719660000,0.66200,0.66220,0.66180,0.66200,277670,1711719719999,183792.10880,332,153510,1711721640000,0.6626
1711719720000,0.66200,0.66250,0.66180,0.66200,249156,1711719779999,164978.78850,339,163836,1711721640000,0.6626
1711719780000,0.66200,0.66210,0.66070,0.66090,595871,1711719839999,393874.06880,569,295668,1711721640000,0.6626
1711719840000,0.66080,0.66080,0.66020,0.66040,334652,1711719899999,221054.99690,363,74322,1711721640000,0.6626
1711719900000,0.66040,0.66090,0.66030,0.66060,192904,1711719959999,127423.25060,268,151080,1711721640000,0.6626
1711719960000,0.66070,0.66120,0.66030,0.66030,197405,1711720019999,130434.50180,309,89675,1711721640000,0.6626
1711720020000,0.66040,0.66140,0.66040,0.66130,267135,1711720079999,176521.55240,328,196260,1711721640000,0.6626
