Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1712080980000,3.1060000,3.1060000,3.0940000,3.0970000,60352.3,1712081039999,187074.27130000,717,21490.3,1712086380000,3.149
1712081040000,3.0970000,3.1030000,3.0890000,3.0920000,74133.8,1712081099999,229549.17110000,781,29035.3,1712086380000,3.149
1712081100000,3.0920000,3.0930000,3.0840000,3.0870000,55607.8,1712081159999,171709.37060000,590,33183.6,1712086380000,3.149
1712081160000,3.0870000,3.1010000,3.0860000,3.0980000,86000.9,1712081219999,266063.14310000,917,53178.0,1712086380000,3.149
1712081220000,3.0970000,3.0970000,3.0850000,3.0860000,54318.3,1712081279999,167859.92030000,567,19244.0,1712086380000,3.149
1712081280000,3.0850000,3.0870000,3.0810000,3.0830000,43421.7,1712081339999,133899.83490000,445,15739.4,1712086380000,3.149
1712081340000,3.0830000,3.0830000,3.0740000,3.0810000,60600.2,1712081399999,186569.56170000,731,27860.1,1712086380000,3.149
1712081400000,3.0820000,3.0840000,3.0750000,3.0790000,49108.4,1712081459999,151228.11190000,515,31130.5,1712086380000,3.149
1712081460000,3.0790000,3.0850000,3.0780000,3.0820000,33415.6,1712081519999,102993.33820000,392,18069.2,1712086380000,3.149
1712081520000,3.0830000,3.0890000,3.0810000,3.0820000,50343.6,1712081579999,155346.74490000,487,26680.5,1712086380000,3.149
1712081580000,3.0830000,3.0960000,3.0830000,3.0920000,64938.1,1712081639999,200671.38550000,786,44232.6,1712086380000,3.149
1712081640000,3.0920000,3.0980000,3.0910000,3.0920000,30689.2,1712081699999,94976.37050000,325,13869.4,1712086380000,3.149
1712081700000,3.0920000,3.1060000,3.0910000,3.1050000,63165.5,1712081759999,195784.66490000,693,43421.2,1712086380000,3.149
1712081760000,3.1040000,3.1040000,3.0960000,3.0960000,49968.5,1712081819999,154905.31660000,485,13363.5,1712086380000,3.149
1712081820000,3.0950000,3.0970000,3.0930000,3.0940000,38623.2,1712081879999,119565.53470000,293,23359.9,1712086380000,3.149
1712081880000,3.0950000,3.1020000,3.0900000,3.1010000,53958.8,1712081939999,167086.75700000,596,30887.1,1712086380000,3.149
1712081940000,3.1010000,3.1020000,3.0960000,3.1000000,49781.9,1712081999999,154306.11980000,438,30607.1,1712086380000,3.149
1712082000000,3.1010000,3.1040000,3.0980000,3.1030000,26135.4,1712082059999,81045.87770000,426,8794.4,1712086380000,3.149
1712082060000,3.1030000,3.1030000,3.0900000,3.0900000,44531.2,1712082119999,137878.55060000,506,14614.5,1712086380000,3.149
1712082120000,3.0910000,3.0980000,3.0830000,3.0960000,83064.2,1712082179999,256591.09420000,875,43420.2,1712086380000,3.149
1712082180000,3.0960000,3.0960000,3.0900000,3.0950000,33862.2,1712082239999,104754.17080000,369,16550.4,1712086380000,3.149
1712082240000,3.0950000,3.1000000,3.0940000,3.0980000,84897.7,1712082299999,262915.33540000,631,44840.1,1712086380000,3.149
1712082300000,3.0980000,3.1070000,3.0950000,3.0950000,63865.5,1712082359999,198027.57500000,727,30918.2,1712086380000,3.149
1712082360000,3.0950000,3.0950000,3.0810000,3.0820000,50782.1,1712082419999,156864.51070000,812,20146.3,1712086380000,3.149
1712082420000,3.0830000,3.0830000,3.0660000,3.0710000,213308.1,1712082479999,655318.68480000,1942,70533.5,1712086380000,3.149
1712082480000,3.0720000,3.0820000,3.0690000,3.0820000,87199.6,1712082539999,268232.04370000,719,63901.0,1712086380000,3.149
1712082540000,3.0810000,3.0890000,3.0800000,3.0840000,75818.6,1712082599999,233876.93040000,748,53330.5,1712086380000,3.149
1712082600000,3.0830000,3.0840000,3.0730000,3.0770000,84641.3,1712082659999,260447.78320000,775,37205.7,1712086380000,3.149
1712082660000,3.0760000,3.0770000,3.0670000,3.0720000,53189.3,1712082719999,163417.25370000,636,21595.0,1712086380000,3.149
1712082720000,3.0720000,3.0720000,3.0630000,3.0640000,88525.9,1712082779999,271402.91450000,672,28455.7,1712086380000,3.149
1712082780000,3.0640000,3.0660000,3.0560000,3.0660000,83134.5,1712082839999,254425.53510000,828,40233.5,1712086380000,3.149
1712082840000,3.0670000,3.0760000,3.0620000,3.0720000,94686.8,1712082899999,290822.51500000,710,41369.4,1712086380000,3.149
1712082900000,3.0720000,3.0770000,3.0610000,3.0620000,60844.8,1712082959999,186872.85360000,681,26964.2,1712086380000,3.149
