Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711668900000,1.3966000,1.3966000,1.3933000,1.3941000,51464,1711668959999,71779.2938000,432,15463,1711674300000,1.4117
1711668960000,1.3942000,1.3968000,1.3942000,1.3960000,63962,1711669019999,89288.6788000,419,27215,1711674300000,1.4117
1711669020000,1.3959000,1.3962000,1.3954000,1.3955000,17285,1711669079999,24126.4311000,164,10596,1711674300000,1.4117
1711669080000,1.3955000,1.3957000,1.3938000,1.3948000,53437,1711669139999,74527.8748000,371,27796,1711674300000,1.4117
1711669140000,1.3948000,1.3951000,1.3926000,1.3929000,39944,1711669199999,55689.6257000,339,13818,1711674300000,1.4117
1711669200000,1.3929000,1.3939000,1.3926000,1.3938000,41594,1711669259999,57951.9214000,298,25804,1711674300000,1.4117
1711669260000,1.3939000,1.3966000,1.3939000,1.3954000,94903,1711669319999,132423.3908000,517,57828,1711674300000,1.4117
1711669320000,1.3954000,1.3956000,1.3940000,1.3956000,21863,1711669379999,30492.1672000,212,13616,1711674300000,1.4117
1711669380000,1.3955000,1.3955000,1.3936000,1.3939000,26730,1711669439999,37278.2413000,252,12602,1711674300000,1.4117
1711669440000,1.3939000,1.3952000,1.3937000,1.3947000,28635,1711669499999,39926.8246000,236,9657,1711674300000,1.4117
1711669500000,1.3946000,1.3948000,1.3933000,1.3937000,27053,1711669559999,37712.7380000,273,11505,1711674300000,1.4117
1711669560000,1.3937000,1.3937000,1.3904000,1.3916000,95428,1711669619999,132780.1663000,594,30301,1711674300000,1.4117
1711669620000,1.3916000,1.3932000,1.3910000,1.3931000,49622,1711669679999,69064.5472000,302,18656,1711674300000,1.4117
1711669680000,1.3931000,1.3931000,1.3911000,1.3919000,35030,1711669739999,48763.2053000,308,9247,1711674300000,1.4117
1711669740000,1.3916000,1.3919000,1.3903000,1.3910000,53935,1711669799999,75023.7652000,562,36097,1711674300000,1.4117
