Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1712180220000,1.5981000,1.6018000,1.5972000,1.6011000,23152,1712180279999,37049.6531000,350,13556,1712185620000,1.6304
1712180280000,1.6012000,1.6019000,1.5978000,1.5981000,8322,1712180339999,13316.8591000,140,2819,1712185620000,1.6304
1712180340000,1.5980000,1.6002000,1.5965000,1.6002000,12212,1712180399999,19516.8370000,197,4718,1712185620000,1.6304
1712180400000,1.6002000,1.6008000,1.5975000,1.5975000,4916,1712180459999,7861.9728000,108,569,1712185620000,1.6304
1712180460000,1.5975000,1.5979000,1.5964000,1.5977000,6064,1712180519999,9685.9952000,94,2382,1712185620000,1.6304
1712180520000,1.5977000,1.5977000,1.5954000,1.5969000,8521,1712180579999,13600.8289000,109,530,1712185620000,1.6304
1712180580000,1.5970000,1.5971000,1.5964000,1.5966000,2227,1712180639999,3556.1683000,45,882,1712185620000,1.6304
1712180640000,1.5965000,1.5965000,1.5943000,1.5957000,7568,1712180699999,12075.9415000,77,757,1712185620000,1.6304
1712180700000,1.5957000,1.5958000,1.5957000,1.5957000,1933,1712180759999,3084.6027000,46,1167,1712185620000,1.6304
1712180760000,1.5958000,1.5966000,1.5952000,1.5956000,5633,1712180819999,8989.5747000,70,2168,1712185620000,1.6304
1712180820000,1.5957000,1.5974000,1.5951000,1.5969000,3887,1712180879999,6205.2275000,84,2839,1712185620000,1.6304
1712180880000,1.5969000,1.6002000,1.5962000,1.6002000,6031,1712180939999,9633.0995000,71,5536,1712185620000,1.6304
1712180940000,1.6002000,1.6017000,1.6002000,1.6007000,3844,1712180999999,6153.6424000,126,2177,1712185620000,1.6304
1712181000000,1.6009000,1.6052000,1.6004000,1.6052000,10454,1712181059999,16757.8840000,129,9118,1712185620000,1.6304
1712181060000,1.6052000,1.6142000,1.6052000,1.6141000,25110,1712181119999,40421.3411000,294,20238,1712185620000,1.6304
1712181120000,1.6140000,1.6170000,1.6140000,1.6155000,18138,1712181179999,29300.2375000,237,8040,1712185620000,1.6304
