Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710368160000,0.3195,0.3195,0.3187,0.3187,241673.4,1710368219999,77115.05236,261,71723.3,1710373560000,0.3186
1710368220000,0.3187,0.3188,0.3186,0.3187,58524.6,1710368279999,18653.62131,112,45881.0,1710373560000,0.3186
1710368280000,0.3187,0.3189,0.3183,0.3184,124087.8,1710368339999,39519.52312,167,53265.8,1710373560000,0.3186
1710368340000,0.3183,0.3184,0.3180,0.3180,68597.3,1710368399999,21823.49471,120,18052.1,1710373560000,0.3186
1710368400000,0.3181,0.3182,0.3176,0.3178,130256.5,1710368459999,41403.22255,230,65160.1,1710373560000,0.3186
1710368460000,0.3177,0.3180,0.3177,0.3179,71259.4,1710368519999,22649.24884,103,41610.0,1710373560000,0.3186
1710368520000,0.3178,0.3182,0.3177,0.3177,225876.1,1710368579999,71840.49517,200,164853.5,1710373560000,0.3186
1710368580000,0.3178,0.3183,0.3178,0.3181,177882.9,1710368639999,56586.48890,137,153776.0,1710373560000,0.3186
1710368640000,0.3182,0.3182,0.3178,0.3182,103289.3,1710368699999,32848.27469,131,60235.5,1710373560000,0.3186
1710368700000,0.3181,0.3182,0.3178,0.3182,64474.1,1710368759999,20506.29510,111,37424.3,1710373560000,0.3186
1710368760000,0.3181,0.3182,0.3179,0.3181,160956.5,1710368819999,51198.96303,201,39847.0,1710373560000,0.3186
1710368820000,0.3180,0.3181,0.3177,0.3179,79691.0,1710368879999,25335.78832,113,15908.9,1710373560000,0.3186
1710368880000,0.3178,0.3178,0.3177,0.3177,26684.7,1710368939999,8478.87191,77,12382.8,1710373560000,0.3186
1710368940000,0.3178,0.3178,0.3175,0.3178,75310.2,1710368999999,23926.47215,334,42619.7,1710373560000,0.3186
1710369000000,0.3178,0.3179,0.3176,0.3179,84610.8,1710369059999,26884.49064,141,54563.5,1710373560000,0.3186
1710369060000,0.3180,0.3180,0.3174,0.3174,67855.6,1710369119999,21550.81543,340,10542.2,1710373560000,0.3186
1710369120000,0.3173,0.3173,0.3171,0.3171,40904.9,1710369179999,12974.39063,128,3402.9,1710373560000,0.3186
1710369180000,0.3171,0.3172,0.3164,0.3166,276020.9,1710369239999,87427.33571,264,56004.1,1710373560000,0.3186
1710369240000,0.3166,0.3167,0.3164,0.3165,137660.6,1710369299999,43577.27727,159,69165.7,1710373560000,0.3186
1710369300000,0.3165,0.3169,0.3164,0.3169,218884.8,1710369359999,69316.48132,221,189949.4,1710373560000,0.3186
1710369360000,0.3170,0.3176,0.3170,0.3176,95187.4,1710369419999,30196.33509,119,87867.8,1710373560000,0.3186
1710369420000,0.3176,0.3177,0.3174,0.3175,113658.4,1710369479999,36090.20218,148,32862.8,1710373560000,0.3186
1710369480000,0.3174,0.3174,0.3171,0.3171,77119.4,1710369539999,24465.96085,107,18827.0,1710373560000,0.3186
1710369540000,0.3171,0.3173,0.3168,0.3172,207403.4,1710369599999,65743.39091,201,75020.9,1710373560000,0.3186
1710369600000,0.3172,0.3177,0.3171,0.3176,98690.7,1710369659999,31327.99258,144,77181.0,1710373560000,0.3186
1710369660000,0.3176,0.3177,0.3174,0.3174,68012.8,1710369719999,21595.38901,94,14932.7,1710373560000,0.3186
1710369720000,0.3175,0.3176,0.3174,0.3175,114415.0,1710369779999,36325.58869,118,64369.0,1710373560000,0.3186
1710369780000,0.3175,0.3175,0.3169,0.3169,37634.9,1710369839999,11938.21169,56,2796.7,1710373560000,0.3186
1710369840000,0.3170,0.3174,0.3169,0.3172,52835.5,1710369899999,16755.75488,85,40420.7,1710373560000,0.3186
1710369900000,0.3173,0.3173,0.3171,0.3172,47716.3,1710369959999,15136.89010,94,16854.4,1710373560000,0.3186
1710369960000,0.3173,0.3175,0.3172,0.3173,98026.0,1710370019999,31107.77882,119,45685.3,1710373560000,0.3186
1710370020000,0.3172,0.3173,0.3171,0.3172,33615.0,1710370079999,10661.47084,61,17708.2,1710373560000,0.3186
1710370080000,0.3172,0.3172,0.3169,0.3169,122329.0,1710370139999,38779.65556,113,4927.2,1710373560000,0.3186
1710370140000,0.3168,0.3169,0.3162,0.3162,341842.3,1710370199999,108213.64081,345,104317.5,1710373560000,0.3186
1710370200000,0.3163,0.3164,0.3161,0.3164,108717.5,1710370259999,34379.99348,102,28895.0,1710373560000,0.3186
1710370260000,0.3164,0.3165,0.3159,0.3163,152541.7,1710370319999,48239.25281,199,40197.3,1710373560000,0.3186
1710370320000,0.3163,0.3172,0.3160,0.3172,229314.4,1710370379999,72610.81573,213,210845.8,1710373560000,0.3186
1710370380000,0.3172,0.3174,0.3171,0.3173,84572.5,1710370439999,26834.50036,116,53798.5,1710373560000,0.3186
1710370440000,0.3174,0.3175,0.3173,0.3174,31773.7,1710370499999,10085.04007,66,21898.2,1710373560000,0.3186
1710370500000,0.3173,0.3173,0.3169,0.3169,68178.6,1710370559999,21624.94827,97,10089.7,1710373560000,0.3186
1710370560000,0.3169,0.3169,0.3166,0.3169,69418.7,1710370619999,21985.21790,101,36080.9,1710373560000,0.3186
1710370620000,0.3169,0.3171,0.3169,0.3169,20845.5,1710370679999,6607.76029,51,13906.2,1710373560000,0.3186
