Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710477060000,2.048,2.049,2.040,2.040,13514.4,1710477119999,27655.1072,239,9117.4,1710482400000,2.022
1710477120000,2.040,2.045,2.038,2.044,15703.2,1710477179999,32053.6650,286,10159.1,1710482400000,2.022
1710477180000,2.042,2.042,2.032,2.034,19495.4,1710477239999,39705.1743,374,10124.0,1710482400000,2.022
1710477240000,2.034,2.041,2.034,2.035,12536.1,1710477299999,25534.8544,259,5916.4,1710482400000,2.022
1710477300000,2.035,2.035,2.024,2.027,53244.1,1710477359999,108077.2771,591,17920.4,1710482400000,2.022
1710477360000,2.028,2.029,2.022,2.026,9102.7,1710477419999,18438.4172,254,4432.5,1710482400000,2.022
1710477420000,2.027,2.027,2.020,2.023,9178.4,1710477479999,18561.3113,170,5039.5,1710482400000,2.022
1710477480000,2.023,2.024,2.011,2.015,24492.5,1710477539999,49374.2076,361,9140.3,1710482400000,2.022
1710477540000,2.015,2.023,2.013,2.017,19339.9,1710477599999,39031.6732,360,10261.9,1710482400000,2.022
1710477600000,2.018,2.023,2.015,2.017,19156.5,1710477659999,38648.8099,289,9077.7,1710482400000,2.022
1710477660000,2.017,2.017,2.002,2.006,14656.2,1710477719999,29418.5236,268,5142.5,1710482400000,2.022
1710477720000,2.005,2.020,2.005,2.020,15093.3,1710477779999,30338.5397,302,8033.5,1710482400000,2.022
1710477780000,2.018,2.024,2.011,2.012,11320.9,1710477839999,22843.9019,259,5790.7,1710482400000,2.022
1710477840000,2.012,2.012,2.002,2.002,32777.8,1710477899999,65790.7033,415,19721.8,1710482400000,2.022
1710477900000,2.003,2.022,2.003,2.022,35657.9,1710477959999,71815.0591,564,21910.8,1710482400000,2.022
1710477960000,2.023,2.029,2.010,2.014,24846.8,1710478019999,50213.7646,414,10498.7,1710482400000,2.022
1710478020000,2.013,2.026,2.013,2.015,26927.1,1710478079999,54405.2010,397,12469.3,1710482400000,2.022
1710478080000,2.015,2.022,2.013,2.019,15612.7,1710478139999,31484.5065,333,8814.8,1710482400000,2.022
1710478140000,2.018,2.025,2.014,2.024,14954.2,1710478199999,30197.4982,254,8871.0,1710482400000,2.022
1710478200000,2.024,2.026,2.016,2.017,12439.1,1710478259999,25146.9176,260,5261.4,1710482400000,2.022
1710478260000,2.018,2.021,2.014,2.019,8529.4,1710478319999,17206.7495,225,4950.8,1710482400000,2.022
1710478320000,2.019,2.025,2.018,2.022,7121.2,1710478379999,14394.0555,183,3492.7,1710482400000,2.022
1710478380000,2.021,2.028,2.021,2.025,5162.0,1710478439999,10453.2021,133,1985.1,1710482400000,2.022
1710478440000,2.026,2.026,2.017,2.017,5790.6,1710478499999,11703.2123,179,2645.4,1710482400000,2.022
1710478500000,2.018,2.018,2.012,2.014,7057.7,1710478559999,14218.8059,200,4040.7,1710482400000,2.022
1710478560000,2.013,2.023,2.013,2.018,14802.0,1710478619999,29881.0733,294,7136.5,1710482400000,2.022
1710478620000,2.018,2.022,2.015,2.015,9363.2,1710478679999,18899.9112,190,3354.3,1710482400000,2.022
1710478680000,2.016,2.020,2.009,2.017,8259.9,1710478739999,16640.3516,204,4064.3,1710482400000,2.022
1710478740000,2.017,2.019,2.014,2.014,9039.1,1710478799999,18228.4109,158,2285.7,1710482400000,2.022
1710478800000,2.014,2.025,2.011,2.023,23469.3,1710478859999,47283.3686,327,12801.0,1710482400000,2.022
1710478860000,2.023,2.034,2.023,2.028,20739.3,1710478919999,42075.1063,352,11358.5,1710482400000,2.022
1710478920000,2.029,2.039,2.028,2.039,21504.7,1710478979999,43731.2419,275,16968.6,1710482400000,2.022
1710478980000,2.040,2.052,2.038,2.049,52289.3,1710479039999,106931.2653,757,28105.8,1710482400000,2.022
1710479040000,2.048,2.048,2.040,2.042,12887.2,1710479099999,26350.3508,249,8001.3,1710482400000,2.022
1710479100000,2.042,2.044,2.038,2.039,8657.5,1710479159999,17668.4574,224,4170.0,1710482400000,2.022
1710479160000,2.039,2.050,2.039,2.050,4768.7,1710479219999,9749.7707,150,3186.2,1710482400000,2.022
1710479220000,2.050,2.051,2.047,2.050,2777.7,1710479279999,5691.9131,140,1358.7,1710482400000,2.022
1710479280000,2.050,2.052,2.043,2.047,5825.0,1710479339999,11926.3568,142,2841.0,1710482400000,2.022
