Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710271980000,0.19522,0.19547,0.19511,0.19541,34388,1710272039999,6715.86853,106,22496,1710277320000,0.19477
1710272040000,0.19542,0.19555,0.19523,0.19527,21816,1710272099999,4262.89810,89,13565,1710277320000,0.19477
1710272100000,0.19524,0.19533,0.19516,0.19521,30862,1710272159999,6025.54541,85,16307,1710277320000,0.19477
1710272160000,0.19524,0.19544,0.19523,0.19525,13904,1710272219999,2715.66957,62,8106,1710277320000,0.19477
1710272220000,0.19522,0.19547,0.19511,0.19538,22994,1710272279999,4490.10768,93,16155,1710277320000,0.19477
1710272280000,0.19538,0.19546,0.19507,0.19530,60233,1710272339999,11762.83663,141,17236,1710277320000,0.19477
1710272340000,0.19526,0.19526,0.19501,0.19509,19809,1710272399999,3863.98905,88,727,1710277320000,0.19477
1710272400000,0.19512,0.19533,0.19511,0.19526,18716,1710272459999,3654.21697,114,7692,1710277320000,0.19477
1710272460000,0.19523,0.19528,0.19500,0.19524,28263,1710272519999,5514.81590,84,23197,1710277320000,0.19477
1710272520000,0.19525,0.19529,0.19520,0.19523,11230,1710272579999,2192.68200,39,6938,1710277320000,0.19477
1710272580000,0.19521,0.19533,0.19519,0.19523,11804,1710272639999,2304.65431,30,6411,1710277320000,0.19477
1710272640000,0.19527,0.19529,0.19517,0.19529,32312,1710272699999,6308.57936,44,21769,1710277320000,0.19477
1710272700000,0.19530,0.19559,0.19524,0.19543,65568,1710272759999,12813.89710,102,50242,1710277320000,0.19477
1710272760000,0.19552,0.19552,0.19503,0.19507,51289,1710272819999,10011.09898,132,20683,1710277320000,0.19477
1710272820000,0.19516,0.19546,0.19516,0.19536,53467,1710272879999,10441.65241,120,44144,1710277320000,0.19477
1710272880000,0.19536,0.19552,0.19532,0.19552,8450,1710272939999,1651.28435,55,5385,1710277320000,0.19477
1710272940000,0.19547,0.19571,0.19533,0.19541,60779,1710272999999,11884.36722,210,23222,1710277320000,0.19477
1710273000000,0.19542,0.19542,0.19511,0.19530,31826,1710273059999,6213.62635,123,11098,1710277320000,0.19477
1710273060000,0.19529,0.19535,0.19509,0.19509,27155,1710273119999,5300.29572,89,15529,1710277320000,0.19477
1710273120000,0.19510,0.19512,0.19488,0.19494,103507,1710273179999,20181.98607,184,16711,1710277320000,0.19477
1710273180000,0.19495,0.19507,0.19484,0.19506,38381,1710273239999,7482.28513,113,22788,1710277320000,0.19477
1710273240000,0.19501,0.19508,0.19477,0.19508,30977,1710273299999,6039.25889,110,14521,1710277320000,0.19477
1710273300000,0.19508,0.19511,0.19486,0.19505,18986,1710273359999,3702.30467,127,5684,1710277320000,0.19477
1710273360000,0.19505,0.19510,0.19489,0.19506,25219,1710273419999,4916.33513,63,20227,1710277320000,0.19477
1710273420000,0.19505,0.19528,0.19491,0.19524,30086,1710273479999,5869.84517,157,16998,1710277320000,0.19477
1710273480000,0.19518,0.19518,0.19494,0.19515,31964,1710273539999,6232.59479,87,2260,1710277320000,0.19477
1710273540000,0.19516,0.19525,0.19505,0.19514,15297,1710273599999,2985.52934,39,9334,1710277320000,0.19477
1710273600000,0.19515,0.19518,0.19497,0.19515,44117,1710273659999,8605.46802,139,21564,1710277320000,0.19477
