Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711484760000,0.6300700,0.6300700,0.6275200,0.6277500,169529,1711484819999,106608.5293400,842,36019,1711490100000,0.62741
1711484820000,0.6278300,0.6287900,0.6275100,0.6286000,125748,1711484879999,78976.0834600,678,77489,1711490100000,0.62741
1711484880000,0.6286100,0.6288300,0.6275200,0.6278300,73355,1711484939999,46073.1357400,420,45181,1711490100000,0.62741
1711484940000,0.6278100,0.6281700,0.6272800,0.6273800,72968,1711484999999,45805.9051500,406,35027,1711490100000,0.62741
1711485000000,0.6274400,0.6275700,0.6265300,0.6269700,108176,1711485059999,67829.5169900,659,60054,1711490100000,0.62741
1711485060000,0.6269000,0.6306300,0.6268600,0.6305300,247793,1711485119999,155872.4760400,1224,190835,1711490100000,0.62741
1711485120000,0.6304000,0.6304000,0.6289700,0.6292800,128038,1711485179999,80618.0911700,692,41002,1711490100000,0.62741
1711485180000,0.6292700,0.6303600,0.6290200,0.6299600,65109,1711485239999,40989.5278400,490,37681,1711490100000,0.62741
1711485240000,0.6299300,0.6307500,0.6292800,0.6307100,56832,1711485299999,35803.3713400,407,30141,1711490100000,0.62741
1711485300000,0.6307200,0.6308300,0.6293200,0.6293200,61477,1711485359999,38751.4562800,356,11145,1711490100000,0.62741
1711485360000,0.6293100,0.6313800,0.6293100,0.6313600,86290,1711485419999,54404.5710900,485,66627,1711490100000,0.62741
1711485420000,0.6313500,0.6321300,0.6312500,0.6321100,71515,1711485479999,45173.9823400,389,48011,1711490100000,0.62741
1711485480000,0.6321000,0.6346500,0.6318400,0.6339600,450546,1711485539999,285338.3866000,1548,329186,1711490100000,0.62741
1711485540000,0.6339200,0.6370100,0.6338200,0.6361400,761185,1711485599999,483839.3941700,2279,521681,1711490100000,0.62741
1711485600000,0.6360400,0.6360400,0.6342200,0.6344000,166699,1711485659999,105863.3771000,784,99311,1711490100000,0.62741
1711485660000,0.6344300,0.6344400,0.6331100,0.6338600,150952,1711485719999,95662.4163800,751,77017,1711490100000,0.62741
1711485720000,0.6338600,0.6342100,0.6328700,0.6340100,115018,1711485779999,72858.2144700,667,75284,1711490100000,0.62741
1711485780000,0.6339800,0.6339900,0.6327800,0.6330700,63662,1711485839999,40309.2831600,379,18539,1711490100000,0.62741
