Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711815960000,0.056050,0.056120,0.056010,0.056120,1243919,1711816019999,69742.422300,303,548996,1711821360000,0.05639
1711816020000,0.056120,0.056230,0.055960,0.055960,1764331,1711816079999,99057.764470,473,907740,1711821360000,0.05639
1711816080000,0.055950,0.055980,0.055770,0.055940,1988110,1711816139999,111118.970840,526,804227,1711821360000,0.05639
1711816140000,0.055950,0.056240,0.055870,0.056030,5790476,1711816199999,324624.675300,1061,3861754,1711821360000,0.05639
1711816200000,0.056030,0.056070,0.055720,0.055730,1747208,1711816259999,97642.769770,470,642270,1711821360000,0.05639
1711816260000,0.055730,0.055780,0.055590,0.055640,1648548,1711816319999,91766.511900,448,816032,1711821360000,0.05639
1711816320000,0.055630,0.055830,0.055610,0.055770,1155554,1711816379999,64404.105270,379,679095,1711821360000,0.05639
1711816380000,0.055760,0.055820,0.055630,0.055770,1068037,1711816439999,59500.227830,321,458684,1711821360000,0.05639
1711816440000,0.055770,0.055910,0.055740,0.055760,907611,1711816499999,50662.687800,358,384356,1711821360000,0.05639
1711816500000,0.055770,0.055770,0.055670,0.055720,857435,1711816559999,47773.272230,286,293252,1711821360000,0.05639
1711816560000,0.055720,0.055720,0.055520,0.055530,1867094,1711816619999,103891.635160,405,1123185,1711821360000,0.05639
1711816620000,0.055530,0.055530,0.055400,0.055450,1641094,1711816679999,91019.670350,532,612606,1711821360000,0.05639
1711816680000,0.055450,0.055520,0.055380,0.055430,837288,1711816739999,46434.024430,287,272014,1711821360000,0.05639
1711816740000,0.055420,0.055490,0.055410,0.055480,382668,1711816799999,21217.126100,139,227191,1711821360000,0.05639
1711816800000,0.055480,0.055530,0.055430,0.055430,418797,1711816859999,23235.899750,169,166189,1711821360000,0.05639
1711816860000,0.055430,0.055610,0.055430,0.055600,999996,1711816919999,55513.116020,276,769135,1711821360000,0.05639
1711816920000,0.055590,0.055590,0.055220,0.055250,2754126,1711816979999,152406.083900,529,804831,1711821360000,0.05639
1711816980000,0.055250,0.055310,0.055140,0.055290,1603538,1711817039999,88571.765870,513,770918,1711821360000,0.05639
1711817040000,0.055280,0.055440,0.055260,0.055410,1320498,1711817099999,73095.558190,293,1047563,1711821360000,0.05639
1711817100000,0.055410,0.055500,0.055390,0.055500,563016,1711817159999,31218.571520,183,412542,1711821360000,0.05639
1711817160000,0.055510,0.055730,0.055430,0.055720,1430655,1711817219999,79477.600810,387,1132126,1711821360000,0.05639
1711817220000,0.055730,0.055890,0.055730,0.055870,1987605,1711817279999,110946.213430,540,863348,1711821360000,0.05639
1711817280000,0.055860,0.055900,0.055800,0.055850,1906970,1711817339999,106457.298310,283,397760,1711821360000,0.05639
1711817340000,0.055850,0.055910,0.055810,0.055860,647445,1711817399999,36172.347400,200,353394,1711821360000,0.05639
1711817400000,0.055880,0.056160,0.055870,0.056130,1063855,1711817459999,59571.865570,298,771107,1711821360000,0.05639
1711817460000,0.056140,0.056220,0.055860,0.055870,2118646,1711817519999,118743.633650,514,761944,1711821360000,0.05639
