Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711005420000,8.895,8.918,8.895,8.917,674.5,1711005479999,6012.4557,40,308.2,1711010760000,9.057
1711005480000,8.916,8.938,8.916,8.938,409.8,1711005539999,3655.6098,38,406.7,1711010760000,9.057
1711005540000,8.936,8.948,8.932,8.945,398.9,1711005599999,3565.4856,56,343.2,1711010760000,9.057
1711005600000,8.941,8.948,8.941,8.944,227.1,1711005659999,2031.2660,28,132.1,1711010760000,9.057
1711005660000,8.944,8.948,8.944,8.948,19.2,1711005719999,171.7687,8,6.4,1711010760000,9.057
1711005720000,8.946,8.948,8.943,8.943,221.9,1711005779999,1984.9375,35,78.2,1711010760000,9.057
1711005780000,8.943,8.944,8.943,8.943,13.5,1711005839999,120.7359,8,13.5,1711010760000,9.057
1711005840000,8.943,8.948,8.943,8.947,77.6,1711005899999,694.2553,12,77.6,1711010760000,9.057
1711005900000,8.948,8.949,8.948,8.948,19.3,1711005959999,172.7060,5,8.9,1711010760000,9.057
1711005960000,8.948,8.949,8.946,8.949,163.7,1711006019999,1464.6094,8,3.4,1711010760000,9.057
1711006020000,8.948,8.956,8.947,8.951,321.8,1711006079999,2881.2465,38,245.0,1711010760000,9.057
1711006080000,8.950,8.952,8.949,8.952,12.0,1711006139999,107.4125,6,0,1711010760000,9.057
1711006140000,8.952,8.952,8.951,8.951,103.6,1711006199999,927.3314,8,0,1711010760000,9.057
1711006200000,8.950,8.950,8.948,8.948,78.4,1711006259999,701.5510,16,24.8,1711010760000,9.057
1711006260000,8.948,8.951,8.943,8.951,589.4,1711006319999,5273.0681,56,201.8,1711010760000,9.057
1711006320000,8.951,8.952,8.949,8.952,63.2,1711006379999,565.6418,13,6.8,1711010760000,9.057
1711006380000,8.950,8.950,8.948,8.948,11.6,1711006439999,103.8169,5,0,1711010760000,9.057
1711006440000,8.950,8.950,8.947,8.947,168.8,1711006499999,1510.4231,18,132.5,1711010760000,9.057
1711006500000,8.947,8.947,8.944,8.944,48.4,1711006559999,432.9794,11,7.1,1711010760000,9.057
