Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710989640000,1.9383,1.9387,1.9371,1.9377,11138,1710989699999,21585.6194,125,6421,1710995040000,1.9282
1710989700000,1.9376,1.9388,1.9356,1.9367,30690,1710989759999,59452.1805,282,11326,1710995040000,1.9282
1710989760000,1.9367,1.9367,1.9342,1.9348,14801,1710989819999,28638.1584,122,10667,1710995040000,1.9282
1710989820000,1.9347,1.9355,1.9323,1.9350,18514,1710989879999,35801.6664,164,8505,1710995040000,1.9282
1710989880000,1.9355,1.9355,1.9336,1.9341,13350,1710989939999,25823.1959,106,4753,1710995040000,1.9282
1710989940000,1.9341,1.9351,1.9337,1.9343,8093,1710989999999,15654.2450,149,4499,1710995040000,1.9282
1710990000000,1.9340,1.9358,1.9335,1.9354,12931,1710990059999,25022.7349,214,8149,1710995040000,1.9282
1710990060000,1.9355,1.9402,1.9350,1.9393,13987,1710990119999,27113.4932,172,10802,1710995040000,1.9282
1710990120000,1.9391,1.9392,1.9376,1.9387,9710,1710990179999,18824.0125,168,6325,1710995040000,1.9282
1710990180000,1.9386,1.9408,1.9386,1.9392,16658,1710990239999,32313.7873,216,7383,1710995040000,1.9282
1710990240000,1.9394,1.9413,1.9393,1.9407,24135,1710990299999,46824.1027,246,17321,1710995040000,1.9282
1710990300000,1.9406,1.9416,1.9402,1.9402,12133,1710990359999,23545.5138,183,8306,1710995040000,1.9282
1710990360000,1.9402,1.9402,1.9387,1.9394,33401,1710990419999,64781.3753,318,12042,1710995040000,1.9282
1710990420000,1.9394,1.9431,1.9390,1.9430,17481,1710990479999,33938.2579,261,14296,1710995040000,1.9282
1710990480000,1.9431,1.9435,1.9423,1.9428,13905,1710990539999,27016.6462,152,9079,1710995040000,1.9282
1710990540000,1.9426,1.9441,1.9426,1.9433,26172,1710990599999,50868.7228,166,22423,1710995040000,1.9282
1710990600000,1.9433,1.9448,1.9431,1.9443,14260,1710990659999,27721.2709,186,4720,1710995040000,1.9282
