Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710961320000,3.3274,3.3324,3.3220,3.3300,21061.3,1710961379999,70068.59622,680,11259.4,1710966720000,3.5996
1710961380000,3.3295,3.3321,3.3265,3.3302,6374.5,1710961439999,21218.89141,316,3051.6,1710966720000,3.5996
1710961440000,3.3299,3.3431,3.3194,3.3431,20580.6,1710961499999,68569.09820,704,13072.5,1710966720000,3.5996
1710961500000,3.3430,3.3474,3.3367,3.3438,15316.4,1710961559999,51187.71777,575,7318.3,1710966720000,3.5996
1710961560000,3.3437,3.3438,3.3387,3.3415,7366.0,1710961619999,24607.76970,337,3498.8,1710966720000,3.5996
1710961620000,3.3422,3.3422,3.3330,3.3347,9397.2,1710961679999,31362.69597,350,4542.4,1710966720000,3.5996
1710961680000,3.3362,3.3389,3.3335,3.3342,6520.1,1710961739999,21755.89055,261,3257.5,1710966720000,3.5996
1710961740000,3.3346,3.3373,3.3328,3.3339,7286.4,1710961799999,24299.43929,281,3313.5,1710966720000,3.5996
1710961800000,3.3336,3.3407,3.3333,3.3386,10183.6,1710961859999,33986.94097,430,6074.2,1710966720000,3.5996
1710961860000,3.3383,3.3393,3.3363,3.3380,6278.6,1710961919999,20953.96846,258,3350.5,1710966720000,3.5996
1710961920000,3.3380,3.3395,3.3366,3.3372,8520.1,1710961979999,28441.98515,234,4077.8,1710966720000,3.5996
1710961980000,3.3372,3.3417,3.3372,3.3406,11164.1,1710962039999,37284.03708,264,6769.4,1710966720000,3.5996
1710962040000,3.3410,3.3422,3.3314,3.3333,7601.7,1710962099999,25366.93356,289,4309.9,1710966720000,3.5996
1710962100000,3.3334,3.3388,3.3298,3.3387,9867.1,1710962159999,32892.64577,447,6196.0,1710966720000,3.5996
1710962160000,3.3386,3.3411,3.3302,3.3343,11907.9,1710962219999,39714.69868,449,6203.9,1710966720000,3.5996
1710962220000,3.3345,3.3353,3.3200,3.3207,13214.6,1710962279999,43990.69331,597,5751.0,1710966720000,3.5996
1710962280000,3.3207,3.3273,3.3196,3.3229,8869.9,1710962339999,29480.55956,421,3847.4,1710966720000,3.5996
1710962340000,3.3229,3.3312,3.3212,3.3256,5525.3,1710962399999,18370.26151,311,2131.2,1710966720000,3.5996
1710962400000,3.3257,3.3321,3.3257,3.3296,4614.6,1710962459999,15365.41476,264,2072.6,1710966720000,3.5996
1710962460000,3.3302,3.3347,3.3240,3.3240,7764.1,1710962519999,25849.04940,349,3941.8,1710966720000,3.5996
1710962520000,3.3242,3.3247,3.3177,3.3247,9240.2,1710962579999,30689.41891,369,4011.7,1710966720000,3.5996
1710962580000,3.3246,3.3246,3.3182,3.3214,4582.3,1710962639999,15217.78536,238,1583.5,1710966720000,3.5996
1710962640000,3.3214,3.3272,3.3177,3.3231,7089.5,1710962699999,23558.28169,335,3232.3,1710966720000,3.5996
1710962700000,3.3241,3.3242,3.3177,3.3184,5187.7,1710962759999,17224.71132,234,1609.4,1710966720000,3.5996
1710962760000,3.3188,3.3273,3.3188,3.3238,6416.6,1710962819999,21328.74203,281,2368.9,1710966720000,3.5996
1710962820000,3.3244,3.3276,3.3208,3.3252,6505.8,1710962879999,21629.44397,300,2512.9,1710966720000,3.5996
1710962880000,3.3250,3.3329,3.3221,3.3329,4895.8,1710962939999,16287.10401,203,1981.7,1710966720000,3.5996
1710962940000,3.3325,3.3346,3.3284,3.3325,6079.7,1710962999999,20258.21362,247,4394.4,1710966720000,3.5996
1710963000000,3.3325,3.3346,3.3324,3.3330,4429.1,1710963059999,14764.24891,170,2816.0,1710966720000,3.5996
1710963060000,3.3332,3.3339,3.3268,3.3325,7956.3,1710963119999,26494.64899,313,5114.1,1710966720000,3.5996
1710963120000,3.3324,3.3412,3.3319,3.3373,9896.9,1710963179999,33030.40945,337,5815.5,1710966720000,3.5996
1710963180000,3.3374,3.3526,3.3374,3.3503,17544.1,1710963239999,58739.28654,516,9846.8,1710966720000,3.5996
1710963240000,3.3504,3.3577,3.3480,3.3561,11179.7,1710963299999,37486.66174,462,5168.4,1710966720000,3.5996
1710963300000,3.3560,3.3578,3.3490,3.3523,8343.0,1710963359999,27977.94653,320,5520.4,1710966720000,3.5996
1710963360000,3.3525,3.3529,3.3400,3.3424,8483.4,1710963419999,28388.72696,484,3046.4,1710966720000,3.5996
1710963420000,3.3424,3.3424,3.3349,3.3381,9182.6,1710963479999,30650.42672,349,2688.3,1710966720000,3.5996
1710963480000,3.3386,3.3488,3.3370,3.3484,9444.1,1710963539999,31576.16160,341,6768.8,1710966720000,3.5996
1710963540000,3.3483,3.3506,3.3476,3.3476,6847.9,1710963599999,22935.61975,239,2119.8,1710966720000,3.5996
1710963600000,3.3476,3.3487,3.3424,3.3480,7798.9,1710963659999,26092.73334,316,3033.4,1710966720000,3.5996
1710963660000,3.3486,3.3518,3.3448,3.3493,11881.5,1710963719999,39794.49908,385,6028.2,1710966720000,3.5996
1710963720000,3.3490,3.3564,3.3457,3.3513,10081.2,1710963779999,33789.51980,346,7252.8,1710966720000,3.5996
1710963780000,3.3511,3.3592,3.3506,3.3539,5930.9,1710963839999,19897.60066,259,2677.0,1710966720000,3.5996
1710963840000,3.3539,3.3585,3.3539,3.3579,6073.4,1710963899999,20391.31817,243,2884.0,1710966720000,3.5996
1710963900000,3.3579,3.3580,3.3510,3.3541,6996.5,1710963959999,23467.48690,224,4674.5,1710966720000,3.5996
1710963960000,3.3555,3.3655,3.3548,3.3632,12143.1,1710964019999,40815.33887,578,9208.3,1710966720000,3.5996
1710964020000,3.3632,3.3641,3.3586,3.3632,6164.7,1710964079999,20725.70700,219,4007.9,1710966720000,3.5996
1710964080000,3.3634,3.3900,3.3631,3.3893,32774.5,1710964139999,110727.46770,1105,24775.1,1710966720000,3.5996
1710964140000,3.3893,3.3982,3.3842,3.3899,38275.7,1710964199999,129769.73175,1265,24407.5,1710966720000,3.5996
1710964200000,3.3896,3.3965,3.3874,3.3914,23040.6,1710964259999,78162.01300,739,11229.1,1710966720000,3.5996
1710964260000,3.3914,3.4015,3.3900,3.3967,18232.1,1710964319999,61935.54985,583,10677.2,1710966720000,3.5996
