Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711131540000,16.38100,16.42300,16.36100,16.38600,16160.3,1711131599999,264766.117800,897,7349.6,1711136940000,16.899
1711131600000,16.38500,16.38700,16.33700,16.34800,14983.1,1711131659999,245105.500300,975,6287.3,1711136940000,16.899
1711131660000,16.34700,16.36400,16.33300,16.34900,11174.1,1711131719999,182639.273000,677,6115.2,1711136940000,16.899
1711131720000,16.35000,16.35200,16.30100,16.31800,49250.8,1711131779999,803676.363500,2037,10643.3,1711136940000,16.899
1711131780000,16.31900,16.34600,16.31800,16.32500,9179.3,1711131839999,149909.288000,534,4145.0,1711136940000,16.899
1711131840000,16.32700,16.35300,16.32700,16.34400,6376.6,1711131899999,104194.787700,357,3503.5,1711136940000,16.899
1711131900000,16.34500,16.40500,16.34300,16.40400,9517.7,1711131959999,155846.362000,1054,6399.5,1711136940000,16.899
1711131960000,16.40400,16.42500,16.38900,16.39200,12063.5,1711132019999,197965.283400,879,5863.1,1711136940000,16.899
1711132020000,16.39100,16.39900,16.36300,16.39100,7087.8,1711132079999,116092.414200,531,3691.3,1711136940000,16.899
1711132080000,16.39100,16.43000,16.38300,16.41200,10316.8,1711132139999,169273.498100,601,4756.6,1711136940000,16.899
1711132140000,16.41200,16.45800,16.40800,16.45500,16383.1,1711132199999,269375.766700,957,11611.6,1711136940000,16.899
1711132200000,16.45500,16.46000,16.39800,16.40500,19636.9,1711132259999,322522.334400,978,6234.3,1711136940000,16.899
1711132260000,16.40500,16.44900,16.40500,16.44600,18296.6,1711132319999,300678.189000,1051,11857.4,1711136940000,16.899
1711132320000,16.44600,16.44700,16.39300,16.43300,28799.9,1711132379999,472904.986800,1346,17639.2,1711136940000,16.899
1711132380000,16.43300,16.44900,16.43200,16.44500,11445.4,1711132439999,188153.821700,562,8265.0,1711136940000,16.899
1711132440000,16.44600,16.49300,16.44100,16.48800,23246.7,1711132499999,382922.444900,1319,15847.3,1711136940000,16.899
1711132500000,16.48700,16.50600,16.47500,16.49300,19720.8,1711132559999,325222.088200,1437,8764.7,1711136940000,16.899
1711132560000,16.49200,16.55800,16.49200,16.54700,47233.5,1711132619999,780894.995400,2668,31653.3,1711136940000,16.899
1711132620000,16.54800,16.58000,16.52900,16.57600,47509.8,1711132679999,786524.894000,2091,25877.5,1711136940000,16.899
1711132680000,16.57600,16.60800,16.57500,16.60400,42951.4,1711132739999,712706.097200,2208,27860.5,1711136940000,16.899
1711132740000,16.60400,16.61600,16.59000,16.60000,25380.2,1711132799999,421431.938900,1557,11547.1,1711136940000,16.899
1711132800000,16.59900,16.64100,16.54000,16.61500,160102.3,1711132859999,2657262.772600,4335,78632.8,1711136940000,16.899
1711132860000,16.61400,16.62200,16.56400,16.57500,30346.4,1711132919999,503780.545200,1482,11429.8,1711136940000,16.899
1711132920000,16.57300,16.60500,16.54400,16.59800,31367.1,1711132979999,519895.731500,1423,20638.1,1711136940000,16.899
1711132980000,16.59800,16.62700,16.57400,16.59200,35160.8,1711133039999,583757.436900,1546,18552.5,1711136940000,16.899
1711133040000,16.59300,16.60200,16.56000,16.56900,27327.2,1711133099999,453309.503000,1203,15222.7,1711136940000,16.899
1711133100000,16.56900,16.60000,16.56900,16.59200,20391.8,1711133159999,338221.770000,1008,11289.9,1711136940000,16.899
1711133160000,16.59100,16.60300,16.54800,16.54800,25599.3,1711133219999,424170.891800,1536,8349.9,1711136940000,16.899
1711133220000,16.54800,16.56400,16.53600,16.55000,14536.7,1711133279999,240586.313200,895,8677.3,1711136940000,16.899
1711133280000,16.55000,16.55400,16.52500,16.54200,17274.5,1711133339999,285680.002600,1055,5490.2,1711136940000,16.899
1711133340000,16.53900,16.55200,16.50500,16.52000,34903.0,1711133399999,576858.472000,1647,9331.5,1711136940000,16.899
1711133400000,16.52000,16.57300,16.51400,16.57200,22381.3,1711133459999,370034.187400,1163,9234.7,1711136940000,16.899
1711133460000,16.57100,16.58200,16.54300,16.55600,28201.1,1711133519999,467154.644800,1316,10746.0,1711136940000,16.899
1711133520000,16.55500,16.55500,16.49700,16.50100,45993.9,1711133579999,759898.692700,2248,16674.5,1711136940000,16.899
1711133580000,16.50000,16.54000,16.49100,16.51300,17281.1,1711133639999,285299.762100,959,6279.7,1711136940000,16.899
1711133640000,16.51400,16.58200,16.51400,16.55900,60472.3,1711133699999,1001092.978600,1633,50949.8,1711136940000,16.899
1711133700000,16.55800,16.57600,16.51400,16.52300,13362.1,1711133759999,221104.057600,860,5800.4,1711136940000,16.899
1711133760000,16.52500,16.55400,16.51600,16.53900,9430.0,1711133819999,155944.656300,651,3123.8,1711136940000,16.899
1711133820000,16.54100,16.56100,16.53200,16.53700,12789.0,1711133879999,211587.760500,650,6278.1,1711136940000,16.899
1711133880000,16.53700,16.60400,16.53700,16.57700,77318.2,1711133939999,1282248.552500,2444,49842.2,1711136940000,16.899
1711133940000,16.57700,16.60200,16.57200,16.57900,19315.0,1711133999999,320409.382000,911,9430.0,1711136940000,16.899
1711134000000,16.57900,16.58200,16.54200,16.56800,16659.0,1711134059999,275845.569800,986,10284.8,1711136940000,16.899
1711134060000,16.56700,16.58100,16.54400,16.55700,9278.0,1711134119999,153686.200700,678,5698.7,1711136940000,16.899
1711134120000,16.55600,16.57100,16.54600,16.55200,6928.6,1711134179999,114722.466100,616,3348.8,1711136940000,16.899
1711134180000,16.55300,16.60000,16.55300,16.59900,13110.5,1711134239999,217423.523900,720,8806.2,1711136940000,16.899
1711134240000,16.60000,16.60200,16.53800,16.54600,45651.2,1711134299999,756325.617700,1620,18293.0,1711136940000,16.899
1711134300000,16.54500,16.60500,16.53600,16.59800,17869.6,1711134359999,296185.641500,954,5991.2,1711136940000,16.899
1711134360000,16.59800,16.61700,16.59100,16.59300,11931.8,1711134419999,198108.723100,817,7030.7,1711136940000,16.899
1711134420000,16.59300,16.60400,16.57600,16.57900,12102.4,1711134479999,200833.297400,745,6375.2,1711136940000,16.899
1711134480000,16.57900,16.60900,16.55800,16.60800,13434.7,1711134539999,222811.832600,747,8482.2,1711136940000,16.899
1711134540000,16.60700,16.66000,16.60000,16.64900,74974.2,1711134599999,1246978.162100,3206,55671.8,1711136940000,16.899
1711134600000,16.65100,16.65100,16.54400,16.55800,51464.2,1711134659999,854000.677600,2356,17224.6,1711136940000,16.899
1711134660000,16.55800,16.56100,16.48900,16.49800,37847.4,1711134719999,625280.004100,2587,13987.3,1711136940000,16.899
1711134720000,16.49800,16.50100,16.45700,16.46600,29111.7,1711134779999,479734.951000,1835,11665.8,1711136940000,16.899
1711134780000,16.46700,16.49200,16.46000,16.46900,24746.5,1711134839999,407681.574800,1112,16431.4,1711136940000,16.899
1711134840000,16.47100,16.49900,16.45900,16.49100,15257.5,1711134899999,251338.423800,867,9742.7,1711136940000,16.899
1711134900000,16.48900,16.50600,16.45500,16.49700,15318.0,1711134959999,252470.344500,1238,8022.0,1711136940000,16.899
1711134960000,16.49900,16.53600,16.47600,16.53000,24077.1,1711135019999,397668.353500,1189,17499.0,1711136940000,16.899
1711135020000,16.53000,16.59700,16.51800,16.58100,34408.4,1711135079999,569694.656000,1697,24985.8,1711136940000,16.899
1711135080000,16.58000,16.60000,16.54600,16.54600,43361.5,1711135139999,718869.127300,2014,18614.6,1711136940000,16.899
1711135140000,16.54600,16.57700,16.54100,16.55500,20939.1,1711135199999,346610.851200,1038,9500.3,1711136940000,16.899
1711135200000,16.55700,16.59700,16.54000,16.59200,14224.2,1711135259999,235713.724100,846,8868.4,1711136940000,16.899
1711135260000,16.59100,16.59600,16.55700,16.57000,13585.8,1711135319999,225246.105100,749,4426.3,1711136940000,16.899
1711135320000,16.56900,16.56900,16.53500,16.54600,13384.2,1711135379999,221566.379300,687,3359.5,1711136940000,16.899
1711135380000,16.54600,16.55200,16.49700,16.54600,46453.9,1711135439999,767200.984000,1397,23997.4,1711136940000,16.899
1711135440000,16.54500,16.55300,16.50900,16.52000,13297.7,1711135499999,219815.477400,672,5599.6,1711136940000,16.899
1711135500000,16.52000,16.56200,16.51300,16.55500,13884.6,1711135559999,229667.511900,878,8120.5,1711136940000,16.899
1711135560000,16.55500,16.64100,16.55300,16.60600,35655.7,1711135619999,592050.600200,2479,24541.7,1711136940000,16.899
1711135620000,16.60500,16.61800,16.58800,16.61300,15441.1,1711135679999,256385.196000,897,6332.8,1711136940000,16.899
1711135680000,16.61200,16.61200,16.57500,16.59600,11855.5,1711135739999,196760.034100,819,5474.6,1711136940000,16.899
1711135740000,16.59500,16.60000,16.56500,16.57000,13314.5,1711135799999,220762.461400,805,6233.0,1711136940000,16.899
1711135800000,16.56900,16.58400,16.54200,16.55400,53850.6,1711135859999,891477.637600,1541,23746.4,1711136940000,16.899
1711135860000,16.55400,16.58600,16.55400,16.57400,11405.1,1711135919999,189027.528100,721,5306.2,1711136940000,16.899
1711135920000,16.57400,16.57400,16.53300,16.56000,15025.3,1711135979999,248682.755300,986,7032.4,1711136940000,16.899
1711135980000,16.55900,16.56900,16.53100,16.55000,9161.8,1711136039999,151607.888500,669,3448.4,1711136940000,16.899
1711136040000,16.55100,16.55500,16.53400,16.54100,5892.6,1711136099999,97480.122300,459,2196.0,1711136940000,16.899
1711136100000,16.54000,16.59300,16.53800,16.57300,14861.2,1711136159999,246259.755700,966,10001.2,1711136940000,16.899
1711136160000,16.57200,16.62300,16.57200,16.61900,16845.8,1711136219999,279537.035700,954,10043.8,1711136940000,16.899
1711136220000,16.62000,16.64600,16.60300,16.63900,28461.0,1711136279999,473219.581700,1256,16727.1,1711136940000,16.899
1711136280000,16.63900,16.65000,16.61200,16.64400,19515.1,1711136339999,324662.086900,954,10434.4,1711136940000,16.899
1711136340000,16.64400,16.69000,16.63100,16.68100,40110.2,1711136399999,668180.291000,1775,29413.2,1711136940000,16.899
1711136400000,16.68000,16.71400,16.66600,16.71000,40223.7,1711136459999,671353.005700,2441,24012.4,1711136940000,16.899
1711136460000,16.71100,16.73200,16.68900,16.69000,48964.0,1711136519999,818354.928500,2417,26094.3,1711136940000,16.899
1711136520000,16.69200,16.70600,16.66600,16.68700,35878.4,1711136579999,598766.566400,1719,20713.9,1711136940000,16.899
1711136580000,16.68600,16.73000,16.68400,16.72500,28534.0,1711136639999,476973.962900,1372,20133.6,1711136940000,16.899
1711136640000,16.72600,16.73900,16.71400,16.72000,29164.4,1711136699999,487883.802300,1270,14737.1,1711136940000,16.899
1711136700000,16.72000,16.75000,16.71400,16.74100,37176.6,1711136759999,622375.171000,1439,23699.7,1711136940000,16.899
1711136760000,16.74200,16.74200,16.68800,16.72200,27846.6,1711136819999,465309.406100,1426,9502.2,1711136940000,16.899
1711136820000,16.72100,16.74100,16.69500,16.73700,32052.8,1711136879999,535908.083000,1446,12012.6,1711136940000,16.899
1711136880000,16.73600,16.82500,16.73200,16.79900,139452.4,1711136939999,2341510.615700,4824,88460.2,1711136940000,16.899
1711136940000,16.79800,16.92000,16.77500,16.90700,222025.3,1711136999999,3744227.149100,7583,136829.9,1711136940000,16.899
1711137000000,16.90600,16.95800,16.87700,16.92900,125669.0,1711137059999,2126384.721100,5396,76829.8,1711136940000,16.899
1711137060000,16.93000,16.93200,16.87700,16.88800,59643.5,1711137119999,1008224.818100,2639,23952.8,1711136940000,16.899
1711137120000,16.88800,16.98900,16.88300,16.98000,101108.4,1711137179999,1711917.516900,3888,58965.4,1711136940000,16.899
1711137180000,16.98100,16.99100,16.94200,16.98800,112001.5,1711137239999,1900629.747300,3482,57003.1,1711136940000,16.899
1711137240000,16.98900,16.98900,16.92100,16.93300,37931.6,1711137299999,642760.932800,1928,13542.7,1711136940000,16.899
1711137300000,16.93300,16.97800,16.92700,16.96100,53577.0,1711137359999,908118.307800,1971,24084.3,1711136940000,16.899
1711137360000,16.96200,16.96500,16.93700,16.93800,31649.2,1711137419999,536485.905200,1598,12970.9,1711136940000,16.899
1711137420000,16.93800,16.97700,16.92700,16.95900,54127.7,1711137479999,917479.236100,2040,35221.2,1711136940000,16.899
1711137480000,16.95900,16.95900,16.88600,16.90400,61820.7,1711137539999,1045683.225300,2469,18772.7,1711136940000,16.899
1711137540000,16.90300,16.90700,16.81300,16.82400,55294.3,1711137599999,932083.289700,3394,22209.2,1711136940000,16.899
1711137600000,16.82400,16.87500,16.78000,16.86000,75348.0,1711137659999,1267685.351300,4434,36891.3,1711136940000,16.899
1711137660000,16.86000,16.91900,16.83900,16.90400,57607.3,1711137719999,972642.792300,2968,32680.0,1711136940000,16.899
1711137720000,16.90400,16.90600,16.74100,16.76000,65728.4,1711137779999,1104818.327100,4169,21663.5,1711136940000,16.899
1711137780000,16.76200,16.79000,16.74100,16.77200,66062.1,1711137839999,1107452.729700,3119,41893.7,1711136940000,16.899
1711137840000,16.77300,16.77700,16.72700,16.73000,21192.6,1711137899999,354990.948500,1473,8397.2,1711136940000,16.899
1711137900000,16.73100,16.74900,16.70400,16.72600,46353.7,1711137959999,775262.272900,2429,26266.4,1711136940000,16.899
1711137960000,16.72600,16.72700,16.68000,16.68700,50320.5,1711138019999,840430.290300,2711,19194.5,1711136940000,16.899
1711138020000,16.68500,16.69900,16.67200,16.68000,22216.4,1711138079999,370683.173100,1402,12250.3,1711136940000,16.899
1711138080000,16.67800,16.68000,16.63200,16.65300,46230.1,1711138139999,770177.418100,3128,18211.6,1711136940000,16.899
1711138140000,16.65300,16.72500,16.65300,16.71600,44310.5,1711138199999,739525.473700,2272,30982.5,1711136940000,16.899
1711138200000,16.71500,16.71800,16.63300,16.66400,46588.6,1711138259999,776396.364900,2000,27321.1,1711136940000,16.899
1711138260000,16.66500,16.73900,16.66400,16.69000,48696.1,1711138319999,813325.850800,2191,21792.8,1711136940000,16.899
1711138320000,16.69000,16.70700,16.67400,16.69200,16086.9,1711138379999,268460.278200,1079,7567.5,1711136940000,16.899
1711138380000,16.68900,16.69500,16.66300,16.68200,13220.5,1711138439999,220495.127400,800,5211.4,1711136940000,16.899
1711138440000,16.68000,16.68200,16.64000,16.65500,23686.9,1711138499999,394632.303100,1094,11547.4,1711136940000,16.899
1711138500000,16.65500,16.65500,16.58100,16.60400,82946.9,1711138559999,1377907.139000,3547,25772.0,1711136940000,16.899
1711138560000,16.60200,16.63900,16.59600,16.61400,23973.2,1711138619999,398284.411000,1502,14005.7,1711136940000,16.899
1711138620000,16.61300,16.65800,16.59700,16.59700,29939.8,1711138679999,497748.727300,1624,15493.2,1711136940000,16.899
1711138680000,16.59700,16.61100,16.57300,16.58900,28156.5,1711138739999,467031.669900,1824,12053.9,1711136940000,16.899
1711138740000,16.58700,16.61800,16.53000,16.53600,36387.1,1711138799999,602716.731700,2119,13114.3,1711136940000,16.899
1711138800000,16.53600,16.63300,16.53100,16.63000,50242.4,1711138859999,833518.871700,2416,36188.2,1711136940000,16.899
1711138860000,16.63000,16.67700,16.61200,16.64700,36991.3,1711138919999,615906.447200,1989,19374.8,1711136940000,16.899
1711138920000,16.64600,16.65100,16.56400,16.57900,25216.5,1711138979999,418764.112400,1624,8319.8,1711136940000,16.899
1711138980000,16.57900,16.59300,16.56300,16.58800,13507.9,1711139039999,223884.496800,882,7233.5,1711136940000,16.899
1711139040000,16.58800,16.58800,16.54100,16.55200,19772.8,1711139099999,327455.213300,1213,7916.8,1711136940000,16.899
1711139100000,16.55100,16.55800,16.52900,16.53500,20002.8,1711139159999,330887.073100,1046,9221.4,1711136940000,16.899
1711139160000,16.53500,16.59100,16.52800,16.56600,35762.2,1711139219999,592455.689300,1659,16847.6,1711136940000,16.899
1711139220000,16.56600,16.61900,16.55600,16.60900,27966.6,1711139279999,463862.922700,1402,17636.0,1711136940000,16.899
1711139280000,16.61000,16.62100,16.57900,16.62000,18504.3,1711139339999,307212.663100,1125,9655.7,1711136940000,16.899
1711139340000,16.62000,16.62000,16.55100,16.56100,56304.3,1711139399999,933503.973100,1701,19994.5,1711136940000,16.899
1711139400000,16.56000,16.63700,16.55700,16.63200,34039.8,1711139459999,565290.647900,1568,26669.0,1711136940000,16.899
1711139460000,16.63300,16.63300,16.58500,16.59500,20264.4,1711139519999,336558.966900,1127,7245.5,1711136940000,16.899
1711139520000,16.59600,16.61400,16.58100,16.58900,15142.5,1711139579999,251318.260600,839,6032.9,1711136940000,16.899
1711139580000,16.58800,16.60400,16.52200,16.52300,38659.5,1711139639999,640041.230500,1732,10512.9,1711136940000,16.899
1711139640000,16.52200,16.53500,16.48700,16.49800,37469.6,1711139699999,618601.552500,2170,14994.6,1711136940000,16.899
1711139700000,16.49800,16.55900,16.49200,16.54500,25645.6,1711139759999,423775.377300,1484,12201.0,1711136940000,16.899
1711139760000,16.54400,16.57100,16.52000,16.53600,26434.6,1711139819999,437299.607500,1221,9752.0,1711136940000,16.899
1711139820000,16.53700,16.56900,16.52700,16.55500,11162.2,1711139879999,184684.593500,781,5147.8,1711136940000,16.899
1711139880000,16.55500,16.57900,16.53400,16.57000,23176.8,1711139939999,383686.179800,932,14885.5,1711136940000,16.899
1711139940000,16.56900,16.61200,16.56400,16.59000,21490.9,1711139999999,356567.578100,1639,11981.3,1711136940000,16.899
1711140000000,16.59100,16.59900,16.54700,16.56000,13253.2,1711140059999,219608.322200,868,6510.3,1711136940000,16.899
1711140060000,16.56000,16.60000,16.55100,16.59800,12191.0,1711140119999,202090.973000,831,6971.5,1711136940000,16.899
1711140120000,16.59600,16.59600,16.54900,16.56300,11191.2,1711140179999,185491.974700,801,5168.7,1711136940000,16.899
1711140180000,16.56000,16.58500,16.55200,16.55400,9048.1,1711140239999,149885.091900,657,5343.0,1711136940000,16.899
1711140240000,16.55400,16.55400,16.47700,16.49700,50346.7,1711140299999,830616.064100,2917,16672.5,1711136940000,16.899
1711140300000,16.49800,16.52900,16.48700,16.52600,22735.9,1711140359999,375290.021200,1167,13754.8,1711136940000,16.899
1711140360000,16.52600,16.54200,16.51000,16.52400,14744.0,1711140419999,243647.758700,909,6750.7,1711136940000,16.899
1711140420000,16.52300,16.53900,16.50700,16.52500,9197.8,1711140479999,151940.714600,582,5696.7,1711136940000,16.899
1711140480000,16.52600,16.53800,16.51100,16.52900,7663.3,1711140539999,126606.084800,555,3337.0,1711136940000,16.899
1711140540000,16.53000,16.54400,16.46700,16.48000,26651.8,1711140599999,439796.350800,1558,11304.8,1711136940000,16.899
1711140600000,16.47900,16.53600,16.47700,16.53000,40750.0,1711140659999,672845.293000,1831,23565.3,1711136940000,16.899
1711140660000,16.53000,16.58000,16.53000,16.57300,28324.8,1711140719999,468978.682600,1531,16603.0,1711136940000,16.899
1711140720000,16.57200,16.58500,16.52800,16.54000,16810.5,1711140779999,278434.650700,934,6851.9,1711136940000,16.899
1711140780000,16.53900,16.56100,16.53100,16.53700,9493.9,1711140839999,157081.631500,596,5601.7,1711136940000,16.899
1711140840000,16.53600,16.54200,16.50000,16.51500,13917.4,1711140899999,229889.675900,822,6439.0,1711136940000,16.899
1711140900000,16.51400,16.51400,16.43500,16.44100,35551.9,1711140959999,585120.217800,2358,12081.0,1711136940000,16.899
1711140960000,16.44000,16.47400,16.42700,16.42700,34447.7,1711141019999,566396.030400,1645,19213.9,1711136940000,16.899
1711141020000,16.42900,16.45000,16.41000,16.42600,35008.9,1711141079999,575144.982300,1714,12923.0,1711136940000,16.899
1711141080000,16.42600,16.47400,16.42300,16.47000,31756.2,1711141139999,522395.097200,1331,23474.2,1711136940000,16.899
1711141140000,16.46900,16.47200,16.45000,16.46200,13929.5,1711141199999,229285.188000,927,7073.4,1711136940000,16.899
1711141200000,16.46300,16.47800,16.42000,16.42500,25506.0,1711141259999,419800.434700,1401,13141.3,1711136940000,16.899
1711141260000,16.42400,16.43000,16.38900,16.43000,37811.3,1711141319999,620440.033900,2179,15054.7,1711136940000,16.899
1711141320000,16.43100,16.45300,16.43000,16.44200,14545.0,1711141379999,239133.334100,942,9514.4,1711136940000,16.899
1711141380000,16.44200,16.44600,16.38600,16.39700,25148.7,1711141439999,412632.170800,1398,8763.5,1711136940000,16.899
1711141440000,16.39800,16.42900,16.37200,16.38400,35335.2,1711141499999,579454.139200,1748,14728.0,1711136940000,16.899
1711141500000,16.38400,16.41600,16.34900,16.41600,34398.2,1711141559999,563075.428400,2095,13868.5,1711136940000,16.899
1711141560000,16.41500,16.41500,16.34000,16.35100,30071.0,1711141619999,492518.937800,1738,11628.4,1711136940000,16.899
1711141620000,16.35100,16.38000,16.32900,16.34000,39061.8,1711141679999,638699.653600,1713,12557.9,1711136940000,16.899
1711141680000,16.34000,16.34300,16.27500,16.27800,59753.2,1711141739999,973923.815000,3831,19906.9,1711136940000,16.899
1711141740000,16.27800,16.31000,16.24000,16.28900,75105.6,1711141799999,1222163.827200,3714,32156.5,1711136940000,16.899
1711141800000,16.28900,16.35300,16.28900,16.32700,59659.4,1711141859999,974002.341300,2368,30975.4,1711136940000,16.899
1711141860000,16.33000,16.33800,16.23300,16.28400,109416.4,1711141919999,1780257.970600,2801,32155.7,1711136940000,16.899
1711141920000,16.28400,16.30300,16.27400,16.28400,26427.3,1711141979999,430496.477600,1308,15197.5,1711136940000,16.899
1711141980000,16.28500,16.29500,16.27100,16.28800,22903.0,1711142039999,372984.152900,1003,15025.0,1711136940000,16.899
1711142040000,16.28700,16.30300,16.26600,16.26900,18168.9,1711142099999,296004.699100,805,9978.3,1711136940000,16.899
1711142100000,16.26800,16.29700,16.25200,16.29400,27136.3,1711142159999,441880.367700,1442,13787.6,1711136940000,16.899
1711142160000,16.29400,16.34600,16.28800,16.34100,31292.8,1711142219999,510660.151100,1412,22122.4,1711136940000,16.899
1711142220000,16.34000,16.35600,16.32700,16.35000,23988.8,1711142279999,392096.832100,1245,16242.3,1711136940000,16.899
1711142280000,16.35100,16.36200,16.32400,16.33500,15023.8,1711142339999,245598.381200,937,7973.1,1711136940000,16.899
1711142340000,16.33500,16.35100,16.30000,16.30300,26270.1,1711142399999,428951.173400,952,10095.2,1711136940000,16.899
1711142400000,16.30400,16.30500,16.22000,16.22500,40106.4,1711142459999,652263.709900,2222,15122.9,1711136940000,16.899
1711142460000,16.22300,16.33900,16.22000,16.33700,45231.7,1711142519999,736333.197500,2374,31294.0,1711136940000,16.899
1711142520000,16.33400,16.37300,16.33200,16.33800,32831.9,1711142579999,536739.020600,1797,17784.2,1711136940000,16.899
1711142580000,16.33900,16.34100,16.28000,16.28800,18722.7,1711142639999,305084.132600,1052,7246.7,1711136940000,16.899
1711142640000,16.28900,16.31800,16.27100,16.31500,15928.1,1711142699999,259561.314100,1108,11658.3,1711136940000,16.899
1711142700000,16.31400,16.33800,16.29200,16.32600,30686.4,1711142759999,500854.760800,1423,15440.3,1711136940000,16.899
1711142760000,16.32600,16.35500,16.31800,16.35100,21722.9,1711142819999,354831.910600,1090,13841.7,1711136940000,16.899
1711142820000,16.35100,16.38900,16.35100,16.38600,39697.9,1711142879999,649777.083700,1659,24012.0,1711136940000,16.899
1711142880000,16.38700,16.39200,16.32700,16.33300,17972.0,1711142939999,293951.257000,968,5678.1,1711136940000,16.899
1711142940000,16.33500,16.35600,16.32500,16.32900,11625.4,1711142999999,190015.957400,698,5896.9,1711136940000,16.899
1711143000000,16.32800,16.37000,16.28400,16.36700,21257.1,1711143059999,346897.471500,1396,8210.8,1711136940000,16.899
1711143060000,16.36700,16.37200,16.33700,16.33700,16690.5,1711143119999,273053.270500,815,7239.6,1711136940000,16.899
1711143120000,16.33600,16.36900,16.31600,16.31600,21365.7,1711143179999,349349.242400,1006,13637.0,1711136940000,16.899
1711143180000,16.31600,16.33700,16.29400,16.29800,21645.5,1711143239999,353135.003200,1159,9531.9,1711136940000,16.899
1711143240000,16.29800,16.31600,16.27900,16.30400,19208.6,1711143299999,313065.168700,1062,7273.9,1711136940000,16.899
1711143300000,16.30300,16.31200,16.27800,16.30700,17654.9,1711143359999,287726.774500,864,7740.2,1711136940000,16.899
1711143360000,16.30800,16.31000,16.19100,16.22000,47794.3,1711143419999,776022.965800,3734,16864.5,1711136940000,16.899
1711143420000,16.21900,16.26500,16.20500,16.25600,35412.2,1711143479999,574952.271300,1737,17083.6,1711136940000,16.899
1711143480000,16.25800,16.37800,16.25100,16.37300,43587.4,1711143539999,711089.847200,3153,31545.6,1711136940000,16.899
1711143540000,16.37400,16.38200,16.31800,16.35000,29619.4,1711143599999,484195.555900,1608,10575.0,1711136940000,16.899
1711143600000,16.35000,16.35700,16.32300,16.33500,17423.4,1711143659999,284741.800300,869,9684.2,1711136940000,16.899
1711143660000,16.33400,16.41200,16.33400,16.41200,28563.2,1711143719999,467857.105000,1766,22709.4,1711136940000,16.899
1711143720000,16.40900,16.43300,16.40100,16.43300,36268.0,1711143779999,595384.927500,1706,25679.1,1711136940000,16.899
1711143780000,16.43200,16.43300,16.38200,16.38800,18085.0,1711143839999,296635.186400,843,5961.4,1711136940000,16.899
1711143840000,16.38800,16.40000,16.38500,16.39800,10453.0,1711143899999,171337.855900,479,8215.5,1711136940000,16.899
1711143900000,16.39800,16.40000,16.34300,16.35200,26426.7,1711143959999,432542.989500,983,4575.9,1711136940000,16.899
1711143960000,16.35200,16.35300,16.29600,16.34100,27832.7,1711144019999,454302.734400,1689,9678.7,1711136940000,16.899
1711144020000,16.34200,16.37900,16.33000,16.36800,15458.4,1711144079999,252754.639400,985,8288.4,1711136940000,16.899
1711144080000,16.36800,16.38400,16.36200,16.37800,18637.9,1711144139999,305156.424600,661,12063.6,1711136940000,16.899
1711144140000,16.37700,16.37900,16.35500,16.36000,15532.5,1711144199999,254202.983400,674,5287.4,1711136940000,16.899
1711144200000,16.36000,16.37400,16.34800,16.37300,21075.9,1711144259999,344772.373700,792,11587.2,1711136940000,16.899
1711144260000,16.37400,16.37900,16.35500,16.35600,20820.1,1711144319999,340829.971500,1013,5306.6,1711136940000,16.899
1711144320000,16.35700,16.37200,16.35500,16.36800,7950.9,1711144379999,130105.273800,440,5121.7,1711136940000,16.899
1711144380000,16.36700,16.36700,16.34600,16.34900,18973.3,1711144439999,310326.109000,558,6620.0,1711136940000,16.899
1711144440000,16.34900,16.36000,16.30100,16.30200,15452.0,1711144499999,252448.812100,686,5299.8,1711136940000,16.899
1711144500000,16.30200,16.30300,16.22300,16.24600,53079.9,1711144559999,863022.601200,2320,19458.1,1711136940000,16.899
1711144560000,16.24500,16.30000,16.24500,16.30000,22985.9,1711144619999,373951.826200,1175,14018.5,1711136940000,16.899
1711144620000,16.30000,16.31000,16.26400,16.28600,25719.0,1711144679999,418932.277900,1260,11440.9,1711136940000,16.899
1711144680000,16.28500,16.30700,16.28500,16.30400,10919.9,1711144739999,177994.345200,625,5892.9,1711136940000,16.899
1711144740000,16.30600,16.34600,16.30300,16.32200,16322.8,1711144799999,266469.895900,1057,9738.7,1711136940000,16.899
1711144800000,16.32200,16.33800,16.29800,16.31400,18877.0,1711144859999,308000.081200,1300,8006.1,1711136940000,16.899
1711144860000,16.31500,16.36800,16.31300,16.36500,20352.5,1711144919999,332605.755200,1229,12910.8,1711136940000,16.899
1711144920000,16.36600,16.38300,16.31500,16.32300,21883.3,1711144979999,357748.408100,1444,11305.6,1711136940000,16.899
1711144980000,16.32300,16.35600,16.31400,16.35600,17172.0,1711145039999,280464.662100,912,9723.7,1711136940000,16.899
1711145040000,16.35300,16.38400,16.34300,16.36000,13316.9,1711145099999,217941.789200,899,5801.1,1711136940000,16.899
1711145100000,16.36100,16.36800,16.30800,16.31200,34533.5,1711145159999,564254.228100,1521,10500.5,1711136940000,16.899
