Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710297180000,2.066300,2.066800,2.065600,2.066800,54011.0,1710297239999,111590.7453000,295,27634.0,1710302580000,2.0941
1710297240000,2.066900,2.068100,2.066600,2.067000,57997.2,1710297299999,119903.9799400,258,27739.3,1710302580000,2.0941
1710297300000,2.067000,2.067800,2.066400,2.067800,41094.9,1710297359999,84944.4228500,203,24626.1,1710302580000,2.0941
1710297360000,2.067800,2.068200,2.063900,2.064900,212843.8,1710297419999,439723.2903500,587,29049.1,1710302580000,2.0941
1710297420000,2.065000,2.066400,2.064500,2.066100,57238.6,1710297479999,118228.6646000,287,38802.7,1710302580000,2.0941
1710297480000,2.066200,2.067700,2.066200,2.067400,70755.0,1710297539999,146243.0869100,247,55329.0,1710302580000,2.0941
1710297540000,2.067500,2.069000,2.067500,2.068800,53387.5,1710297599999,110415.8300400,411,47229.3,1710302580000,2.0941
1710297600000,2.068900,2.072700,2.068900,2.072700,128039.2,1710297659999,265111.0505300,368,108135.0,1710302580000,2.0941
1710297660000,2.072800,2.074200,2.072500,2.073900,156224.6,1710297719999,323914.9066400,529,102519.4,1710302580000,2.0941
1710297720000,2.073900,2.074000,2.069200,2.069900,200360.0,1710297779999,415085.7548300,482,27645.6,1710302580000,2.0941
1710297780000,2.069800,2.070800,2.069000,2.069300,60691.2,1710297839999,125623.7632300,254,43207.1,1710302580000,2.0941
1710297840000,2.069300,2.069300,2.067600,2.068800,83418.2,1710297899999,172520.3710400,298,37499.0,1710302580000,2.0941
1710297900000,2.068700,2.069800,2.068700,2.069100,39586.8,1710297959999,81907.8718300,376,23544.6,1710302580000,2.0941
1710297960000,2.069200,2.071100,2.069200,2.070700,63167.4,1710298019999,130773.7684300,264,46554.3,1710302580000,2.0941
1710298020000,2.070700,2.071000,2.069100,2.069200,47614.3,1710298079999,98570.3517900,226,18431.5,1710302580000,2.0941
1710298080000,2.069100,2.070100,2.068700,2.070100,32164.7,1710298139999,66560.8771200,236,18843.2,1710302580000,2.0941
1710298140000,2.070200,2.074400,2.070200,2.074400,101311.6,1710298199999,209864.7712700,391,89547.7,1710302580000,2.0941
1710298200000,2.074500,2.075200,2.072300,2.072600,73493.2,1710298259999,152413.0759300,377,39386.5,1710302580000,2.0941
1710298260000,2.072600,2.072700,2.071300,2.071300,62718.7,1710298319999,129949.6877400,321,19816.9,1710302580000,2.0941
1710298320000,2.071300,2.074100,2.070700,2.072900,125411.7,1710298379999,259911.3372500,445,82491.1,1710302580000,2.0941
1710298380000,2.072600,2.073400,2.070900,2.071200,31852.0,1710298439999,65987.9219600,230,7069.8,1710302580000,2.0941
1710298440000,2.071300,2.073600,2.071100,2.072600,50664.1,1710298499999,105009.8120400,292,38575.6,1710302580000,2.0941
1710298500000,2.072500,2.073500,2.072500,2.072600,43653.9,1710298559999,90499.4512600,272,21187.1,1710302580000,2.0941
1710298560000,2.072500,2.072900,2.070300,2.070500,55488.8,1710298619999,114952.4433100,317,7710.4,1710302580000,2.0941
1710298620000,2.070600,2.071000,2.068700,2.069100,67116.2,1710298679999,138904.4906200,376,15456.1,1710302580000,2.0941
1710298680000,2.069100,2.069600,2.068700,2.069000,46544.8,1710298739999,96309.5122900,237,15235.4,1710302580000,2.0941
1710298740000,2.069000,2.069800,2.068900,2.069200,30544.2,1710298799999,63202.9334900,190,23105.1,1710302580000,2.0941
1710298800000,2.069200,2.069200,2.066700,2.067000,115073.7,1710298859999,237943.4853900,853,40952.0,1710302580000,2.0941
1710298860000,2.067100,2.067400,2.064100,2.065100,82908.8,1710298919999,171247.4571600,439,21501.9,1710302580000,2.0941
1710298920000,2.065100,2.065200,2.063400,2.064100,71665.4,1710298979999,147923.8172000,382,17066.5,1710302580000,2.0941
1710298980000,2.064100,2.064900,2.063600,2.064200,40402.8,1710299039999,83408.0116000,284,19363.8,1710302580000,2.0941
1710299040000,2.064100,2.064200,2.061600,2.062800,131557.5,1710299099999,271334.9483700,476,17215.1,1710302580000,2.0941
1710299100000,2.062700,2.065100,2.062700,2.064600,84630.9,1710299159999,174723.6626600,383,26245.1,1710302580000,2.0941
1710299160000,2.064600,2.065400,2.062700,2.062700,102742.0,1710299219999,212104.4674100,410,42342.9,1710302580000,2.0941
1710299220000,2.062700,2.066200,2.062600,2.065900,85806.1,1710299279999,177104.2041400,398,40785.8,1710302580000,2.0941
1710299280000,2.066000,2.066800,2.064800,2.065200,63493.7,1710299339999,131165.4246200,321,16933.8,1710302580000,2.0941
1710299340000,2.065100,2.065200,2.064100,2.064700,45143.1,1710299399999,93203.4454700,212,19382.0,1710302580000,2.0941
1710299400000,2.064600,2.065700,2.064400,2.065000,37579.3,1710299459999,77600.2284400,216,11870.5,1710302580000,2.0941
1710299460000,2.065000,2.065400,2.064800,2.065000,22544.4,1710299519999,46556.1475100,169,18312.2,1710302580000,2.0941
1710299520000,2.065300,2.065500,2.064300,2.065000,54064.9,1710299579999,111640.5623200,260,20505.4,1710302580000,2.0941
1710299580000,2.065000,2.065000,2.062600,2.063500,61261.0,1710299639999,126449.5176000,245,15247.9,1710302580000,2.0941
1710299640000,2.063400,2.064800,2.063300,2.064800,29851.7,1710299699999,61609.6547800,213,9016.2,1710302580000,2.0941
1710299700000,2.064800,2.065000,2.064400,2.065000,47568.5,1710299759999,98218.0248800,246,7964.5,1710302580000,2.0941
1710299760000,2.065000,2.069200,2.064600,2.067700,350598.6,1710299819999,724866.2010200,1290,247027.9,1710302580000,2.0941
1710299820000,2.067500,2.067600,2.066600,2.067300,28829.4,1710299879999,59597.5039000,182,14522.4,1710302580000,2.0941
1710299880000,2.067300,2.067300,2.065000,2.065000,47762.5,1710299939999,98681.6239000,235,10394.1,1710302580000,2.0941
1710299940000,2.065000,2.065600,2.064500,2.064800,47412.9,1710299999999,97902.7322100,634,21860.4,1710302580000,2.0941
1710300000000,2.064900,2.067200,2.064800,2.065600,141468.2,1710300059999,292278.1517800,497,45460.2,1710302580000,2.0941
1710300060000,2.065600,2.066700,2.064200,2.065800,119109.0,1710300119999,245993.3182100,505,40352.8,1710302580000,2.0941
1710300120000,2.065900,2.066600,2.063900,2.066300,142006.3,1710300179999,293250.0362900,503,89748.6,1710302580000,2.0941
1710300180000,2.066200,2.067500,2.065100,2.067400,163321.1,1710300239999,337529.3402200,565,102873.8,1710302580000,2.0941
1710300240000,2.067500,2.068000,2.065300,2.066600,163339.8,1710300299999,337618.2671900,597,60048.8,1710302580000,2.0941
1710300300000,2.066400,2.069100,2.064900,2.065700,222875.9,1710300359999,460676.0417100,756,47922.7,1710302580000,2.0941
1710300360000,2.065600,2.066800,2.065300,2.066400,47376.2,1710300419999,97889.2898700,276,36725.6,1710302580000,2.0941
1710300420000,2.066400,2.066700,2.065500,2.065900,48290.1,1710300479999,99775.4222900,322,24668.1,1710302580000,2.0941
1710300480000,2.065800,2.066200,2.064900,2.065400,55303.0,1710300539999,114230.9961700,352,26782.9,1710302580000,2.0941
1710300540000,2.065400,2.067700,2.065400,2.067400,79053.1,1710300599999,163355.7113300,344,58715.3,1710302580000,2.0941
1710300600000,2.067300,2.069600,2.066800,2.067900,157509.4,1710300659999,325749.6473800,684,109833.7,1710302580000,2.0941
1710300660000,2.068000,2.069500,2.068000,2.068500,58367.9,1710300719999,120750.7430800,369,35967.2,1710302580000,2.0941
