Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711517400000,2.8106000,2.8134000,2.8100000,2.8108000,7203,1711517459999,20255.1917000,153,2808,1711522740000,2.8612
1711517460000,2.8105000,2.8124000,2.8094000,2.8112000,4389,1711517519999,12335.0454000,127,3741,1711522740000,2.8612
1711517520000,2.8109000,2.8158000,2.8102000,2.8118000,14576,1711517579999,40995.7326000,292,4248,1711522740000,2.8612
1711517580000,2.8119000,2.8119000,2.8083000,2.8088000,12809,1711517639999,36003.5234000,139,2290,1711522740000,2.8612
1711517640000,2.8090000,2.8093000,2.8071000,2.8078000,4637,1711517699999,13023.5054000,117,1766,1711522740000,2.8612
1711517700000,2.8079000,2.8114000,2.8079000,2.8108000,8486,1711517759999,23842.6349000,205,3229,1711522740000,2.8612
1711517760000,2.8108000,2.8130000,2.8093000,2.8130000,7976,1711517819999,22423.6102000,189,2986,1711522740000,2.8612
1711517820000,2.8126000,2.8146000,2.8118000,2.8127000,4707,1711517879999,13240.6741000,141,2349,1711522740000,2.8612
1711517880000,2.8127000,2.8171000,2.8116000,2.8158000,4432,1711517939999,12469.9185000,171,2266,1711522740000,2.8612
1711517940000,2.8162000,2.8164000,2.8132000,2.8156000,3843,1711517999999,10818.3148000,98,2567,1711522740000,2.8612
1711518000000,2.8158000,2.8173000,2.8126000,2.8171000,9002,1711518059999,25346.3886000,193,5146,1711522740000,2.8612
1711518060000,2.8167000,2.8187000,2.8154000,2.8185000,3576,1711518119999,10073.5650000,86,1916,1711522740000,2.8612
1711518120000,2.8186000,2.8196000,2.8173000,2.8194000,7873,1711518179999,22192.2047000,126,3263,1711522740000,2.8612
1711518180000,2.8194000,2.8220000,2.8189000,2.8220000,14359,1711518239999,40505.9607000,229,10487,1711522740000,2.8612
1711518240000,2.8216000,2.8227000,2.8209000,2.8227000,1466,1711518299999,4136.5215000,84,756,1711522740000,2.8612
1711518300000,2.8225000,2.8232000,2.8199000,2.8224000,5432,1711518359999,15328.1554000,144,2255,1711522740000,2.8612
1711518360000,2.8223000,2.8233000,2.8216000,2.8233000,3497,1711518419999,9868.5431000,59,2511,1711522740000,2.8612
1711518420000,2.8234000,2.8245000,2.8182000,2.8207000,10650,1711518479999,30043.9841000,213,2530,1711522740000,2.8612
1711518480000,2.8203000,2.8210000,2.8191000,2.8198000,2382,1711518539999,6718.1063000,66,1347,1711522740000,2.8612
1711518540000,2.8199000,2.8232000,2.8199000,2.8231000,4584,1711518599999,12936.1773000,90,3815,1711522740000,2.8612
1711518600000,2.8229000,2.8254000,2.8225000,2.8245000,4063,1711518659999,11474.5831000,132,2953,1711522740000,2.8612
1711518660000,2.8244000,2.8254000,2.8229000,2.8250000,2611,1711518719999,7373.6928000,110,1398,1711522740000,2.8612
1711518720000,2.8249000,2.8252000,2.8231000,2.8236000,2262,1711518779999,6388.2130000,64,1046,1711522740000,2.8612
1711518780000,2.8241000,2.8290000,2.8231000,2.8279000,10615,1711518839999,30015.7657000,335,8650,1711522740000,2.8612
