Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710712320000,0.08599,0.08599,0.08588,0.08589,146460,1710712379999,12586.60405,79,30030,1710717660000,0.08592
1710712380000,0.08588,0.08588,0.08584,0.08586,108524,1710712439999,9318.82277,44,26640,1710717660000,0.08592
1710712440000,0.08585,0.08585,0.08562,0.08562,120079,1710712499999,10294.72188,128,18988,1710717660000,0.08592
1710712500000,0.08562,0.08572,0.08556,0.08570,274368,1710712559999,23492.57247,186,160530,1710717660000,0.08592
1710712560000,0.08571,0.08591,0.08571,0.08588,218372,1710712619999,18741.94274,99,86725,1710717660000,0.08592
1710712620000,0.08589,0.08596,0.08588,0.08591,100008,1710712679999,8591.44022,69,39088,1710717660000,0.08592
1710712680000,0.08592,0.08602,0.08592,0.08598,152248,1710712739999,13091.92856,87,101765,1710717660000,0.08592
1710712740000,0.08598,0.08598,0.08584,0.08594,303395,1710712799999,26066.00933,153,76075,1710717660000,0.08592
1710712800000,0.08595,0.08622,0.08595,0.08622,144556,1710712859999,12453.56006,164,70232,1710717660000,0.08592
1710712860000,0.08621,0.08624,0.08598,0.08613,329907,1710712919999,28412.11978,245,153881,1710717660000,0.08592
1710712920000,0.08615,0.08619,0.08609,0.08613,158254,1710712979999,13629.88888,151,64347,1710717660000,0.08592
1710712980000,0.08614,0.08617,0.08609,0.08614,117351,1710713039999,10108.53181,103,53856,1710717660000,0.08592
1710713040000,0.08613,0.08617,0.08612,0.08613,57854,1710713099999,4983.63456,73,36883,1710717660000,0.08592
1710713100000,0.08614,0.08634,0.08614,0.08632,126416,1710713159999,10909.09686,102,80071,1710717660000,0.08592
1710713160000,0.08632,0.08633,0.08607,0.08612,256963,1710713219999,22133.45770,198,152424,1710717660000,0.08592
1710713220000,0.08611,0.08618,0.08610,0.08612,91167,1710713279999,7852.28329,95,57092,1710717660000,0.08592
1710713280000,0.08611,0.08611,0.08599,0.08605,327826,1710713339999,28208.47775,206,75248,1710717660000,0.08592
1710713340000,0.08603,0.08609,0.08603,0.08609,57134,1710713399999,4916.68096,60,42272,1710717660000,0.08592
1710713400000,0.08610,0.08613,0.08607,0.08607,107245,1710713459999,9233.83673,102,55211,1710717660000,0.08592
1710713460000,0.08609,0.08611,0.08606,0.08610,186333,1710713519999,16039.91871,107,134767,1710717660000,0.08592
1710713520000,0.08610,0.08628,0.08609,0.08622,242936,1710713579999,20935.25780,162,143206,1710717660000,0.08592
1710713580000,0.08622,0.08626,0.08620,0.08620,141781,1710713639999,12225.98565,110,82891,1710717660000,0.08592
1710713640000,0.08621,0.08630,0.08621,0.08630,94240,1710713699999,8127.74037,72,82992,1710717660000,0.08592
1710713700000,0.08630,0.08637,0.08624,0.08625,187229,1710713759999,16158.95239,115,73312,1710717660000,0.08592
1710713760000,0.08625,0.08626,0.08616,0.08617,178378,1710713819999,15378.89190,137,96652,1710717660000,0.08592
1710713820000,0.08618,0.08632,0.08618,0.08629,77467,1710713879999,6683.09384,65,47489,1710717660000,0.08592
