Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1712229900000,33.770,33.836,33.753,33.798,1105.0,1712229959999,37338.7233,290,790.0,1712235240000,34.765
1712229960000,33.803,33.803,33.748,33.770,1300.4,1712230019999,43925.2723,274,949.3,1712235240000,34.765
1712230020000,33.763,33.765,33.748,33.752,627.2,1712230079999,21171.4993,148,338.8,1712235240000,34.765
1712230080000,33.751,33.782,33.751,33.758,328.9,1712230139999,11104.6495,162,189.9,1712235240000,34.765
1712230140000,33.754,33.806,33.754,33.782,306.0,1712230199999,10338.3438,111,288.1,1712235240000,34.765
1712230200000,33.790,34.020,33.785,33.979,3624.0,1712230259999,122892.6682,1106,2769.4,1712235240000,34.765
1712230260000,33.978,34.224,33.961,34.195,6963.4,1712230319999,237175.0915,1468,4565.6,1712235240000,34.765
1712230320000,34.205,34.337,34.184,34.311,4596.4,1712230379999,157368.5954,1209,2973.3,1712235240000,34.765
1712230380000,34.313,34.413,34.250,34.385,3783.9,1712230439999,129870.5766,1010,2659.8,1712235240000,34.765
1712230440000,34.392,34.529,34.366,34.485,5055.6,1712230499999,174113.0353,1399,3167.9,1712235240000,34.765
1712230500000,34.484,34.484,34.258,34.275,1376.6,1712230559999,47296.2808,656,476.9,1712235240000,34.765
1712230560000,34.275,34.332,34.269,34.314,2652.2,1712230619999,90966.4604,492,1771.5,1712235240000,34.765
1712230620000,34.311,34.360,34.280,34.345,845.9,1712230679999,29032.9594,281,547.1,1712235240000,34.765
1712230680000,34.351,34.351,34.244,34.278,1178.1,1712230739999,40397.5302,289,291.4,1712235240000,34.765
1712230740000,34.267,34.267,34.120,34.155,1816.1,1712230799999,62069.7690,590,856.3,1712235240000,34.765
1712230800000,34.154,34.170,34.068,34.115,2079.4,1712230859999,70964.4216,556,1076.3,1712235240000,34.765
1712230860000,34.101,34.114,34.009,34.088,2446.2,1712230919999,83314.0559,395,1503.5,1712235240000,34.765
1712230920000,34.096,34.116,34.074,34.081,647.6,1712230979999,22081.2049,217,299.0,1712235240000,34.765
1712230980000,34.080,34.080,34.032,34.041,529.3,1712231039999,18023.7874,185,258.8,1712235240000,34.765
1712231040000,34.040,34.041,34.001,34.026,440.7,1712231099999,14993.0271,133,188.1,1712235240000,34.765
1712231100000,34.026,34.223,33.974,34.185,3642.2,1712231159999,124117.4530,704,2285.4,1712235240000,34.765
1712231160000,34.183,34.314,34.113,34.233,3025.6,1712231219999,103456.3994,773,2007.2,1712235240000,34.765
1712231220000,34.233,34.355,34.182,34.333,2123.1,1712231279999,72796.2788,853,1692.8,1712235240000,34.765
1712231280000,34.333,34.335,34.151,34.215,2713.5,1712231339999,92916.5352,653,1578.9,1712235240000,34.765
1712231340000,34.222,34.489,34.222,34.451,2157.2,1712231399999,74179.3564,777,1339.3,1712235240000,34.765
1712231400000,34.449,34.449,34.292,34.300,3985.5,1712231459999,136989.0500,737,2139.8,1712235240000,34.765
1712231460000,34.297,34.314,34.206,34.265,1916.3,1712231519999,65663.4576,610,1076.2,1712235240000,34.765
1712231520000,34.276,34.276,34.140,34.182,4348.2,1712231579999,148633.5129,576,3112.0,1712235240000,34.765
1712231580000,34.178,34.250,34.140,34.167,963.7,1712231639999,32947.2762,339,435.8,1712235240000,34.765
1712231640000,34.167,34.231,34.164,34.179,412.5,1712231699999,14106.8636,217,211.4,1712235240000,34.765
1712231700000,34.179,34.179,34.090,34.103,1257.5,1712231759999,42930.9737,615,573.3,1712235240000,34.765
1712231760000,34.102,34.102,34.031,34.072,915.0,1712231819999,31163.4408,278,181.1,1712235240000,34.765
1712231820000,34.065,34.078,34.033,34.078,770.8,1712231879999,26249.5582,137,658.9,1712235240000,34.765
1712231880000,34.079,34.100,34.047,34.100,343.0,1712231939999,11687.2350,130,177.3,1712235240000,34.765
1712231940000,34.095,34.095,34.019,34.051,476.0,1712231999999,16209.1623,225,149.1,1712235240000,34.765
1712232000000,34.057,34.076,33.997,34.050,614.6,1712232059999,20917.0700,322,289.9,1712235240000,34.765
1712232060000,34.051,34.100,34.045,34.064,1080.1,1712232119999,36802.9075,274,884.8,1712235240000,34.765
1712232120000,34.065,34.096,34.046,34.071,1210.1,1712232179999,41232.8750,287,877.8,1712235240000,34.765
1712232180000,34.075,34.095,34.007,34.026,1244.4,1712232239999,42372.7707,289,318.5,1712235240000,34.765
1712232240000,34.030,34.083,34.030,34.043,436.3,1712232299999,14859.6003,175,244.2,1712235240000,34.765
1712232300000,34.041,34.041,33.959,33.963,335.0,1712232359999,11390.2830,161,122.1,1712235240000,34.765
1712232360000,33.958,33.962,33.918,33.927,820.3,1712232419999,27838.7312,401,427.9,1712235240000,34.765
1712232420000,33.928,33.943,33.903,33.912,888.9,1712232479999,30150.8724,376,342.7,1712235240000,34.765
1712232480000,33.912,33.950,33.912,33.921,758.5,1712232539999,25735.9374,177,376.6,1712235240000,34.765
1712232540000,33.922,33.937,33.906,33.921,1020.1,1712232599999,34602.0572,194,626.6,1712235240000,34.765
1712232600000,33.921,33.989,33.920,33.975,1531.9,1712232659999,52006.7763,335,870.6,1712235240000,34.765
1712232660000,33.978,34.039,33.934,34.025,1466.7,1712232719999,49828.3194,344,418.8,1712235240000,34.765
1712232720000,34.027,34.111,34.027,34.092,594.8,1712232779999,20268.3367,309,247.5,1712235240000,34.765
1712232780000,34.095,34.138,34.043,34.074,448.1,1712232839999,15279.7863,356,163.7,1712235240000,34.765
1712232840000,34.079,34.130,34.074,34.104,516.3,1712232899999,17607.0028,205,334.2,1712235240000,34.765
1712232900000,34.104,34.133,34.069,34.069,291.9,1712232959999,9957.9602,144,45.9,1712235240000,34.765
1712232960000,34.066,34.067,33.966,33.992,750.5,1712233019999,25527.3910,307,270.4,1712235240000,34.765
1712233020000,33.992,34.063,33.945,34.046,992.3,1712233079999,33722.6684,409,418.3,1712235240000,34.765
1712233080000,34.047,34.071,33.955,33.982,1009.9,1712233139999,34350.2455,312,284.2,1712235240000,34.765
1712233140000,34.001,34.041,34.001,34.035,413.2,1712233199999,14059.7843,117,219.5,1712235240000,34.765
1712233200000,34.032,34.041,33.936,33.957,1180.2,1712233259999,40115.8897,275,350.8,1712235240000,34.765
1712233260000,33.956,34.001,33.955,33.991,493.1,1712233319999,16752.8088,139,417.2,1712235240000,34.765
1712233320000,33.992,34.005,33.978,34.005,458.4,1712233379999,15580.9182,109,371.1,1712235240000,34.765
1712233380000,34.001,34.021,33.980,34.009,156.3,1712233439999,5314.2669,87,83.2,1712235240000,34.765
1712233440000,34.007,34.018,33.908,33.962,2386.5,1712233499999,81033.4428,414,582.9,1712235240000,34.765
1712233500000,33.971,34.023,33.971,34.015,610.6,1712233559999,20757.9852,150,403.6,1712235240000,34.765
1712233560000,34.013,34.044,34.002,34.002,368.7,1712233619999,12546.1688,160,227.9,1712235240000,34.765
1712233620000,34.006,34.006,33.919,33.933,812.2,1712233679999,27573.1051,188,254.7,1712235240000,34.765
1712233680000,33.936,33.962,33.929,33.941,222.9,1712233739999,7566.6646,88,106.5,1712235240000,34.765
1712233740000,33.944,33.961,33.922,33.926,210.4,1712233799999,7140.3432,98,95.6,1712235240000,34.765
1712233800000,33.923,33.970,33.917,33.925,738.4,1712233859999,25059.4197,146,399.0,1712235240000,34.765
1712233860000,33.918,33.937,33.868,33.904,679.0,1712233919999,23017.2452,211,378.6,1712235240000,34.765
1712233920000,33.902,33.953,33.902,33.945,397.0,1712233979999,13472.8911,154,123.3,1712235240000,34.765
1712233980000,33.944,33.961,33.924,33.957,325.3,1712234039999,11043.2057,144,100.8,1712235240000,34.765
1712234040000,33.947,34.023,33.947,34.003,387.9,1712234099999,13182.9943,134,277.8,1712235240000,34.765
1712234100000,34.004,34.036,33.964,34.014,426.6,1712234159999,14502.0881,174,207.4,1712235240000,34.765
1712234160000,34.018,34.069,34.018,34.045,543.4,1712234219999,18504.1747,176,215.7,1712235240000,34.765
1712234220000,34.043,34.115,34.042,34.103,928.9,1712234279999,31654.9741,336,624.1,1712235240000,34.765
1712234280000,34.115,34.153,34.072,34.136,760.6,1712234339999,25946.0465,412,409.7,1712235240000,34.765
1712234340000,34.139,34.223,34.139,34.197,1252.9,1712234399999,42837.8137,368,838.8,1712235240000,34.765
1712234400000,34.196,34.239,34.160,34.182,471.2,1712234459999,16114.0713,190,136.5,1712235240000,34.765
1712234460000,34.180,34.211,34.115,34.203,1406.7,1712234519999,48059.0723,326,970.4,1712235240000,34.765
1712234520000,34.203,34.223,34.144,34.194,395.3,1712234579999,13516.9494,203,119.6,1712235240000,34.765
1712234580000,34.200,34.216,34.151,34.151,156.5,1712234639999,5351.7915,99,91.5,1712235240000,34.765
1712234640000,34.158,34.162,34.140,34.157,74.4,1712234699999,2540.6799,66,10.8,1712235240000,34.765
1712234700000,34.163,34.280,34.133,34.243,493.3,1712234759999,16866.5891,248,225.8,1712235240000,34.765
1712234760000,34.245,34.287,34.235,34.267,606.4,1712234819999,20778.3560,232,395.4,1712235240000,34.765
1712234820000,34.267,34.376,34.267,34.375,1232.7,1712234879999,42319.5791,696,628.0,1712235240000,34.765
1712234880000,34.370,34.396,34.328,34.381,669.6,1712234939999,23016.7566,319,259.6,1712235240000,34.765
1712234940000,34.374,34.379,34.323,34.346,503.9,1712234999999,17308.0459,225,234.0,1712235240000,34.765
1712235000000,34.356,34.493,34.336,34.479,2900.1,1712235059999,99810.0846,959,2289.4,1712235240000,34.765
1712235060000,34.479,34.524,34.453,34.518,1763.7,1712235119999,60817.7136,626,856.2,1712235240000,34.765
1712235120000,34.519,34.548,34.488,34.528,920.9,1712235179999,31788.6396,329,537.4,1712235240000,34.765
1712235180000,34.526,34.526,34.362,34.362,653.6,1712235239999,22510.6791,188,198.9,1712235240000,34.765
1712235240000,34.373,34.972,34.372,34.803,16689.2,1712235299999,579422.0610,3831,10664.5,1712235240000,34.765
1712235300000,34.806,34.888,34.702,34.778,7029.7,1712235359999,244542.5680,1802,3329.9,1712235240000,34.765
1712235360000,34.777,34.778,34.639,34.647,2264.3,1712235419999,78586.6584,1061,1297.3,1712235240000,34.765
1712235420000,34.639,34.644,34.477,34.494,1516.8,1712235479999,52408.2945,840,614.0,1712235240000,34.765
1712235480000,34.497,34.519,34.459,34.468,1016.6,1712235539999,35069.7729,381,634.9,1712235240000,34.765
1712235540000,34.463,34.478,34.445,34.465,1093.7,1712235599999,37692.7219,292,736.0,1712235240000,34.765
1712235600000,34.469,34.554,34.382,34.405,2808.5,1712235659999,96814.5215,782,1290.8,1712235240000,34.765
1712235660000,34.397,34.535,34.382,34.434,1386.0,1712235719999,47766.8764,551,730.3,1712235240000,34.765
1712235720000,34.428,34.481,34.355,34.365,784.5,1712235779999,26999.9786,355,279.7,1712235240000,34.765
1712235780000,34.365,34.427,34.344,34.390,1114.2,1712235839999,38310.9774,438,616.9,1712235240000,34.765
1712235840000,34.382,34.411,34.312,34.408,2917.8,1712235899999,100222.3941,653,750.1,1712235240000,34.765
1712235900000,34.404,34.461,34.387,34.454,680.7,1712235959999,23428.6598,225,388.4,1712235240000,34.765
1712235960000,34.447,34.475,34.303,34.330,1439.5,1712236019999,49525.6106,314,369.1,1712235240000,34.765
1712236020000,34.331,34.349,34.227,34.298,1854.7,1712236079999,63589.6640,524,1303.0,1712235240000,34.765
1712236080000,34.283,34.354,34.272,34.327,886.0,1712236139999,30395.6621,321,500.6,1712235240000,34.765
1712236140000,34.330,34.383,34.284,34.284,1659.2,1712236199999,56986.3455,333,775.9,1712235240000,34.765
1712236200000,34.284,34.324,34.251,34.324,2546.5,1712236259999,87292.7946,543,1443.7,1712235240000,34.765
1712236260000,34.321,34.491,34.319,34.456,2194.3,1712236319999,75590.0827,511,772.9,1712235240000,34.765
1712236320000,34.460,34.486,34.392,34.393,523.2,1712236379999,18015.7879,133,126.4,1712235240000,34.765
1712236380000,34.396,34.463,34.396,34.463,1357.3,1712236439999,46733.0513,268,1185.3,1712235240000,34.765
1712236440000,34.448,34.592,34.441,34.571,1703.3,1712236499999,58816.0017,666,1129.6,1712235240000,34.765
1712236500000,34.573,34.607,34.523,34.591,1211.7,1712236559999,41875.7369,412,453.0,1712235240000,34.765
1712236560000,34.591,34.650,34.562,34.634,775.1,1712236619999,26812.4856,236,438.4,1712235240000,34.765
1712236620000,34.641,34.820,34.624,34.712,4056.9,1712236679999,140902.6289,1048,1631.9,1712235240000,34.765
1712236680000,34.720,34.789,34.720,34.741,1334.8,1712236739999,46374.8617,399,271.6,1712235240000,34.765
1712236740000,34.748,34.761,34.696,34.761,1039.5,1712236799999,36104.9131,269,641.8,1712235240000,34.765
1712236800000,34.761,34.863,34.746,34.850,826.8,1712236859999,28784.0451,396,423.3,1712235240000,34.765
1712236860000,34.856,34.896,34.771,34.830,1356.7,1712236919999,47235.6008,610,510.5,1712235240000,34.765
1712236920000,34.828,34.881,34.647,34.647,3635.0,1712236979999,126304.3176,1064,1053.4,1712235240000,34.765
1712236980000,34.670,34.843,34.670,34.759,2356.2,1712237039999,81918.3832,759,1116.1,1712235240000,34.765
1712237040000,34.766,34.932,34.751,34.857,1728.2,1712237099999,60242.2038,837,1066.3,1712235240000,34.765
1712237100000,34.857,34.871,34.757,34.788,971.8,1712237159999,33825.5638,383,459.2,1712235240000,34.765
1712237160000,34.785,34.801,34.714,34.761,922.7,1712237219999,32062.0839,427,395.9,1712235240000,34.765
1712237220000,34.765,34.773,34.712,34.721,251.4,1712237279999,8734.4109,173,103.4,1712235240000,34.765
1712237280000,34.713,34.734,34.666,34.702,516.1,1712237339999,17910.1710,507,318.7,1712235240000,34.765
1712237340000,34.716,34.830,34.680,34.829,564.5,1712237399999,19611.9039,271,257.4,1712235240000,34.765
1712237400000,34.824,34.896,34.735,34.763,1621.5,1712237459999,56485.3293,711,896.0,1712235240000,34.765
1712237460000,34.772,34.830,34.692,34.695,1131.9,1712237519999,39344.6183,567,551.6,1712235240000,34.765
