Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710761400000,0.1813,0.1820,0.1813,0.1814,771980,1710761459999,140307.1659,346,224618,1710766740000,0.1794
1710761460000,0.1815,0.1817,0.1813,0.1814,154059,1710761519999,27947.7843,163,96948,1710766740000,0.1794
1710761520000,0.1815,0.1815,0.1811,0.1812,64995,1710761579999,11782.5813,124,28251,1710766740000,0.1794
1710761580000,0.1811,0.1811,0.1808,0.1809,120906,1710761639999,21877.3488,170,57924,1710766740000,0.1794
1710761640000,0.1808,0.1813,0.1806,0.1813,141036,1710761699999,25509.1878,175,94628,1710766740000,0.1794
1710761700000,0.1813,0.1816,0.1811,0.1816,75275,1710761759999,13643.4745,140,33190,1710766740000,0.1794
1710761760000,0.1815,0.1817,0.1814,0.1817,196574,1710761819999,35694.7012,159,170849,1710766740000,0.1794
1710761820000,0.1816,0.1817,0.1813,0.1814,64617,1710761879999,11730.6412,107,14007,1710766740000,0.1794
1710761880000,0.1813,0.1813,0.1810,0.1811,41564,1710761939999,7529.5925,57,7989,1710766740000,0.1794
1710761940000,0.1811,0.1814,0.1810,0.1812,48039,1710761999999,8703.9526,69,39434,1710766740000,0.1794
1710762000000,0.1813,0.1814,0.1811,0.1811,33549,1710762059999,6081.2193,74,19543,1710766740000,0.1794
1710762060000,0.1810,0.1810,0.1806,0.1809,139415,1710762119999,25200.5060,178,68723,1710766740000,0.1794
1710762120000,0.1809,0.1810,0.1808,0.1809,28255,1710762179999,5111.6796,54,23279,1710766740000,0.1794
1710762180000,0.1808,0.1810,0.1808,0.1808,37752,1710762239999,6826.7508,51,9136,1710766740000,0.1794
1710762240000,0.1808,0.1809,0.1807,0.1809,17641,1710762299999,3190.0794,47,15603,1710766740000,0.1794
1710762300000,0.1809,0.1810,0.1804,0.1808,757728,1710762359999,136884.2592,257,536333,1710766740000,0.1794
