Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710422220000,13.811,13.832,13.804,13.831,18001.36,1710422279999,248765.43790,953,12219.68,1710427620000,13.71
1710422280000,13.831,13.842,13.820,13.838,23029.27,1710422339999,318525.40782,1190,14068.61,1710427620000,13.71
1710422340000,13.837,13.848,13.825,13.839,13523.62,1710422399999,187150.11292,877,9076.87,1710427620000,13.71
1710422400000,13.838,13.845,13.819,13.833,12910.23,1710422459999,178549.87555,778,7518.20,1710427620000,13.71
1710422460000,13.833,13.837,13.769,13.769,23012.50,1710422519999,317585.08612,1069,8937.91,1710427620000,13.71
1710422520000,13.769,13.790,13.729,13.768,34860.58,1710422579999,479565.22787,1664,19485.52,1710427620000,13.71
1710422580000,13.768,13.787,13.765,13.765,17090.54,1710422639999,235456.15775,883,10612.71,1710427620000,13.71
1710422640000,13.765,13.779,13.756,13.762,10176.25,1710422699999,140114.23628,614,6834.61,1710427620000,13.71
1710422700000,13.763,13.783,13.760,13.769,19602.74,1710422759999,269956.84698,821,10740.65,1710427620000,13.71
1710422760000,13.771,13.804,13.762,13.794,16242.07,1710422819999,223857.63091,691,11923.06,1710427620000,13.71
1710422820000,13.793,13.802,13.750,13.754,18856.35,1710422879999,259573.90110,669,5794.08,1710427620000,13.71
1710422880000,13.755,13.757,13.734,13.748,17414.75,1710422939999,239387.01765,667,7308.57,1710427620000,13.71
1710422940000,13.746,13.795,13.738,13.739,13880.88,1710422999999,191139.68594,720,5606.20,1710427620000,13.71
1710423000000,13.739,13.762,13.723,13.742,25516.40,1710423059999,350607.59293,1174,8722.49,1710427620000,13.71
1710423060000,13.742,13.764,13.735,13.758,9404.37,1710423119999,129333.91092,496,6227.60,1710427620000,13.71
1710423120000,13.760,13.762,13.726,13.726,8664.00,1710423179999,119080.06901,547,3380.51,1710427620000,13.71
1710423180000,13.726,13.726,13.679,13.698,50873.55,1710423239999,696958.12958,3169,21091.03,1710427620000,13.71
1710423240000,13.699,13.717,13.665,13.697,35695.69,1710423299999,488558.54750,1480,12562.85,1710427620000,13.71
1710423300000,13.698,13.703,13.621,13.646,61137.74,1710423359999,835156.12972,2196,18046.15,1710427620000,13.71
1710423360000,13.646,13.689,13.611,13.678,47134.12,1710423419999,642731.62290,2379,27099.26,1710427620000,13.71
1710423420000,13.677,13.720,13.658,13.665,40220.65,1710423479999,550443.31177,1547,16118.92,1710427620000,13.71
1710423480000,13.665,13.674,13.622,13.624,25309.11,1710423539999,345279.05203,1015,10331.61,1710427620000,13.71
1710423540000,13.623,13.623,13.573,13.593,52994.99,1710423599999,720559.02162,2902,20416.82,1710427620000,13.71
1710423600000,13.590,13.603,13.527,13.567,68907.54,1710423659999,934262.53805,4113,30953.00,1710427620000,13.71
1710423660000,13.567,13.660,13.567,13.650,35962.83,1710423719999,489707.58055,2217,23186.53,1710427620000,13.71
1710423720000,13.651,13.676,13.615,13.654,42318.25,1710423779999,577535.96174,1733,19146.15,1710427620000,13.71
1710423780000,13.655,13.672,13.635,13.650,18448.30,1710423839999,251978.33099,866,8478.56,1710427620000,13.71
1710423840000,13.650,13.673,13.647,13.662,20063.70,1710423899999,274069.84081,1038,13815.91,1710427620000,13.71
1710423900000,13.662,13.688,13.615,13.620,20830.44,1710423959999,284421.39921,1026,10891.29,1710427620000,13.71
1710423960000,13.619,13.624,13.523,13.579,126245.02,1710424019999,1712834.66676,3165,51122.66,1710427620000,13.71
1710424020000,13.577,13.620,13.537,13.540,34695.05,1710424079999,470929.00574,1457,14921.29,1710427620000,13.71
1710424080000,13.540,13.579,13.521,13.560,30681.21,1710424139999,415711.33017,1490,15874.97,1710427620000,13.71
1710424140000,13.559,13.565,13.486,13.503,58522.65,1710424199999,790792.81056,2293,21680.78,1710427620000,13.71
1710424200000,13.503,13.531,13.485,13.489,48555.60,1710424259999,655829.63276,2075,26269.54,1710427620000,13.71
1710424260000,13.488,13.506,13.451,13.459,69788.13,1710424319999,940463.45240,3391,37083.35,1710427620000,13.71
1710424320000,13.459,13.474,13.370,13.470,149882.80,1710424379999,2009982.76652,7013,71319.72,1710427620000,13.71
1710424380000,13.470,13.485,13.434,13.444,45402.16,1710424439999,611149.94969,2130,22520.43,1710427620000,13.71
1710424440000,13.445,13.452,13.368,13.399,86699.32,1710424499999,1161245.76236,2670,35738.31,1710427620000,13.71
