Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711712880000,26.082000,26.100000,26.038000,26.071000,1412.60,1711712939999,36821.77586000,356,701.40,1711718280000,26.666
1711712940000,26.074000,26.209000,26.074000,26.178000,1813.84,1711712999999,47429.85122000,364,985.15,1711718280000,26.666
1711713000000,26.179000,26.218000,26.161000,26.194000,956.71,1711713059999,25047.98632000,170,695.71,1711718280000,26.666
1711713060000,26.194000,26.215000,26.169000,26.203000,899.63,1711713119999,23565.81014000,279,404.61,1711718280000,26.666
1711713120000,26.209000,26.220000,26.146000,26.151000,1222.29,1711713179999,32005.16607000,420,619.45,1711718280000,26.666
1711713180000,26.153000,26.217000,26.135000,26.183000,1284.37,1711713239999,33617.46589000,474,727.41,1711718280000,26.666
1711713240000,26.198000,26.291000,26.198000,26.291000,1114.14,1711713299999,29249.58314000,403,775.25,1711718280000,26.666
1711713300000,26.279000,26.325000,26.220000,26.324000,2325.04,1711713359999,61076.19631000,785,1353.35,1711718280000,26.666
1711713360000,26.315000,26.319000,26.231000,26.255000,1862.59,1711713419999,48922.50377000,440,972.52,1711718280000,26.666
1711713420000,26.244000,26.248000,26.126000,26.212000,7799.68,1711713479999,204106.33018000,821,4400.18,1711718280000,26.666
1711713480000,26.209000,26.249000,26.176000,26.231000,2106.00,1711713539999,55212.22997000,440,687.40,1711718280000,26.666
1711713540000,26.222000,26.222000,26.204000,26.208000,303.91,1711713599999,7965.20353000,86,129.68,1711718280000,26.666
1711713600000,26.208000,26.225000,26.091000,26.113000,1383.83,1711713659999,36190.24980000,327,502.62,1711718280000,26.666
1711713660000,26.116000,26.181000,26.110000,26.175000,483.45,1711713719999,12640.27861000,202,293.57,1711718280000,26.666
1711713720000,26.177000,26.255000,26.177000,26.236000,811.02,1711713779999,21270.65907000,205,653.60,1711718280000,26.666
1711713780000,26.245000,26.247000,26.193000,26.235000,562.41,1711713839999,14744.47135000,191,417.66,1711718280000,26.666
1711713840000,26.234000,26.265000,26.226000,26.265000,659.06,1711713899999,17296.77071000,111,524.03,1711718280000,26.666
1711713900000,26.265000,26.391000,26.265000,26.336000,2107.88,1711713959999,55520.79530000,415,1479.45,1711718280000,26.666
