Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710895740000,0.2481,0.2482,0.2480,0.2481,9248,1710895799999,2294.7784,35,5443,1710901140000,0.2487
1710895800000,0.2480,0.2484,0.2480,0.2481,22916,1710895859999,5687.2016,62,18105,1710901140000,0.2487
1710895860000,0.2481,0.2488,0.2481,0.2484,11960,1710895919999,2972.2588,63,4010,1710901140000,0.2487
1710895920000,0.2483,0.2484,0.2481,0.2484,9714,1710895979999,2412.1260,46,4882,1710901140000,0.2487
1710895980000,0.2484,0.2493,0.2482,0.2491,8778,1710896039999,2183.6209,46,3895,1710901140000,0.2487
1710896040000,0.2491,0.2496,0.2491,0.2496,15664,1710896099999,3906.7568,48,10636,1710901140000,0.2487
1710896100000,0.2496,0.2502,0.2496,0.2502,15755,1710896159999,3934.6039,48,6844,1710901140000,0.2487
1710896160000,0.2502,0.2507,0.2502,0.2504,69411,1710896219999,17382.0022,150,7995,1710901140000,0.2487
1710896220000,0.2504,0.2504,0.2500,0.2500,51965,1710896279999,13000.6455,74,6882,1710901140000,0.2487
1710896280000,0.2501,0.2513,0.2501,0.2513,46494,1710896339999,11656.1969,134,40605,1710901140000,0.2487
1710896340000,0.2512,0.2512,0.2509,0.2509,37157,1710896399999,9325.6417,82,9942,1710901140000,0.2487
1710896400000,0.2510,0.2511,0.2501,0.2503,61167,1710896459999,15322.7526,134,17809,1710901140000,0.2487
1710896460000,0.2502,0.2502,0.2496,0.2496,32337,1710896519999,8081.2715,88,4573,1710901140000,0.2487
1710896520000,0.2495,0.2500,0.2493,0.2498,58662,1710896579999,14640.0820,191,39542,1710901140000,0.2487
1710896580000,0.2497,0.2497,0.2489,0.2489,48540,1710896639999,12099.6638,118,23102,1710901140000,0.2487
1710896640000,0.2489,0.2489,0.2484,0.2487,33697,1710896699999,8376.6544,81,7564,1710901140000,0.2487
1710896700000,0.2486,0.2487,0.2479,0.2482,70153,1710896759999,17424.5971,228,16381,1710901140000,0.2487
1710896760000,0.2481,0.2487,0.2481,0.2483,45486,1710896819999,11295.4183,133,23966,1710901140000,0.2487
1710896820000,0.2482,0.2485,0.2479,0.2484,64167,1710896879999,15934.4466,121,45741,1710901140000,0.2487
1710896880000,0.2483,0.2484,0.2479,0.2483,20058,1710896939999,4977.2442,72,11366,1710901140000,0.2487
1710896940000,0.2482,0.2483,0.2479,0.2480,32892,1710896999999,8159.5310,96,19046,1710901140000,0.2487
