Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1712209200000,46.4790,46.4890,46.4460,46.4880,3230,1712209259999,150118.3370,265,1417,1712214600000,47.123
1712209260000,46.4890,46.5100,46.4600,46.4930,1844,1712209319999,85721.1620,277,939,1712214600000,47.123
1712209320000,46.4930,46.5110,46.4720,46.4940,1643,1712209379999,76388.9380,243,1015,1712214600000,47.123
1712209380000,46.4980,46.5110,46.4550,46.4670,1730,1712209439999,80434.5520,188,552,1712214600000,47.123
1712209440000,46.4680,46.4820,46.4540,46.4620,1403,1712209499999,65195.5210,182,426,1712214600000,47.123
1712209500000,46.4620,46.4620,46.4120,46.4270,1889,1712209559999,87721.1490,283,992,1712214600000,47.123
1712209560000,46.4260,46.4260,46.3440,46.3560,2323,1712209619999,107726.6660,348,915,1712214600000,47.123
1712209620000,46.3550,46.4290,46.3210,46.4250,3172,1712209679999,147080.9760,398,2063,1712214600000,47.123
1712209680000,46.4180,46.4800,46.3970,46.4720,2488,1712209739999,115529.6510,343,1446,1712214600000,47.123
1712209740000,46.4710,46.4870,46.4360,46.4860,1877,1712209799999,87204.3940,234,1097,1712214600000,47.123
1712209800000,46.4860,46.4860,46.4080,46.4160,3901,1712209859999,181165.8200,331,884,1712214600000,47.123
1712209860000,46.4150,46.4750,46.4030,46.4530,2323,1712209919999,107881.9720,293,1615,1712214600000,47.123
1712209920000,46.4490,46.4580,46.4110,46.4300,1270,1712209979999,58972.8880,179,398,1712214600000,47.123
1712209980000,46.4190,46.4620,46.4180,46.4580,860,1712210039999,39935.8360,165,415,1712214600000,47.123
1712210040000,46.4580,46.4850,46.4260,46.4850,1883,1712210099999,87478.3730,252,1452,1712214600000,47.123
1712210100000,46.4840,46.5440,46.4740,46.5430,10732,1712210159999,499196.5350,687,5309,1712214600000,47.123
1712210160000,46.5420,46.5660,46.5370,46.5410,3165,1712210219999,147337.7250,364,1500,1712214600000,47.123
1712210220000,46.5410,46.5840,46.5330,46.5480,7172,1712210279999,333924.1580,537,4746,1712214600000,47.123
1712210280000,46.5480,46.5630,46.5160,46.5160,4256,1712210339999,198086.0860,327,1557,1712214600000,47.123
1712210340000,46.5170,46.5220,46.4800,46.4810,5786,1712210399999,269043.5380,424,709,1712214600000,47.123
1712210400000,46.4800,46.4990,46.4520,46.4740,3582,1712210459999,166453.4830,424,1875,1712214600000,47.123
1712210460000,46.4740,46.5620,46.4740,46.5180,11010,1712210519999,512233.8350,671,7959,1712214600000,47.123
1712210520000,46.5190,46.5660,46.4890,46.5660,1734,1712210579999,80667.8040,295,946,1712214600000,47.123
1712210580000,46.5660,46.5950,46.5320,46.5840,2519,1712210639999,117304.0150,379,1300,1712214600000,47.123
1712210640000,46.5850,46.6110,46.5610,46.5770,2691,1712210699999,125367.0820,312,1184,1712214600000,47.123
1712210700000,46.5770,46.5990,46.5590,46.5850,2094,1712210759999,97528.7000,237,1001,1712214600000,47.123
1712210760000,46.5860,46.6270,46.5860,46.6140,6220,1712210819999,289931.4860,396,5211,1712214600000,47.123
1712210820000,46.6160,46.6970,46.6160,46.6880,3824,1712210879999,178447.4260,470,2415,1712214600000,47.123
1712210880000,46.6890,46.7100,46.6450,46.7100,2902,1712210939999,135467.1980,352,1199,1712214600000,47.123
1712210940000,46.7100,46.8010,46.7030,46.7900,9785,1712210999999,457580.4910,793,6666,1712214600000,47.123
1712211000000,46.7890,46.8390,46.7840,46.8130,5579,1712211059999,261204.0610,580,2134,1712214600000,47.123
1712211060000,46.8130,46.8200,46.7340,46.7340,3955,1712211119999,185025.8970,414,780,1712214600000,47.123
1712211120000,46.7410,46.7760,46.7350,46.7520,2276,1712211179999,106419.6040,249,889,1712214600000,47.123
1712211180000,46.7510,46.8190,46.7450,46.8190,2779,1712211239999,130029.3340,333,2284,1712214600000,47.123
1712211240000,46.8200,46.8400,46.7510,46.8290,6319,1712211299999,295734.0830,566,3296,1712214600000,47.123
1712211300000,46.8280,46.8620,46.8070,46.8620,5289,1712211359999,247697.3540,513,2357,1712214600000,47.123
1712211360000,46.8610,46.8800,46.8190,46.8420,5962,1712211419999,279341.7440,481,2770,1712214600000,47.123
1712211420000,46.8410,46.8700,46.8090,46.8690,3801,1712211479999,178028.9880,428,1529,1712214600000,47.123
1712211480000,46.8690,46.8690,46.7450,46.7450,3891,1712211539999,182101.2360,357,971,1712214600000,47.123
1712211540000,46.7430,46.8140,46.7270,46.7960,3135,1712211599999,146611.3700,361,2008,1712214600000,47.123
1712211600000,46.7880,46.8190,46.7210,46.7210,2716,1712211659999,127049.6670,339,1072,1712214600000,47.123
1712211660000,46.7220,46.7370,46.7010,46.7110,1857,1712211719999,86766.5290,244,1005,1712214600000,47.123
1712211720000,46.7130,46.7370,46.7080,46.7240,1870,1712211779999,87373.9840,235,954,1712214600000,47.123
1712211780000,46.7240,46.7350,46.6910,46.7050,3089,1712211839999,144294.5680,328,1355,1712214600000,47.123
1712211840000,46.7120,46.7340,46.6850,46.6890,2836,1712211899999,132452.0610,318,1211,1712214600000,47.123
1712211900000,46.6970,46.7610,46.6690,46.7340,4446,1712211959999,207609.9420,365,2118,1712214600000,47.123
1712211960000,46.7320,46.7620,46.7140,46.7550,1532,1712212019999,71602.2140,237,712,1712214600000,47.123
1712212020000,46.7560,46.7990,46.7460,46.7960,2664,1712212079999,124618.2010,310,1351,1712214600000,47.123
1712212080000,46.7980,46.8110,46.7570,46.7580,2827,1712212139999,132248.6260,257,374,1712214600000,47.123
1712212140000,46.7570,46.8260,46.7550,46.8000,1995,1712212199999,93369.8710,242,1049,1712214600000,47.123
1712212200000,46.8010,46.8360,46.7570,46.8270,4964,1712212259999,232255.4760,523,3144,1712214600000,47.123
1712212260000,46.8250,46.8250,46.7510,46.7830,2676,1712212319999,125216.7260,354,465,1712214600000,47.123
1712212320000,46.7860,46.8100,46.7420,46.7640,2435,1712212379999,113867.0920,282,733,1712214600000,47.123
1712212380000,46.7650,46.8330,46.7570,46.8060,2536,1712212439999,118671.8780,360,1575,1712214600000,47.123
1712212440000,46.8070,46.8360,46.7330,46.7410,2551,1712212499999,119341.5540,375,1075,1712214600000,47.123
1712212500000,46.7420,46.7940,46.7370,46.7790,2076,1712212559999,97102.6860,322,1580,1712214600000,47.123
