Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711810380000,2.0170000,2.0170000,2.0091000,2.0117000,56228.3,1711810439999,113156.38801000,410,11856.9,1711815720000,2.0443
1711810440000,2.0117000,2.0150000,2.0111000,2.0146000,26654.5,1711810499999,53674.91024000,181,25378.1,1711815720000,2.0443
1711810500000,2.0147000,2.0176000,2.0146000,2.0161000,19307.1,1711810559999,38927.58151000,195,1971.6,1711815720000,2.0443
1711810560000,2.0155000,2.0160000,2.0155000,2.0156000,539.2,1711810619999,1086.86310000,25,268.8,1711815720000,2.0443
1711810620000,2.0160000,2.0196000,2.0154000,2.0196000,9140.8,1711810679999,18436.27739000,121,4248.4,1711815720000,2.0443
1711810680000,2.0195000,2.0195000,2.0186000,2.0186000,1902.0,1711810739999,3840.05683000,37,109.8,1711815720000,2.0443
1711810740000,2.0185000,2.0185000,2.0170000,2.0179000,4931.5,1711810799999,9949.31108000,61,826.5,1711815720000,2.0443
1711810800000,2.0180000,2.0182000,2.0173000,2.0178000,3500.4,1711810859999,7063.74678000,34,453.1,1711815720000,2.0443
1711810860000,2.0177000,2.0183000,2.0170000,2.0175000,1043.0,1711810919999,2104.69874000,37,625.7,1711815720000,2.0443
1711810920000,2.0178000,2.0189000,2.0170000,2.0181000,8083.4,1711810979999,16310.80271000,72,2147.5,1711815720000,2.0443
1711810980000,2.0181000,2.0188000,2.0173000,2.0183000,1337.0,1711811039999,2698.71767000,36,1051.4,1711815720000,2.0443
1711811040000,2.0183000,2.0190000,2.0145000,2.0156000,7649.3,1711811099999,15430.36559000,106,3100.4,1711815720000,2.0443
1711811100000,2.0147000,2.0191000,2.0145000,2.0176000,15471.7,1711811159999,31213.61670000,165,11990.1,1711815720000,2.0443
1711811160000,2.0175000,2.0240000,2.0174000,2.0235000,5538.9,1711811219999,11187.98939000,105,4779.6,1711815720000,2.0443
1711811220000,2.0237000,2.0273000,2.0233000,2.0272000,17071.4,1711811279999,34577.62633000,152,13765.2,1711815720000,2.0443
1711811280000,2.0272000,2.0293000,2.0249000,2.0261000,19608.4,1711811339999,39755.65773000,281,2808.3,1711815720000,2.0443
1711811340000,2.0264000,2.0266000,2.0253000,2.0261000,2134.9,1711811399999,4325.68661000,48,201.8,1711815720000,2.0443
1711811400000,2.0254000,2.0271000,2.0225000,2.0240000,33475.4,1711811459999,67753.57803000,303,3254.8,1711815720000,2.0443
