Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710636780000,10.41100,10.43500,10.37700,10.39700,78629,1710636839999,817706.11600,1864,37587,1710642180000,10.582
1710636840000,10.39600,10.42800,10.33300,10.35000,37636,1710636899999,390628.58000,1444,16735,1710642180000,10.582
1710636900000,10.35500,10.39000,10.34500,10.38400,31923,1710636959999,331059.44600,1290,14629,1710642180000,10.582
1710636960000,10.38000,10.38600,10.32600,10.35900,33372,1710637019999,345446.09800,1061,19033,1710642180000,10.582
1710637020000,10.35800,10.35800,10.31900,10.32000,14562,1710637079999,150479.28700,683,6623,1710642180000,10.582
1710637080000,10.32000,10.32200,10.27300,10.27300,31465,1710637139999,323982.34900,1152,9478,1710642180000,10.582
1710637140000,10.27300,10.27800,10.24900,10.25500,31751,1710637199999,325877.29100,1092,13445,1710642180000,10.582
1710637200000,10.25500,10.36300,10.25500,10.36300,43988,1710637259999,453984.81600,1390,28248,1710642180000,10.582
1710637260000,10.36300,10.37100,10.31300,10.35800,28626,1710637319999,296223.34400,1061,11227,1710642180000,10.582
1710637320000,10.35900,10.39800,10.35700,10.39500,11296,1710637379999,117182.65800,511,5258,1710642180000,10.582
1710637380000,10.39600,10.42200,10.37400,10.38200,20562,1710637439999,213864.39100,763,9195,1710642180000,10.582
1710637440000,10.38300,10.41000,10.33600,10.34300,16523,1710637499999,171418.53700,769,7353,1710642180000,10.582
1710637500000,10.33900,10.36400,10.32500,10.36000,16871,1710637559999,174502.49100,647,7422,1710642180000,10.582
1710637560000,10.36100,10.38900,10.35700,10.37900,13184,1710637619999,136796.93900,495,8636,1710642180000,10.582
1710637620000,10.37800,10.40100,10.36600,10.40100,9602,1710637679999,99701.34600,427,6292,1710642180000,10.582
1710637680000,10.40100,10.41300,10.39200,10.40800,8274,1710637739999,86078.32600,329,3769,1710642180000,10.582
1710637740000,10.41100,10.43300,10.40100,10.40100,9626,1710637799999,100323.56700,317,3762,1710642180000,10.582
1710637800000,10.40100,10.40600,10.36900,10.36900,9603,1710637859999,99783.92700,403,3210,1710642180000,10.582
1710637860000,10.36800,10.37200,10.32900,10.35400,17057,1710637919999,176581.42300,741,7728,1710642180000,10.582
1710637920000,10.35100,10.37100,10.33700,10.36300,19908,1710637979999,206242.42700,691,13771,1710642180000,10.582
1710637980000,10.36300,10.38500,10.35400,10.36100,7446,1710638039999,77214.44600,343,3519,1710642180000,10.582
1710638040000,10.36300,10.36500,10.35000,10.36000,4974,1710638099999,51513.56600,213,1148,1710642180000,10.582
1710638100000,10.36100,10.42400,10.36100,10.42400,9377,1710638159999,97536.56300,472,6247,1710642180000,10.582
1710638160000,10.42300,10.43700,10.40700,10.41600,10839,1710638219999,112956.83200,545,5271,1710642180000,10.582
1710638220000,10.41300,10.41900,10.36300,10.36600,9595,1710638279999,99678.29300,508,4820,1710642180000,10.582
1710638280000,10.36600,10.37700,10.34300,10.36500,5774,1710638339999,59817.74900,309,2476,1710642180000,10.582
1710638340000,10.36800,10.37700,10.35700,10.36200,8718,1710638399999,90379.98100,443,4267,1710642180000,10.582
1710638400000,10.36200,10.40100,10.36200,10.37800,7427,1710638459999,77103.51800,360,4689,1710642180000,10.582
1710638460000,10.37700,10.40600,10.37200,10.39700,11205,1710638519999,116387.36000,422,7668,1710642180000,10.582
1710638520000,10.39700,10.39900,10.38500,10.38800,5071,1710638579999,52698.66900,250,1887,1710642180000,10.582
1710638580000,10.38800,10.43500,10.38700,10.42600,8772,1710638639999,91409.42800,354,3606,1710642180000,10.582
1710638640000,10.42400,10.43500,10.41200,10.42600,11257,1710638699999,117335.67500,399,6984,1710642180000,10.582
1710638700000,10.42500,10.42700,10.38300,10.38700,6279,1710638759999,65386.74900,293,1870,1710642180000,10.582
1710638760000,10.38700,10.39500,10.36800,10.38400,7773,1710638819999,80670.24000,436,4534,1710642180000,10.582
1710638820000,10.38500,10.38600,10.36000,10.36300,4278,1710638879999,44365.83000,310,1631,1710642180000,10.582
1710638880000,10.36200,10.37200,10.33800,10.34200,11059,1710638939999,114520.20600,563,3776,1710642180000,10.582
1710638940000,10.34300,10.35600,10.33200,10.35500,7778,1710638999999,80447.91800,446,4555,1710642180000,10.582
1710639000000,10.35400,10.41700,10.35200,10.41000,12213,1710639059999,126943.61100,553,6306,1710642180000,10.582
1710639060000,10.40900,10.43200,10.40500,10.41600,8295,1710639119999,86402.76700,413,3913,1710642180000,10.582
1710639120000,10.41700,10.42600,10.40900,10.41100,9352,1710639179999,97436.79200,454,5688,1710642180000,10.582
1710639180000,10.40900,10.43300,10.40100,10.42700,6070,1710639239999,63207.01000,295,3701,1710642180000,10.582
1710639240000,10.42800,10.44200,10.41000,10.41200,4453,1710639299999,46424.87000,258,1956,1710642180000,10.582
1710639300000,10.41100,10.42200,10.37600,10.40500,7861,1710639359999,81740.70800,365,3170,1710642180000,10.582
1710639360000,10.40400,10.41300,10.38800,10.38800,5522,1710639419999,57453.38300,259,2831,1710642180000,10.582
1710639420000,10.38700,10.39200,10.36300,10.36500,7941,1710639479999,82409.46400,373,2273,1710642180000,10.582
1710639480000,10.36500,10.38600,10.36500,10.38500,5984,1710639539999,62107.87500,256,3186,1710642180000,10.582
1710639540000,10.38500,10.42700,10.38300,10.41100,9671,1710639599999,100650.72400,354,6215,1710642180000,10.582
1710639600000,10.41300,10.44800,10.41300,10.44800,8815,1710639659999,91979.85600,368,6481,1710642180000,10.582
1710639660000,10.44600,10.44900,10.42500,10.43400,7298,1710639719999,76175.79400,340,3161,1710642180000,10.582
1710639720000,10.43300,10.44800,10.43100,10.43700,4973,1710639779999,51909.14500,275,1828,1710642180000,10.582
1710639780000,10.43800,10.45000,10.43700,10.44400,3323,1710639839999,34707.66000,181,1463,1710642180000,10.582
1710639840000,10.44500,10.45500,10.44100,10.45100,5763,1710639899999,60208.83300,269,2459,1710642180000,10.582
1710639900000,10.45000,10.46100,10.42800,10.42800,8711,1710639959999,90989.10400,379,3561,1710642180000,10.582
1710639960000,10.42600,10.43000,10.37500,10.38300,12120,1710640019999,126012.99400,499,6736,1710642180000,10.582
1710640020000,10.38400,10.40600,10.37200,10.40600,8289,1710640079999,86084.35000,356,4152,1710642180000,10.582
1710640080000,10.40600,10.43900,10.40500,10.42700,6603,1710640139999,68839.03200,299,2520,1710642180000,10.582
1710640140000,10.42600,10.42900,10.41000,10.41200,3927,1710640199999,40916.18000,203,1271,1710642180000,10.582
