Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710285600000,6.053000,6.054000,6.048000,6.054000,1018,1710285659999,6160.599000,56,328,1710290940000,6.139
1710285660000,6.054000,6.057000,6.054000,6.054000,617,1710285719999,3736.320000,64,396,1710290940000,6.139
1710285720000,6.054000,6.056000,6.054000,6.056000,274,1710285779999,1659.246000,21,85,1710290940000,6.139
1710285780000,6.057000,6.061000,6.055000,6.060000,532,1710285839999,3222.956000,51,350,1710290940000,6.139
1710285840000,6.061000,6.064000,6.061000,6.064000,1417,1710285899999,8589.928000,39,1225,1710290940000,6.139
1710285900000,6.065000,6.070000,6.064000,6.070000,173,1710285959999,1049.527000,27,133,1710290940000,6.139
1710285960000,6.071000,6.076000,6.071000,6.074000,1023,1710286019999,6213.805000,67,432,1710290940000,6.139
1710286020000,6.074000,6.074000,6.072000,6.074000,161,1710286079999,977.802000,20,80,1710290940000,6.139
1710286080000,6.077000,6.086000,6.074000,6.086000,2351,1710286139999,14293.446000,80,1509,1710290940000,6.139
1710286140000,6.087000,6.090000,6.081000,6.085000,1384,1710286199999,8421.869000,68,751,1710290940000,6.139
1710286200000,6.086000,6.086000,6.079000,6.080000,564,1710286259999,3429.765000,39,11,1710290940000,6.139
1710286260000,6.081000,6.088000,6.081000,6.088000,159,1710286319999,967.438000,23,153,1710290940000,6.139
1710286320000,6.089000,6.093000,6.089000,6.093000,474,1710286379999,2886.965000,39,425,1710290940000,6.139
1710286380000,6.093000,6.094000,6.087000,6.094000,1296,1710286439999,7894.959000,80,811,1710290940000,6.139
1710286440000,6.093000,6.093000,6.081000,6.081000,2161,1710286499999,13154.495000,88,54,1710290940000,6.139
1710286500000,6.084000,6.084000,6.076000,6.078000,809,1710286559999,4918.804000,56,152,1710290940000,6.139
1710286560000,6.079000,6.080000,6.078000,6.078000,307,1710286619999,1866.164000,25,128,1710290940000,6.139
1710286620000,6.078000,6.082000,6.078000,6.079000,240,1710286679999,1459.212000,23,75,1710290940000,6.139
1710286680000,6.080000,6.091000,6.080000,6.089000,1720,1710286739999,10468.570000,86,1141,1710290940000,6.139
1710286740000,6.087000,6.087000,6.082000,6.082000,315,1710286799999,1916.845000,27,10,1710290940000,6.139
1710286800000,6.083000,6.086000,6.076000,6.076000,701,1710286859999,4263.235000,45,190,1710290940000,6.139
1710286860000,6.075000,6.075000,6.069000,6.074000,676,1710286919999,4105.005000,54,253,1710290940000,6.139
1710286920000,6.073000,6.081000,6.073000,6.080000,825,1710286979999,5014.281000,59,428,1710290940000,6.139
1710286980000,6.081000,6.088000,6.081000,6.086000,453,1710287039999,2756.971000,41,124,1710290940000,6.139
1710287040000,6.086000,6.086000,6.083000,6.083000,304,1710287099999,1849.406000,23,153,1710290940000,6.139
1710287100000,6.085000,6.085000,6.078000,6.078000,781,1710287159999,4748.192000,50,55,1710290940000,6.139
1710287160000,6.078000,6.079000,6.069000,6.069000,495,1710287219999,3007.010000,28,52,1710290940000,6.139
1710287220000,6.069000,6.075000,6.067000,6.068000,837,1710287279999,5081.137000,80,431,1710290940000,6.139
1710287280000,6.070000,6.073000,6.070000,6.073000,345,1710287339999,2094.743000,13,333,1710290940000,6.139
1710287340000,6.073000,6.073000,6.061000,6.068000,8482,1710287399999,51457.619000,251,3039,1710290940000,6.139
1710287400000,6.071000,6.071000,6.063000,6.066000,837,1710287459999,5077.276000,76,445,1710290940000,6.139
1710287460000,6.067000,6.069000,6.065000,6.069000,492,1710287519999,2985.547000,65,304,1710290940000,6.139
1710287520000,6.069000,6.073000,6.064000,6.065000,2845,1710287579999,17264.928000,120,970,1710290940000,6.139
1710287580000,6.066000,6.067000,6.061000,6.065000,1170,1710287639999,7096.187000,73,414,1710290940000,6.139
1710287640000,6.067000,6.067000,6.063000,6.063000,273,1710287699999,1655.766000,25,21,1710290940000,6.139
1710287700000,6.065000,6.069000,6.065000,6.068000,1354,1710287759999,8215.179000,96,910,1710290940000,6.139
