Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710368460000,0.4898,0.4912,0.4895,0.4912,269984,1710368519999,132346.6517,337,231864,1710373860000,0.5105
1710368520000,0.4912,0.4915,0.4909,0.4913,36026,1710368579999,17697.1577,137,24140,1710373860000,0.5105
1710368580000,0.4914,0.4927,0.4914,0.4927,157169,1710368639999,77339.3303,288,141060,1710373860000,0.5105
1710368640000,0.4926,0.4968,0.4923,0.4963,1086582,1710368699999,537233.6003,1564,916151,1710373860000,0.5105
1710368700000,0.4964,0.4990,0.4958,0.4967,551226,1710368759999,274113.6139,1479,342974,1710373860000,0.5105
1710368760000,0.4966,0.4968,0.4953,0.4962,263600,1710368819999,130745.4899,715,193174,1710373860000,0.5105
1710368820000,0.4962,0.4965,0.4952,0.4954,143986,1710368879999,71406.7936,494,82586,1710373860000,0.5105
1710368880000,0.4953,0.4953,0.4939,0.4946,114966,1710368939999,56841.8011,320,69234,1710373860000,0.5105
1710368940000,0.4946,0.4959,0.4940,0.4957,94252,1710368999999,46649.4208,365,61763,1710373860000,0.5105
1710369000000,0.4958,0.4966,0.4956,0.4966,250139,1710369059999,124110.2817,395,105807,1710373860000,0.5105
1710369060000,0.4965,0.4965,0.4949,0.4949,38235,1710369119999,18954.8180,149,14537,1710373860000,0.5105
1710369120000,0.4948,0.4955,0.4943,0.4945,109625,1710369179999,54245.8182,264,51373,1710373860000,0.5105
1710369180000,0.4944,0.4946,0.4934,0.4944,101580,1710369239999,50179.7329,302,39125,1710373860000,0.5105
1710369240000,0.4945,0.4953,0.4941,0.4947,82080,1710369299999,40601.7583,242,52660,1710373860000,0.5105
1710369300000,0.4948,0.4963,0.4948,0.4956,79031,1710369359999,39163.1781,298,51549,1710373860000,0.5105
1710369360000,0.4957,0.4961,0.4954,0.4956,46960,1710369419999,23278.6218,166,26758,1710373860000,0.5105
1710369420000,0.4956,0.4957,0.4947,0.4953,74939,1710369479999,37107.3619,256,38243,1710373860000,0.5105
1710369480000,0.4953,0.4953,0.4945,0.4945,98571,1710369539999,48784.3889,248,23371,1710373860000,0.5105
1710369540000,0.4945,0.4956,0.4942,0.4950,74436,1710369599999,36832.1271,316,42180,1710373860000,0.5105
1710369600000,0.4949,0.4963,0.4947,0.4963,31025,1710369659999,15371.2772,211,18910,1710373860000,0.5105
1710369660000,0.4963,0.4965,0.4952,0.4954,39054,1710369719999,19361.3756,207,22431,1710373860000,0.5105
1710369720000,0.4954,0.4957,0.4950,0.4954,65018,1710369779999,32204.4497,243,19312,1710373860000,0.5105
1710369780000,0.4953,0.4956,0.4949,0.4953,56528,1710369839999,27992.3364,213,33249,1710373860000,0.5105
1710369840000,0.4954,0.4964,0.4951,0.4964,79106,1710369899999,39232.1874,325,39045,1710373860000,0.5105
1710369900000,0.4962,0.4971,0.4959,0.4965,112771,1710369959999,55987.6843,351,72770,1710373860000,0.5105
1710369960000,0.4964,0.4979,0.4962,0.4973,82991,1710370019999,41262.8436,295,41383,1710373860000,0.5105
1710370020000,0.4973,0.4973,0.4964,0.4970,104231,1710370079999,51783.5308,380,60386,1710373860000,0.5105
1710370080000,0.4969,0.4969,0.4957,0.4957,68090,1710370139999,33791.9691,174,16471,1710373860000,0.5105
1710370140000,0.4958,0.4964,0.4957,0.4964,63608,1710370199999,31549.2570,179,39150,1710373860000,0.5105
1710370200000,0.4963,0.4964,0.4959,0.4961,77718,1710370259999,38559.2088,258,27110,1710373860000,0.5105
1710370260000,0.4959,0.4966,0.4946,0.4958,93768,1710370319999,46477.3766,394,61195,1710373860000,0.5105
1710370320000,0.4959,0.4959,0.4949,0.4951,64774,1710370379999,32086.5461,265,18743,1710373860000,0.5105
1710370380000,0.4951,0.4956,0.4947,0.4956,49318,1710370439999,24419.2771,145,36999,1710373860000,0.5105
1710370440000,0.4955,0.4957,0.4954,0.4957,12653,1710370499999,6269.2308,73,5740,1710373860000,0.5105
1710370500000,0.4956,0.4956,0.4950,0.4950,44262,1710370559999,21922.0919,201,21710,1710373860000,0.5105
1710370560000,0.4950,0.4950,0.4936,0.4946,102053,1710370619999,50439.1073,343,29636,1710373860000,0.5105
1710370620000,0.4946,0.4951,0.4943,0.4949,43294,1710370679999,21411.5252,195,21610,1710373860000,0.5105
1710370680000,0.4951,0.4953,0.4947,0.4949,39068,1710370739999,19335.0049,128,14786,1710373860000,0.5105
1710370740000,0.4948,0.4956,0.4947,0.4953,29816,1710370799999,14762.1933,150,17229,1710373860000,0.5105
1710370800000,0.4954,0.4964,0.4954,0.4956,84402,1710370859999,41859.0025,299,63887,1710373860000,0.5105
1710370860000,0.4955,0.4967,0.4952,0.4958,108993,1710370919999,54060.1979,404,74938,1710373860000,0.5105
1710370920000,0.4959,0.4960,0.4950,0.4952,38042,1710370979999,18843.0123,179,12605,1710373860000,0.5105
1710370980000,0.4952,0.4953,0.4950,0.4953,9713,1710371039999,4809.2123,79,7213,1710373860000,0.5105
1710371040000,0.4953,0.4954,0.4948,0.4948,24256,1710371099999,12007.9494,100,7635,1710373860000,0.5105
1710371100000,0.4948,0.4956,0.4948,0.4955,31644,1710371159999,15674.1682,162,18789,1710373860000,0.5105
1710371160000,0.4955,0.4962,0.4952,0.4962,70881,1710371219999,35122.6882,209,48475,1710373860000,0.5105
1710371220000,0.4962,0.4983,0.4962,0.4983,144767,1710371279999,71948.7461,520,109029,1710373860000,0.5105
1710371280000,0.4982,0.4983,0.4972,0.4978,80405,1710371339999,40013.3298,285,35630,1710373860000,0.5105
1710371340000,0.4978,0.4999,0.4976,0.4989,178638,1710371399999,89145.5226,674,86287,1710373860000,0.5105
1710371400000,0.4987,0.4991,0.4979,0.4982,118292,1710371459999,58950.2018,423,54063,1710373860000,0.5105
1710371460000,0.4980,0.4986,0.4979,0.4986,77245,1710371519999,38481.9076,219,61790,1710373860000,0.5105
1710371520000,0.4985,0.4994,0.4985,0.4994,27312,1710371579999,13627.0646,127,14689,1710373860000,0.5105
1710371580000,0.4993,0.4999,0.4990,0.4996,150988,1710371639999,75389.2164,467,58655,1710373860000,0.5105
1710371640000,0.4996,0.4999,0.4986,0.4988,38879,1710371699999,19414.5987,205,15395,1710373860000,0.5105
1710371700000,0.4989,0.4995,0.4988,0.4989,19235,1710371759999,9600.0313,133,10307,1710373860000,0.5105
1710371760000,0.4988,0.4988,0.4966,0.4967,75053,1710371819999,37334.6957,332,20000,1710373860000,0.5105
1710371820000,0.4966,0.4975,0.4963,0.4974,41304,1710371879999,20511.0850,146,21011,1710373860000,0.5105
1710371880000,0.4974,0.4981,0.4974,0.4979,36420,1710371939999,18128.2527,185,21586,1710373860000,0.5105
