Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710305100000,5.997,5.998,5.993,5.995,1458.3,1710305159999,8742.3151,79,1038.1,1710310440000,6.102
1710305160000,5.994,5.999,5.994,5.999,2300.3,1710305219999,13792.1761,98,1418.1,1710310440000,6.102
1710305220000,5.997,6.001,5.997,5.998,1218.7,1710305279999,7310.9291,48,1197.7,1710310440000,6.102
1710305280000,5.998,5.999,5.996,5.996,62.2,1710305339999,373.0519,16,13.9,1710310440000,6.102
1710305340000,5.996,5.996,5.994,5.996,671.3,1710305399999,4024.4848,29,587.1,1710310440000,6.102
1710305400000,5.994,5.994,5.993,5.993,269.8,1710305459999,1617.1101,26,12.4,1710310440000,6.102
1710305460000,5.992,5.998,5.989,5.998,1808.7,1710305519999,10839.9856,70,1554.4,1710310440000,6.102
1710305520000,5.999,6.000,5.999,5.999,50.4,1710305579999,302.3566,8,7.0,1710310440000,6.102
1710305580000,5.998,6.003,5.996,6.003,1131.6,1710305639999,6790.2416,39,1087.8,1710310440000,6.102
1710305640000,6.002,6.002,6.000,6.000,68.3,1710305699999,409.9053,14,37.8,1710310440000,6.102
1710305700000,6.000,6.001,5.997,6.001,261.8,1710305759999,1570.6544,41,145.1,1710310440000,6.102
1710305760000,6.000,6.000,5.995,6.000,1509.3,1710305819999,9052.0157,55,356.9,1710310440000,6.102
1710305820000,6.000,6.002,6.000,6.000,452.9,1710305879999,2717.5487,33,303.6,1710310440000,6.102
1710305880000,6.000,6.003,6.000,6.003,306.7,1710305939999,1840.6016,29,296.7,1710310440000,6.102
1710305940000,6.002,6.003,6.001,6.003,116.6,1710305999999,699.8458,23,58.5,1710310440000,6.102
1710306000000,6.003,6.003,5.993,5.993,1907.8,1710306059999,11440.3773,151,571.8,1710310440000,6.102
1710306060000,5.997,5.998,5.988,5.990,1364.2,1710306119999,8174.2232,121,782.3,1710310440000,6.102
1710306120000,5.992,5.998,5.992,5.998,702.0,1710306179999,4207.9588,61,502.2,1710310440000,6.102
1710306180000,5.998,6.001,5.995,5.995,293.4,1710306239999,1760.1546,32,59.8,1710310440000,6.102
1710306240000,5.995,5.998,5.991,5.991,187.2,1710306299999,1122.2909,32,35.9,1710310440000,6.102
1710306300000,5.992,5.995,5.988,5.990,610.1,1710306359999,3655.4015,59,317.6,1710310440000,6.102
1710306360000,5.990,5.991,5.987,5.990,464.4,1710306419999,2781.3940,55,260.8,1710310440000,6.102
1710306420000,5.991,5.996,5.990,5.996,466.1,1710306479999,2793.8889,39,153.8,1710310440000,6.102
1710306480000,5.995,5.999,5.995,5.999,1294.4,1710306539999,7762.2579,34,1051.7,1710310440000,6.102
1710306540000,5.998,6.000,5.996,6.000,488.8,1710306599999,2931.9517,32,303.4,1710310440000,6.102
1710306600000,6.000,6.000,5.998,5.999,207.0,1710306659999,1241.8175,15,36.8,1710310440000,6.102
1710306660000,5.999,5.999,5.997,5.997,851.9,1710306719999,5109.9508,48,65.2,1710310440000,6.102
1710306720000,5.998,6.002,5.997,5.999,1292.5,1710306779999,7754.2611,218,1102.5,1710310440000,6.102
1710306780000,5.999,6.000,5.998,5.999,135.3,1710306839999,811.6129,25,45.3,1710310440000,6.102
1710306840000,6.000,6.001,5.999,5.999,133.9,1710306899999,803.4071,15,93.6,1710310440000,6.102
1710306900000,6.000,6.004,6.000,6.002,425.5,1710306959999,2554.3093,48,225.7,1710310440000,6.102
1710306960000,6.002,6.003,5.997,5.997,1224.4,1710307019999,7346.7676,100,305.3,1710310440000,6.102
1710307020000,5.997,6.000,5.992,5.999,1749.0,1710307079999,10484.8320,95,1056.4,1710310440000,6.102
1710307080000,5.998,6.001,5.995,5.999,1022.1,1710307139999,6131.7498,43,910.0,1710310440000,6.102
1710307140000,6.000,6.002,5.998,6.002,305.2,1710307199999,1831.4178,23,260.8,1710310440000,6.102
1710307200000,6.004,6.013,6.004,6.013,570.4,1710307259999,3427.5346,75,537.1,1710310440000,6.102
1710307260000,6.014,6.022,6.014,6.018,4069.4,1710307319999,24491.9382,151,1613.6,1710310440000,6.102
1710307320000,6.017,6.019,6.017,6.019,500.5,1710307379999,3012.3254,36,438.8,1710310440000,6.102
1710307380000,6.020,6.025,6.020,6.025,680.3,1710307439999,4098.1484,38,625.1,1710310440000,6.102
1710307440000,6.025,6.029,6.025,6.025,257.9,1710307499999,1554.2783,25,37.2,1710310440000,6.102
1710307500000,6.026,6.028,6.024,6.027,150.3,1710307559999,905.7792,30,92.6,1710310440000,6.102
1710307560000,6.027,6.027,6.023,6.023,772.2,1710307619999,4652.1796,51,215.8,1710310440000,6.102
1710307620000,6.024,6.032,6.024,6.028,4558.0,1710307679999,27480.7955,98,2274.8,1710310440000,6.102
1710307680000,6.026,6.029,6.025,6.029,950.1,1710307739999,5726.6290,57,418.3,1710310440000,6.102
1710307740000,6.028,6.030,6.027,6.029,650.4,1710307799999,3921.0917,41,313.4,1710310440000,6.102
1710307800000,6.030,6.030,6.025,6.028,982.7,1710307859999,5923.0035,56,458.9,1710310440000,6.102
1710307860000,6.027,6.029,6.026,6.029,369.0,1710307919999,2223.9891,26,177.9,1710310440000,6.102
1710307920000,6.029,6.029,6.028,6.028,259.0,1710307979999,1561.2643,35,175.2,1710310440000,6.102
1710307980000,6.029,6.029,6.027,6.027,232.7,1710308039999,1402.6259,28,47.8,1710310440000,6.102
1710308040000,6.028,6.029,6.026,6.026,288.3,1710308099999,1737.6610,20,111.9,1710310440000,6.102
1710308100000,6.026,6.029,6.025,6.027,406.0,1710308159999,2447.1428,35,309.2,1710310440000,6.102
1710308160000,6.027,6.027,6.025,6.027,883.9,1710308219999,5326.4189,61,307.0,1710310440000,6.102
1710308220000,6.027,6.027,6.026,6.026,112.6,1710308279999,678.5936,14,8.4,1710310440000,6.102
1710308280000,6.026,6.027,6.023,6.024,241.3,1710308339999,1453.6418,30,71.6,1710310440000,6.102
1710308340000,6.022,6.023,6.021,6.023,249.0,1710308399999,1499.5196,33,104.1,1710310440000,6.102
1710308400000,6.022,6.022,6.020,6.022,91.7,1710308459999,552.1927,19,70.8,1710310440000,6.102
1710308460000,6.022,6.024,6.016,6.016,905.4,1710308519999,5450.0241,70,211.0,1710310440000,6.102
1710308520000,6.018,6.018,6.014,6.017,723.8,1710308579999,4354.4765,39,43.7,1710310440000,6.102
1710308580000,6.016,6.018,6.015,6.015,67.1,1710308639999,403.7486,15,38.1,1710310440000,6.102
1710308640000,6.016,6.019,6.016,6.016,460.4,1710308699999,2770.3305,41,66.2,1710310440000,6.102
1710308700000,6.017,6.018,6.015,6.017,563.7,1710308759999,3391.5148,54,464.5,1710310440000,6.102
1710308760000,6.018,6.018,6.012,6.012,225.9,1710308819999,1358.5800,41,145.6,1710310440000,6.102
1710308820000,6.013,6.014,6.000,6.005,1245.4,1710308879999,7480.4070,55,660.7,1710310440000,6.102
1710308880000,6.005,6.007,6.003,6.007,328.0,1710308939999,1970.0031,24,168.0,1710310440000,6.102
1710308940000,6.008,6.012,6.008,6.011,198.1,1710308999999,1190.6438,13,67.9,1710310440000,6.102
1710309000000,6.011,6.013,6.009,6.013,67.7,1710309059999,406.9061,13,18.0,1710310440000,6.102
1710309060000,6.012,6.016,6.011,6.014,211.6,1710309119999,1272.5035,24,140.1,1710310440000,6.102
1710309120000,6.013,6.014,6.012,6.013,383.3,1710309179999,2304.8530,24,226.4,1710310440000,6.102
