Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711861140000,2.2381,2.2387,2.2374,2.2374,642.1,1711861199999,1437.02077,45,272.4,1711866540000,2.2783
1711861200000,2.2374,2.2378,2.2356,2.2367,606.4,1711861259999,1356.50522,58,370.1,1711866540000,2.2783
1711861260000,2.2368,2.2393,2.2368,2.2391,362.2,1711861319999,810.72797,33,362.2,1711866540000,2.2783
1711861320000,2.2397,2.2406,2.2393,2.2393,911.9,1711861379999,2042.73424,72,249.2,1711866540000,2.2783
1711861380000,2.2393,2.2437,2.2391,2.2437,1792.7,1711861439999,4017.92343,103,1343.0,1711866540000,2.2783
1711861440000,2.2434,2.2439,2.2407,2.2408,1379.2,1711861499999,3093.70594,61,142.5,1711866540000,2.2783
1711861500000,2.2407,2.2417,2.2394,2.2417,2528.9,1711861559999,5666.58968,80,1509.2,1711866540000,2.2783
1711861560000,2.2419,2.2447,2.2419,2.2440,3185.5,1711861619999,7148.29518,99,1855.7,1711866540000,2.2783
1711861620000,2.2439,2.2462,2.2437,2.2462,6823.2,1711861679999,15316.03181,120,4477.0,1711866540000,2.2783
1711861680000,2.2462,2.2466,2.2458,2.2458,2046.8,1711861739999,4597.65915,42,586.7,1711866540000,2.2783
1711861740000,2.2451,2.2451,2.2443,2.2449,1610.3,1711861799999,3614.74945,87,812.7,1711866540000,2.2783
1711861800000,2.2449,2.2458,2.2444,2.2449,4477.0,1711861859999,10051.93111,135,2289.9,1711866540000,2.2783
1711861860000,2.2452,2.2466,2.2452,2.2458,3689.8,1711861919999,8287.25200,129,3000.1,1711866540000,2.2783
1711861920000,2.2463,2.2504,2.2463,2.2477,7368.6,1711861979999,16564.51145,186,1707.2,1711866540000,2.2783
1711861980000,2.2475,2.2494,2.2471,2.2488,2443.3,1711862039999,5492.50966,59,1915.9,1711866540000,2.2783
1711862040000,2.2486,2.2520,2.2478,2.2520,1744.3,1711862099999,3923.54794,96,1325.3,1711866540000,2.2783
1711862100000,2.2519,2.2534,2.2519,2.2528,1027.2,1711862159999,2313.83634,64,566.1,1711866540000,2.2783
1711862160000,2.2526,2.2526,2.2511,2.2523,1206.2,1711862219999,2716.08474,54,369.4,1711866540000,2.2783
1711862220000,2.2523,2.2537,2.2502,2.2513,3095.9,1711862279999,6972.85538,78,2052.4,1711866540000,2.2783
1711862280000,2.2506,2.2517,2.2495,2.2517,834.2,1711862339999,1877.38556,53,628.0,1711866540000,2.2783
1711862340000,2.2526,2.2535,2.2505,2.2505,1226.4,1711862399999,2762.54238,42,257.7,1711866540000,2.2783
1711862400000,2.2502,2.2518,2.2495,2.2510,4130.2,1711862459999,9295.17623,107,3573.2,1711866540000,2.2783
1711862460000,2.2523,2.2523,2.2517,2.2517,631.9,1711862519999,1423.13616,30,142.2,1711866540000,2.2783
1711862520000,2.2511,2.2543,2.2511,2.2541,829.3,1711862579999,1868.21100,50,449.2,1711866540000,2.2783
1711862580000,2.2542,2.2582,2.2542,2.2558,2840.0,1711862639999,6409.41628,91,1187.2,1711866540000,2.2783
1711862640000,2.2558,2.2564,2.2544,2.2544,1543.2,1711862699999,3481.24332,26,1140.3,1711866540000,2.2783
1711862700000,2.2544,2.2565,2.2544,2.2561,694.0,1711862759999,1565.09677,55,581.1,1711866540000,2.2783
1711862760000,2.2560,2.2572,2.2536,2.2572,3125.9,1711862819999,7051.41865,97,2575.1,1711866540000,2.2783
1711862820000,2.2562,2.2564,2.2547,2.2550,817.5,1711862879999,1843.70836,36,360.0,1711866540000,2.2783
1711862880000,2.2549,2.2555,2.2544,2.2554,3295.7,1711862939999,7431.62163,33,604.3,1711866540000,2.2783
1711862940000,2.2555,2.2590,2.2555,2.2585,2371.2,1711862999999,5354.85558,59,1992.4,1711866540000,2.2783
1711863000000,2.2585,2.2590,2.2570,2.2579,1800.3,1711863059999,4065.13139,68,1172.6,1711866540000,2.2783
1711863060000,2.2577,2.2577,2.2543,2.2550,994.2,1711863119999,2242.84879,50,170.1,1711866540000,2.2783
1711863120000,2.2544,2.2558,2.2540,2.2556,1304.2,1711863179999,2940.79562,58,843.2,1711866540000,2.2783
1711863180000,2.2555,2.2570,2.2555,2.2563,993.6,1711863239999,2241.78501,33,396.7,1711866540000,2.2783
1711863240000,2.2562,2.2566,2.2540,2.2542,2212.2,1711863299999,4988.83036,62,550.7,1711866540000,2.2783
1711863300000,2.2540,2.2551,2.2530,2.2541,932.9,1711863359999,2102.62858,48,536.0,1711866540000,2.2783
1711863360000,2.2545,2.2554,2.2545,2.2549,701.5,1711863419999,1581.90155,39,481.4,1711866540000,2.2783
1711863420000,2.2552,2.2559,2.2552,2.2559,195.9,1711863479999,441.85905,27,195.9,1711866540000,2.2783
1711863480000,2.2565,2.2565,2.2555,2.2557,169.3,1711863539999,381.89105,21,169.3,1711866540000,2.2783
1711863540000,2.2556,2.2556,2.2531,2.2535,1485.9,1711863599999,3349.87817,52,459.7,1711866540000,2.2783
1711863600000,2.2537,2.2543,2.2524,2.2539,2095.4,1711863659999,4722.26684,61,1434.5,1711866540000,2.2783
1711863660000,2.2541,2.2547,2.2533,2.2535,2993.1,1711863719999,6745.28595,56,1841.4,1711866540000,2.2783
1711863720000,2.2535,2.2541,2.2535,2.2539,1036.4,1711863779999,2336.06160,21,162.9,1711866540000,2.2783
1711863780000,2.2538,2.2538,2.2520,2.2531,1862.2,1711863839999,4195.01898,55,84.0,1711866540000,2.2783
1711863840000,2.2532,2.2549,2.2527,2.2538,2788.9,1711863899999,6285.07715,77,944.1,1711866540000,2.2783
1711863900000,2.2539,2.2557,2.2534,2.2557,544.0,1711863959999,1226.44997,34,538.3,1711866540000,2.2783
1711863960000,2.2557,2.2567,2.2552,2.2558,1152.5,1711864019999,2599.86625,36,564.6,1711866540000,2.2783
1711864020000,2.2557,2.2582,2.2557,2.2577,1770.4,1711864079999,3996.57198,64,1724.6,1711866540000,2.2783
1711864080000,2.2572,2.2595,2.2572,2.2595,766.7,1711864139999,1731.37394,37,669.9,1711866540000,2.2783
1711864140000,2.2593,2.2598,2.2589,2.2593,1240.8,1711864199999,2803.49173,35,550.9,1711866540000,2.2783
1711864200000,2.2596,2.2598,2.2589,2.2592,1681.9,1711864259999,3799.98390,53,1018.3,1711866540000,2.2783
1711864260000,2.2595,2.2614,2.2589,2.2589,4749.7,1711864319999,10735.91738,104,3060.3,1711866540000,2.2783
1711864320000,2.2584,2.2626,2.2575,2.2606,26096.8,1711864379999,58984.53309,365,10421.9,1711866540000,2.2783
1711864380000,2.2607,2.2607,2.2585,2.2588,1230.7,1711864439999,2780.87587,46,418.1,1711866540000,2.2783
1711864440000,2.2589,2.2611,2.2589,2.2611,816.8,1711864499999,1845.91669,37,816.8,1711866540000,2.2783
1711864500000,2.2610,2.2625,2.2608,2.2618,1086.2,1711864559999,2456.56310,44,342.8,1711866540000,2.2783
1711864560000,2.2616,2.2642,2.2615,2.2638,1237.5,1711864619999,2800.74900,58,1075.7,1711866540000,2.2783
1711864620000,2.2639,2.2644,2.2629,2.2630,1830.7,1711864679999,4143.81003,44,412.7,1711866540000,2.2783
1711864680000,2.2631,2.2640,2.2630,2.2640,925.9,1711864739999,2095.66074,32,862.3,1711866540000,2.2783
1711864740000,2.2640,2.2666,2.2640,2.2666,2082.8,1711864799999,4719.27517,144,1792.4,1711866540000,2.2783
1711864800000,2.2666,2.2681,2.2649,2.2649,6703.2,1711864859999,15197.05614,136,2245.1,1711866540000,2.2783
1711864860000,2.2648,2.2650,2.2629,2.2634,5850.4,1711864919999,13245.25632,127,477.0,1711866540000,2.2783
1711864920000,2.2635,2.2641,2.2617,2.2628,1915.1,1711864979999,4333.74187,87,917.6,1711866540000,2.2783
1711864980000,2.2629,2.2646,2.2623,2.2630,2767.2,1711865039999,6262.79559,77,620.0,1711866540000,2.2783
1711865040000,2.2632,2.2645,2.2610,2.2638,4355.3,1711865099999,9854.31419,94,2492.8,1711866540000,2.2783
1711865100000,2.2634,2.2685,2.2634,2.2677,9416.4,1711865159999,21350.50595,144,8521.8,1711866540000,2.2783
1711865160000,2.2676,2.2691,2.2673,2.2687,4169.4,1711865219999,9456.28520,87,1743.6,1711866540000,2.2783
1711865220000,2.2687,2.2711,2.2687,2.2691,2973.8,1711865279999,6749.90647,81,1589.7,1711866540000,2.2783
1711865280000,2.2692,2.2699,2.2690,2.2693,4138.2,1711865339999,9391.63004,85,2239.3,1711866540000,2.2783
1711865340000,2.2696,2.2697,2.2688,2.2688,710.3,1711865399999,1612.03143,27,176.8,1711866540000,2.2783
1711865400000,2.2688,2.2697,2.2684,2.2691,2620.8,1711865459999,5946.98858,70,1111.1,1711866540000,2.2783
1711865460000,2.2687,2.2688,2.2664,2.2664,2207.5,1711865519999,5006.62726,67,302.1,1711866540000,2.2783
1711865520000,2.2664,2.2664,2.2653,2.2662,1664.8,1711865579999,3771.67874,30,1413.7,1711866540000,2.2783
1711865580000,2.2665,2.2677,2.2665,2.2673,315.8,1711865639999,715.91018,24,135.1,1711866540000,2.2783
1711865640000,2.2674,2.2678,2.2663,2.2669,1857.8,1711865699999,4212.37000,44,700.3,1711866540000,2.2783
1711865700000,2.2671,2.2681,2.2664,2.2678,1940.5,1711865759999,4399.55757,59,1483.2,1711866540000,2.2783
1711865760000,2.2674,2.2674,2.2632,2.2632,1606.7,1711865819999,3639.75090,55,122.3,1711866540000,2.2783
1711865820000,2.2634,2.2645,2.2630,2.2636,394.7,1711865879999,893.40938,50,173.5,1711866540000,2.2783
1711865880000,2.2636,2.2638,2.2618,2.2631,1763.6,1711865939999,3991.34776,83,1278.1,1711866540000,2.2783
1711865940000,2.2628,2.2660,2.2626,2.2660,1975.1,1711865999999,4472.84594,62,1965.8,1711866540000,2.2783
1711866000000,2.2663,2.2683,2.2663,2.2664,656.8,1711866059999,1489.49069,32,140.8,1711866540000,2.2783
1711866060000,2.2667,2.2678,2.2663,2.2670,400.0,1711866119999,906.77025,36,213.7,1711866540000,2.2783
1711866120000,2.2665,2.2670,2.2646,2.2670,2168.4,1711866179999,4913.61537,62,1449.9,1711866540000,2.2783
1711866180000,2.2671,2.2678,2.2671,2.2676,742.7,1711866239999,1683.89416,25,524.9,1711866540000,2.2783
1711866240000,2.2676,2.2676,2.2655,2.2655,1263.1,1711866299999,2863.47653,35,119.0,1711866540000,2.2783
1711866300000,2.2660,2.2670,2.2658,2.2664,1312.2,1711866359999,2973.93988,54,652.6,1711866540000,2.2783
1711866360000,2.2670,2.2673,2.2643,2.2658,2062.3,1711866419999,4671.85168,79,614.8,1711866540000,2.2783
1711866420000,2.2659,2.2662,2.2652,2.2657,610.7,1711866479999,1383.65756,15,557.6,1711866540000,2.2783
1711866480000,2.2653,2.2665,2.2653,2.2663,682.2,1711866539999,1545.77883,18,524.1,1711866540000,2.2783
1711866540000,2.2660,2.2798,2.2660,2.2764,39414.1,1711866599999,89681.70824,746,32623.9,1711866540000,2.2783
1711866600000,2.2765,2.2807,2.2732,2.2732,24694.2,1711866659999,56233.71085,522,14605.0,1711866540000,2.2783
1711866660000,2.2731,2.2772,2.2722,2.2740,9885.3,1711866719999,22488.49167,227,4527.8,1711866540000,2.2783
1711866720000,2.2738,2.2756,2.2718,2.2722,2402.6,1711866779999,5463.78962,100,1007.7,1711866540000,2.2783
1711866780000,2.2721,2.2733,2.2707,2.2730,4627.0,1711866839999,10512.28947,173,2275.3,1711866540000,2.2783
1711866840000,2.2732,2.2732,2.2714,2.2730,1933.0,1711866899999,4392.74605,91,1144.7,1711866540000,2.2783
1711866900000,2.2730,2.2731,2.2710,2.2721,1814.3,1711866959999,4122.87488,79,557.9,1711866540000,2.2783
1711866960000,2.2722,2.2723,2.2703,2.2703,974.4,1711867019999,2213.22525,66,279.4,1711866540000,2.2783
1711867020000,2.2703,2.2711,2.2696,2.2696,651.4,1711867079999,1478.77261,43,398.4,1711866540000,2.2783
1711867080000,2.2700,2.2711,2.2690,2.2711,1360.8,1711867139999,3088.98473,76,738.5,1711866540000,2.2783
1711867140000,2.2710,2.2719,2.2697,2.2703,1272.3,1711867199999,2889.00946,43,277.1,1711866540000,2.2783
