Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1712154660000,0.2935,0.2936,0.2932,0.2935,32311.3,1712154719999,9479.64579,95,18319.5,1712160000000,0.2932
1712154720000,0.2936,0.2944,0.2936,0.2942,31475.9,1712154779999,9256.55258,95,7331.5,1712160000000,0.2932
1712154780000,0.2941,0.2943,0.2938,0.2943,19535.5,1712154839999,5744.71433,62,11325.2,1712160000000,0.2932
1712154840000,0.2944,0.2948,0.2943,0.2943,21228.5,1712154899999,6251.87451,144,15772.4,1712160000000,0.2932
1712154900000,0.2942,0.2948,0.2942,0.2948,30598.1,1712154959999,9014.21990,70,17516.1,1712160000000,0.2932
1712154960000,0.2949,0.2951,0.2945,0.2945,54817.2,1712155019999,16163.17344,117,30909.9,1712160000000,0.2932
1712155020000,0.2945,0.2945,0.2943,0.2943,12501.6,1712155079999,3681.09396,50,75.3,1712160000000,0.2932
1712155080000,0.2942,0.2942,0.2940,0.2941,11618.6,1712155139999,3417.64003,54,3683.9,1712160000000,0.2932
1712155140000,0.2942,0.2944,0.2941,0.2944,17509.9,1712155199999,5152.54584,42,14729.6,1712160000000,0.2932
1712155200000,0.2943,0.2943,0.2936,0.2937,23711.1,1712155259999,6969.69151,67,7769.1,1712160000000,0.2932
1712155260000,0.2937,0.2939,0.2934,0.2935,19980.2,1712155319999,5867.44241,65,6240.7,1712160000000,0.2932
1712155320000,0.2935,0.2939,0.2935,0.2939,7793.7,1712155379999,2288.40758,29,6193.9,1712160000000,0.2932
1712155380000,0.2939,0.2940,0.2939,0.2939,4500.9,1712155439999,1323.00222,18,1940.4,1712160000000,0.2932
1712155440000,0.2938,0.2938,0.2935,0.2936,12494.9,1712155499999,3669.32969,43,2325.8,1712160000000,0.2932
1712155500000,0.2936,0.2942,0.2935,0.2940,19146.5,1712155559999,5625.11561,54,16768.7,1712160000000,0.2932
1712155560000,0.2940,0.2940,0.2935,0.2935,19902.5,1712155619999,5846.52853,58,1280.6,1712160000000,0.2932
1712155620000,0.2934,0.2940,0.2934,0.2940,20200.3,1712155679999,5935.24607,44,10099.5,1712160000000,0.2932
1712155680000,0.2939,0.2939,0.2938,0.2939,3201.0,1712155739999,940.58559,12,1901.0,1712160000000,0.2932
1712155740000,0.2939,0.2939,0.2935,0.2936,6707.5,1712155799999,1969.83362,19,4715.7,1712160000000,0.2932
1712155800000,0.2935,0.2935,0.2932,0.2932,18905.4,1712155859999,5545.56668,81,6596.9,1712160000000,0.2932
1712155860000,0.2933,0.2940,0.2933,0.2937,19241.7,1712155919999,5652.19097,41,13159.4,1712160000000,0.2932
1712155920000,0.2937,0.2941,0.2937,0.2939,17159.4,1712155979999,5044.28419,48,8871.4,1712160000000,0.2932
1712155980000,0.2940,0.2940,0.2935,0.2940,64588.8,1712156039999,18972.63454,65,17752.1,1712160000000,0.2932
1712156040000,0.2941,0.2944,0.2941,0.2943,29310.4,1712156099999,8623.83543,50,24554.3,1712160000000,0.2932
1712156100000,0.2943,0.2945,0.2943,0.2944,7129.1,1712156159999,2098.79787,15,6980.5,1712160000000,0.2932
1712156160000,0.2944,0.2946,0.2943,0.2946,13471.3,1712156219999,3965.91329,29,3556.3,1712160000000,0.2932
1712156220000,0.2947,0.2947,0.2944,0.2944,12441.0,1712156279999,3664.79175,47,1552.5,1712160000000,0.2932
1712156280000,0.2944,0.2945,0.2943,0.2943,9549.8,1712156339999,2811.50428,30,5408.4,1712160000000,0.2932
1712156340000,0.2943,0.2949,0.2943,0.2949,31373.9,1712156399999,9247.43425,86,19430.0,1712160000000,0.2932
1712156400000,0.2949,0.2949,0.2944,0.2945,55574.8,1712156459999,16371.71449,127,13430.7,1712160000000,0.2932
1712156460000,0.2944,0.2945,0.2942,0.2945,19844.3,1712156519999,5840.50031,67,6877.1,1712160000000,0.2932
1712156520000,0.2945,0.2945,0.2941,0.2941,21775.8,1712156579999,6410.89907,45,6974.8,1712160000000,0.2932
1712156580000,0.2941,0.2943,0.2940,0.2943,12325.8,1712156639999,3625.40556,43,5886.8,1712160000000,0.2932
1712156640000,0.2943,0.2947,0.2943,0.2947,15340.7,1712156699999,4519.38075,35,11754.1,1712160000000,0.2932
1712156700000,0.2947,0.2949,0.2941,0.2942,56318.5,1712156759999,16589.59066,131,22606.4,1712160000000,0.2932
1712156760000,0.2942,0.2942,0.2938,0.2940,51954.6,1712156819999,15273.25675,110,41177.3,1712160000000,0.2932
1712156820000,0.2941,0.2943,0.2935,0.2935,29101.5,1712156879999,8550.17307,80,6787.0,1712160000000,0.2932
1712156880000,0.2935,0.2938,0.2935,0.2937,30801.8,1712156939999,9045.97996,85,15724.1,1712160000000,0.2932
1712156940000,0.2936,0.2938,0.2935,0.2938,31243.6,1712156999999,9171.36904,69,17191.1,1712160000000,0.2932
1712157000000,0.2937,0.2937,0.2934,0.2934,10308.7,1712157059999,3026.60464,54,3933.8,1712160000000,0.2932
1712157060000,0.2934,0.2935,0.2933,0.2935,17742.4,1712157119999,5205.47889,66,10855.9,1712160000000,0.2932
1712157120000,0.2936,0.2941,0.2936,0.2941,14967.6,1712157179999,4397.36367,31,13926.6,1712160000000,0.2932
1712157180000,0.2940,0.2940,0.2938,0.2938,4067.1,1712157239999,1195.32158,22,856.4,1712160000000,0.2932
1712157240000,0.2938,0.2938,0.2936,0.2937,20330.9,1712157299999,5970.46197,60,5783.7,1712160000000,0.2932
1712157300000,0.2936,0.2938,0.2936,0.2936,12197.6,1712157359999,3582.96526,65,4926.6,1712160000000,0.2932
1712157360000,0.2936,0.2936,0.2931,0.2932,25642.3,1712157419999,7518.85050,97,7332.3,1712160000000,0.2932
1712157420000,0.2932,0.2934,0.2931,0.2931,12828.1,1712157479999,3762.03181,49,7533.8,1712160000000,0.2932
1712157480000,0.2931,0.2933,0.2930,0.2930,13665.9,1712157539999,4005.04224,66,2845.3,1712160000000,0.2932
1712157540000,0.2930,0.2931,0.2928,0.2931,30018.8,1712157599999,8794.29405,46,19068.5,1712160000000,0.2932
1712157600000,0.2931,0.2931,0.2926,0.2927,36907.9,1712157659999,10807.95564,100,14368.3,1712160000000,0.2932
1712157660000,0.2927,0.2928,0.2926,0.2928,19430.6,1712157719999,5687.16051,58,11528.9,1712160000000,0.2932
