Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711616160000,569.49,570.34,568.70,569.76,1161.861,1711616219999,661707.14634,1942,645.642,1711621500000,565.25
1711616220000,569.75,572.98,569.00,572.18,2068.650,1711616279999,1181445.42684,2815,1389.502,1711621500000,565.25
1711616280000,572.17,572.30,570.84,570.90,1032.939,1711616339999,590234.95178,1934,451.514,1711621500000,565.25
1711616340000,570.90,571.67,570.44,571.62,1157.742,1711616399999,661154.00324,1267,367.819,1711621500000,565.25
1711616400000,571.57,571.61,569.00,569.87,1903.782,1711616459999,1085133.20642,2536,770.824,1711621500000,565.25
1711616460000,569.87,570.29,569.09,569.40,782.459,1711616519999,445624.04688,1456,467.013,1711621500000,565.25
1711616520000,569.43,570.95,568.26,569.85,1233.254,1711616579999,701951.05895,1894,581.971,1711621500000,565.25
1711616580000,569.85,569.85,567.40,567.53,1435.981,1711616639999,816124.28326,1889,409.277,1711621500000,565.25
1711616640000,567.54,568.76,567.00,568.42,2088.633,1711616699999,1185514.48508,3877,1095.215,1711621500000,565.25
1711616700000,568.40,568.40,567.01,567.37,1257.593,1711616759999,713770.92113,1906,625.129,1711621500000,565.25
1711616760000,567.42,567.42,565.04,566.58,3227.872,1711616819999,1827007.99905,2896,1267.375,1711621500000,565.25
1711616820000,566.55,567.15,566.00,566.73,1196.501,1711616879999,677826.95322,1348,766.279,1711621500000,565.25
1711616880000,566.73,569.33,566.18,567.68,1958.083,1711616939999,1111648.27937,2123,1118.919,1711621500000,565.25
1711616940000,567.68,568.69,567.00,568.62,1048.034,1711616999999,595142.08431,1283,570.832,1711621500000,565.25
1711617000000,568.62,568.88,566.61,566.87,1772.506,1711617059999,1006555.33484,1954,833.314,1711621500000,565.25
1711617060000,566.90,566.90,565.37,565.87,1134.463,1711617119999,642128.19741,1265,450.626,1711621500000,565.25
1711617120000,565.93,566.92,565.52,565.93,646.836,1711617179999,366144.57511,995,357.754,1711621500000,565.25
1711617180000,565.93,566.81,565.80,566.07,950.152,1711617239999,537840.70471,1043,350.701,1711621500000,565.25
1711617240000,566.11,566.50,565.61,566.26,561.939,1711617299999,318126.64523,663,394.693,1711621500000,565.25
1711617300000,566.25,566.26,564.14,564.63,2281.061,1711617359999,1288836.85129,1728,510.035,1711621500000,565.25
1711617360000,564.63,565.23,564.20,565.21,600.036,1711617419999,338880.07613,1246,330.715,1711621500000,565.25
1711617420000,565.21,565.67,563.80,564.16,704.989,1711617479999,398209.22643,1240,282.143,1711621500000,565.25
1711617480000,564.19,564.33,563.19,563.85,1344.509,1711617539999,757957.83651,1717,545.554,1711621500000,565.25
1711617540000,563.91,564.38,563.51,564.06,729.614,1711617599999,411504.74223,1210,397.911,1711621500000,565.25
1711617600000,564.06,564.85,562.67,562.95,869.784,1711617659999,490227.50101,1634,461.051,1711621500000,565.25
1711617660000,562.88,562.96,561.08,561.74,2185.484,1711617719999,1228304.49747,3180,861.394,1711621500000,565.25
1711617720000,561.75,563.49,561.27,562.74,1908.182,1711617779999,1072859.43044,3509,1188.982,1711621500000,565.25
1711617780000,562.72,563.97,561.66,562.34,1482.641,1711617839999,834490.72049,1923,795.630,1711621500000,565.25
1711617840000,562.27,562.57,561.90,562.23,486.473,1711617899999,273497.10678,718,320.132,1711621500000,565.25
1711617900000,562.21,563.08,561.82,562.69,691.172,1711617959999,388654.19523,1048,455.786,1711621500000,565.25
1711617960000,562.68,563.09,562.41,562.42,606.924,1711618019999,341515.48441,800,324.048,1711621500000,565.25
1711618020000,562.46,562.80,561.75,561.75,789.072,1711618079999,443685.16913,853,223.935,1711621500000,565.25
1711618080000,561.75,562.15,561.50,561.50,403.381,1711618139999,226639.53279,620,171.924,1711621500000,565.25
1711618140000,561.53,561.82,561.10,561.67,646.378,1711618199999,362912.45145,837,322.242,1711621500000,565.25
1711618200000,561.67,562.02,561.00,561.85,884.262,1711618259999,496550.56708,1244,306.267,1711621500000,565.25
1711618260000,561.84,561.84,561.16,561.18,493.023,1711618319999,276858.56154,703,188.993,1711621500000,565.25
