Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1712165280000,0.0310800,0.0310950,0.0310360,0.0310560,760412,1712165339999,23625.0411350,271,195828,1712170620000,0.031311
1712165340000,0.0310580,0.0310810,0.0310500,0.0310500,173911,1712165399999,5401.9792790,79,91526,1712170620000,0.031311
1712165400000,0.0310580,0.0310580,0.0309660,0.0310040,1057509,1712165459999,32779.7060040,215,191004,1712170620000,0.031311
1712165460000,0.0309990,0.0310360,0.0309580,0.0309770,268275,1712165519999,8316.2076380,109,126471,1712170620000,0.031311
1712165520000,0.0309740,0.0310160,0.0309720,0.0310030,360261,1712165579999,11170.1774100,99,218467,1712170620000,0.031311
1712165580000,0.0310000,0.0310010,0.0309500,0.0309860,347198,1712165639999,10751.1904410,130,186913,1712170620000,0.031311
1712165640000,0.0309870,0.0309870,0.0309170,0.0309740,578964,1712165699999,17915.3906010,172,122006,1712170620000,0.031311
1712165700000,0.0309730,0.0309730,0.0309060,0.0309110,197348,1712165759999,6108.9231670,117,30838,1712170620000,0.031311
1712165760000,0.0309130,0.0309180,0.0308360,0.0309010,978418,1712165819999,30214.8114260,244,420854,1712170620000,0.031311
1712165820000,0.0309040,0.0309690,0.0308990,0.0309220,634887,1712165879999,19640.3835120,212,389148,1712170620000,0.031311
1712165880000,0.0309390,0.0309520,0.0309190,0.0309520,261727,1712165939999,8097.2359130,132,195127,1712170620000,0.031311
1712165940000,0.0309530,0.0309660,0.0308910,0.0309040,436251,1712165999999,13496.3440690,190,113006,1712170620000,0.031311
1712166000000,0.0309020,0.0309140,0.0308510,0.0308980,838580,1712166059999,25891.8254350,225,640809,1712170620000,0.031311
1712166060000,0.0309000,0.0309320,0.0307850,0.0308380,2767924,1712166119999,85356.0320960,483,622278,1712170620000,0.031311
1712166120000,0.0308370,0.0308370,0.0308120,0.0308240,521950,1712166179999,16088.7525920,138,187723,1712170620000,0.031311
1712166180000,0.0308180,0.0308790,0.0307940,0.0308620,925125,1712166239999,28535.1990170,230,481713,1712170620000,0.031311
1712166240000,0.0308600,0.0309060,0.0307960,0.0308180,1975985,1712166299999,60939.8063060,292,318042,1712170620000,0.031311
1712166300000,0.0308210,0.0308210,0.0307240,0.0307570,1882377,1712166359999,57918.8592120,368,450671,1712170620000,0.031311
1712166360000,0.0307530,0.0307800,0.0307440,0.0307800,838892,1712166419999,25808.0659610,166,641006,1712170620000,0.031311
1712166420000,0.0307780,0.0308560,0.0307780,0.0308380,933248,1712166479999,28760.1099950,193,684365,1712170620000,0.031311
1712166480000,0.0308370,0.0309140,0.0308320,0.0308950,473237,1712166539999,14609.3388540,116,265499,1712170620000,0.031311
1712166540000,0.0308940,0.0309000,0.0308690,0.0308780,346846,1712166599999,10711.9796530,82,162219,1712170620000,0.031311
1712166600000,0.0308710,0.0308990,0.0308360,0.0308980,754416,1712166659999,23290.5850590,184,448727,1712170620000,0.031311
1712166660000,0.0308970,0.0309230,0.0308620,0.0308620,495754,1712166719999,15317.7365780,136,211857,1712170620000,0.031311
1712166720000,0.0308410,0.0309600,0.0308410,0.0308960,716447,1712166779999,22140.4584650,217,480006,1712170620000,0.031311
1712166780000,0.0308990,0.0309000,0.0308210,0.0308290,898466,1712166839999,27717.8053180,179,115514,1712170620000,0.031311
1712166840000,0.0308290,0.0308770,0.0308290,0.0308770,395582,1712166899999,12206.5345520,132,346053,1712170620000,0.031311
1712166900000,0.0308810,0.0309150,0.0308720,0.0309090,202441,1712166959999,6254.5551420,75,107547,1712170620000,0.031311
1712166960000,0.0309100,0.0309740,0.0309100,0.0309470,251831,1712167019999,7792.0883060,100,134530,1712170620000,0.031311
1712167020000,0.0309500,0.0309560,0.0309310,0.0309320,309252,1712167079999,9570.5944160,81,251778,1712170620000,0.031311
1712167080000,0.0309250,0.0309250,0.0308170,0.0308330,963226,1712167139999,29708.9408200,236,168033,1712170620000,0.031311
1712167140000,0.0308260,0.0308680,0.0308260,0.0308340,660436,1712167199999,20374.3713690,131,575692,1712170620000,0.031311
1712167200000,0.0308200,0.0308230,0.0307140,0.0307240,619247,1712167259999,19048.6275160,237,267201,1712170620000,0.031311
1712167260000,0.0307230,0.0308180,0.0307190,0.0308180,868336,1712167319999,26720.4928450,329,559167,1712170620000,0.031311
1712167320000,0.0308160,0.0308750,0.0308160,0.0308700,292506,1712167379999,9022.0449220,154,148493,1712170620000,0.031311
1712167380000,0.0308670,0.0308700,0.0308050,0.0308240,620447,1712167439999,19135.3188580,239,312004,1712170620000,0.031311
1712167440000,0.0308250,0.0308250,0.0307710,0.0307720,219960,1712167499999,6773.9618590,131,95308,1712170620000,0.031311
1712167500000,0.0307850,0.0308250,0.0307360,0.0307430,561164,1712167559999,17264.5338600,190,221809,1712170620000,0.031311
1712167560000,0.0307430,0.0307880,0.0307340,0.0307620,955268,1712167619999,29385.7256540,242,614903,1712170620000,0.031311
1712167620000,0.0307640,0.0308000,0.0307400,0.0307580,676511,1712167679999,20820.9621350,218,273416,1712170620000,0.031311
1712167680000,0.0307520,0.0308020,0.0307510,0.0307970,907625,1712167739999,27936.5528830,184,498507,1712170620000,0.031311
1712167740000,0.0307970,0.0308000,0.0306680,0.0306900,2351765,1712167799999,72265.2585800,538,330543,1712170620000,0.031311
1712167800000,0.0306920,0.0307370,0.0306650,0.0306850,740456,1712167859999,22737.1168720,254,486660,1712170620000,0.031311
1712167860000,0.0306940,0.0307300,0.0306520,0.0306760,318489,1712167919999,9773.4156330,176,123772,1712170620000,0.031311
1712167920000,0.0306830,0.0307400,0.0306790,0.0307220,402917,1712167979999,12370.8342150,154,332793,1712170620000,0.031311
1712167980000,0.0307200,0.0307390,0.0307120,0.0307390,269254,1712168039999,8272.8048910,174,165914,1712170620000,0.031311
1712168040000,0.0307350,0.0307710,0.0307350,0.0307490,183380,1712168099999,5640.0069100,131,49623,1712170620000,0.031311
1712168100000,0.0307540,0.0308240,0.0307440,0.0308240,174387,1712168159999,5368.9063250,162,115722,1712170620000,0.031311
1712168160000,0.0308220,0.0308230,0.0307640,0.0307700,295738,1712168219999,9107.7618010,196,111612,1712170620000,0.031311
1712168220000,0.0307710,0.0307910,0.0307360,0.0307400,190571,1712168279999,5862.8291870,132,89577,1712170620000,0.031311
1712168280000,0.0307370,0.0308080,0.0307210,0.0308080,467627,1712168339999,14378.8990940,159,389285,1712170620000,0.031311
1712168340000,0.0308050,0.0308210,0.0307920,0.0308040,251747,1712168399999,7755.7963330,154,117862,1712170620000,0.031311
1712168400000,0.0308110,0.0308170,0.0307070,0.0307290,289877,1712168459999,8914.8510130,194,147547,1712170620000,0.031311
1712168460000,0.0307190,0.0307500,0.0306680,0.0306760,246774,1712168519999,7580.0173340,99,92514,1712170620000,0.031311
1712168520000,0.0307030,0.0307260,0.0306510,0.0306540,209534,1712168579999,6431.4151550,154,95350,1712170620000,0.031311
1712168580000,0.0306730,0.0307000,0.0306730,0.0306890,84686,1712168639999,2598.7489220,66,61044,1712170620000,0.031311
1712168640000,0.0306890,0.0307010,0.0306560,0.0306560,205742,1712168699999,6313.7127400,122,62668,1712170620000,0.031311
1712168700000,0.0306520,0.0306710,0.0306400,0.0306700,241407,1712168759999,7400.9633720,140,158241,1712170620000,0.031311
1712168760000,0.0306660,0.0306720,0.0306410,0.0306450,297643,1712168819999,9124.6258200,149,135164,1712170620000,0.031311
1712168820000,0.0306490,0.0306750,0.0305800,0.0306050,715896,1712168879999,21922.9406260,217,279528,1712170620000,0.031311
1712168880000,0.0306110,0.0306690,0.0305910,0.0306420,523344,1712168939999,16035.0439720,169,408012,1712170620000,0.031311
1712168940000,0.0306400,0.0306400,0.0305620,0.0305620,818449,1712168999999,25040.8557610,174,320942,1712170620000,0.031311
1712169000000,0.0305570,0.0305570,0.0305100,0.0305120,766053,1712169059999,23387.8178870,181,283192,1712170620000,0.031311
1712169060000,0.0305130,0.0305320,0.0304820,0.0305310,639968,1712169119999,19525.7147570,173,382677,1712170620000,0.031311
1712169120000,0.0305300,0.0305500,0.0304700,0.0304760,495319,1712169179999,15114.5145090,167,120506,1712170620000,0.031311
1712169180000,0.0304730,0.0305810,0.0304540,0.0305720,735273,1712169239999,22436.4446400,190,631708,1712170620000,0.031311
1712169240000,0.0305780,0.0306760,0.0305780,0.0306340,1831159,1712169299999,56122.1846680,349,1684754,1712170620000,0.031311
1712169300000,0.0306420,0.0307020,0.0306420,0.0306770,264786,1712169359999,8124.7200280,147,95155,1712170620000,0.031311
1712169360000,0.0306690,0.0307410,0.0306530,0.0307360,218794,1712169419999,6716.5158940,129,124225,1712170620000,0.031311
