Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711116180000,0.5017000,0.5031000,0.5016000,0.5022000,9351,1711116239999,4699.2719000,81,6361,1711121520000,0.5163
1711116240000,0.5022000,0.5031000,0.5015000,0.5027000,13413,1711116299999,6738.1124000,91,6429,1711121520000,0.5163
1711116300000,0.5028000,0.5038000,0.5025000,0.5032000,43473,1711116359999,21885.0422000,132,13409,1711121520000,0.5163
1711116360000,0.5032000,0.5035000,0.4999000,0.5006000,42294,1711116419999,21196.5738000,195,13284,1711121520000,0.5163
1711116420000,0.5005000,0.5012000,0.4994000,0.5008000,49036,1711116479999,24540.6432000,248,12741,1711121520000,0.5163
1711116480000,0.5008000,0.5008000,0.4995000,0.5001000,23159,1711116539999,11585.2551000,130,18166,1711121520000,0.5163
1711116540000,0.5001000,0.5002000,0.4987000,0.5000000,31871,1711116599999,15927.2995000,148,16476,1711121520000,0.5163
1711116600000,0.5000000,0.5007000,0.4982000,0.4983000,76801,1711116659999,38374.4738000,181,16712,1711121520000,0.5163
1711116660000,0.4982000,0.4990000,0.4977000,0.4986000,27310,1711116719999,13609.5219000,178,21720,1711121520000,0.5163
1711116720000,0.4987000,0.4997000,0.4971000,0.4976000,31064,1711116779999,15473.8633000,205,8246,1711121520000,0.5163
1711116780000,0.4977000,0.4977000,0.4966000,0.4967000,12379,1711116839999,6153.5013000,112,3442,1711121520000,0.5163
1711116840000,0.4967000,0.4983000,0.4965000,0.4969000,22564,1711116899999,11215.3943000,180,5389,1711121520000,0.5163
1711116900000,0.4970000,0.4970000,0.4953000,0.4953000,69340,1711116959999,34392.2581000,280,46119,1711121520000,0.5163
1711116960000,0.4954000,0.4978000,0.4947000,0.4978000,102301,1711117019999,50718.9118000,473,42867,1711121520000,0.5163
1711117020000,0.4975000,0.4979000,0.4951000,0.4966000,48655,1711117079999,24136.9560000,226,28001,1711121520000,0.5163
1711117080000,0.4968000,0.4994000,0.4968000,0.4986000,13089,1711117139999,6525.8552000,142,4743,1711121520000,0.5163
1711117140000,0.4986000,0.4989000,0.4978000,0.4982000,12820,1711117199999,6389.1770000,98,6021,1711121520000,0.5163
1711117200000,0.4981000,0.4982000,0.4963000,0.4970000,56586,1711117259999,28131.6324000,235,25101,1711121520000,0.5163
1711117260000,0.4970000,0.4974000,0.4951000,0.4957000,15393,1711117319999,7638.0186000,128,3522,1711121520000,0.5163
1711117320000,0.4955000,0.4957000,0.4931000,0.4931000,36435,1711117379999,18009.7093000,246,11632,1711121520000,0.5163
1711117380000,0.4931000,0.4938000,0.4924000,0.4932000,25123,1711117439999,12389.5561000,197,11233,1711121520000,0.5163
1711117440000,0.4932000,0.4945000,0.4932000,0.4940000,15116,1711117499999,7464.2732000,136,9605,1711121520000,0.5163
1711117500000,0.4938000,0.4941000,0.4926000,0.4928000,41790,1711117559999,20622.3920000,181,19357,1711121520000,0.5163
1711117560000,0.4928000,0.4939000,0.4917000,0.4920000,31033,1711117619999,15304.4006000,155,9249,1711121520000,0.5163
1711117620000,0.4918000,0.4938000,0.4910000,0.4938000,21480,1711117679999,10574.4067000,177,12711,1711121520000,0.5163
1711117680000,0.4937000,0.4956000,0.4937000,0.4950000,15755,1711117739999,7793.4388000,111,11315,1711121520000,0.5163
1711117740000,0.4950000,0.4950000,0.4942000,0.4943000,10679,1711117799999,5282.9528000,81,4428,1711121520000,0.5163
1711117800000,0.4943000,0.4950000,0.4939000,0.4950000,23642,1711117859999,11696.6188000,139,15359,1711121520000,0.5163
1711117860000,0.4951000,0.4962000,0.4937000,0.4939000,24263,1711117919999,12013.8570000,229,12822,1711121520000,0.5163
1711117920000,0.4941000,0.4954000,0.4937000,0.4950000,19569,1711117979999,9678.5394000,139,6690,1711121520000,0.5163
1711117980000,0.4950000,0.4951000,0.4935000,0.4937000,18247,1711118039999,9020.1396000,122,6504,1711121520000,0.5163
1711118040000,0.4936000,0.4950000,0.4930000,0.4943000,15416,1711118099999,7612.8537000,123,5156,1711121520000,0.5163
1711118100000,0.4945000,0.4970000,0.4945000,0.4957000,19596,1711118159999,9713.8864000,146,12563,1711121520000,0.5163
1711118160000,0.4957000,0.4967000,0.4956000,0.4959000,9910,1711118219999,4916.3146000,87,5225,1711121520000,0.5163
1711118220000,0.4958000,0.4960000,0.4940000,0.4941000,14820,1711118279999,7337.3932000,83,6219,1711121520000,0.5163
1711118280000,0.4940000,0.4952000,0.4934000,0.4941000,96969,1711118339999,47929.3407000,361,65750,1711121520000,0.5163
1711118340000,0.4940000,0.4952000,0.4933000,0.4946000,20738,1711118399999,10248.0583000,147,11064,1711121520000,0.5163
1711118400000,0.4947000,0.4953000,0.4919000,0.4920000,22084,1711118459999,10904.9422000,148,7078,1711121520000,0.5163
