Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710680220000,0.3926000,0.3945000,0.3923000,0.3945000,98797,1710680279999,38857.3485000,326,49316,1710685620000,0.4097
1710680280000,0.3945000,0.3950000,0.3938000,0.3945000,134981,1710680339999,53224.0264000,421,56286,1710685620000,0.4097
1710680340000,0.3944000,0.3951000,0.3940000,0.3941000,120677,1710680399999,47626.7390000,247,90545,1710685620000,0.4097
1710680400000,0.3942000,0.3966000,0.3940000,0.3956000,214523,1710680459999,84873.9859000,599,119599,1710685620000,0.4097
1710680460000,0.3957000,0.3985000,0.3957000,0.3982000,144438,1710680519999,57382.1265000,551,81983,1710685620000,0.4097
1710680520000,0.3984000,0.4008000,0.3980000,0.4006000,218627,1710680579999,87302.7323000,754,126572,1710685620000,0.4097
1710680580000,0.4007000,0.4013000,0.3990000,0.3991000,223960,1710680639999,89605.3957000,770,114644,1710685620000,0.4097
1710680640000,0.3991000,0.3995000,0.3987000,0.3991000,117020,1710680699999,46712.2003000,379,60820,1710685620000,0.4097
1710680700000,0.3992000,0.4012000,0.3992000,0.4008000,191767,1710680759999,76759.8001000,593,110165,1710685620000,0.4097
1710680760000,0.4007000,0.4008000,0.4000000,0.4003000,120690,1710680819999,48325.1292000,358,53286,1710685620000,0.4097
1710680820000,0.4004000,0.4010000,0.4002000,0.4009000,88693,1710680879999,35540.5457000,234,40318,1710685620000,0.4097
1710680880000,0.4008000,0.4011000,0.4007000,0.4009000,49868,1710680939999,19991.9652000,170,29959,1710685620000,0.4097
1710680940000,0.4008000,0.4016000,0.4005000,0.4009000,238990,1710680999999,95876.8692000,635,155313,1710685620000,0.4097
1710681000000,0.4009000,0.4019000,0.4009000,0.4019000,51668,1710681059999,20744.6674000,176,36549,1710685620000,0.4097
1710681060000,0.4019000,0.4019000,0.4007000,0.4010000,89593,1710681119999,35951.6631000,295,30985,1710685620000,0.4097
1710681120000,0.4010000,0.4011000,0.3987000,0.3989000,204746,1710681179999,81889.6435000,527,55486,1710685620000,0.4097
