Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711373400000,15.97300,15.98700,15.97300,15.98300,6.5,1711373459999,103.873300,13,3.0,1711378800000,16.668
1711373460000,15.99500,16.02100,15.99500,16.01400,21.6,1711373519999,345.899800,11,13.6,1711378800000,16.668
1711373520000,16.03000,16.04700,16.02700,16.04700,105.0,1711373579999,1683.700200,47,36.5,1711378800000,16.668
1711373580000,16.04500,16.06700,16.04500,16.06000,13.2,1711373639999,211.967600,21,5.3,1711378800000,16.668
1711373640000,16.06500,16.06900,16.02900,16.04000,46.8,1711373699999,751.426100,27,22.9,1711378800000,16.668
1711373700000,16.04600,16.06100,16.04600,16.06100,29.1,1711373759999,467.004400,16,27.0,1711378800000,16.668
1711373760000,16.06100,16.06800,16.03500,16.03500,153.7,1711373819999,2467.048900,46,135.0,1711378800000,16.668
1711373820000,16.03100,16.04000,16.02600,16.02800,177.2,1711373879999,2840.066000,43,165.8,1711378800000,16.668
1711373880000,16.02500,16.05500,16.02500,16.05500,52.6,1711373939999,843.376300,37,39.7,1711378800000,16.668
1711373940000,16.05400,16.05700,16.04900,16.04900,79.1,1711373999999,1269.826500,19,1.0,1711378800000,16.668
1711374000000,16.05300,16.06800,16.04500,16.04500,39.7,1711374059999,637.319800,36,8.9,1711378800000,16.668
1711374060000,16.02700,16.02700,16.01200,16.01200,80.4,1711374119999,1287.717100,32,32.6,1711378800000,16.668
1711374120000,16.01000,16.02200,16.01000,16.02200,280.8,1711374179999,4497.211600,46,258.8,1711378800000,16.668
1711374180000,16.02300,16.02300,16.01200,16.01500,9.1,1711374239999,145.745900,12,4.8,1711378800000,16.668
1711374240000,16.03200,16.03200,16.01800,16.02800,126.0,1711374299999,2019.662200,29,5.0,1711378800000,16.668
1711374300000,16.02900,16.04600,16.02700,16.03800,25.6,1711374359999,410.489000,23,18.6,1711378800000,16.668
1711374360000,16.02400,16.02400,15.99400,15.99400,434.5,1711374419999,6953.508400,60,264.3,1711378800000,16.668
1711374420000,15.99300,16.00800,15.99300,16.00600,77.1,1711374479999,1234.086900,15,6.9,1711378800000,16.668
1711374480000,16.00200,16.00200,15.98800,16.00100,69.6,1711374539999,1113.082700,24,8.9,1711378800000,16.668
1711374540000,16.00200,16.01400,16.00200,16.01400,4.8,1711374599999,76.848300,10,4.0,1711378800000,16.668
1711374600000,16.01300,16.02000,16.00900,16.01100,28.1,1711374659999,450.029700,31,16.7,1711378800000,16.668
1711374660000,16.00900,16.02600,16.00900,16.02600,32.7,1711374719999,523.586900,23,32.7,1711378800000,16.668
1711374720000,16.03700,16.09000,16.03700,16.08200,75.9,1711374779999,1220.329400,65,45.8,1711378800000,16.668
1711374780000,16.09000,16.09700,16.07900,16.07900,15.4,1711374839999,247.759300,25,5.2,1711378800000,16.668
1711374840000,16.08200,16.08200,16.07000,16.07500,42.6,1711374899999,684.754000,35,8.8,1711378800000,16.668
1711374900000,16.07600,16.09600,16.06800,16.09600,28.2,1711374959999,453.494000,41,7.9,1711378800000,16.668
1711374960000,16.10000,16.12000,16.10000,16.10900,99.9,1711375019999,1609.395800,34,1.2,1711378800000,16.668
1711375020000,16.11100,16.13600,16.11100,16.11700,92.2,1711375079999,1486.677900,73,68.3,1711378800000,16.668
1711375080000,16.13000,16.17100,16.12300,16.17100,31.1,1711375139999,502.284800,21,22.7,1711378800000,16.668
1711375140000,16.17500,16.20300,16.16800,16.20300,74.5,1711375199999,1205.448500,82,51.6,1711378800000,16.668
1711375200000,16.20000,16.25200,16.18900,16.21700,330.9,1711375259999,5368.328500,213,150.0,1711378800000,16.668
1711375260000,16.22800,16.26700,16.20700,16.23600,284.6,1711375319999,4618.751400,199,92.4,1711378800000,16.668
1711375320000,16.21500,16.22300,16.17500,16.19300,70.2,1711375379999,1137.863900,82,35.9,1711378800000,16.668
1711375380000,16.20700,16.24400,16.18900,16.18900,186.3,1711375439999,3020.117600,70,15.7,1711378800000,16.668
1711375440000,16.20100,16.21800,16.18800,16.18900,58.8,1711375499999,952.567800,64,28.1,1711378800000,16.668
1711375500000,16.18400,16.18400,16.12200,16.17400,219.5,1711375559999,3545.983200,148,124.9,1711378800000,16.668
1711375560000,16.16200,16.19700,16.16100,16.19600,138.8,1711375619999,2246.868300,98,43.9,1711378800000,16.668
1711375620000,16.19000,16.24100,16.18800,16.24100,140.6,1711375679999,2281.576600,45,116.3,1711378800000,16.668
1711375680000,16.24200,16.27300,16.24000,16.27300,433.4,1711375739999,7044.936200,71,203.0,1711378800000,16.668
1711375740000,16.26900,16.28500,16.25200,16.27300,233.8,1711375799999,3804.225500,64,90.5,1711378800000,16.668
1711375800000,16.28400,16.31400,16.28100,16.31400,95.9,1711375859999,1562.687100,59,32.3,1711378800000,16.668
1711375860000,16.30900,16.35900,16.30600,16.35900,136.6,1711375919999,2230.698700,89,81.2,1711378800000,16.668
1711375920000,16.36000,16.37000,16.34800,16.35800,82.8,1711375979999,1354.828300,58,28.9,1711378800000,16.668
1711375980000,16.36300,16.36500,16.34300,16.35000,153.1,1711376039999,2503.751600,84,81.9,1711378800000,16.668
1711376040000,16.35100,16.35800,16.32400,16.32500,239.4,1711376099999,3913.967800,104,128.3,1711378800000,16.668
1711376100000,16.32700,16.39300,16.32000,16.38600,249.6,1711376159999,4086.503300,101,166.2,1711378800000,16.668
1711376160000,16.38900,16.39900,16.36100,16.37400,115.9,1711376219999,1898.299200,96,54.7,1711378800000,16.668
1711376220000,16.37800,16.41500,16.37600,16.41500,60.8,1711376279999,996.967200,82,38.9,1711378800000,16.668
1711376280000,16.41000,16.43400,16.39800,16.42000,71.0,1711376339999,1165.572900,62,40.8,1711378800000,16.668
1711376340000,16.42400,16.44900,16.42400,16.43800,45.5,1711376399999,747.978400,45,18.8,1711378800000,16.668
1711376400000,16.44200,16.48500,16.43400,16.48500,42.5,1711376459999,699.402800,58,26.1,1711378800000,16.668
1711376460000,16.48500,16.52600,16.46600,16.50300,159.9,1711376519999,2638.654900,104,37.5,1711378800000,16.668
1711376520000,16.49800,16.54300,16.49800,16.53100,119.4,1711376579999,1972.937800,111,57.2,1711378800000,16.668
1711376580000,16.54200,16.56600,16.53000,16.55500,655.7,1711376639999,10846.439600,148,222.1,1711378800000,16.668
1711376640000,16.55500,16.57100,16.46000,16.50300,531.3,1711376699999,8776.198700,95,123.6,1711378800000,16.668
1711376700000,16.50500,16.55900,16.50000,16.55700,195.3,1711376759999,3228.970300,103,66.7,1711378800000,16.668
1711376760000,16.55800,16.56700,16.54500,16.56700,156.1,1711376819999,2583.853300,85,67.3,1711378800000,16.668
1711376820000,16.56800,16.58000,16.55000,16.55000,130.1,1711376879999,2154.983100,50,73.5,1711378800000,16.668
1711376880000,16.55300,16.55400,16.51500,16.54000,155.5,1711376939999,2571.480200,75,65.9,1711378800000,16.668
1711376940000,16.55100,16.56500,16.50600,16.54600,68.2,1711376999999,1128.009400,86,27.1,1711378800000,16.668
1711377000000,16.54000,16.54800,16.46100,16.47700,78.9,1711377059999,1301.917600,66,18.4,1711378800000,16.668
1711377060000,16.47200,16.47200,16.39600,16.43100,180.5,1711377119999,2965.352500,129,131.9,1711378800000,16.668
1711377120000,16.43500,16.43500,16.40600,16.42000,22.7,1711377179999,372.594200,43,10.8,1711378800000,16.668
1711377180000,16.42300,16.52500,16.42300,16.50300,111.7,1711377239999,1840.600300,96,73.0,1711378800000,16.668
1711377240000,16.51100,16.54200,16.50100,16.51100,52.7,1711377299999,870.689100,53,22.3,1711378800000,16.668
1711377300000,16.50100,16.51400,16.49100,16.50300,44.6,1711377359999,735.984600,41,26.3,1711378800000,16.668
1711377360000,16.49600,16.49600,16.46400,16.47500,59.9,1711377419999,986.929100,62,40.5,1711378800000,16.668
1711377420000,16.47100,16.47500,16.45800,16.47100,27.5,1711377479999,452.884700,42,13.7,1711378800000,16.668
1711377480000,16.47200,16.47200,16.43300,16.44900,137.0,1711377539999,2255.713700,57,18.4,1711378800000,16.668
1711377540000,16.44900,16.44900,16.42500,16.44800,18.2,1711377599999,299.118400,29,7.6,1711378800000,16.668
1711377600000,16.45600,16.48000,16.45500,16.46700,22.9,1711377659999,376.983600,25,14.2,1711378800000,16.668
1711377660000,16.46900,16.47800,16.45300,16.46200,39.4,1711377719999,648.483300,50,26.5,1711378800000,16.668
1711377720000,16.46300,16.46500,16.43100,16.44600,48.4,1711377779999,795.772600,39,7.8,1711378800000,16.668
1711377780000,16.45700,16.47100,16.45700,16.47100,14.5,1711377839999,238.746200,23,9.2,1711378800000,16.668
1711377840000,16.47400,16.49300,16.47300,16.47800,35.3,1711377899999,581.842100,26,14.1,1711378800000,16.668
1711377900000,16.49000,16.52100,16.49000,16.51400,81.7,1711377959999,1348.431600,45,29.0,1711378800000,16.668
1711377960000,16.51100,16.55000,16.51100,16.54700,99.7,1711378019999,1648.387400,41,73.8,1711378800000,16.668
1711378020000,16.54300,16.54700,16.50800,16.50800,54.8,1711378079999,906.060100,27,15.8,1711378800000,16.668
1711378080000,16.51200,16.51200,16.47800,16.50000,38.7,1711378139999,637.915800,32,11.5,1711378800000,16.668
