Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710475260000,0.6329000,0.6332000,0.6286000,0.6286000,277151,1710475319999,174816.2305000,785,134984,1710480600000,0.6275
1710475320000,0.6286000,0.6293000,0.6252000,0.6262000,320127,1710475379999,200553.5680000,879,118396,1710480600000,0.6275
1710475380000,0.6262000,0.6294000,0.6250000,0.6274000,257480,1710475439999,161392.3391000,783,129590,1710480600000,0.6275
1710475440000,0.6275000,0.6279000,0.6244000,0.6244000,168375,1710475499999,105402.7875000,600,64550,1710480600000,0.6275
1710475500000,0.6243000,0.6247000,0.6215000,0.6223000,420738,1710475559999,262160.1944000,1070,160819,1710480600000,0.6275
1710475560000,0.6224000,0.6248000,0.6194000,0.6248000,476278,1710475619999,296125.2981000,1288,249136,1710480600000,0.6275
1710475620000,0.6249000,0.6279000,0.6248000,0.6274000,230931,1710475679999,144711.3005000,758,128858,1710480600000,0.6275
1710475680000,0.6275000,0.6287000,0.6251000,0.6280000,257453,1710475739999,161533.1857000,731,116064,1710480600000,0.6275
1710475740000,0.6280000,0.6287000,0.6270000,0.6274000,124093,1710475799999,77923.8349000,393,72914,1710480600000,0.6275
1710475800000,0.6275000,0.6293000,0.6273000,0.6284000,225126,1710475859999,141497.2568000,642,119458,1710480600000,0.6275
1710475860000,0.6283000,0.6299000,0.6276000,0.6294000,158049,1710475919999,99345.7338000,443,108168,1710480600000,0.6275
1710475920000,0.6295000,0.6321000,0.6292000,0.6321000,131478,1710475979999,82929.9791000,439,85199,1710480600000,0.6275
1710475980000,0.6322000,0.6328000,0.6316000,0.6323000,133562,1710476039999,84452.2087000,370,65409,1710480600000,0.6275
1710476040000,0.6323000,0.6349000,0.6317000,0.6345000,160659,1710476099999,101727.8014000,574,110657,1710480600000,0.6275
1710476100000,0.6344000,0.6344000,0.6324000,0.6333000,304301,1710476159999,192699.9809000,712,154920,1710480600000,0.6275
1710476160000,0.6333000,0.6348000,0.6328000,0.6330000,363363,1710476219999,230143.3523000,583,125169,1710480600000,0.6275
1710476220000,0.6330000,0.6347000,0.6305000,0.6316000,193959,1710476279999,122667.3408000,554,119312,1710480600000,0.6275
1710476280000,0.6316000,0.6330000,0.6313000,0.6319000,114651,1710476339999,72479.2341000,370,59476,1710480600000,0.6275
1710476340000,0.6319000,0.6327000,0.6298000,0.6312000,185281,1710476399999,116903.5270000,442,127059,1710480600000,0.6275
1710476400000,0.6313000,0.6330000,0.6310000,0.6320000,232115,1710476459999,146722.6233000,456,74046,1710480600000,0.6275
1710476460000,0.6321000,0.6323000,0.6294000,0.6298000,175253,1710476519999,110462.9066000,549,74447,1710480600000,0.6275
1710476520000,0.6299000,0.6315000,0.6281000,0.6315000,148542,1710476579999,93538.4387000,462,85600,1710480600000,0.6275
1710476580000,0.6315000,0.6317000,0.6280000,0.6297000,165726,1710476639999,104386.9751000,474,68397,1710480600000,0.6275
1710476640000,0.6295000,0.6300000,0.6280000,0.6280000,189234,1710476699999,118994.1754000,484,41544,1710480600000,0.6275
1710476700000,0.6279000,0.6279000,0.6251000,0.6262000,273683,1710476759999,171449.1540000,759,130316,1710480600000,0.6275
1710476760000,0.6262000,0.6274000,0.6252000,0.6253000,140324,1710476819999,87902.9826000,396,66859,1710480600000,0.6275
1710476820000,0.6255000,0.6285000,0.6255000,0.6278000,104981,1710476879999,65877.4285000,322,27566,1710480600000,0.6275
1710476880000,0.6279000,0.6284000,0.6263000,0.6276000,97732,1710476939999,61308.0064000,317,55640,1710480600000,0.6275
1710476940000,0.6277000,0.6287000,0.6276000,0.6285000,60321,1710476999999,37889.8514000,177,36866,1710480600000,0.6275
1710477000000,0.6284000,0.6295000,0.6281000,0.6286000,70510,1710477059999,44339.4193000,260,31734,1710480600000,0.6275
1710477060000,0.6285000,0.6287000,0.6257000,0.6261000,179388,1710477119999,112562.4719000,487,93277,1710480600000,0.6275
1710477120000,0.6260000,0.6273000,0.6250000,0.6264000,198209,1710477179999,124092.5233000,511,116066,1710480600000,0.6275
