Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711762440000,0.39723,0.39777,0.39719,0.39773,77322,1711762499999,30737.75123,200,67019,1711767780000,0.40429
1711762500000,0.39770,0.39885,0.39770,0.39885,66231,1711762559999,26371.41418,225,61438,1711767780000,0.40429
1711762560000,0.39883,0.39883,0.39789,0.39790,14778,1711762619999,5887.00210,117,2342,1711767780000,0.40429
1711762620000,0.39794,0.39794,0.39740,0.39740,7265,1711762679999,2888.83842,58,0,1711767780000,0.40429
1711762680000,0.39738,0.39738,0.39704,0.39704,6539,1711762739999,2597.23030,35,714,1711767780000,0.40429
1711762740000,0.39709,0.39717,0.39658,0.39658,15736,1711762799999,6245.38745,76,5817,1711767780000,0.40429
1711762800000,0.39656,0.39911,0.39656,0.39853,315243,1711762859999,125482.65818,663,257749,1711767780000,0.40429
1711762860000,0.39854,0.39892,0.39730,0.39787,166736,1711762919999,66344.08550,314,26702,1711767780000,0.40429
1711762920000,0.39768,0.39775,0.39737,0.39737,2459,1711762979999,977.59500,32,518,1711767780000,0.40429
1711762980000,0.39728,0.39739,0.39708,0.39708,5932,1711763039999,2356.40204,38,2834,1711767780000,0.40429
1711763040000,0.39711,0.39715,0.39710,0.39715,2372,1711763099999,941.97397,16,2226,1711767780000,0.40429
1711763100000,0.39722,0.39744,0.39721,0.39721,18752,1711763159999,7450.90473,87,5238,1711767780000,0.40429
1711763160000,0.39727,0.39727,0.39702,0.39713,20812,1711763219999,8264.40058,70,13368,1711767780000,0.40429
1711763220000,0.39717,0.39718,0.39688,0.39688,5672,1711763279999,2251.71372,43,38,1711767780000,0.40429
1711763280000,0.39689,0.39715,0.39658,0.39715,13291,1711763339999,5272.90623,85,8040,1711767780000,0.40429
1711763340000,0.39720,0.39727,0.39701,0.39701,3001,1711763399999,1192.08072,20,124,1711767780000,0.40429
1711763400000,0.39701,0.39905,0.39701,0.39851,208550,1711763459999,83056.05918,407,178465,1711767780000,0.40429
1711763460000,0.39855,0.39856,0.39790,0.39790,12518,1711763519999,4985.38383,74,2895,1711767780000,0.40429
1711763520000,0.39802,0.39962,0.39802,0.39920,188692,1711763579999,75324.44514,325,160697,1711767780000,0.40429
1711763580000,0.39916,0.40075,0.39916,0.40000,184236,1711763639999,73713.80065,431,135874,1711767780000,0.40429
1711763640000,0.40000,0.40000,0.39983,0.39984,24280,1711763699999,9709.32245,40,1064,1711767780000,0.40429
1711763700000,0.39986,0.40010,0.39974,0.39998,34407,1711763759999,13762.18375,92,20809,1711767780000,0.40429
1711763760000,0.39999,0.40002,0.39971,0.39971,18933,1711763819999,7568.96727,63,7999,1711767780000,0.40429
1711763820000,0.39970,0.39970,0.39960,0.39960,8395,1711763879999,3355.22484,37,52,1711767780000,0.40429
1711763880000,0.39960,0.39960,0.39959,0.39959,1134,1711763939999,453.13736,14,301,1711767780000,0.40429
1711763940000,0.39960,0.39998,0.39941,0.39946,21599,1711763999999,8633.47520,112,13910,1711767780000,0.40429
1711764000000,0.39954,0.39954,0.39878,0.39893,38772,1711764059999,15473.93668,223,9229,1711767780000,0.40429
1711764060000,0.39893,0.39916,0.39884,0.39901,13169,1711764119999,5253.92929,64,12495,1711767780000,0.40429
1711764120000,0.39898,0.39899,0.39877,0.39879,6641,1711764179999,2648.61150,66,2753,1711767780000,0.40429
1711764180000,0.39878,0.39878,0.39793,0.39806,91028,1711764239999,36253.27741,212,58640,1711767780000,0.40429
1711764240000,0.39805,0.39821,0.39798,0.39811,11266,1711764299999,4484.51973,50,7570,1711767780000,0.40429
1711764300000,0.39809,0.40195,0.39808,0.40163,422238,1711764359999,168974.32817,831,371288,1711767780000,0.40429
1711764360000,0.40172,0.40173,0.40114,0.40149,52524,1711764419999,21080.86073,181,28827,1711767780000,0.40429
1711764420000,0.40150,0.40222,0.40150,0.40201,75470,1711764479999,30331.82169,210,35212,1711767780000,0.40429
1711764480000,0.40206,0.40224,0.40164,0.40164,65586,1711764539999,26367.75294,146,36098,1711767780000,0.40429
1711764540000,0.40162,0.40162,0.40081,0.40081,16423,1711764599999,6590.66695,50,124,1711767780000,0.40429
1711764600000,0.40085,0.40128,0.40049,0.40061,178796,1711764659999,71695.60887,235,33660,1711767780000,0.40429
1711764660000,0.40064,0.40111,0.40064,0.40106,24810,1711764719999,9946.38619,104,20383,1711767780000,0.40429
1711764720000,0.40103,0.40103,0.40096,0.40099,3989,1711764779999,1599.59702,19,250,1711767780000,0.40429
1711764780000,0.40100,0.40125,0.40064,0.40082,34139,1711764839999,13687.43010,97,23864,1711767780000,0.40429
1711764840000,0.40081,0.40095,0.40051,0.40065,20306,1711764899999,8134.36484,65,13318,1711767780000,0.40429
1711764900000,0.40064,0.40076,0.40051,0.40051,10026,1711764959999,4016.82671,63,7250,1711767780000,0.40429
1711764960000,0.40046,0.40065,0.40032,0.40032,7834,1711765019999,3137.17899,49,4248,1711767780000,0.40429
1711765020000,0.40032,0.40033,0.39937,0.39985,33395,1711765079999,13353.26785,138,7615,1711767780000,0.40429
1711765080000,0.39987,0.40074,0.39981,0.40067,59209,1711765139999,23692.86287,204,45828,1711767780000,0.40429
1711765140000,0.40069,0.40109,0.40052,0.40102,17333,1711765199999,6946.88316,71,10762,1711767780000,0.40429
1711765200000,0.40094,0.40094,0.40058,0.40058,8433,1711765259999,3379.50755,45,2421,1711767780000,0.40429
1711765260000,0.40056,0.40068,0.40036,0.40059,19088,1711765319999,7644.23725,100,14014,1711767780000,0.40429
1711765320000,0.40057,0.40057,0.40034,0.40036,7058,1711765379999,2825.87449,36,4736,1711767780000,0.40429
1711765380000,0.40036,0.40058,0.40036,0.40037,8358,1711765439999,3346.53029,34,6018,1711767780000,0.40429
1711765440000,0.40036,0.40036,0.40000,0.40010,20993,1711765499999,8400.28436,77,2445,1711767780000,0.40429
1711765500000,0.40009,0.40013,0.40005,0.40006,1365,1711765559999,546.11682,22,683,1711767780000,0.40429
1711765560000,0.40005,0.40005,0.39976,0.39977,9592,1711765619999,3835.77572,65,572,1711767780000,0.40429
1711765620000,0.39977,0.39977,0.39938,0.39939,5489,1711765679999,2192.96372,58,0,1711767780000,0.40429
1711765680000,0.39938,0.39938,0.39914,0.39914,9075,1711765739999,3622.95099,29,329,1711767780000,0.40429
1711765740000,0.39909,0.39909,0.39892,0.39899,3523,1711765799999,1405.57497,21,464,1711767780000,0.40429
1711765800000,0.39899,0.39921,0.39899,0.39921,11184,1711765859999,4463.13117,51,10030,1711767780000,0.40429
1711765860000,0.39922,0.39953,0.39922,0.39951,3638,1711765919999,1453.23237,26,3304,1711767780000,0.40429
1711765920000,0.39951,0.39951,0.39893,0.39893,24857,1711765979999,9921.81520,42,16,1711767780000,0.40429
1711765980000,0.39890,0.39900,0.39873,0.39900,6427,1711766039999,2562.87544,49,6231,1711767780000,0.40429
1711766040000,0.39897,0.39942,0.39885,0.39901,24325,1711766099999,9707.66489,74,22504,1711767780000,0.40429
1711766100000,0.39904,0.40373,0.39904,0.40338,568315,1711766159999,228209.03114,923,452488,1711767780000,0.40429
1711766160000,0.40317,0.40317,0.40232,0.40236,72564,1711766219999,29220.04482,339,38560,1711767780000,0.40429
1711766220000,0.40248,0.40287,0.40238,0.40282,71931,1711766279999,28961.30737,203,33610,1711767780000,0.40429
1711766280000,0.40283,0.40312,0.40259,0.40293,45471,1711766339999,18315.15158,113,21292,1711767780000,0.40429
1711766340000,0.40288,0.40288,0.40249,0.40249,3179,1711766399999,1280.19752,36,0,1711767780000,0.40429
1711766400000,0.40258,0.40327,0.40237,0.40264,38270,1711766459999,15410.99002,124,15156,1711767780000,0.40429
1711766460000,0.40274,0.40395,0.40274,0.40326,57796,1711766519999,23319.95976,268,40337,1711767780000,0.40429
1711766520000,0.40327,0.40327,0.40231,0.40233,25314,1711766579999,10196.54772,132,495,1711767780000,0.40429
1711766580000,0.40235,0.40236,0.40225,0.40225,3271,1711766639999,1316.03665,30,717,1711767780000,0.40429
1711766640000,0.40225,0.40315,0.40215,0.40305,29120,1711766699999,11721.37312,99,17657,1711767780000,0.40429
1711766700000,0.40302,0.40302,0.40161,0.40167,30220,1711766759999,12155.47144,125,5209,1711767780000,0.40429
1711766760000,0.40163,0.40188,0.40145,0.40164,17272,1711766819999,6936.79417,110,9055,1711767780000,0.40429
1711766820000,0.40188,0.40204,0.40179,0.40203,4832,1711766879999,1941.93648,33,2835,1711767780000,0.40429
1711766880000,0.40195,0.40224,0.40190,0.40220,6697,1711766939999,2692.41749,55,5617,1711767780000,0.40429
1711766940000,0.40210,0.40210,0.40173,0.40183,6542,1711766999999,2629.08953,43,1472,1711767780000,0.40429
1711767000000,0.40183,0.40183,0.40152,0.40170,7975,1711767059999,3202.86300,42,2863,1711767780000,0.40429
1711767060000,0.40169,0.40169,0.40143,0.40165,3853,1711767119999,1547.24158,49,2794,1711767780000,0.40429
1711767120000,0.40159,0.40175,0.40136,0.40171,18823,1711767179999,7556.59655,92,5373,1711767780000,0.40429
1711767180000,0.40167,0.40167,0.40064,0.40153,85896,1711767239999,34455.50237,268,20279,1711767780000,0.40429
1711767240000,0.40153,0.40153,0.40102,0.40103,10868,1711767299999,4360.66516,58,230,1711767780000,0.40429
1711767300000,0.40109,0.40296,0.40109,0.40254,56435,1711767359999,22701.26403,270,32817,1711767780000,0.40429
1711767360000,0.40254,0.40258,0.40205,0.40205,8705,1711767419999,3501.92947,57,2170,1711767780000,0.40429
