Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710362700000,597.350,597.960,597.000,597.960,805.76,1710362759999,481389.51420,1023,389.72,1710368100000,603.53
1710362760000,597.960,598.390,596.980,597.910,1149.59,1710362819999,687132.09750,2254,459.99,1710368100000,603.53
1710362820000,597.910,598.180,597.540,597.610,1084.54,1710362879999,648380.24550,1168,284.45,1710368100000,603.53
1710362880000,597.610,598.090,597.600,598.010,554.41,1710362939999,331467.82540,761,313.25,1710368100000,603.53
1710362940000,598.010,598.500,597.630,598.320,1015.25,1710362999999,607214.71930,1462,314.26,1710368100000,603.53
1710363000000,598.320,599.310,597.970,599.300,2026.72,1710363059999,1213591.36690,2066,1274.66,1710368100000,603.53
1710363060000,599.310,599.540,599.020,599.270,1569.52,1710363119999,940684.33610,1603,1060.25,1710368100000,603.53
1710363120000,599.260,599.640,599.050,599.630,1608.50,1710363179999,964204.84760,1393,1132.94,1710368100000,603.53
1710363180000,599.630,599.630,598.930,599.340,1272.12,1710363239999,762294.07580,1104,262.87,1710368100000,603.53
1710363240000,599.340,599.340,598.520,598.810,654.14,1710363299999,391719.37460,905,127.95,1710368100000,603.53
1710363300000,598.810,599.060,598.780,598.790,506.13,1710363359999,303113.93100,625,202.46,1710368100000,603.53
1710363360000,598.790,599.340,598.790,599.220,847.71,1710363419999,507769.78250,752,553.96,1710368100000,603.53
1710363420000,599.210,599.380,598.840,599.060,552.06,1710363479999,330762.88370,661,246.20,1710368100000,603.53
1710363480000,599.050,599.390,598.860,598.870,559.12,1710363539999,335027.85710,736,281.18,1710368100000,603.53
1710363540000,598.870,599.230,598.850,599.060,633.39,1710363599999,379423.56960,783,464.34,1710368100000,603.53
1710363600000,599.060,599.500,598.570,599.500,1068.06,1710363659999,639786.98920,1193,547.00,1710368100000,603.53
1710363660000,599.500,599.520,599.040,599.280,1356.29,1710363719999,812807.93270,1403,626.46,1710368100000,603.53
1710363720000,599.280,599.280,598.500,598.880,863.97,1710363779999,517384.39140,984,375.11,1710368100000,603.53
1710363780000,598.880,598.890,598.650,598.840,419.77,1710363839999,251339.38520,640,238.27,1710368100000,603.53
1710363840000,598.840,598.840,598.100,598.590,1302.15,1710363899999,779217.94110,1724,370.36,1710368100000,603.53
1710363900000,598.600,599.280,598.590,599.210,812.57,1710363959999,486656.67180,1416,476.38,1710368100000,603.53
1710363960000,599.210,599.320,598.520,598.710,1168.36,1710364019999,699714.15650,2438,365.32,1710368100000,603.53
1710364020000,598.720,598.720,598.100,598.480,1686.59,1710364079999,1009183.16000,2146,559.54,1710368100000,603.53
1710364080000,598.490,598.980,598.490,598.750,700.51,1710364139999,419422.18760,1118,393.19,1710368100000,603.53
1710364140000,598.760,599.050,598.280,598.380,1324.13,1710364199999,792713.22420,1435,492.07,1710368100000,603.53
1710364200000,598.380,598.710,598.200,598.270,804.56,1710364259999,481434.79330,1076,521.63,1710368100000,603.53
1710364260000,598.280,599.000,598.210,598.990,627.38,1710364319999,375529.74320,906,421.37,1710368100000,603.53
1710364320000,599.000,599.800,599.000,599.190,1935.06,1710364379999,1160139.90350,1723,1405.96,1710368100000,603.53
1710364380000,599.190,599.570,599.010,599.450,1051.07,1710364439999,629905.25390,1273,462.47,1710368100000,603.53
1710364440000,599.460,599.670,599.210,599.450,554.84,1710364499999,332593.78480,876,291.90,1710368100000,603.53
1710364500000,599.450,599.510,599.120,599.360,712.27,1710364559999,426863.99050,1089,304.08,1710368100000,603.53
1710364560000,599.370,599.570,599.020,599.080,906.39,1710364619999,543233.74550,1277,357.22,1710368100000,603.53
1710364620000,599.090,599.800,599.090,599.360,1844.38,1710364679999,1105721.01940,1380,1363.18,1710368100000,603.53
1710364680000,599.360,599.590,599.130,599.270,993.87,1710364739999,595681.49550,999,357.76,1710368100000,603.53
1710364740000,599.270,599.440,598.750,598.770,1261.68,1710364799999,755956.53870,1102,409.06,1710368100000,603.53
1710364800000,598.780,599.500,598.780,598.820,907.57,1710364859999,543758.87890,1073,414.60,1710368100000,603.53
1710364860000,598.830,598.920,598.320,598.380,791.79,1710364919999,473960.82720,1506,297.63,1710368100000,603.53
1710364920000,598.390,598.420,597.450,597.640,2463.82,1710364979999,1473049.28960,2549,664.96,1710368100000,603.53
1710364980000,597.650,597.650,597.200,597.410,1357.92,1710365039999,811203.46130,1464,527.00,1710368100000,603.53
1710365040000,597.420,597.420,596.680,596.890,1536.41,1710365099999,917066.09550,2187,491.23,1710368100000,603.53
1710365100000,596.900,597.060,595.280,595.820,3397.03,1710365159999,2024903.40880,4748,1070.66,1710368100000,603.53
1710365160000,595.820,597.790,595.820,597.150,1621.29,1710365219999,968034.16270,2180,932.26,1710368100000,603.53
1710365220000,597.160,597.440,596.420,597.310,1657.90,1710365279999,989436.05510,2372,1083.58,1710368100000,603.53
1710365280000,597.320,597.580,596.470,596.470,781.22,1710365339999,466427.01020,1047,224.96,1710368100000,603.53
1710365340000,596.470,597.660,596.470,596.840,1085.35,1710365399999,647980.98220,915,850.34,1710368100000,603.53
1710365400000,596.840,597.120,596.250,597.110,1326.92,1710365459999,791747.05520,1758,672.35,1710368100000,603.53
1710365460000,597.120,597.580,596.770,596.780,478.51,1710365519999,285768.90830,706,285.36,1710368100000,603.53
1710365520000,596.790,597.130,596.600,596.800,704.51,1710365579999,420530.72220,775,327.43,1710368100000,603.53
1710365580000,596.800,596.940,596.330,596.330,653.58,1710365639999,389971.48120,829,228.17,1710368100000,603.53
1710365640000,596.330,597.000,596.090,596.990,551.43,1710365699999,328854.58620,1265,356.59,1710368100000,603.53
1710365700000,597.000,597.030,596.490,596.880,660.97,1710365759999,394470.34000,693,391.28,1710368100000,603.53
1710365760000,596.890,597.590,596.890,597.470,584.16,1710365819999,348844.02610,632,438.56,1710368100000,603.53
1710365820000,597.470,598.500,597.470,597.870,1379.02,1710365879999,824862.87600,1806,944.90,1710368100000,603.53
1710365880000,597.870,599.200,597.870,598.720,1937.70,1710365939999,1160182.84080,1624,1324.03,1710368100000,603.53
1710365940000,598.730,598.730,597.350,597.520,989.02,1710365999999,591678.91410,2209,246.50,1710368100000,603.53
1710366000000,597.530,597.790,597.100,597.520,990.60,1710366059999,591728.57490,896,683.18,1710368100000,603.53
1710366060000,597.520,597.520,597.020,597.120,494.96,1710366119999,295573.74000,1034,313.05,1710368100000,603.53
1710366120000,597.120,597.200,596.900,597.190,430.58,1710366179999,257062.58760,608,244.82,1710368100000,603.53
1710366180000,597.200,597.380,597.190,597.370,200.12,1710366239999,119515.69510,390,154.08,1710368100000,603.53
1710366240000,597.380,597.420,596.600,596.680,827.07,1710366299999,493718.86050,933,181.74,1710368100000,603.53
1710366300000,596.680,596.750,596.390,596.530,504.27,1710366359999,300824.28260,711,298.42,1710368100000,603.53
1710366360000,596.540,596.610,596.300,596.300,257.37,1710366419999,153503.11190,944,113.91,1710368100000,603.53
1710366420000,596.300,596.300,596.000,596.040,446.26,1710366479999,266006.76930,562,255.25,1710368100000,603.53
1710366480000,596.040,596.140,595.420,595.430,1110.41,1710366539999,661639.93080,1597,360.25,1710368100000,603.53
