Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711614120000,0.8894000,0.8900000,0.8894000,0.8900000,1885,1711614179999,1676.9861000,28,1814,1711619460000,0.8952
1711614180000,0.8900000,0.8902000,0.8900000,0.8902000,674,1711614239999,599.8772000,12,450,1711619460000,0.8952
1711614240000,0.8901000,0.8903000,0.8900000,0.8903000,2219,1711614299999,1975.2264000,25,1182,1711619460000,0.8952
1711614300000,0.8903000,0.8904000,0.8901000,0.8901000,2393,1711614359999,2130.2332000,16,1802,1711619460000,0.8952
1711614360000,0.8899000,0.8900000,0.8897000,0.8900000,1525,1711614419999,1356.9022000,11,1265,1711619460000,0.8952
1711614420000,0.8898000,0.8898000,0.8897000,0.8898000,365,1711614479999,324.7533000,5,359,1711619460000,0.8952
1711614480000,0.8898000,0.8898000,0.8896000,0.8896000,1404,1711614539999,1249.1390000,12,0,1711619460000,0.8952
1711614540000,0.8893000,0.8898000,0.8893000,0.8897000,1996,1711614599999,1775.4944000,19,1091,1711619460000,0.8952
1711614600000,0.8896000,0.8897000,0.8889000,0.8893000,2782,1711614659999,2473.5329000,35,2070,1711619460000,0.8952
1711614660000,0.8893000,0.8897000,0.8888000,0.8892000,1798,1711614719999,1598.5401000,34,1534,1711619460000,0.8952
1711614720000,0.8893000,0.8893000,0.8893000,0.8893000,917,1711614779999,815.4881000,21,917,1711619460000,0.8952
1711614780000,0.8896000,0.8900000,0.8894000,0.8900000,1752,1711614839999,1558.7363000,43,1266,1711619460000,0.8952
1711614840000,0.8902000,0.8906000,0.8902000,0.8906000,339,1711614899999,301.8631000,12,333,1711619460000,0.8952
1711614900000,0.8905000,0.8905000,0.8901000,0.8901000,1490,1711614959999,1326.5177000,21,517,1711619460000,0.8952
1711614960000,0.8902000,0.8907000,0.8902000,0.8906000,1839,1711615019999,1637.4360000,34,1730,1711619460000,0.8952
1711615020000,0.8907000,0.8909000,0.8907000,0.8909000,878,1711615079999,782.0808000,16,596,1711619460000,0.8952
1711615080000,0.8910000,0.8910000,0.8910000,0.8910000,151,1711615139999,134.5410000,5,93,1711619460000,0.8952
1711615140000,0.8910000,0.8910000,0.8906000,0.8906000,646,1711615199999,575.4814000,16,49,1711619460000,0.8952
1711615200000,0.8908000,0.8913000,0.8906000,0.8913000,1743,1711615259999,1552.6350000,28,1669,1711619460000,0.8952
1711615260000,0.8917000,0.8917000,0.8915000,0.8917000,853,1711615319999,760.6015000,19,676,1711619460000,0.8952
1711615320000,0.8915000,0.8917000,0.8915000,0.8917000,873,1711615379999,778.3927000,18,754,1711619460000,0.8952
1711615380000,0.8919000,0.8925000,0.8919000,0.8924000,1780,1711615439999,1588.2779000,19,1180,1711619460000,0.8952
1711615440000,0.8925000,0.8927000,0.8924000,0.8925000,284,1711615499999,253.4767000,9,165,1711619460000,0.8952
1711615500000,0.8926000,0.8927000,0.8918000,0.8918000,1601,1711615559999,1428.9906000,19,995,1711619460000,0.8952
1711615560000,0.8921000,0.8941000,0.8921000,0.8926000,6524,1711615619999,5825.9587000,70,3510,1711619460000,0.8952
1711615620000,0.8929000,0.8939000,0.8929000,0.8939000,1752,1711615679999,1565.1627000,24,1381,1711619460000,0.8952
1711615680000,0.8936000,0.8939000,0.8936000,0.8939000,2642,1711615739999,2361.6211000,17,538,1711619460000,0.8952
1711615740000,0.8936000,0.8936000,0.8931000,0.8932000,630,1711615799999,562.7353000,11,234,1711619460000,0.8952
1711615800000,0.8930000,0.8934000,0.8923000,0.8934000,5618,1711615859999,5017.6053000,35,5446,1711619460000,0.8952
1711615860000,0.8937000,0.8937000,0.8916000,0.8919000,3293,1711615919999,2938.3529000,31,282,1711619460000,0.8952
1711615920000,0.8920000,0.8920000,0.8901000,0.8908000,7468,1711615979999,6651.3494000,90,2331,1711619460000,0.8952
1711615980000,0.8906000,0.8907000,0.8905000,0.8906000,1650,1711616039999,1469.3896000,18,218,1711619460000,0.8952
