Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711458420000,0.600900,0.603600,0.600900,0.603200,50589.7,1711458479999,30489.6260400,451,29180.1,1711463760000,0.5824
1711458480000,0.603200,0.605000,0.602600,0.604100,68720.9,1711458539999,41481.0896800,486,30981.2,1711463760000,0.5824
1711458540000,0.604600,0.606200,0.604600,0.605100,38263.4,1711458599999,23163.4035600,332,20562.4,1711463760000,0.5824
1711458600000,0.605000,0.607800,0.604700,0.607400,106677.1,1711458659999,64697.8748300,650,73192.9,1711463760000,0.5824
1711458660000,0.607300,0.608800,0.605900,0.608800,90154.3,1711458719999,54803.1249000,596,58437.3,1711463760000,0.5824
1711458720000,0.608800,0.611900,0.607400,0.607400,233107.8,1711458779999,142182.5779500,1245,108231.3,1711463760000,0.5824
1711458780000,0.607500,0.610900,0.605900,0.610100,104639.0,1711458839999,63628.8956100,674,56732.8,1711463760000,0.5824
1711458840000,0.610300,0.610700,0.607600,0.609900,87910.5,1711458899999,53553.1810800,439,34660.1,1711463760000,0.5824
1711458900000,0.610000,0.613000,0.609800,0.611100,202846.3,1711458959999,124029.2792200,1214,112190.0,1711463760000,0.5824
1711458960000,0.611000,0.613000,0.606500,0.613000,207587.8,1711459019999,126592.5658600,1020,110143.5,1711463760000,0.5824
1711459020000,0.613100,0.617200,0.612800,0.615500,326374.2,1711459079999,200628.3875200,1553,140622.9,1711463760000,0.5824
1711459080000,0.615400,0.617300,0.611900,0.616700,373294.2,1711459139999,229444.4061600,1613,189923.7,1711463760000,0.5824
1711459140000,0.617000,0.617000,0.608900,0.610600,425098.2,1711459199999,260876.7018100,1744,169436.3,1711463760000,0.5824
1711459200000,0.610400,0.614800,0.610200,0.613900,205046.9,1711459259999,125565.4803600,1123,122250.0,1711463760000,0.5824
1711459260000,0.614000,0.614000,0.608300,0.610200,284531.6,1711459319999,173871.9717600,1357,108653.5,1711463760000,0.5824
1711459320000,0.610100,0.611000,0.607600,0.607600,287507.9,1711459379999,175193.0571200,1391,105314.2,1711463760000,0.5824
1711459380000,0.607700,0.608000,0.604500,0.606100,185167.1,1711459439999,112244.5666200,1223,75231.5,1711463760000,0.5824
1711459440000,0.606000,0.606700,0.601500,0.603500,230146.3,1711459499999,138844.6290600,1013,113108.7,1711463760000,0.5824
1711459500000,0.603500,0.605900,0.600800,0.601800,278662.8,1711459559999,168087.7965900,1142,98379.0,1711463760000,0.5824
1711459560000,0.601700,0.601900,0.597400,0.598200,160310.3,1711459619999,96138.4554700,702,57040.8,1711463760000,0.5824
1711459620000,0.597900,0.600900,0.596600,0.597000,138776.4,1711459679999,83113.1372600,733,51230.7,1711463760000,0.5824
1711459680000,0.597100,0.598700,0.591900,0.592700,195284.4,1711459739999,116141.2548500,1236,67190.4,1711463760000,0.5824
1711459740000,0.592700,0.594200,0.589600,0.590400,239647.8,1711459799999,141823.6205200,1026,74009.1,1711463760000,0.5824
1711459800000,0.590400,0.592600,0.590200,0.591100,124149.5,1711459859999,73425.1898500,637,64187.7,1711463760000,0.5824
