Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711663560000,0.0140140,0.0140640,0.0140020,0.0140320,31357970,1711663619999,439977.4743510,1832,16253413,1711668960000,0.01462
1711663620000,0.0140330,0.0140450,0.0140000,0.0140100,29786435,1711663679999,417590.9086110,1484,12898816,1711668960000,0.01462
1711663680000,0.0140110,0.0140800,0.0139940,0.0140630,44898934,1711663739999,630350.4949470,2253,25654273,1711668960000,0.01462
1711663740000,0.0140620,0.0141110,0.0140450,0.0141090,57414347,1711663799999,808685.3183590,2556,30910867,1711668960000,0.01462
1711663800000,0.0141070,0.0141380,0.0140830,0.0141080,54528648,1711663859999,769825.6742720,2566,23534944,1711668960000,0.01462
1711663860000,0.0141070,0.0141300,0.0140030,0.0140100,76629764,1711663919999,1078214.2053660,3560,30397957,1711668960000,0.01462
1711663920000,0.0140110,0.0140340,0.0139780,0.0140100,96424329,1711663979999,1350031.1670120,3475,52412845,1711668960000,0.01462
1711663980000,0.0140110,0.0140360,0.0140020,0.0140110,36418994,1711664039999,510431.4397310,1745,14422048,1711668960000,0.01462
1711664040000,0.0140110,0.0140190,0.0139820,0.0140140,26218025,1711664099999,367081.7499890,1363,10697289,1711668960000,0.01462
1711664100000,0.0140130,0.0140610,0.0139840,0.0140530,47496457,1711664159999,666040.4015970,2454,26158273,1711668960000,0.01462
1711664160000,0.0140520,0.0140640,0.0139300,0.0139380,63993827,1711664219999,895198.9695720,3549,21328892,1711668960000,0.01462
1711664220000,0.0139360,0.0139460,0.0138470,0.0138570,110471143,1711664279999,1535086.8461730,5445,35027566,1711668960000,0.01462
1711664280000,0.0138550,0.0138870,0.0138360,0.0138600,55093390,1711664339999,763673.9991400,2681,22950734,1711668960000,0.01462
1711664340000,0.0138620,0.0138620,0.0138110,0.0138190,91983748,1711664399999,1272688.2666990,2760,21363645,1711668960000,0.01462
1711664400000,0.0138190,0.0138830,0.0138100,0.0138530,59844942,1711664459999,829078.3093140,3072,31053177,1711668960000,0.01462
1711664460000,0.0138520,0.0138940,0.0138420,0.0138900,33587357,1711664519999,465910.7773980,1902,19693890,1711668960000,0.01462
1711664520000,0.0138890,0.0139380,0.0138840,0.0139250,39059122,1711664579999,543469.7830490,2122,18316051,1711668960000,0.01462
1711664580000,0.0139240,0.0139390,0.0139010,0.0139130,27693762,1711664639999,385389.0857830,1485,13036216,1711668960000,0.01462
