Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711138260000,3.987000,3.993000,3.987000,3.987000,1448.3,1711138319999,5778.9985000,70,856.5,1711143660000,3.974
1711138320000,3.987000,3.987000,3.980000,3.981000,1176.2,1711138379999,4685.2809000,62,511.4,1711143660000,3.974
1711138380000,3.980000,3.981000,3.978000,3.979000,598.4,1711138439999,2380.8439000,37,110.6,1711143660000,3.974
1711138440000,3.979000,3.979000,3.973000,3.975000,3166.7,1711138499999,12591.0799000,140,1314.7,1711143660000,3.974
1711138500000,3.976000,3.984000,3.975000,3.983000,755.2,1711138559999,3006.1184000,74,390.8,1711143660000,3.974
1711138560000,3.982000,3.989000,3.981000,3.985000,454.4,1711138619999,1810.6415000,51,162.5,1711143660000,3.974
1711138620000,3.986000,3.988000,3.977000,3.977000,1955.4,1711138679999,7784.5541000,86,735.6,1711143660000,3.974
1711138680000,3.977000,3.984000,3.975000,3.982000,598.2,1711138739999,2380.1233000,59,448.9,1711143660000,3.974
1711138740000,3.982000,3.985000,3.976000,3.978000,1147.2,1711138799999,4564.1021000,82,823.0,1711143660000,3.974
1711138800000,3.978000,3.984000,3.978000,3.982000,605.5,1711138859999,2410.9334000,53,278.2,1711143660000,3.974
1711138860000,3.982000,3.992000,3.982000,3.984000,2113.4,1711138919999,8425.8340000,115,1434.6,1711143660000,3.974
1711138920000,3.984000,3.984000,3.975000,3.975000,1922.4,1711138979999,7652.6687000,72,563.9,1711143660000,3.974
1711138980000,3.976000,3.976000,3.968000,3.974000,3186.6,1711139039999,12652.5720000,124,1940.0,1711143660000,3.974
1711139040000,3.974000,3.976000,3.968000,3.973000,805.5,1711139099999,3199.1427000,60,246.8,1711143660000,3.974
1711139100000,3.973000,3.977000,3.968000,3.968000,703.0,1711139159999,2793.1722000,58,104.3,1711143660000,3.974
1711139160000,3.968000,3.974000,3.968000,3.972000,681.5,1711139219999,2707.1311000,60,547.0,1711143660000,3.974
1711139220000,3.971000,3.979000,3.970000,3.978000,1479.3,1711139279999,5878.0790000,75,819.5,1711143660000,3.974
1711139280000,3.976000,3.977000,3.973000,3.977000,663.4,1711139339999,2636.9414000,56,214.1,1711143660000,3.974
1711139340000,3.977000,3.979000,3.973000,3.975000,267.4,1711139399999,1063.0648000,32,29.0,1711143660000,3.974
1711139400000,3.975000,3.982000,3.974000,3.981000,940.3,1711139459999,3741.0108000,68,599.1,1711143660000,3.974
1711139460000,3.981000,3.983000,3.976000,3.978000,1023.4,1711139519999,4071.9493000,65,467.9,1711143660000,3.974
1711139520000,3.978000,3.988000,3.978000,3.985000,898.1,1711139579999,3578.9199000,62,730.3,1711143660000,3.974
1711139580000,3.983000,3.983000,3.977000,3.977000,893.9,1711139639999,3556.8264000,61,227.2,1711143660000,3.974
1711139640000,3.976000,3.978000,3.974000,3.978000,2076.3,1711139699999,8255.9471000,90,1188.8,1711143660000,3.974
1711139700000,3.978000,3.987000,3.978000,3.985000,1290.9,1711139759999,5141.5818000,50,624.4,1711143660000,3.974
1711139760000,3.986000,3.991000,3.981000,3.983000,1116.5,1711139819999,4450.2357000,65,584.3,1711143660000,3.974
1711139820000,3.984000,3.989000,3.980000,3.980000,962.6,1711139879999,3834.8163000,81,355.4,1711143660000,3.974
1711139880000,3.980000,3.988000,3.979000,3.988000,1325.4,1711139939999,5276.6562000,68,818.1,1711143660000,3.974
1711139940000,3.987000,3.989000,3.986000,3.986000,434.7,1711139999999,1733.4745000,37,274.0,1711143660000,3.974
1711140000000,3.985000,3.986000,3.978000,3.980000,338.4,1711140059999,1347.3166000,34,61.1,1711143660000,3.974
1711140060000,3.979000,3.986000,3.977000,3.985000,1757.4,1711140119999,6993.5854000,108,1211.5,1711143660000,3.974
1711140120000,3.985000,3.985000,3.980000,3.980000,926.0,1711140179999,3687.8340000,52,402.2,1711143660000,3.974
1711140180000,3.981000,3.987000,3.981000,3.985000,310.6,1711140239999,1237.4548000,37,156.3,1711143660000,3.974
1711140240000,3.985000,3.985000,3.980000,3.981000,92.5,1711140299999,368.1819000,19,49.1,1711143660000,3.974
1711140300000,3.980000,3.987000,3.978000,3.983000,1372.9,1711140359999,5464.4081000,57,443.2,1711143660000,3.974
1711140360000,3.985000,3.985000,3.980000,3.983000,563.0,1711140419999,2242.8851000,34,387.5,1711143660000,3.974
1711140420000,3.982000,3.985000,3.979000,3.984000,375.0,1711140479999,1492.8117000,31,296.4,1711143660000,3.974
1711140480000,3.984000,3.984000,3.980000,3.981000,587.4,1711140539999,2339.4446000,41,120.2,1711143660000,3.974
1711140540000,3.981000,3.984000,3.974000,3.976000,1646.8,1711140599999,6549.9962000,77,918.8,1711143660000,3.974
1711140600000,3.977000,3.986000,3.975000,3.983000,2386.6,1711140659999,9501.1149000,124,1315.4,1711143660000,3.974
1711140660000,3.986000,3.993000,3.986000,3.992000,938.7,1711140719999,3745.2210000,65,496.9,1711143660000,3.974
1711140720000,3.990000,3.990000,3.982000,3.984000,1203.3,1711140779999,4795.8163000,70,456.6,1711143660000,3.974
