Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710398940000,114.04000,114.10000,114.04000,114.09000,31.0,1710398999999,3535.961000,29,16.1,1710404340000,115.2
1710399000000,114.10000,114.25000,114.10000,114.24000,71.8,1710399059999,8195.941000,50,50.9,1710404340000,115.2
1710399060000,114.23000,114.26000,114.22000,114.26000,12.7,1710399119999,1450.806000,27,7.7,1710404340000,115.2
1710399120000,114.26000,114.47000,114.26000,114.46000,229.0,1710399179999,26193.834000,129,127.9,1710404340000,115.2
1710399180000,114.46000,114.46000,114.15000,114.24000,420.0,1710399239999,48002.250000,301,280.8,1710404340000,115.2
1710399240000,114.21000,114.62000,114.09000,114.45000,863.6,1710399299999,98747.624000,511,599.7,1710404340000,115.2
1710399300000,114.44000,114.52000,114.29000,114.49000,399.0,1710399359999,45634.204000,278,247.8,1710404340000,115.2
1710399360000,114.51000,114.58000,114.36000,114.40000,168.4,1710399419999,19277.721000,122,75.3,1710404340000,115.2
1710399420000,114.40000,114.60000,114.39000,114.58000,101.8,1710399479999,11652.723000,73,80.0,1710404340000,115.2
1710399480000,114.59000,114.63000,114.51000,114.57000,99.3,1710399539999,11377.001000,84,48.9,1710404340000,115.2
1710399540000,114.59000,114.63000,114.58000,114.59000,28.3,1710399599999,3243.423000,31,25.4,1710404340000,115.2
1710399600000,114.57000,114.75000,114.48000,114.52000,731.5,1710399659999,83829.582000,337,130.2,1710404340000,115.2
1710399660000,114.55000,114.55000,114.36000,114.45000,532.7,1710399719999,60970.948000,255,200.3,1710404340000,115.2
1710399720000,114.44000,114.48000,114.33000,114.42000,192.6,1710399779999,22035.784000,131,169.0,1710404340000,115.2
1710399780000,114.42000,114.67000,114.42000,114.60000,120.6,1710399839999,13813.570000,102,96.1,1710404340000,115.2
1710399840000,114.60000,114.72000,114.59000,114.61000,197.6,1710399899999,22655.621000,123,80.6,1710404340000,115.2
1710399900000,114.66000,114.98000,114.66000,114.94000,276.5,1710399959999,31747.583000,163,226.1,1710404340000,115.2
1710399960000,114.97000,115.07000,114.47000,114.63000,750.0,1710400019999,86073.260000,426,260.1,1710404340000,115.2
1710400020000,114.64000,114.98000,114.64000,114.98000,463.8,1710400079999,53269.924000,252,378.6,1710404340000,115.2
1710400080000,114.97000,115.08000,114.95000,115.02000,262.2,1710400139999,30159.040000,181,138.3,1710404340000,115.2
1710400140000,115.01000,115.04000,114.89000,114.92000,123.6,1710400199999,14207.845000,105,72.1,1710404340000,115.2
1710400200000,114.92000,114.94000,114.81000,114.83000,56.1,1710400259999,6446.176000,59,26.1,1710404340000,115.2
1710400260000,114.82000,114.87000,114.60000,114.67000,292.8,1710400319999,33582.836000,175,79.4,1710404340000,115.2
1710400320000,114.66000,114.67000,114.60000,114.65000,75.4,1710400379999,8644.127000,79,31.7,1710404340000,115.2
1710400380000,114.67000,114.78000,114.59000,114.70000,286.6,1710400439999,32870.120000,166,226.2,1710404340000,115.2
1710400440000,114.70000,114.70000,114.52000,114.58000,198.4,1710400499999,22735.300000,153,36.4,1710404340000,115.2
1710400500000,114.61000,114.62000,114.37000,114.38000,444.1,1710400559999,50844.445000,330,96.3,1710404340000,115.2
1710400560000,114.40000,114.40000,114.08000,114.24000,690.3,1710400619999,78855.478000,351,221.2,1710404340000,115.2
1710400620000,114.24000,114.37000,114.21000,114.26000,83.7,1710400679999,9565.010000,76,27.8,1710404340000,115.2
1710400680000,114.27000,114.28000,114.07000,114.13000,146.4,1710400739999,16708.094000,155,69.3,1710404340000,115.2
1710400740000,114.16000,114.20000,114.08000,114.12000,108.6,1710400799999,12396.471000,73,70.8,1710404340000,115.2
1710400800000,114.12000,114.16000,114.00000,114.06000,94.2,1710400859999,10743.273000,87,42.2,1710404340000,115.2
1710400860000,114.06000,114.08000,113.99000,114.00000,50.8,1710400919999,5792.423000,69,26.4,1710404340000,115.2
1710400920000,113.99000,114.03000,113.94000,113.98000,209.4,1710400979999,23871.139000,104,55.3,1710404340000,115.2
1710400980000,113.97000,114.28000,113.96000,114.25000,145.0,1710401039999,16544.202000,127,107.7,1710404340000,115.2
1710401040000,114.29000,114.38000,114.26000,114.29000,76.0,1710401099999,8687.829000,69,46.7,1710404340000,115.2
1710401100000,114.29000,114.33000,114.17000,114.17000,123.6,1710401159999,14123.027000,122,33.7,1710404340000,115.2
1710401160000,114.18000,114.18000,113.97000,114.00000,139.9,1710401219999,15961.506000,184,53.1,1710404340000,115.2
1710401220000,114.02000,114.11000,113.95000,114.07000,92.6,1710401279999,10558.064000,112,45.4,1710404340000,115.2
1710401280000,114.08000,114.19000,114.05000,114.19000,40.6,1710401339999,4633.075000,51,35.3,1710404340000,115.2
1710401340000,114.21000,114.21000,114.10000,114.17000,179.7,1710401399999,20513.589000,100,83.4,1710404340000,115.2
1710401400000,114.17000,114.24000,114.10000,114.18000,95.9,1710401459999,10946.571000,86,77.6,1710404340000,115.2
1710401460000,114.25000,114.34000,114.20000,114.24000,174.4,1710401519999,19927.406000,122,50.4,1710404340000,115.2
1710401520000,114.25000,114.59000,114.25000,114.58000,263.1,1710401579999,30121.227000,179,160.9,1710404340000,115.2
1710401580000,114.57000,114.65000,114.53000,114.55000,249.1,1710401639999,28545.689000,111,132.2,1710404340000,115.2
1710401640000,114.54000,114.56000,114.42000,114.53000,86.3,1710401699999,9881.258000,86,42.8,1710404340000,115.2
1710401700000,114.60000,114.66000,114.54000,114.65000,60.2,1710401759999,6898.617000,65,12.4,1710404340000,115.2
1710401760000,114.64000,114.70000,114.58000,114.68000,70.3,1710401819999,8058.981000,82,35.3,1710404340000,115.2
1710401820000,114.71000,114.82000,114.71000,114.74000,93.3,1710401879999,10709.462000,70,45.6,1710404340000,115.2
1710401880000,114.76000,114.81000,114.69000,114.72000,51.4,1710401939999,5898.066000,58,37.6,1710404340000,115.2
1710401940000,114.72000,114.78000,114.57000,114.61000,172.3,1710401999999,19764.569000,74,78.5,1710404340000,115.2
1710402000000,114.60000,114.60000,114.42000,114.50000,198.4,1710402059999,22720.362000,136,99.6,1710404340000,115.2
