Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711716120000,0.3992,0.3995,0.3987,0.3987,28836,1711716179999,11515.8153,87,26601,1711721520000,0.4041
1711716180000,0.3987,0.3987,0.3983,0.3985,11716,1711716239999,4668.7725,56,8154,1711721520000,0.4041
1711716240000,0.3984,0.3987,0.3982,0.3987,8710,1711716299999,3469.8928,45,5376,1711721520000,0.4041
1711716300000,0.3987,0.3989,0.3979,0.3983,22668,1711716359999,9031.2442,115,13907,1711721520000,0.4041
1711716360000,0.3984,0.3992,0.3984,0.3992,11229,1711716419999,4477.2191,53,7371,1711721520000,0.4041
1711716420000,0.3991,0.3998,0.3988,0.3993,22593,1711716479999,9023.0795,110,14613,1711721520000,0.4041
1711716480000,0.3993,0.3997,0.3990,0.3996,9657,1711716539999,3854.6531,50,6252,1711721520000,0.4041
1711716540000,0.3997,0.4004,0.3997,0.3998,10660,1711716599999,4263.6769,61,3494,1711721520000,0.4041
1711716600000,0.3997,0.4001,0.3997,0.3999,15362,1711716659999,6143.7436,69,8945,1711721520000,0.4041
1711716660000,0.4000,0.4000,0.3994,0.3995,10142,1711716719999,4052.7118,67,4589,1711721520000,0.4041
1711716720000,0.3995,0.3996,0.3991,0.3994,10540,1711716779999,4209.1970,52,6741,1711721520000,0.4041
1711716780000,0.3995,0.3995,0.3992,0.3993,5418,1711716839999,2163.7594,44,984,1711721520000,0.4041
1711716840000,0.3993,0.3996,0.3992,0.3994,4334,1711716899999,1730.7279,29,3643,1711721520000,0.4041
1711716900000,0.3994,0.3996,0.3990,0.3993,6636,1711716959999,2649.5531,43,3852,1711721520000,0.4041
1711716960000,0.3992,0.3994,0.3989,0.3989,11878,1711717019999,4741.3912,42,3809,1711721520000,0.4041
1711717020000,0.3988,0.3991,0.3986,0.3990,12957,1711717079999,5168.3829,61,9868,1711721520000,0.4041
1711717080000,0.3992,0.3993,0.3988,0.3992,9663,1711717139999,3856.2938,42,6938,1711721520000,0.4041
1711717140000,0.3992,0.3996,0.3988,0.3994,20014,1711717199999,7993.0742,64,16482,1711721520000,0.4041
1711717200000,0.3995,0.3998,0.3994,0.3996,18306,1711717259999,7314.8258,66,8267,1711721520000,0.4041
1711717260000,0.3995,0.4002,0.3995,0.4001,15104,1711717319999,6039.1332,85,9290,1711721520000,0.4041
1711717320000,0.4002,0.4006,0.4000,0.4003,43216,1711717379999,17299.0446,163,11377,1711721520000,0.4041
1711717380000,0.4004,0.4005,0.3999,0.3999,70911,1711717439999,28368.6131,101,8715,1711721520000,0.4041
1711717440000,0.3997,0.3997,0.3990,0.3991,28192,1711717499999,11253.0552,54,2154,1711721520000,0.4041
1711717500000,0.3990,0.3991,0.3981,0.3982,22524,1711717559999,8977.1412,115,9069,1711721520000,0.4041
1711717560000,0.3984,0.3986,0.3978,0.3979,20329,1711717619999,8092.9253,112,7787,1711721520000,0.4041
1711717620000,0.3979,0.3989,0.3979,0.3982,64277,1711717679999,25623.3692,132,22007,1711721520000,0.4041
1711717680000,0.3983,0.3985,0.3975,0.3985,40212,1711717739999,15997.7695,136,20649,1711721520000,0.4041
1711717740000,0.3987,0.3993,0.3987,0.3992,7701,1711717799999,3072.9074,46,4250,1711721520000,0.4041
1711717800000,0.3993,0.3998,0.3992,0.3993,36418,1711717859999,14549.2275,97,16112,1711721520000,0.4041
1711717860000,0.3993,0.3993,0.3987,0.3990,21340,1711717919999,8510.8696,54,9842,1711721520000,0.4041
1711717920000,0.3991,0.3992,0.3987,0.3987,9860,1711717979999,3934.4711,59,3441,1711721520000,0.4041
1711717980000,0.3987,0.3991,0.3983,0.3991,23099,1711718039999,9212.4732,77,10275,1711721520000,0.4041
1711718040000,0.3990,0.3990,0.3984,0.3985,15246,1711718099999,6079.2893,58,3049,1711721520000,0.4041
