Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710329400000,4.8551000,4.9000000,4.8547000,4.8931000,212842,1710329459999,1038655.1572000,3456,115093,1710334800000,4.8285
1710329460000,4.8921000,4.8921000,4.8656000,4.8842000,125518,1710329519999,612729.9111000,2436,74019,1710334800000,4.8285
1710329520000,4.8842000,4.9050000,4.8677000,4.8712000,114029,1710329579999,557720.0245000,2447,50566,1710334800000,4.8285
1710329580000,4.8712000,4.8758000,4.8318000,4.8331000,169758,1710329639999,823636.4620000,2921,68237,1710334800000,4.8285
1710329640000,4.8326000,4.8434000,4.8001000,4.8186000,129608,1710329699999,624478.1536000,2934,44769,1710334800000,4.8285
1710329700000,4.8176000,4.8181000,4.7827000,4.7910000,165565,1710329759999,795203.4537000,3110,76136,1710334800000,4.8285
1710329760000,4.7905000,4.7922000,4.7663000,4.7794000,122919,1710329819999,587685.5759000,2095,65132,1710334800000,4.8285
1710329820000,4.7792000,4.7999000,4.7771000,4.7907000,59832,1710329879999,286746.2644000,1627,31329,1710334800000,4.8285
1710329880000,4.7905000,4.8072000,4.7742000,4.7820000,86085,1710329939999,412397.1326000,1664,41799,1710334800000,4.8285
1710329940000,4.7830000,4.8026000,4.7793000,4.8004000,25632,1710329999999,122769.1785000,606,14093,1710334800000,4.8285
1710330000000,4.8000000,4.8174000,4.7990000,4.8087000,83401,1710330059999,400914.8908000,1163,48664,1710334800000,4.8285
1710330060000,4.8100000,4.8198000,4.8072000,4.8169000,56393,1710330119999,271415.1221000,695,32279,1710334800000,4.8285
1710330120000,4.8166000,4.8199000,4.7817000,4.7942000,62717,1710330179999,300794.9120000,1203,27125,1710334800000,4.8285
1710330180000,4.7957000,4.8052000,4.7607000,4.7693000,45205,1710330239999,215978.2951000,1120,13700,1710334800000,4.8285
1710330240000,4.7690000,4.7721000,4.7528000,4.7620000,55406,1710330299999,263874.3342000,1598,20022,1710334800000,4.8285
1710330300000,4.7635000,4.7709000,4.7573000,4.7615000,32008,1710330359999,152508.1480000,834,16047,1710334800000,4.8285
1710330360000,4.7618000,4.7637000,4.7423000,4.7503000,60629,1710330419999,288264.5519000,892,25575,1710334800000,4.8285
1710330420000,4.7513000,4.7615000,4.7401000,4.7405000,37802,1710330479999,179601.0655000,826,13300,1710334800000,4.8285
1710330480000,4.7416000,4.7442000,4.7226000,4.7359000,63467,1710330539999,300324.1752000,1117,16018,1710334800000,4.8285
1710330540000,4.7350000,4.7610000,4.7327000,4.7496000,44706,1710330599999,212167.4707000,902,27940,1710334800000,4.8285
1710330600000,4.7497000,4.7576000,4.7379000,4.7430000,18261,1710330659999,86698.6022000,539,6013,1710334800000,4.8285
1710330660000,4.7430000,4.7532000,4.7366000,4.7438000,38208,1710330719999,181238.7890000,882,15411,1710334800000,4.8285
1710330720000,4.7424000,4.7580000,4.7344000,4.7510000,27860,1710330779999,132161.3980000,694,14158,1710334800000,4.8285
