Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711538760000,1.302,1.305,1.301,1.305,65473.0,1711538819999,85314.4691,181,42338.5,1711544100000,1.33
1711538820000,1.305,1.305,1.303,1.304,50428.1,1711538879999,65781.1035,191,29729.5,1711544100000,1.33
1711538880000,1.304,1.304,1.303,1.304,35406.7,1711538939999,46164.5182,109,17881.7,1711544100000,1.33
1711538940000,1.305,1.307,1.305,1.306,29303.2,1711538999999,38260.5743,82,21442.8,1711544100000,1.33
1711539000000,1.307,1.308,1.305,1.307,90719.5,1711539059999,118473.8610,234,59697.8,1711544100000,1.33
1711539060000,1.306,1.311,1.306,1.309,100398.3,1711539119999,131390.7548,234,63298.9,1711544100000,1.33
1711539120000,1.308,1.309,1.307,1.309,55030.0,1711539179999,71988.3839,156,33779.5,1711544100000,1.33
1711539180000,1.310,1.315,1.310,1.314,85711.7,1711539239999,112505.5282,265,64862.2,1711544100000,1.33
1711539240000,1.315,1.320,1.313,1.320,55052.4,1711539299999,72455.8445,204,33181.9,1711544100000,1.33
1711539300000,1.320,1.320,1.316,1.318,73448.9,1711539359999,96854.0932,288,21576.1,1711544100000,1.33
1711539360000,1.317,1.319,1.317,1.317,58138.8,1711539419999,76641.1299,172,27837.1,1711544100000,1.33
1711539420000,1.316,1.318,1.316,1.316,42726.5,1711539479999,56246.9484,107,18256.5,1711544100000,1.33
1711539480000,1.315,1.319,1.315,1.318,64808.4,1711539539999,85366.4941,199,40892.9,1711544100000,1.33
1711539540000,1.318,1.319,1.315,1.316,42873.9,1711539599999,56488.2142,135,4404.1,1711544100000,1.33
1711539600000,1.315,1.316,1.313,1.313,83552.0,1711539659999,109820.1749,218,18864.9,1711544100000,1.33
1711539660000,1.313,1.315,1.313,1.314,32918.5,1711539719999,43254.1781,128,19499.8,1711544100000,1.33
1711539720000,1.314,1.317,1.313,1.316,57466.0,1711539779999,75567.3231,180,45758.8,1711544100000,1.33
1711539780000,1.316,1.317,1.315,1.317,12407.6,1711539839999,16337.9436,67,10469.4,1711544100000,1.33
