Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711326600000,0.03391,0.03391,0.03379,0.03379,2523101,1711326659999,85350.16956,512,952335,1711332000000,0.03355
1711326660000,0.03379,0.03400,0.03378,0.03400,1780802,1711326719999,60341.86006,451,1277397,1711332000000,0.03355
1711326720000,0.03400,0.03432,0.03397,0.03426,5702584,1711326779999,194761.41317,1169,4168323,1711332000000,0.03355
1711326780000,0.03426,0.03432,0.03405,0.03411,4334121,1711326839999,148118.74686,896,1752417,1711332000000,0.03355
1711326840000,0.03411,0.03414,0.03406,0.03412,2475784,1711326899999,84422.97955,509,935603,1711332000000,0.03355
1711326900000,0.03412,0.03419,0.03406,0.03412,1793406,1711326959999,61173.30944,537,774366,1711332000000,0.03355
1711326960000,0.03412,0.03420,0.03356,0.03369,11356856,1711327019999,384535.81682,1388,1781886,1711332000000,0.03355
1711327020000,0.03369,0.03374,0.03303,0.03326,20996784,1711327079999,701433.92437,3568,8697519,1711332000000,0.03355
1711327080000,0.03326,0.03339,0.03321,0.03337,4619748,1711327139999,153730.03844,999,2866747,1711332000000,0.03355
1711327140000,0.03337,0.03339,0.03327,0.03330,3657293,1711327199999,121856.43895,835,2291255,1711332000000,0.03355
1711327200000,0.03330,0.03338,0.03317,0.03318,3264567,1711327259999,108655.03930,820,1911462,1711332000000,0.03355
1711327260000,0.03317,0.03317,0.03299,0.03307,4198380,1711327319999,138854.63286,872,2276747,1711332000000,0.03355
1711327320000,0.03307,0.03312,0.03302,0.03309,2038555,1711327379999,67434.60240,437,1052197,1711332000000,0.03355
1711327380000,0.03309,0.03321,0.03309,0.03317,1107015,1711327439999,36706.74168,342,529222,1711332000000,0.03355
1711327440000,0.03318,0.03329,0.03318,0.03329,805976,1711327499999,26802.98923,273,529692,1711332000000,0.03355
1711327500000,0.03329,0.03397,0.03329,0.03387,8707964,1711327559999,292700.34261,1626,6119620,1711332000000,0.03355
1711327560000,0.03387,0.03391,0.03361,0.03373,3528355,1711327619999,119014.19073,762,1719790,1711332000000,0.03355
1711327620000,0.03373,0.03375,0.03349,0.03357,1084978,1711327679999,36485.11230,311,331684,1711332000000,0.03355
1711327680000,0.03357,0.03363,0.03354,0.03357,1221348,1711327739999,41015.99338,257,446137,1711332000000,0.03355
1711327740000,0.03358,0.03360,0.03352,0.03358,1020261,1711327799999,34237.19401,204,352978,1711332000000,0.03355
1711327800000,0.03357,0.03358,0.03341,0.03349,868230,1711327859999,29072.10782,222,399514,1711332000000,0.03355
1711327860000,0.03350,0.03353,0.03345,0.03350,698156,1711327919999,23383.90892,211,286988,1711332000000,0.03355
1711327920000,0.03351,0.03359,0.03345,0.03359,607764,1711327979999,20372.00729,165,412785,1711332000000,0.03355
1711327980000,0.03359,0.03360,0.03355,0.03359,636899,1711328039999,21384.20087,160,287413,1711332000000,0.03355
