Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710744300000,0.4241000,0.4249000,0.4233000,0.4240000,502859,1710744359999,213225.0243000,754,258367,1710749700000,0.4206
1710744360000,0.4240000,0.4257000,0.4240000,0.4255000,285823,1710744419999,121534.2803000,513,151711,1710749700000,0.4206
1710744420000,0.4255000,0.4255000,0.4250000,0.4251000,203859,1710744479999,86689.0789000,410,64819,1710749700000,0.4206
1710744480000,0.4252000,0.4254000,0.4248000,0.4251000,230511,1710744539999,97982.7169000,423,79596,1710749700000,0.4206
1710744540000,0.4251000,0.4259000,0.4248000,0.4253000,310225,1710744599999,131970.3322000,550,115095,1710749700000,0.4206
1710744600000,0.4252000,0.4253000,0.4244000,0.4244000,231548,1710744659999,98377.3937000,411,61696,1710749700000,0.4206
1710744660000,0.4244000,0.4244000,0.4239000,0.4240000,315060,1710744719999,133624.2348000,590,155825,1710749700000,0.4206
1710744720000,0.4241000,0.4254000,0.4237000,0.4241000,413146,1710744779999,175305.4991000,795,232983,1710749700000,0.4206
1710744780000,0.4240000,0.4244000,0.4238000,0.4239000,108236,1710744839999,45894.8927000,299,49995,1710749700000,0.4206
1710744840000,0.4239000,0.4245000,0.4235000,0.4240000,210111,1710744899999,89062.2044000,459,91152,1710749700000,0.4206
1710744900000,0.4240000,0.4241000,0.4234000,0.4240000,264647,1710744959999,112122.1022000,475,93338,1710749700000,0.4206
1710744960000,0.4240000,0.4242000,0.4235000,0.4239000,200813,1710745019999,85114.9202000,369,82438,1710749700000,0.4206
1710745020000,0.4239000,0.4244000,0.4237000,0.4242000,238793,1710745079999,101265.3922000,443,130763,1710749700000,0.4206
1710745080000,0.4242000,0.4246000,0.4241000,0.4242000,155756,1710745139999,66089.0117000,316,53838,1710749700000,0.4206
1710745140000,0.4242000,0.4243000,0.4237000,0.4239000,159044,1710745199999,67441.2058000,364,38574,1710749700000,0.4206
1710745200000,0.4239000,0.4244000,0.4233000,0.4235000,379667,1710745259999,160876.2017000,622,147235,1710749700000,0.4206
1710745260000,0.4235000,0.4244000,0.4235000,0.4237000,383316,1710745319999,162505.5506000,552,146777,1710749700000,0.4206
1710745320000,0.4237000,0.4240000,0.4227000,0.4228000,337094,1710745379999,142741.7566000,575,96711,1710749700000,0.4206
1710745380000,0.4229000,0.4229000,0.4215000,0.4216000,550125,1710745439999,232147.3178000,761,209717,1710749700000,0.4206
1710745440000,0.4217000,0.4217000,0.4210000,0.4214000,489699,1710745499999,206326.0361000,640,150677,1710749700000,0.4206
1710745500000,0.4214000,0.4219000,0.4209000,0.4216000,334299,1710745559999,140886.3268000,539,183003,1710749700000,0.4206
