Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710540000000,0.3988,0.3988,0.3969,0.3970,99760,1710540059999,39665.1153,225,9027,1710545400000,0.4106
1710540060000,0.3971,0.3982,0.3970,0.3977,38397,1710540119999,15267.6770,163,28523,1710545400000,0.4106
1710540120000,0.3978,0.3979,0.3976,0.3976,29118,1710540179999,11581.5220,86,6058,1710545400000,0.4106
1710540180000,0.3976,0.3985,0.3976,0.3985,19729,1710540239999,7852.2091,91,17402,1710545400000,0.4106
1710540240000,0.3986,0.3994,0.3986,0.3992,69155,1710540299999,27592.7521,204,45135,1710545400000,0.4106
1710540300000,0.3992,0.3995,0.3990,0.3993,74909,1710540359999,29903.9635,149,29288,1710545400000,0.4106
1710540360000,0.3992,0.3993,0.3989,0.3990,138040,1710540419999,55084.6227,229,75118,1710545400000,0.4106
1710540420000,0.3989,0.3999,0.3988,0.3997,22280,1710540479999,8897.3691,123,14171,1710545400000,0.4106
1710540480000,0.3996,0.3998,0.3994,0.3997,50146,1710540539999,20035.1867,115,34713,1710545400000,0.4106
1710540540000,0.3997,0.3998,0.3996,0.3998,13195,1710540599999,5274.2944,67,6847,1710545400000,0.4106
1710540600000,0.3997,0.4002,0.3997,0.3998,60043,1710540659999,24007.1705,122,27016,1710545400000,0.4106
1710540660000,0.3997,0.3997,0.3991,0.3991,78701,1710540719999,31429.5085,106,5019,1710545400000,0.4106
1710540720000,0.3990,0.3999,0.3986,0.3998,43548,1710540779999,17378.8639,137,22854,1710545400000,0.4106
1710540780000,0.3999,0.4004,0.3999,0.4003,19346,1710540839999,7741.1317,71,13143,1710545400000,0.4106
1710540840000,0.4003,0.4008,0.4002,0.4005,22757,1710540899999,9114.7416,115,8358,1710545400000,0.4106
1710540900000,0.4006,0.4007,0.4005,0.4006,9229,1710540959999,3697.4172,55,2686,1710545400000,0.4106
1710540960000,0.4007,0.4007,0.4002,0.4005,35053,1710541019999,14036.1314,120,15183,1710545400000,0.4106
1710541020000,0.4006,0.4013,0.4006,0.4012,26662,1710541079999,10691.1972,95,18265,1710545400000,0.4106
1710541080000,0.4014,0.4016,0.4014,0.4016,14396,1710541139999,5780.6921,75,8614,1710545400000,0.4106
1710541140000,0.4017,0.4019,0.4017,0.4018,17007,1710541199999,6832.7528,85,10437,1710545400000,0.4106
1710541200000,0.4018,0.4023,0.4018,0.4022,36942,1710541259999,14851.6368,137,28285,1710545400000,0.4106
1710541260000,0.4022,0.4024,0.4017,0.4024,98875,1710541319999,39754.9304,139,33918,1710545400000,0.4106
1710541320000,0.4024,0.4026,0.4019,0.4026,52535,1710541379999,21131.5098,133,14101,1710545400000,0.4106
1710541380000,0.4026,0.4031,0.4020,0.4029,63914,1710541439999,25722.0484,208,27801,1710545400000,0.4106
1710541440000,0.4030,0.4043,0.4023,0.4024,85301,1710541499999,34404.8560,336,46781,1710545400000,0.4106
1710541500000,0.4024,0.4038,0.4024,0.4037,31687,1710541559999,12777.2882,163,24517,1710545400000,0.4106
1710541560000,0.4038,0.4039,0.4035,0.4039,31412,1710541619999,12679.7813,128,21482,1710545400000,0.4106
1710541620000,0.4040,0.4042,0.4039,0.4042,2195,1710541679999,886.9993,25,2031,1710545400000,0.4106
1710541680000,0.4041,0.4044,0.4037,0.4037,14413,1710541739999,5824.7336,90,4425,1710545400000,0.4106
1710541740000,0.4037,0.4039,0.4019,0.4022,47459,1710541799999,19123.2339,186,17831,1710545400000,0.4106
1710541800000,0.4021,0.4021,0.4007,0.4010,48664,1710541859999,19522.0430,223,18302,1710545400000,0.4106
1710541860000,0.4011,0.4016,0.4009,0.4012,17758,1710541919999,7125.9007,106,6170,1710545400000,0.4106
1710541920000,0.4014,0.4015,0.4009,0.4011,16108,1710541979999,6462.2621,102,7055,1710545400000,0.4106
1710541980000,0.4011,0.4018,0.4011,0.4015,66552,1710542039999,26726.2734,186,54852,1710545400000,0.4106
1710542040000,0.4015,0.4021,0.4015,0.4018,7047,1710542099999,2831.3574,65,4504,1710545400000,0.4106
1710542100000,0.4017,0.4018,0.4014,0.4016,21737,1710542159999,8729.4581,109,14189,1710545400000,0.4106
1710542160000,0.4016,0.4020,0.4008,0.4020,33221,1710542219999,13328.6318,163,11949,1710545400000,0.4106
1710542220000,0.4020,0.4030,0.4020,0.4028,17102,1710542279999,6882.6612,114,8813,1710545400000,0.4106
