Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711838820000,0.14568,0.14590,0.14565,0.14570,373397,1711838879999,54431.91481,356,296059,1711844220000,0.14831
1711838880000,0.14571,0.14579,0.14558,0.14579,120312,1711838939999,17530.79022,113,66274,1711844220000,0.14831
1711838940000,0.14579,0.14581,0.14566,0.14566,206665,1711838999999,30125.01024,152,110929,1711844220000,0.14831
1711839000000,0.14564,0.14571,0.14555,0.14555,70249,1711839059999,10229.20186,94,9939,1711844220000,0.14831
1711839060000,0.14553,0.14553,0.14529,0.14533,89323,1711839119999,12987.11047,130,14945,1711844220000,0.14831
1711839120000,0.14531,0.14531,0.14519,0.14526,154479,1711839179999,22439.77982,178,28482,1711844220000,0.14831
1711839180000,0.14526,0.14541,0.14523,0.14541,102444,1711839239999,14882.72905,80,82293,1711844220000,0.14831
1711839240000,0.14540,0.14542,0.14529,0.14533,48774,1711839299999,7090.40628,82,18460,1711844220000,0.14831
1711839300000,0.14537,0.14552,0.14522,0.14528,542370,1711839359999,78815.71684,373,145724,1711844220000,0.14831
1711839360000,0.14529,0.14537,0.14522,0.14525,56528,1711839419999,8212.89087,89,16549,1711844220000,0.14831
1711839420000,0.14525,0.14544,0.14525,0.14529,124228,1711839479999,18055.43966,195,100890,1711844220000,0.14831
1711839480000,0.14529,0.14536,0.14527,0.14529,109006,1711839539999,15839.42582,104,49549,1711844220000,0.14831
1711839540000,0.14529,0.14533,0.14522,0.14528,106440,1711839599999,15462.19975,113,55630,1711844220000,0.14831
1711839600000,0.14527,0.14528,0.14519,0.14523,195041,1711839659999,28330.11031,130,152408,1711844220000,0.14831
1711839660000,0.14522,0.14525,0.14509,0.14524,177837,1711839719999,25814.35853,198,61571,1711844220000,0.14831
1711839720000,0.14525,0.14533,0.14518,0.14525,77282,1711839779999,11223.92126,116,42069,1711844220000,0.14831
1711839780000,0.14525,0.14534,0.14522,0.14533,69622,1711839839999,10114.53774,118,44883,1711844220000,0.14831
1711839840000,0.14533,0.14547,0.14531,0.14531,138976,1711839899999,20205.27976,130,31319,1711844220000,0.14831
1711839900000,0.14531,0.14550,0.14528,0.14550,174064,1711839959999,25299.33459,152,143291,1711844220000,0.14831
1711839960000,0.14549,0.14567,0.14549,0.14556,108305,1711840019999,15770.19170,153,60523,1711844220000,0.14831
1711840020000,0.14557,0.14566,0.14549,0.14563,139518,1711840079999,20306.93861,123,100956,1711844220000,0.14831
1711840080000,0.14565,0.14566,0.14558,0.14559,47615,1711840139999,6934.13734,73,13122,1711844220000,0.14831
1711840140000,0.14559,0.14560,0.14550,0.14555,58866,1711840199999,8568.44606,76,49629,1711844220000,0.14831
1711840200000,0.14559,0.14579,0.14559,0.14579,136289,1711840259999,19859.82550,123,115767,1711844220000,0.14831
1711840260000,0.14580,0.14641,0.14577,0.14609,1848017,1711840319999,270001.53490,3942,1502861,1711844220000,0.14831
1711840320000,0.14609,0.14612,0.14585,0.14589,160909,1711840379999,23490.72207,172,57836,1711844220000,0.14831
1711840380000,0.14589,0.14601,0.14585,0.14585,94530,1711840439999,13797.05806,90,17907,1711844220000,0.14831
1711840440000,0.14585,0.14632,0.14575,0.14590,1893628,1711840499999,276501.55053,2954,1507718,1711844220000,0.14831
1711840500000,0.14590,0.14608,0.14574,0.14590,716382,1711840559999,104526.32362,1417,536243,1711844220000,0.14831
1711840560000,0.14592,0.14596,0.14576,0.14593,222724,1711840619999,32489.88384,168,124716,1711844220000,0.14831
1711840620000,0.14594,0.14616,0.14594,0.14598,205272,1711840679999,29985.26725,168,97391,1711844220000,0.14831
1711840680000,0.14599,0.14636,0.14597,0.14618,343701,1711840739999,50230.67919,311,238151,1711844220000,0.14831
1711840740000,0.14619,0.14624,0.14612,0.14614,157098,1711840799999,22965.23272,143,54746,1711844220000,0.14831
1711840800000,0.14615,0.14619,0.14602,0.14604,307738,1711840859999,44968.10482,282,131056,1711844220000,0.14831
1711840860000,0.14603,0.14606,0.14580,0.14580,210241,1711840919999,30683.01977,247,50341,1711844220000,0.14831
1711840920000,0.14580,0.14611,0.14575,0.14594,185707,1711840979999,27102.81235,200,130222,1711844220000,0.14831
1711840980000,0.14590,0.14618,0.14586,0.14618,103575,1711841039999,15124.08597,132,41809,1711844220000,0.14831
1711841040000,0.14620,0.14634,0.14615,0.14617,119676,1711841099999,17500.72444,160,41624,1711844220000,0.14831
1711841100000,0.14615,0.14615,0.14570,0.14586,789851,1711841159999,115213.25480,1518,529203,1711844220000,0.14831
1711841160000,0.14586,0.14586,0.14570,0.14580,188518,1711841219999,27479.98802,219,104037,1711844220000,0.14831
1711841220000,0.14580,0.14582,0.14557,0.14557,351553,1711841279999,51225.10366,310,175039,1711844220000,0.14831
1711841280000,0.14558,0.14571,0.14553,0.14563,238570,1711841339999,34742.17168,254,153092,1711844220000,0.14831
1711841340000,0.14563,0.14571,0.14555,0.14557,133328,1711841399999,19420.40695,155,42291,1711844220000,0.14831
1711841400000,0.14560,0.14601,0.14557,0.14594,502075,1711841459999,73233.65899,315,382385,1711844220000,0.14831
1711841460000,0.14593,0.14620,0.14584,0.14616,231698,1711841519999,33844.36537,210,108870,1711844220000,0.14831
1711841520000,0.14616,0.14627,0.14606,0.14606,119332,1711841579999,17446.24302,129,28755,1711844220000,0.14831
1711841580000,0.14609,0.14609,0.14582,0.14583,142643,1711841639999,20812.27260,170,64822,1711844220000,0.14831
1711841640000,0.14582,0.14602,0.14581,0.14602,69239,1711841699999,10101.12997,139,51846,1711844220000,0.14831
1711841700000,0.14602,0.14633,0.14598,0.14624,938943,1711841759999,137250.76161,437,815414,1711844220000,0.14831
1711841760000,0.14623,0.14624,0.14612,0.14612,120507,1711841819999,17616.07246,128,42379,1711844220000,0.14831
1711841820000,0.14611,0.14639,0.14611,0.14638,124433,1711841879999,18206.46802,145,85399,1711844220000,0.14831
1711841880000,0.14637,0.14654,0.14631,0.14647,208111,1711841939999,30466.49666,212,108888,1711844220000,0.14831
1711841940000,0.14645,0.14651,0.14641,0.14642,88421,1711841999999,12949.85963,110,51039,1711844220000,0.14831
1711842000000,0.14642,0.14654,0.14641,0.14650,77535,1711842059999,11356.25961,130,56015,1711844220000,0.14831
1711842060000,0.14651,0.14651,0.14639,0.14641,95573,1711842119999,13998.19947,121,20559,1711844220000,0.14831
1711842120000,0.14640,0.14656,0.14639,0.14654,58580,1711842179999,8579.48045,101,35787,1711844220000,0.14831
1711842180000,0.14654,0.14660,0.14647,0.14647,57320,1711842239999,8398.66835,87,18074,1711844220000,0.14831
1711842240000,0.14646,0.14656,0.14646,0.14655,64614,1711842299999,9466.47176,105,43416,1711844220000,0.14831
1711842300000,0.14654,0.14665,0.14653,0.14657,92133,1711842359999,13506.45473,107,54575,1711844220000,0.14831
1711842360000,0.14655,0.14667,0.14651,0.14664,227383,1711842419999,33329.55615,190,43769,1711844220000,0.14831
1711842420000,0.14666,0.14698,0.14666,0.14693,222151,1711842479999,32619.38897,215,176443,1711844220000,0.14831
1711842480000,0.14692,0.14692,0.14673,0.14676,69396,1711842539999,10187.15123,96,13711,1711844220000,0.14831
1711842540000,0.14675,0.14691,0.14669,0.14691,184637,1711842599999,27094.16113,164,91884,1711844220000,0.14831
1711842600000,0.14691,0.14695,0.14683,0.14694,94387,1711842659999,13867.36159,108,21887,1711844220000,0.14831
1711842660000,0.14694,0.14703,0.14689,0.14701,223665,1711842719999,32871.54824,204,120031,1711844220000,0.14831
1711842720000,0.14699,0.14702,0.14678,0.14692,182449,1711842779999,26793.11087,137,80037,1711844220000,0.14831
1711842780000,0.14693,0.14701,0.14692,0.14694,112847,1711842839999,16584.20135,107,38864,1711844220000,0.14831
1711842840000,0.14693,0.14740,0.14693,0.14732,279078,1711842899999,41087.61969,225,172878,1711844220000,0.14831
1711842900000,0.14732,0.14735,0.14712,0.14735,229251,1711842959999,33755.46940,246,101505,1711844220000,0.14831
1711842960000,0.14735,0.14735,0.14704,0.14728,295726,1711843019999,43527.50594,274,126846,1711844220000,0.14831
1711843020000,0.14729,0.14731,0.14712,0.14728,149000,1711843079999,21940.61542,181,64844,1711844220000,0.14831
1711843080000,0.14728,0.14728,0.14702,0.14703,99846,1711843139999,14691.88287,124,35442,1711844220000,0.14831
1711843140000,0.14704,0.14718,0.14704,0.14710,71570,1711843199999,10528.47003,119,33150,1711844220000,0.14831
1711843200000,0.14709,0.14709,0.14685,0.14709,243693,1711843259999,35818.15684,270,107274,1711844220000,0.14831
