Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710774000000,0.902600,0.906200,0.902200,0.905700,8111.0,1710774059999,7327.5264600,286,5688.0,1710779400000,0.926
1710774060000,0.905300,0.906600,0.905100,0.906400,5067.0,1710774119999,4590.9937200,136,3284.1,1710779400000,0.926
1710774120000,0.906100,0.907100,0.904500,0.906300,17114.0,1710774179999,15500.1913700,241,5411.5,1710779400000,0.926
1710774180000,0.906200,0.906200,0.903100,0.903400,5476.4,1710774239999,4952.9880700,127,4256.9,1710779400000,0.926
1710774240000,0.903100,0.903100,0.900400,0.901400,7736.2,1710774299999,6975.5483900,144,3623.2,1710779400000,0.926
1710774300000,0.901000,0.901000,0.897200,0.897200,3666.3,1710774359999,3295.7491600,112,2020.1,1710779400000,0.926
1710774360000,0.897200,0.899300,0.895600,0.896400,21480.2,1710774419999,19265.9180500,232,11546.6,1710779400000,0.926
1710774420000,0.896400,0.897200,0.895300,0.897100,8907.0,1710774479999,7980.4461200,148,4898.7,1710779400000,0.926
1710774480000,0.896800,0.900400,0.896800,0.899800,6057.9,1710774539999,5444.0929500,136,3585.2,1710779400000,0.926
1710774540000,0.900000,0.900800,0.897800,0.898600,3640.5,1710774599999,3273.8888100,82,1118.6,1710779400000,0.926
1710774600000,0.898600,0.900700,0.898500,0.899000,6848.1,1710774659999,6159.0542800,124,4964.9,1710779400000,0.926
1710774660000,0.899100,0.901100,0.898400,0.899800,9674.3,1710774719999,8697.7462900,127,5439.7,1710779400000,0.926
1710774720000,0.899700,0.899900,0.898300,0.898600,2383.8,1710774779999,2143.6016900,81,1438.7,1710779400000,0.926
1710774780000,0.898300,0.900100,0.897600,0.897600,2433.6,1710774839999,2186.8995500,67,1924.3,1710779400000,0.926
1710774840000,0.897500,0.898500,0.896600,0.898300,5501.9,1710774899999,4938.6922600,158,4267.3,1710779400000,0.926
1710774900000,0.898300,0.900200,0.896800,0.899500,8577.3,1710774959999,7704.1730400,244,6863.6,1710779400000,0.926
1710774960000,0.899000,0.899900,0.896600,0.896700,11906.7,1710775019999,10691.6883100,183,4697.1,1710779400000,0.926
1710775020000,0.896700,0.899800,0.896000,0.899500,5711.6,1710775079999,5123.3114700,133,3286.9,1710779400000,0.926
1710775080000,0.899100,0.899700,0.895500,0.895600,11959.0,1710775139999,10728.0409800,176,3365.4,1710779400000,0.926
1710775140000,0.895400,0.896600,0.893900,0.894800,14047.2,1710775199999,12570.5615100,235,5868.7,1710779400000,0.926
1710775200000,0.895000,0.896000,0.892000,0.893900,23044.2,1710775259999,20583.6607700,372,8768.5,1710779400000,0.926
1710775260000,0.893400,0.895700,0.893000,0.893800,8243.9,1710775319999,7372.9961000,153,6727.7,1710779400000,0.926
1710775320000,0.893900,0.897400,0.893600,0.897400,4260.8,1710775379999,3817.4392000,93,2028.2,1710779400000,0.926
1710775380000,0.897500,0.901000,0.897200,0.900800,7926.1,1710775439999,7127.9080400,124,5279.5,1710779400000,0.926
1710775440000,0.900700,0.901700,0.900300,0.900600,2749.8,1710775499999,2476.9849400,70,536.1,1710779400000,0.926
1710775500000,0.900800,0.903300,0.900800,0.903300,6944.6,1710775559999,6264.4054800,86,5941.0,1710779400000,0.926
1710775560000,0.903400,0.904500,0.902800,0.902800,9390.0,1710775619999,8486.4912000,125,5644.5,1710779400000,0.926
1710775620000,0.902900,0.904400,0.902200,0.904400,10705.5,1710775679999,9667.1590500,93,8303.2,1710779400000,0.926
1710775680000,0.904400,0.906000,0.904400,0.905800,6654.3,1710775739999,6024.1905600,125,3412.7,1710779400000,0.926
1710775740000,0.905900,0.906200,0.904800,0.906100,3136.9,1710775799999,2841.2382100,103,2216.7,1710779400000,0.926
1710775800000,0.905900,0.906200,0.902000,0.904200,5965.8,1710775859999,5392.7656600,142,1953.4,1710779400000,0.926
1710775860000,0.904100,0.906000,0.904000,0.906000,5854.2,1710775919999,5299.3789700,100,4290.9,1710779400000,0.926
1710775920000,0.905700,0.906400,0.905500,0.905500,5457.2,1710775979999,4944.0538400,104,2745.7,1710779400000,0.926
1710775980000,0.905600,0.906900,0.905200,0.906200,3463.4,1710776039999,3137.9414800,113,2935.2,1710779400000,0.926
1710776040000,0.906200,0.907400,0.906100,0.906800,14814.3,1710776099999,13431.3787600,183,9783.1,1710779400000,0.926
1710776100000,0.906700,0.908200,0.906700,0.908200,14855.1,1710776159999,13478.7486600,203,9435.9,1710779400000,0.926
1710776160000,0.908000,0.909800,0.908000,0.909600,4517.8,1710776219999,4106.8496800,128,2206.8,1710779400000,0.926
1710776220000,0.909600,0.910100,0.908800,0.909700,4092.6,1710776279999,3721.8119300,112,2131.9,1710779400000,0.926
1710776280000,0.909800,0.912100,0.909500,0.912100,3797.4,1710776339999,3458.1515800,91,2161.0,1710779400000,0.926
1710776340000,0.911600,0.913200,0.911600,0.912600,11116.0,1710776399999,10143.5289300,107,10401.1,1710779400000,0.926
1710776400000,0.912600,0.912900,0.910400,0.910400,10095.6,1710776459999,9201.9086900,159,1808.4,1710779400000,0.926
1710776460000,0.910800,0.911500,0.910200,0.910800,6537.3,1710776519999,5955.0213500,79,2580.7,1710779400000,0.926
1710776520000,0.910800,0.911500,0.909500,0.910700,19153.1,1710776579999,17443.4004000,118,5974.1,1710779400000,0.926
1710776580000,0.910800,0.911500,0.910800,0.911500,1935.0,1710776639999,1763.2337900,35,1820.2,1710779400000,0.926
1710776640000,0.911600,0.912400,0.911500,0.912200,2582.7,1710776699999,2355.6249100,44,2503.2,1710779400000,0.926
1710776700000,0.912100,0.912400,0.910200,0.911000,6883.0,1710776759999,6270.9969200,113,5355.4,1710779400000,0.926
1710776760000,0.911600,0.911700,0.910100,0.910800,1784.1,1710776819999,1624.8594900,52,928.2,1710779400000,0.926
1710776820000,0.910700,0.911300,0.910400,0.910800,2733.0,1710776879999,2489.6554600,69,2556.5,1710779400000,0.926
1710776880000,0.910600,0.911600,0.909200,0.909200,6000.9,1710776939999,5465.1811400,104,3839.7,1710779400000,0.926
1710776940000,0.909300,0.909300,0.906900,0.909200,5558.1,1710776999999,5047.7178100,112,3338.9,1710779400000,0.926
1710777000000,0.909100,0.911100,0.909100,0.911100,4560.7,1710777059999,4151.5602800,114,2839.7,1710779400000,0.926
1710777060000,0.911300,0.912300,0.910600,0.912300,3147.8,1710777119999,2869.5229700,99,1068.9,1710779400000,0.926
1710777120000,0.912200,0.912500,0.911800,0.912300,3411.0,1710777179999,3111.4280100,73,1232.7,1710779400000,0.926
1710777180000,0.912400,0.912500,0.911300,0.911600,1596.0,1710777239999,1455.5529600,30,372.1,1710779400000,0.926
1710777240000,0.911500,0.911800,0.911000,0.911800,1202.9,1710777299999,1096.6178300,17,1004.9,1710779400000,0.926
1710777300000,0.911400,0.911500,0.910600,0.910600,1302.4,1710777359999,1186.5759300,43,813.4,1710779400000,0.926
1710777360000,0.910500,0.911100,0.909700,0.910200,2951.5,1710777419999,2687.4485900,66,1638.9,1710779400000,0.926
1710777420000,0.910200,0.911300,0.910200,0.911000,2761.6,1710777479999,2514.8400900,72,1865.1,1710779400000,0.926
1710777480000,0.911000,0.912500,0.911000,0.911400,4482.9,1710777539999,4087.1411100,80,3341.9,1710779400000,0.926
1710777540000,0.911400,0.912100,0.910800,0.911600,2489.3,1710777599999,2268.8402100,94,1293.0,1710779400000,0.926
1710777600000,0.911600,0.911600,0.909300,0.909400,5817.3,1710777659999,5297.5450100,164,2194.7,1710779400000,0.926
1710777660000,0.909500,0.910000,0.908100,0.908800,3843.8,1710777719999,3493.5765900,103,1891.9,1710779400000,0.926
1710777720000,0.908800,0.908900,0.906800,0.907200,3069.0,1710777779999,2785.5836000,90,2278.5,1710779400000,0.926
1710777780000,0.907400,0.907700,0.906600,0.906700,1679.0,1710777839999,1523.0807500,68,1196.7,1710779400000,0.926
1710777840000,0.906600,0.906900,0.905500,0.905500,4133.8,1710777899999,3745.5240200,69,1233.1,1710779400000,0.926
1710777900000,0.905600,0.905800,0.905100,0.905800,3921.0,1710777959999,3550.7865200,70,2898.8,1710779400000,0.926
1710777960000,0.905600,0.908000,0.905600,0.907600,3342.9,1710778019999,3032.2193200,64,1346.3,1710779400000,0.926
1710778020000,0.907500,0.910300,0.907500,0.909200,4384.3,1710778079999,3987.2131500,69,3911.9,1710779400000,0.926
1710778080000,0.909100,0.909600,0.908800,0.909200,2599.3,1710778139999,2363.4790700,70,1883.0,1710779400000,0.926
1710778140000,0.909600,0.910400,0.909600,0.910100,2292.4,1710778199999,2086.3286800,43,2106.3,1710779400000,0.926
1710778200000,0.910200,0.910200,0.909000,0.909100,1270.5,1710778259999,1155.5619600,40,743.7,1710779400000,0.926
1710778260000,0.908900,0.908900,0.907700,0.908300,883.5,1710778319999,802.1356500,17,843.3,1710779400000,0.926
1710778320000,0.908800,0.909100,0.907700,0.908800,1798.9,1710778379999,1634.2615800,39,839.9,1710779400000,0.926
1710778380000,0.909000,0.910800,0.908800,0.910800,1036.7,1710778439999,942.8764400,47,867.2,1710779400000,0.926
1710778440000,0.910500,0.912600,0.909900,0.912200,3098.9,1710778499999,2824.4476800,93,2340.8,1710779400000,0.926
1710778500000,0.912100,0.913800,0.912100,0.913700,4662.3,1710778559999,4258.0243900,134,1573.7,1710779400000,0.926
1710778560000,0.913600,0.917400,0.913500,0.917400,8885.2,1710778619999,8138.6978400,141,8256.8,1710779400000,0.926
