Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711542720000,0.20378,0.20405,0.20368,0.20401,48371,1711542779999,9857.26677,97,38124,1711548120000,0.20188
1711542780000,0.20398,0.20398,0.20350,0.20363,28450,1711542839999,5795.82192,85,9465,1711548120000,0.20188
1711542840000,0.20364,0.20385,0.20348,0.20351,73949,1711542899999,15058.83539,167,30774,1711548120000,0.20188
1711542900000,0.20355,0.20359,0.20341,0.20352,53552,1711542959999,10895.90351,92,28132,1711548120000,0.20188
1711542960000,0.20349,0.20365,0.20345,0.20362,20393,1711543019999,4150.83287,71,14799,1711548120000,0.20188
1711543020000,0.20363,0.20368,0.20346,0.20363,63983,1711543079999,13025.42788,120,56906,1711548120000,0.20188
1711543080000,0.20364,0.20364,0.20272,0.20275,245601,1711543139999,49897.21961,497,97224,1711548120000,0.20188
1711543140000,0.20278,0.20293,0.20254,0.20276,79692,1711543199999,16155.33841,208,36421,1711548120000,0.20188
1711543200000,0.20269,0.20269,0.20224,0.20236,67340,1711543259999,13635.75144,271,28588,1711548120000,0.20188
1711543260000,0.20233,0.20291,0.20233,0.20287,95670,1711543319999,19393.40925,224,84020,1711548120000,0.20188
1711543320000,0.20288,0.20320,0.20268,0.20278,91092,1711543379999,18493.61183,165,46873,1711548120000,0.20188
1711543380000,0.20283,0.20296,0.20254,0.20290,34058,1711543439999,6906.50905,78,20957,1711548120000,0.20188
1711543440000,0.20291,0.20292,0.20257,0.20264,49723,1711543499999,10078.66757,154,13221,1711548120000,0.20188
1711543500000,0.20260,0.20273,0.20237,0.20246,59674,1711543559999,12088.26821,155,24924,1711548120000,0.20188
1711543560000,0.20249,0.20277,0.20243,0.20274,43660,1711543619999,8846.51314,158,25469,1711548120000,0.20188
1711543620000,0.20277,0.20318,0.20277,0.20297,28971,1711543679999,5880.06653,122,15185,1711548120000,0.20188
1711543680000,0.20301,0.20311,0.20264,0.20297,64550,1711543739999,13088.90652,181,30140,1711548120000,0.20188
1711543740000,0.20296,0.20324,0.20285,0.20323,12532,1711543799999,2544.25387,70,9466,1711548120000,0.20188
1711543800000,0.20324,0.20352,0.20309,0.20332,73050,1711543859999,14855.07786,240,31012,1711548120000,0.20188
1711543860000,0.20328,0.20341,0.20302,0.20324,19995,1711543919999,4063.02242,114,8448,1711548120000,0.20188
1711543920000,0.20325,0.20325,0.20256,0.20262,105299,1711543979999,21352.93029,143,75750,1711548120000,0.20188
1711543980000,0.20263,0.20303,0.20263,0.20300,39016,1711544039999,7913.31944,84,25527,1711548120000,0.20188
1711544040000,0.20298,0.20331,0.20298,0.20327,29895,1711544099999,6071.62103,69,19670,1711548120000,0.20188
1711544100000,0.20324,0.20340,0.20319,0.20327,17926,1711544159999,3644.74945,58,8465,1711548120000,0.20188
1711544160000,0.20327,0.20367,0.20322,0.20360,32564,1711544219999,6626.15028,138,18615,1711548120000,0.20188
1711544220000,0.20355,0.20359,0.20344,0.20359,20500,1711544279999,4171.37232,66,13689,1711548120000,0.20188
1711544280000,0.20359,0.20367,0.20349,0.20355,14055,1711544339999,2860.79760,43,9528,1711548120000,0.20188
1711544340000,0.20353,0.20371,0.20346,0.20366,8408,1711544399999,1712.10716,58,7154,1711548120000,0.20188
1711544400000,0.20363,0.20390,0.20363,0.20386,52918,1711544459999,10782.80673,181,25065,1711548120000,0.20188
1711544460000,0.20378,0.20424,0.20373,0.20422,37599,1711544519999,7671.66478,169,26122,1711548120000,0.20188
1711544520000,0.20425,0.20478,0.20425,0.20477,142542,1711544579999,29150.10262,329,85015,1711548120000,0.20188
