Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711715520000,1.01300,1.01410,1.01290,1.01390,2378,1711715579999,2410.51430,24,2319,1711720860000,1.034
1711715580000,1.01380,1.01390,1.01320,1.01330,1608,1711715639999,1630.07000,32,31,1711720860000,1.034
1711715640000,1.01330,1.01350,1.01330,1.01350,99,1711715699999,100.32270,4,30,1711720860000,1.034
1711715700000,1.01350,1.01370,1.01350,1.01360,335,1711715759999,339.54100,11,254,1711720860000,1.034
1711715760000,1.01370,1.01410,1.01370,1.01380,6260,1711715819999,6347.52380,42,5401,1711720860000,1.034
1711715820000,1.01380,1.01380,1.01330,1.01350,1394,1711715879999,1412.84000,22,114,1711720860000,1.034
1711715880000,1.01360,1.01380,1.01320,1.01330,1145,1711715939999,1160.32540,16,22,1711720860000,1.034
1711715940000,1.01320,1.01320,1.01270,1.01270,569,1711715999999,576.38570,20,191,1711720860000,1.034
1711716000000,1.01260,1.01260,1.01160,1.01240,1386,1711716059999,1402.80520,43,281,1711720860000,1.034
1711716060000,1.01230,1.01230,1.01130,1.01150,1703,1711716119999,1722.59250,41,243,1711720860000,1.034
1711716120000,1.01150,1.01160,1.00990,1.01080,2129,1711716179999,2151.58850,74,210,1711720860000,1.034
1711716180000,1.01080,1.01080,1.00810,1.00970,11661,1711716239999,11760.64410,91,725,1711720860000,1.034
1711716240000,1.01020,1.01050,1.00990,1.00990,1568,1711716299999,1584.02190,36,984,1711720860000,1.034
1711716300000,1.01030,1.01160,1.01000,1.01160,5453,1711716359999,5512.83820,46,4075,1711720860000,1.034
1711716360000,1.01130,1.01290,1.01130,1.01290,1449,1711716419999,1466.19140,50,1314,1711720860000,1.034
1711716420000,1.01280,1.01280,1.01230,1.01250,1421,1711716479999,1439.03800,33,427,1711720860000,1.034
1711716480000,1.01220,1.01220,1.01140,1.01160,4591,1711716539999,4645.84890,39,550,1711720860000,1.034
1711716540000,1.01180,1.01220,1.01150,1.01180,4142,1711716599999,4191.29370,50,1561,1711720860000,1.034
1711716600000,1.01180,1.01200,1.01140,1.01140,1253,1711716659999,1267.67960,25,38,1711720860000,1.034
1711716660000,1.01150,1.01160,1.01120,1.01130,1163,1711716719999,1176.36330,27,150,1711720860000,1.034
1711716720000,1.01130,1.01130,1.00780,1.00960,6533,1711716779999,6591.20630,120,1231,1711720860000,1.034
